bit_and(CIDX)	bit_or(CIDX)	bit_xor(CIDX)
bit_and(CVCHAR6)	bit_or(CVCHAR6)	bit_xor(CVCHAR6)
0	0	0
bit_and(CVCHAR7)	bit_or(CVCHAR7)	bit_xor(CVCHAR7)
0	0	0
bit_and(CVCHAR8)	bit_or(CVCHAR8)	bit_xor(CVCHAR8)
0	0	0
bit_and(CVCHAR255)	bit_or(CVCHAR255)	bit_xor(CVCHAR255)
0	0	0
bit_and(id)	bit_or(id)	bit_xor(id)
0	127	100
bit_and(dt)	bit_or(dt)	bit_xor(dt)
20054016	20119551	49891
bit_and(dtm)	bit_or(dtm)	bit_xor(dtm)
20066087206914	20134806683646	19053661808
bit_and(f)	bit_or(f)	bit_xor(f)
0	18446744073709551615	18446744073709116812
bit_and(db)	bit_or(db)	bit_xor(db)
0	18446744073709551615	18446744073709116813
bit_and(ti)	bit_or(ti)	bit_xor(ti)
0	18446744073709551615	18446744073709551607
bit_and(si)	bit_or(si)	bit_xor(si)
0	18446744073709551615	18446744073709539518
bit_and(i)	bit_or(i)	bit_xor(i)
0	18446744073709551615	18446744073709116813
bit_and(bi)	bit_or(bi)	bit_xor(bi)
0	18446744073709551615	18446744073709116813
bit_and(c1)	bit_or(c1)	bit_xor(c1)
0	15	15
bit_and(c2)	bit_or(c2)	bit_xor(c2)
0	18446744073709551615	18446744073709551492
bit_and(c3)	bit_or(c3)	bit_xor(c3)
0	18446744073709551615	18446744073709551529
bit_and(c4)	bit_or(c4)	bit_xor(c4)
0	18446744073709551615	18446744073709547001
bit_and(c5)	bit_or(c5)	bit_xor(c5)
0	18446744073709551615	18446744073709512834
bit_and(c6)	bit_or(c6)	bit_xor(c6)
0	18446744073709551615	18446744073708709319
bit_and(c7)	bit_or(c7)	bit_xor(c7)
0	18446744073709551615	18446744073709116801
bit_and(c8)	bit_or(c8)	bit_xor(c8)
0	18446744073709551615	18446744073709116801
bit_and(c9)	bit_or(c9)	bit_xor(c9)
0	18446744073709551615	18446744073709116801
bit_and(c255)	bit_or(c255)	bit_xor(c255)
0	18446744073709551615	18446744073709116801
bit_and(vc1)	bit_or(vc1)	bit_xor(vc1)
0	15	15
bit_and(vc2)	bit_or(vc2)	bit_xor(vc2)
0	18446744073709551615	18446744073709551492
bit_and(vc3)	bit_or(vc3)	bit_xor(vc3)
0	18446744073709551615	18446744073709551529
bit_and(vc4)	bit_or(vc4)	bit_xor(vc4)
0	18446744073709551615	18446744073709547001
bit_and(vc5)	bit_or(vc5)	bit_xor(vc5)
0	18446744073709551615	18446744073709512834
bit_and(vc6)	bit_or(vc6)	bit_xor(vc6)
0	18446744073709551615	18446744073708709319
bit_and(vc7)	bit_or(vc7)	bit_xor(vc7)
0	18446744073709551615	18446744073709116801
bit_and(vc8)	bit_or(vc8)	bit_xor(vc8)
0	18446744073709551615	18446744073709116801
bit_and(vc255)	bit_or(vc255)	bit_xor(vc255)
0	18446744073709551615	18446744073709116801
bit_and(d1)	bit_or(d1)	bit_xor(d1)
0	18446744073709551615	18446744073709551611
bit_and(d2)	bit_or(d2)	bit_xor(d2)
0	18446744073709551615	18446744073709551615
bit_and(d3)	bit_or(d3)	bit_xor(d3)
0	18446744073709551615	18446744073709551593
bit_and(d4)	bit_or(d4)	bit_xor(d4)
0	18446744073709551615	18446744073709551613
bit_and(d5)	bit_or(d5)	bit_xor(d5)
0	18446744073709551615	18446744073709551615
bit_and(d6)	bit_or(d6)	bit_xor(d6)
0	18446744073709551615	18446744073709551456
bit_and(d7)	bit_or(d7)	bit_xor(d7)
0	18446744073709551615	18446744073709551598
bit_and(d8)	bit_or(d8)	bit_xor(d8)
0	18446744073709551615	18446744073709551613
bit_and(d9)	bit_or(d9)	bit_xor(d9)
0	18446744073709551615	18446744073709551615
bit_and(d10)	bit_or(d10)	bit_xor(d10)
0	18446744073709551615	18446744073709548606
bit_and(d11)	bit_or(d11)	bit_xor(d11)
0	18446744073709551615	18446744073709551463
bit_and(d12)	bit_or(d12)	bit_xor(d12)
0	18446744073709551615	18446744073709551598
bit_and(d13)	bit_or(d13)	bit_xor(d13)
0	18446744073709551615	18446744073709551610
bit_and(d14)	bit_or(d14)	bit_xor(d14)
0	18446744073709551615	18446744073709551615
bit_and(d15)	bit_or(d15)	bit_xor(d15)
0	18446744073709551615	18446744073709431262
bit_and(d16)	bit_or(d16)	bit_xor(d16)
0	18446744073709551615	18446744073709548600
bit_and(d17)	bit_or(d17)	bit_xor(d17)
0	18446744073709551615	18446744073709551462
bit_and(d18)	bit_or(d18)	bit_xor(d18)
0	18446744073709551615	18446744073709551593
bit_and(d19)	bit_or(d19)	bit_xor(d19)
0	18446744073709551615	18446744073709551610
bit_and(d20)	bit_or(d20)	bit_xor(d20)
0	18446744073709551615	18446744073709551615
bit_and(d21)	bit_or(d21)	bit_xor(d21)
0	18446744073709551615	18446744073708811718
bit_and(d22)	bit_or(d22)	bit_xor(d22)
0	18446744073709551615	18446744073709431271
bit_and(d23)	bit_or(d23)	bit_xor(d23)
0	18446744073709551615	18446744073709548601
bit_and(d24)	bit_or(d24)	bit_xor(d24)
0	18446744073709551615	18446744073709551457
bit_and(d25)	bit_or(d25)	bit_xor(d25)
0	18446744073709551615	18446744073709551593
bit_and(d26)	bit_or(d26)	bit_xor(d26)
0	18446744073709551615	18446744073709551610
bit_and(d27)	bit_or(d27)	bit_xor(d27)
0	18446744073709551615	18446744073709551615
bit_and(d28)	bit_or(d28)	bit_xor(d28)
0	18446744073709551615	18446744073709116813
bit_and(d29)	bit_or(d29)	bit_xor(d29)
0	18446744073709551615	18446744073708811711
bit_and(d30)	bit_or(d30)	bit_xor(d30)
0	18446744073709551615	18446744073709431270
bit_and(d31)	bit_or(d31)	bit_xor(d31)
0	18446744073709551615	18446744073709548606
bit_and(d32)	bit_or(d32)	bit_xor(d32)
0	18446744073709551615	18446744073709551457
bit_and(d33)	bit_or(d33)	bit_xor(d33)
0	18446744073709551615	18446744073709551593
bit_and(d34)	bit_or(d34)	bit_xor(d34)
0	18446744073709551615	18446744073709551610
bit_and(d35)	bit_or(d35)	bit_xor(d35)
0	18446744073709551615	18446744073709551615
bit_and(d36)	bit_or(d36)	bit_xor(d36)
0	18446744073709551615	18446744073709116813
bit_and(d37)	bit_or(d37)	bit_xor(d37)
0	18446744073709551615	18446744073709116811
bit_and(d38)	bit_or(d38)	bit_xor(d38)
0	18446744073709551615	18446744073708811710
bit_and(d39)	bit_or(d39)	bit_xor(d39)
0	18446744073709551615	18446744073709431265
bit_and(d40)	bit_or(d40)	bit_xor(d40)
0	18446744073709551615	18446744073709548606
bit_and(d41)	bit_or(d41)	bit_xor(d41)
0	18446744073709551615	18446744073709551457
bit_and(d42)	bit_or(d42)	bit_xor(d42)
0	18446744073709551615	18446744073709551593
bit_and(d43)	bit_or(d43)	bit_xor(d43)
0	18446744073709551615	18446744073709551610
bit_and(d44)	bit_or(d44)	bit_xor(d44)
0	18446744073709551615	18446744073709551615
bit_and(d45)	bit_or(d45)	bit_xor(d45)
0	18446744073709551615	18446744073709116813
bit_and(d46)	bit_or(d46)	bit_xor(d46)
0	18446744073709551615	18446744073709116811
bit_and(d47)	bit_or(d47)	bit_xor(d47)
0	18446744073709551615	18446744073709116810
bit_and(d48)	bit_or(d48)	bit_xor(d48)
0	18446744073709551615	18446744073708811705
bit_and(d49)	bit_or(d49)	bit_xor(d49)
0	18446744073709551615	18446744073709431265
bit_and(d50)	bit_or(d50)	bit_xor(d50)
0	18446744073709551615	18446744073709548606
bit_and(d51)	bit_or(d51)	bit_xor(d51)
0	18446744073709551615	18446744073709551457
bit_and(d52)	bit_or(d52)	bit_xor(d52)
0	18446744073709551615	18446744073709551593
bit_and(d53)	bit_or(d53)	bit_xor(d53)
0	18446744073709551615	18446744073709551610
bit_and(d54)	bit_or(d54)	bit_xor(d54)
0	18446744073709551615	18446744073709551615
bit_and(d55)	bit_or(d55)	bit_xor(d55)
0	18446744073709551615	18446744073709116813
bit_and(d56)	bit_or(d56)	bit_xor(d56)
0	18446744073709551615	18446744073709116811
bit_and(d57)	bit_or(d57)	bit_xor(d57)
0	18446744073709551615	18446744073709116810
bit_and(d58)	bit_or(d58)	bit_xor(d58)
0	18446744073709551615	18446744073709116813
bit_and(d59)	bit_or(d59)	bit_xor(d59)
0	18446744073709551615	18446744073708811705
bit_and(d60)	bit_or(d60)	bit_xor(d60)
0	18446744073709551615	18446744073709431265
bit_and(d61)	bit_or(d61)	bit_xor(d61)
0	18446744073709551615	18446744073709548606
bit_and(d62)	bit_or(d62)	bit_xor(d62)
0	18446744073709551615	18446744073709551457
bit_and(d63)	bit_or(d63)	bit_xor(d63)
0	18446744073709551615	18446744073709551593
bit_and(d64)	bit_or(d64)	bit_xor(d64)
0	18446744073709551615	18446744073709551610
bit_and(d65)	bit_or(d65)	bit_xor(d65)
0	18446744073709551615	18446744073709551615
bit_and(d66)	bit_or(d66)	bit_xor(d66)
0	18446744073709551615	18446744073709116813
bit_and(d67)	bit_or(d67)	bit_xor(d67)
0	18446744073709551615	18446744073709116811
bit_and(d68)	bit_or(d68)	bit_xor(d68)
0	18446744073709551615	18446744073709116810
bit_and(d69)	bit_or(d69)	bit_xor(d69)
0	18446744073709551615	18446744073709116813
bit_and(d70)	bit_or(d70)	bit_xor(d70)
0	18446744073709551615	18446744073709116813
bit_and(d71)	bit_or(d71)	bit_xor(d71)
0	18446744073709551615	18446744073708811705
bit_and(d72)	bit_or(d72)	bit_xor(d72)
0	18446744073709551615	18446744073709431265
bit_and(d73)	bit_or(d73)	bit_xor(d73)
0	18446744073709551615	18446744073709548606
bit_and(d74)	bit_or(d74)	bit_xor(d74)
0	18446744073709551615	18446744073709551457
bit_and(d75)	bit_or(d75)	bit_xor(d75)
0	18446744073709551615	18446744073709551593
bit_and(d76)	bit_or(d76)	bit_xor(d76)
0	18446744073709551615	18446744073709551610
bit_and(d77)	bit_or(d77)	bit_xor(d77)
0	18446744073709551615	18446744073709551615
bit_and(d78)	bit_or(d78)	bit_xor(d78)
0	18446744073709551615	18446744073709116813
bit_and(d79)	bit_or(d79)	bit_xor(d79)
0	18446744073709551615	18446744073709116811
bit_and(d80)	bit_or(d80)	bit_xor(d80)
0	18446744073709551615	18446744073709116810
bit_and(d81)	bit_or(d81)	bit_xor(d81)
0	18446744073709551615	18446744073709116813
bit_and(d82)	bit_or(d82)	bit_xor(d82)
0	18446744073709551615	18446744073709116813
bit_and(d83)	bit_or(d83)	bit_xor(d83)
0	18446744073709551615	18446744073709116813
bit_and(d84)	bit_or(d84)	bit_xor(d84)
0	18446744073709551615	18446744073708811705
bit_and(d85)	bit_or(d85)	bit_xor(d85)
0	18446744073709551615	18446744073709431265
bit_and(d86)	bit_or(d86)	bit_xor(d86)
0	18446744073709551615	18446744073709548606
bit_and(d87)	bit_or(d87)	bit_xor(d87)
0	18446744073709551615	18446744073709551457
bit_and(d88)	bit_or(d88)	bit_xor(d88)
0	18446744073709551615	18446744073709551593
bit_and(d89)	bit_or(d89)	bit_xor(d89)
0	18446744073709551615	18446744073709551610
bit_and(d90)	bit_or(d90)	bit_xor(d90)
0	18446744073709551615	18446744073709551615
bit_and(d91)	bit_or(d91)	bit_xor(d91)
0	18446744073709551615	18446744073709116813
bit_and(d92)	bit_or(d92)	bit_xor(d92)
0	18446744073709551615	18446744073709116811
bit_and(d93)	bit_or(d93)	bit_xor(d93)
0	18446744073709551615	18446744073709116810
bit_and(d94)	bit_or(d94)	bit_xor(d94)
0	18446744073709551615	18446744073709116813
bit_and(d95)	bit_or(d95)	bit_xor(d95)
0	18446744073709551615	18446744073709116813
bit_and(d96)	bit_or(d96)	bit_xor(d96)
0	18446744073709551615	18446744073709116813
bit_and(d97)	bit_or(d97)	bit_xor(d97)
0	18446744073709551615	18446744073709116813
bit_and(d98)	bit_or(d98)	bit_xor(d98)
0	18446744073709551615	18446744073708811705
bit_and(d99)	bit_or(d99)	bit_xor(d99)
0	18446744073709551615	18446744073709431265
bit_and(d100)	bit_or(d100)	bit_xor(d100)
0	18446744073709551615	18446744073709548606
bit_and(d101)	bit_or(d101)	bit_xor(d101)
0	18446744073709551615	18446744073709551457
bit_and(d102)	bit_or(d102)	bit_xor(d102)
0	18446744073709551615	18446744073709551593
bit_and(d103)	bit_or(d103)	bit_xor(d103)
0	18446744073709551615	18446744073709551610
bit_and(d104)	bit_or(d104)	bit_xor(d104)
0	18446744073709551615	18446744073709551615
bit_and(d105)	bit_or(d105)	bit_xor(d105)
0	18446744073709551615	18446744073709116813
bit_and(d106)	bit_or(d106)	bit_xor(d106)
0	18446744073709551615	18446744073709116811
bit_and(d107)	bit_or(d107)	bit_xor(d107)
0	18446744073709551615	18446744073709116810
bit_and(d108)	bit_or(d108)	bit_xor(d108)
0	18446744073709551615	18446744073709116813
bit_and(d109)	bit_or(d109)	bit_xor(d109)
0	18446744073709551615	18446744073709116813
bit_and(d110)	bit_or(d110)	bit_xor(d110)
0	18446744073709551615	18446744073709116813
bit_and(d111)	bit_or(d111)	bit_xor(d111)
0	18446744073709551615	18446744073709116813
bit_and(d112)	bit_or(d112)	bit_xor(d112)
0	18446744073709551615	18446744073709116813
bit_and(d113)	bit_or(d113)	bit_xor(d113)
0	18446744073709551615	18446744073708811705
bit_and(d114)	bit_or(d114)	bit_xor(d114)
0	18446744073709551615	18446744073709431265
bit_and(d115)	bit_or(d115)	bit_xor(d115)
0	18446744073709551615	18446744073709548606
bit_and(d116)	bit_or(d116)	bit_xor(d116)
0	18446744073709551615	18446744073709551457
bit_and(d117)	bit_or(d117)	bit_xor(d117)
0	18446744073709551615	18446744073709551593
bit_and(d118)	bit_or(d118)	bit_xor(d118)
0	18446744073709551615	18446744073709551610
bit_and(d119)	bit_or(d119)	bit_xor(d119)
0	18446744073709551615	18446744073709551615
bit_and(d120)	bit_or(d120)	bit_xor(d120)
0	18446744073709551615	18446744073709116813
bit_and(d121)	bit_or(d121)	bit_xor(d121)
0	18446744073709551615	18446744073709116811
bit_and(d122)	bit_or(d122)	bit_xor(d122)
0	18446744073709551615	18446744073709116810
bit_and(d123)	bit_or(d123)	bit_xor(d123)
0	18446744073709551615	18446744073709116813
bit_and(d124)	bit_or(d124)	bit_xor(d124)
0	18446744073709551615	18446744073709116813
bit_and(d125)	bit_or(d125)	bit_xor(d125)
0	18446744073709551615	18446744073709116813
bit_and(d126)	bit_or(d126)	bit_xor(d126)
0	18446744073709551615	18446744073709116813
bit_and(d127)	bit_or(d127)	bit_xor(d127)
0	18446744073709551615	18446744073709116813
bit_and(d128)	bit_or(d128)	bit_xor(d128)
0	18446744073709551615	18446744073709116813
bit_and(d129)	bit_or(d129)	bit_xor(d129)
0	18446744073709551615	18446744073708811705
bit_and(d130)	bit_or(d130)	bit_xor(d130)
0	18446744073709551615	18446744073709431265
bit_and(d131)	bit_or(d131)	bit_xor(d131)
0	18446744073709551615	18446744073709548606
bit_and(d132)	bit_or(d132)	bit_xor(d132)
0	18446744073709551615	18446744073709551457
bit_and(d133)	bit_or(d133)	bit_xor(d133)
0	18446744073709551615	18446744073709551593
bit_and(d134)	bit_or(d134)	bit_xor(d134)
0	18446744073709551615	18446744073709551610
bit_and(d135)	bit_or(d135)	bit_xor(d135)
0	18446744073709551615	18446744073709551615
bit_and(d136)	bit_or(d136)	bit_xor(d136)
0	18446744073709551615	18446744073709116813
bit_and(d137)	bit_or(d137)	bit_xor(d137)
0	18446744073709551615	18446744073709116811
bit_and(d138)	bit_or(d138)	bit_xor(d138)
0	18446744073709551615	18446744073709116810
bit_and(d139)	bit_or(d139)	bit_xor(d139)
0	18446744073709551615	18446744073709116813
bit_and(d140)	bit_or(d140)	bit_xor(d140)
0	18446744073709551615	18446744073709116813
bit_and(d141)	bit_or(d141)	bit_xor(d141)
0	18446744073709551615	18446744073709116813
bit_and(d142)	bit_or(d142)	bit_xor(d142)
0	18446744073709551615	18446744073709116813
bit_and(d143)	bit_or(d143)	bit_xor(d143)
0	18446744073709551615	18446744073709116813
bit_and(d144)	bit_or(d144)	bit_xor(d144)
0	18446744073709551615	18446744073709116813
bit_and(d145)	bit_or(d145)	bit_xor(d145)
0	18446744073709551615	18446744073709116813
bit_and(d146)	bit_or(d146)	bit_xor(d146)
0	18446744073709551615	18446744073708811705
bit_and(d147)	bit_or(d147)	bit_xor(d147)
0	18446744073709551615	18446744073709431265
bit_and(d148)	bit_or(d148)	bit_xor(d148)
0	18446744073709551615	18446744073709548606
bit_and(d149)	bit_or(d149)	bit_xor(d149)
0	18446744073709551615	18446744073709551457
bit_and(d150)	bit_or(d150)	bit_xor(d150)
0	18446744073709551615	18446744073709551593
bit_and(d151)	bit_or(d151)	bit_xor(d151)
0	18446744073709551615	18446744073709551610
bit_and(d152)	bit_or(d152)	bit_xor(d152)
0	18446744073709551615	18446744073709551615
bit_and(d153)	bit_or(d153)	bit_xor(d153)
0	18446744073709551615	18446744073709116813
bit_and(d154)	bit_or(d154)	bit_xor(d154)
0	18446744073709551615	18446744073709116811
bit_and(d155)	bit_or(d155)	bit_xor(d155)
0	18446744073709551615	18446744073709116810
bit_and(d156)	bit_or(d156)	bit_xor(d156)
0	18446744073709551615	18446744073709116813
bit_and(d157)	bit_or(d157)	bit_xor(d157)
0	18446744073709551615	18446744073709116813
bit_and(d158)	bit_or(d158)	bit_xor(d158)
0	18446744073709551615	18446744073709116813
bit_and(d159)	bit_or(d159)	bit_xor(d159)
0	18446744073709551615	18446744073709116813
bit_and(d160)	bit_or(d160)	bit_xor(d160)
0	18446744073709551615	18446744073709116813
bit_and(d161)	bit_or(d161)	bit_xor(d161)
0	18446744073709551615	18446744073709116813
bit_and(d162)	bit_or(d162)	bit_xor(d162)
0	18446744073709551615	18446744073709116813
bit_and(d163)	bit_or(d163)	bit_xor(d163)
0	18446744073709551615	18446744073709116813
bit_and(d164)	bit_or(d164)	bit_xor(d164)
0	18446744073709551615	18446744073708811705
bit_and(d165)	bit_or(d165)	bit_xor(d165)
0	18446744073709551615	18446744073709431265
bit_and(d166)	bit_or(d166)	bit_xor(d166)
0	18446744073709551615	18446744073709548606
bit_and(d167)	bit_or(d167)	bit_xor(d167)
0	18446744073709551615	18446744073709551457
bit_and(d168)	bit_or(d168)	bit_xor(d168)
0	18446744073709551615	18446744073709551593
bit_and(d169)	bit_or(d169)	bit_xor(d169)
0	18446744073709551615	18446744073709551610
bit_and(d170)	bit_or(d170)	bit_xor(d170)
0	18446744073709551615	18446744073709551615
bit_and(d171)	bit_or(d171)	bit_xor(d171)
0	18446744073709551615	18446744073709116813
bit_and(d172)	bit_or(d172)	bit_xor(d172)
0	18446744073709551615	18446744073709116811
bit_and(d173)	bit_or(d173)	bit_xor(d173)
0	18446744073709551615	18446744073709116810
bit_and(d174)	bit_or(d174)	bit_xor(d174)
0	18446744073709551615	18446744073709116813
bit_and(d175)	bit_or(d175)	bit_xor(d175)
0	18446744073709551615	18446744073709116813
bit_and(d176)	bit_or(d176)	bit_xor(d176)
0	18446744073709551615	18446744073709116813
bit_and(d177)	bit_or(d177)	bit_xor(d177)
0	18446744073709551615	18446744073709116813
bit_and(d178)	bit_or(d178)	bit_xor(d178)
0	18446744073709551615	18446744073709116813
bit_and(d179)	bit_or(d179)	bit_xor(d179)
0	18446744073709551615	18446744073709116813
bit_and(d180)	bit_or(d180)	bit_xor(d180)
0	18446744073709551615	18446744073709116813
bit_and(d181)	bit_or(d181)	bit_xor(d181)
0	18446744073709551615	18446744073709116813
bit_and(d182)	bit_or(d182)	bit_xor(d182)
0	18446744073709551615	18446744073709116813
bit_and(d183)	bit_or(d183)	bit_xor(d183)
0	18446744073709551615	18446744073708811705
bit_and(d184)	bit_or(d184)	bit_xor(d184)
0	18446744073709551615	18446744073709431265
bit_and(d185)	bit_or(d185)	bit_xor(d185)
0	18446744073709551615	18446744073709548606
bit_and(d186)	bit_or(d186)	bit_xor(d186)
0	18446744073709551615	18446744073709551457
bit_and(d187)	bit_or(d187)	bit_xor(d187)
0	18446744073709551615	18446744073709551593
bit_and(d188)	bit_or(d188)	bit_xor(d188)
0	18446744073709551615	18446744073709551610
bit_and(d189)	bit_or(d189)	bit_xor(d189)
0	18446744073709551615	18446744073709551615
