cidx	CDATE	DATE_SUB(CDATE, INTERVAL 3 SECOND)
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 3 YEAR)
1	1997-01-01	1994-01-01
2	1997-01-01	1994-01-01
3	1997-01-02	1994-01-02
4	1997-01-03	1994-01-03
5	1997-01-04	1994-01-04
6	2009-12-28	2006-12-28
7	2009-12-29	2006-12-29
8	2009-12-30	2006-12-30
9	2009-12-31	2006-12-31
10	2009-12-31	2006-12-31
11	2009-12-31	2006-12-31
cidx	CDATETIME	DATE_SUB(CDATETIME, INTERVAL 3 SECOND)
1	1997-01-01 00:00:00	1996-12-31 23:59:57
2	1997-01-01 00:00:01	1996-12-31 23:59:58
3	1997-01-02 00:00:01	1997-01-01 23:59:58
4	1997-01-03 00:00:02	1997-01-02 23:59:59
5	1997-01-04 00:00:03	1997-01-04 00:00:00
6	2009-12-31 23:59:56	2009-12-31 23:59:53
7	2009-12-31 23:59:57	2009-12-31 23:59:54
8	2009-12-31 23:59:58	2009-12-31 23:59:55
9	2009-12-31 23:59:59	2009-12-31 23:59:56
10	2009-12-31 23:59:59	2009-12-31 23:59:56
11	2009-12-31 23:59:59	2009-12-31 23:59:56
cidx	CDATETIME	DATE_SUB(CDATETIME, INTERVAL 3 MINUTE)
1	1997-01-01 00:00:00	1996-12-31 23:57:00
2	1997-01-01 00:00:01	1996-12-31 23:57:01
3	1997-01-02 00:00:01	1997-01-01 23:57:01
4	1997-01-03 00:00:02	1997-01-02 23:57:02
5	1997-01-04 00:00:03	1997-01-03 23:57:03
6	2009-12-31 23:59:56	2009-12-31 23:56:56
7	2009-12-31 23:59:57	2009-12-31 23:56:57
8	2009-12-31 23:59:58	2009-12-31 23:56:58
9	2009-12-31 23:59:59	2009-12-31 23:56:59
10	2009-12-31 23:59:59	2009-12-31 23:56:59
11	2009-12-31 23:59:59	2009-12-31 23:56:59
cidx	CDATETIME	DATE_SUB(CDATETIME, INTERVAL 3 HOUR)
1	1997-01-01 00:00:00	1996-12-31 21:00:00
2	1997-01-01 00:00:01	1996-12-31 21:00:01
3	1997-01-02 00:00:01	1997-01-01 21:00:01
4	1997-01-03 00:00:02	1997-01-02 21:00:02
5	1997-01-04 00:00:03	1997-01-03 21:00:03
6	2009-12-31 23:59:56	2009-12-31 20:59:56
7	2009-12-31 23:59:57	2009-12-31 20:59:57
8	2009-12-31 23:59:58	2009-12-31 20:59:58
9	2009-12-31 23:59:59	2009-12-31 20:59:59
10	2009-12-31 23:59:59	2009-12-31 20:59:59
11	2009-12-31 23:59:59	2009-12-31 20:59:59
cidx	CDATETIME	DATE_SUB(CDATETIME, INTERVAL 3 DAY)
1	1997-01-01 00:00:00	1996-12-29 00:00:00
2	1997-01-01 00:00:01	1996-12-29 00:00:01
3	1997-01-02 00:00:01	1996-12-30 00:00:01
4	1997-01-03 00:00:02	1996-12-31 00:00:02
5	1997-01-04 00:00:03	1997-01-01 00:00:03
6	2009-12-31 23:59:56	2009-12-28 23:59:56
7	2009-12-31 23:59:57	2009-12-28 23:59:57
8	2009-12-31 23:59:58	2009-12-28 23:59:58
9	2009-12-31 23:59:59	2009-12-28 23:59:59
10	2009-12-31 23:59:59	2009-12-28 23:59:59
11	2009-12-31 23:59:59	2009-12-28 23:59:59
cidx	CDATETIME	DATE_SUB(CDATETIME, INTERVAL 3 WEEK)
1	1997-01-01 00:00:00	1996-12-11 00:00:00
2	1997-01-01 00:00:01	1996-12-11 00:00:01
3	1997-01-02 00:00:01	1996-12-12 00:00:01
4	1997-01-03 00:00:02	1996-12-13 00:00:02
5	1997-01-04 00:00:03	1996-12-14 00:00:03
6	2009-12-31 23:59:56	2009-12-10 23:59:56
7	2009-12-31 23:59:57	2009-12-10 23:59:57
8	2009-12-31 23:59:58	2009-12-10 23:59:58
9	2009-12-31 23:59:59	2009-12-10 23:59:59
10	2009-12-31 23:59:59	2009-12-10 23:59:59
11	2009-12-31 23:59:59	2009-12-10 23:59:59
cidx	CDATETIME	DATE_SUB(CDATETIME, INTERVAL 3 MONTH)
1	1997-01-01 00:00:00	1996-10-01 00:00:00
2	1997-01-01 00:00:01	1996-10-01 00:00:01
3	1997-01-02 00:00:01	1996-10-02 00:00:01
4	1997-01-03 00:00:02	1996-10-03 00:00:02
5	1997-01-04 00:00:03	1996-10-04 00:00:03
6	2009-12-31 23:59:56	2009-09-30 23:59:56
7	2009-12-31 23:59:57	2009-09-30 23:59:57
8	2009-12-31 23:59:58	2009-09-30 23:59:58
9	2009-12-31 23:59:59	2009-09-30 23:59:59
10	2009-12-31 23:59:59	2009-09-30 23:59:59
11	2009-12-31 23:59:59	2009-09-30 23:59:59
cidx	CDATETIME	DATE_SUB(CDATETIME, INTERVAL 3 QUARTER)
1	1997-01-01 00:00:00	1996-04-01 00:00:00
2	1997-01-01 00:00:01	1996-04-01 00:00:01
3	1997-01-02 00:00:01	1996-04-02 00:00:01
4	1997-01-03 00:00:02	1996-04-03 00:00:02
5	1997-01-04 00:00:03	1996-04-04 00:00:03
6	2009-12-31 23:59:56	2009-03-31 23:59:56
7	2009-12-31 23:59:57	2009-03-31 23:59:57
8	2009-12-31 23:59:58	2009-03-31 23:59:58
9	2009-12-31 23:59:59	2009-03-31 23:59:59
10	2009-12-31 23:59:59	2009-03-31 23:59:59
11	2009-12-31 23:59:59	2009-03-31 23:59:59
cidx	CDATETIME	DATE_SUB(CDATETIME, INTERVAL 3 YEAR)
1	1997-01-01 00:00:00	1994-01-01 00:00:00
2	1997-01-01 00:00:01	1994-01-01 00:00:01
3	1997-01-02 00:00:01	1994-01-02 00:00:01
4	1997-01-03 00:00:02	1994-01-03 00:00:02
5	1997-01-04 00:00:03	1994-01-04 00:00:03
6	2009-12-31 23:59:56	2006-12-31 23:59:56
7	2009-12-31 23:59:57	2006-12-31 23:59:57
8	2009-12-31 23:59:58	2006-12-31 23:59:58
9	2009-12-31 23:59:59	2006-12-31 23:59:59
10	2009-12-31 23:59:59	2006-12-31 23:59:59
11	2009-12-31 23:59:59	2006-12-31 23:59:59
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
