cidx	CCHAR1	LOCATE('aaa',CCHAR1)
cidx	CCHAR6	LOCATE('aaaaaaaaaaaa',CCHAR6)
1	aaaaaa	0
2	f	0
3	ff	0
4	fff	0
5	ffff	0
6	uuuuuu	0
7	uuuuuu	0
8	uuuuuu	0
9	uuuuuu	0
10	zzzzzz	0
11	NULL	NULL
cidx	CCHAR6	LOCATE('zzzzzzzzzzzzzz',CCHAR6)
1	aaaaaa	0
2	f	0
3	ff	0
4	fff	0
5	ffff	0
6	uuuuuu	0
7	uuuuuu	0
8	uuuuuu	0
9	uuuuuu	0
10	zzzzzz	0
11	NULL	NULL
cidx	CCHAR7	LOCATE('aaa',CCHAR7)
1	aaaaaaa	1
2	g	0
3	gg	0
4	ggg	0
5	gggg	0
6	ttttttt	0
7	ttttttt	0
8	ttttttt	0
9	ttttttt	0
10	zzzzzzz	0
11	NULL	NULL
cidx	CCHAR7	LOCATE('zz',CCHAR7)
1	aaaaaaa	0
2	g	0
3	gg	0
4	ggg	0
5	gggg	0
6	ttttttt	0
7	ttttttt	0
8	ttttttt	0
9	ttttttt	0
10	zzzzzzz	1
11	NULL	NULL
cidx	CCHAR7	LOCATE('aaaaaaaaaaaa',CCHAR7)
1	aaaaaaa	0
2	g	0
3	gg	0
4	ggg	0
5	gggg	0
6	ttttttt	0
7	ttttttt	0
8	ttttttt	0
9	ttttttt	0
10	zzzzzzz	0
11	NULL	NULL
cidx	CCHAR7	LOCATE('zzzzzzzzzzzzzz',CCHAR7)
1	aaaaaaa	0
2	g	0
3	gg	0
4	ggg	0
5	gggg	0
6	ttttttt	0
7	ttttttt	0
8	ttttttt	0
9	ttttttt	0
10	zzzzzzz	0
11	NULL	NULL
cidx	CCHAR8	LOCATE('aaa',CCHAR8)
1	aaaaaaaa	1
2	h	0
3	hh	0
4	hhh	0
5	hhhh	0
6	sssssss	0
7	ssssssss	0
8	ssssssss	0
9	ssssssss	0
10	zzzzzzzz	0
11	NULL	NULL
cidx	CCHAR8	LOCATE('zz',CCHAR8)
1	aaaaaaaa	0
2	h	0
3	hh	0
4	hhh	0
5	hhhh	0
6	sssssss	0
7	ssssssss	0
8	ssssssss	0
9	ssssssss	0
10	zzzzzzzz	1
11	NULL	NULL
cidx	CCHAR8	LOCATE('aaaaaaaaaaaa',CCHAR8)
1	aaaaaaaa	0
2	h	0
3	hh	0
4	hhh	0
5	hhhh	0
6	sssssss	0
7	ssssssss	0
8	ssssssss	0
9	ssssssss	0
10	zzzzzzzz	0
11	NULL	NULL
cidx	CCHAR8	LOCATE('zzzzzzzzzzzzzz',CCHAR8)
1	aaaaaaaa	0
2	h	0
3	hh	0
4	hhh	0
5	hhhh	0
6	sssssss	0
7	ssssssss	0
8	ssssssss	0
9	ssssssss	0
10	zzzzzzzz	0
11	NULL	NULL
cidx	CCHAR9	LOCATE('aaa',CCHAR9)
1	aaaaaaaaa	1
2	i	0
3	ii	0
4	iii	0
5	iiii	0
6	rrrrrrr	0
7	rrrrrrrr	0
8	rrrrrrrrr	0
9	rrrrrrrrr	0
10	zzzzzzzzz	0
11	NULL	NULL
cidx	CCHAR9	LOCATE('zz',CCHAR9)
1	aaaaaaaaa	0
2	i	0
3	ii	0
4	iii	0
5	iiii	0
6	rrrrrrr	0
7	rrrrrrrr	0
8	rrrrrrrrr	0
9	rrrrrrrrr	0
10	zzzzzzzzz	1
11	NULL	NULL
cidx	CCHAR9	LOCATE('aaaaaaaaaaaa',CCHAR9)
1	aaaaaaaaa	0
2	i	0
3	ii	0
4	iii	0
5	iiii	0
6	rrrrrrr	0
7	rrrrrrrr	0
8	rrrrrrrrr	0
9	rrrrrrrrr	0
10	zzzzzzzzz	0
11	NULL	NULL
cidx	CCHAR9	LOCATE('zzzzzzzzzzzzzz',CCHAR9)
1	aaaaaaaaa	0
2	i	0
3	ii	0
4	iii	0
5	iiii	0
6	rrrrrrr	0
7	rrrrrrrr	0
8	rrrrrrrrr	0
9	rrrrrrrrr	0
10	zzzzzzzzz	0
11	NULL	NULL
cidx	CCHAR255	LOCATE('aaa',CCHAR255)
1	aaaaaaaaaa	1
2	j	0
3	jj	0
4	jjj	0
5	jjjj	0
6	qqqqqqq	0
7	qqqqqqqq	0
8	qqqqqqqqq	0
9	qqqqqqqqqq	0
10	zzzzzzzzzz	0
11	NULL	NULL
cidx	CCHAR255	LOCATE('zz',CCHAR255)
1	aaaaaaaaaa	0
2	j	0
3	jj	0
4	jjj	0
5	jjjj	0
6	qqqqqqq	0
7	qqqqqqqq	0
8	qqqqqqqqq	0
9	qqqqqqqqqq	0
10	zzzzzzzzzz	1
11	NULL	NULL
cidx	CCHAR255	LOCATE('aaaaaaaaaaaa',CCHAR255)
1	aaaaaaaaaa	0
2	j	0
3	jj	0
4	jjj	0
5	jjjj	0
6	qqqqqqq	0
7	qqqqqqqq	0
8	qqqqqqqqq	0
9	qqqqqqqqqq	0
10	zzzzzzzzzz	0
11	NULL	NULL
cidx	CCHAR255	LOCATE('zzzzzzzzzzzzzz',CCHAR255)
1	aaaaaaaaaa	0
2	j	0
3	jj	0
4	jjj	0
5	jjjj	0
6	qqqqqqq	0
7	qqqqqqqq	0
8	qqqqqqqqq	0
9	qqqqqqqqqq	0
10	zzzzzzzzzz	0
11	NULL	NULL
cidx	CVCHAR1	LOCATE('aaa',CVCHAR1)
1	a	0
2	a	0
3	a	0
4	a	0
5	a	0
6	z	0
7	z	0
8	z	0
9	z	0
10	z	0
11	NULL	NULL
cidx	CVCHAR1	LOCATE('zz',CVCHAR1)
1	a	0
2	a	0
3	a	0
4	a	0
5	a	0
6	z	0
7	z	0
8	z	0
9	z	0
10	z	0
11	NULL	NULL
cidx	CVCHAR1	LOCATE('aaaaaaaaaaaa',CVCHAR1)
1	a	0
2	a	0
3	a	0
4	a	0
5	a	0
6	z	0
7	z	0
8	z	0
9	z	0
10	z	0
11	NULL	NULL
cidx	CVCHAR1	LOCATE('zzzzzzzzzzzzzz',CVCHAR1)
1	a	0
2	a	0
3	a	0
4	a	0
5	a	0
6	z	0
7	z	0
8	z	0
9	z	0
10	z	0
11	NULL	NULL
cidx	CVCHAR2	LOCATE('aaa',CVCHAR2)
1	aa	0
2	b	0
3	bb	0
4	bb	0
5	bb	0
6	yy	0
7	yy	0
8	yy	0
9	yy	0
10	zz	0
11	NULL	NULL
cidx	CVCHAR2	LOCATE('zz',CVCHAR2)
1	aa	0
2	b	0
3	bb	0
4	bb	0
5	bb	0
6	yy	0
7	yy	0
8	yy	0
9	yy	0
10	zz	1
11	NULL	NULL
cidx	CVCHAR2	LOCATE('aaaaaaaaaaaa',CVCHAR2)
1	aa	0
2	b	0
3	bb	0
4	bb	0
5	bb	0
6	yy	0
7	yy	0
8	yy	0
9	yy	0
10	zz	0
11	NULL	NULL
cidx	CVCHAR2	LOCATE('zzzzzzzzzzzzzz',CVCHAR2)
1	aa	0
2	b	0
3	bb	0
4	bb	0
5	bb	0
6	yy	0
7	yy	0
8	yy	0
9	yy	0
10	zz	0
11	NULL	NULL
cidx	CVCHAR3	LOCATE('aaa',CVCHAR3)
1	aaa	1
2	c	0
3	cc	0
4	ccc	0
5	ccc	0
6	xxx	0
7	xxx	0
8	xxx	0
9	xxx	0
10	zzz	0
11	NULL	NULL
cidx	CVCHAR3	LOCATE('zz',CVCHAR3)
1	aaa	0
2	c	0
3	cc	0
4	ccc	0
5	ccc	0
6	xxx	0
7	xxx	0
8	xxx	0
9	xxx	0
10	zzz	1
11	NULL	NULL
cidx	CVCHAR3	LOCATE('aaaaaaaaaaaa',CVCHAR3)
1	aaa	0
2	c	0
3	cc	0
4	ccc	0
5	ccc	0
6	xxx	0
7	xxx	0
8	xxx	0
9	xxx	0
10	zzz	0
11	NULL	NULL
cidx	CVCHAR3	LOCATE('zzzzzzzzzzzzzz',CVCHAR3)
1	aaa	0
2	c	0
3	cc	0
4	ccc	0
5	ccc	0
6	xxx	0
7	xxx	0
8	xxx	0
9	xxx	0
10	zzz	0
11	NULL	NULL
cidx	CVCHAR4	LOCATE('aaa',CVCHAR4)
1	aaaa	1
2	d	0
3	dd	0
4	ddd	0
5	dddd	0
6	wwww	0
7	wwww	0
8	wwww	0
9	wwww	0
10	zzzz	0
11	NULL	NULL
cidx	CVCHAR4	LOCATE('zz',CVCHAR4)
1	aaaa	0
2	d	0
3	dd	0
4	ddd	0
5	dddd	0
6	wwww	0
7	wwww	0
8	wwww	0
9	wwww	0
10	zzzz	1
11	NULL	NULL
cidx	CVCHAR4	LOCATE('aaaaaaaaaaaa',CVCHAR4)
1	aaaa	0
2	d	0
3	dd	0
4	ddd	0
5	dddd	0
6	wwww	0
7	wwww	0
8	wwww	0
9	wwww	0
10	zzzz	0
11	NULL	NULL
cidx	CVCHAR4	LOCATE('zzzzzzzzzzzzzz',CVCHAR4)
1	aaaa	0
2	d	0
3	dd	0
4	ddd	0
5	dddd	0
6	wwww	0
7	wwww	0
8	wwww	0
9	wwww	0
10	zzzz	0
11	NULL	NULL
cidx	CVCHAR5	LOCATE('aaa',CVCHAR5)
1	aaaaa	1
2	e	0
3	ee	0
4	eee	0
5	eeee	0
6	vvvvv	0
7	vvvvv	0
8	vvvvv	0
9	vvvvv	0
10	zzzzz	0
11	NULL	NULL
cidx	CVCHAR5	LOCATE('zz',CVCHAR5)
1	aaaaa	0
2	e	0
3	ee	0
4	eee	0
5	eeee	0
6	vvvvv	0
7	vvvvv	0
8	vvvvv	0
9	vvvvv	0
10	zzzzz	1
11	NULL	NULL
cidx	CVCHAR5	LOCATE('aaaaaaaaaaaa',CVCHAR5)
1	aaaaa	0
2	e	0
3	ee	0
4	eee	0
5	eeee	0
6	vvvvv	0
7	vvvvv	0
8	vvvvv	0
9	vvvvv	0
10	zzzzz	0
11	NULL	NULL
cidx	CVCHAR5	LOCATE('zzzzzzzzzzzzzz',CVCHAR5)
1	aaaaa	0
2	e	0
3	ee	0
4	eee	0
5	eeee	0
6	vvvvv	0
7	vvvvv	0
8	vvvvv	0
9	vvvvv	0
10	zzzzz	0
11	NULL	NULL
cidx	CVCHAR6	LOCATE('aaa',CVCHAR6)
1	aaaaaa	1
2	f	0
3	ff	0
4	fff	0
5	ffff	0
6	uuuuuu	0
7	uuuuuu	0
8	uuuuuu	0
9	uuuuuu	0
10	zzzzzz	0
11	NULL	NULL
cidx	CVCHAR6	LOCATE('zz',CVCHAR6)
1	aaaaaa	0
2	f	0
3	ff	0
4	fff	0
5	ffff	0
6	uuuuuu	0
7	uuuuuu	0
8	uuuuuu	0
9	uuuuuu	0
10	zzzzzz	1
11	NULL	NULL
cidx	CVCHAR6	LOCATE('aaaaaaaaaaaa',CVCHAR6)
1	aaaaaa	0
2	f	0
3	ff	0
4	fff	0
5	ffff	0
6	uuuuuu	0
7	uuuuuu	0
8	uuuuuu	0
9	uuuuuu	0
10	zzzzzz	0
11	NULL	NULL
cidx	CVCHAR6	LOCATE('zzzzzzzzzzzzzz',CVCHAR6)
1	aaaaaa	0
2	f	0
3	ff	0
4	fff	0
5	ffff	0
6	uuuuuu	0
7	uuuuuu	0
8	uuuuuu	0
9	uuuuuu	0
10	zzzzzz	0
11	NULL	NULL
cidx	CVCHAR7	LOCATE('aaa',CVCHAR7)
1	aaaaaaa	1
2	g	0
3	gg	0
4	ggg	0
5	gggg	0
6	ttttttt	0
7	ttttttt	0
8	ttttttt	0
9	ttttttt	0
10	zzzzzzz	0
11	NULL	NULL
cidx	CVCHAR7	LOCATE('zz',CVCHAR7)
1	aaaaaaa	0
2	g	0
3	gg	0
4	ggg	0
5	gggg	0
6	ttttttt	0
7	ttttttt	0
8	ttttttt	0
9	ttttttt	0
10	zzzzzzz	1
11	NULL	NULL
cidx	CVCHAR7	LOCATE('aaaaaaaaaaaa',CVCHAR7)
1	aaaaaaa	0
2	g	0
3	gg	0
4	ggg	0
5	gggg	0
6	ttttttt	0
7	ttttttt	0
8	ttttttt	0
9	ttttttt	0
10	zzzzzzz	0
11	NULL	NULL
cidx	CVCHAR7	LOCATE('zzzzzzzzzzzzzz',CVCHAR7)
1	aaaaaaa	0
2	g	0
3	gg	0
4	ggg	0
5	gggg	0
6	ttttttt	0
7	ttttttt	0
8	ttttttt	0
9	ttttttt	0
10	zzzzzzz	0
11	NULL	NULL
cidx	CVCHAR8	LOCATE('aaa',CVCHAR8)
1	aaaaaaaa	1
2	h	0
3	hh	0
4	hhh	0
5	hhhh	0
6	sssssss	0
7	ssssssss	0
8	ssssssss	0
9	ssssssss	0
10	zzzzzzzz	0
11	NULL	NULL
cidx	CVCHAR8	LOCATE('zz',CVCHAR8)
1	aaaaaaaa	0
2	h	0
3	hh	0
4	hhh	0
5	hhhh	0
6	sssssss	0
7	ssssssss	0
8	ssssssss	0
9	ssssssss	0
10	zzzzzzzz	1
11	NULL	NULL
cidx	CVCHAR8	LOCATE('aaaaaaaaaaaa',CVCHAR8)
1	aaaaaaaa	0
2	h	0
3	hh	0
4	hhh	0
5	hhhh	0
6	sssssss	0
7	ssssssss	0
8	ssssssss	0
9	ssssssss	0
10	zzzzzzzz	0
11	NULL	NULL
cidx	CVCHAR8	LOCATE('zzzzzzzzzzzzzz',CVCHAR8)
1	aaaaaaaa	0
2	h	0
3	hh	0
4	hhh	0
5	hhhh	0
6	sssssss	0
7	ssssssss	0
8	ssssssss	0
9	ssssssss	0
10	zzzzzzzz	0
11	NULL	NULL
cidx	CVCHAR255	LOCATE('aaa',CVCHAR255)
1	aaaaaaaaaa	1
2	j	0
3	jj	0
4	jjj	0
5	jjjj	0
6	qqqqqqq	0
7	qqqqqqqq	0
8	qqqqqqqqq	0
9	qqqqqqqqqq	0
10	zzzzzzzzzz	0
11	NULL	NULL
cidx	CVCHAR255	LOCATE('zz',CVCHAR255)
1	aaaaaaaaaa	0
2	j	0
3	jj	0
4	jjj	0
5	jjjj	0
6	qqqqqqq	0
7	qqqqqqqq	0
8	qqqqqqqqq	0
9	qqqqqqqqqq	0
10	zzzzzzzzzz	1
11	NULL	NULL
cidx	CVCHAR255	LOCATE('aaaaaaaaaaaa',CVCHAR255)
1	aaaaaaaaaa	0
2	j	0
3	jj	0
4	jjj	0
5	jjjj	0
6	qqqqqqq	0
7	qqqqqqqq	0
8	qqqqqqqqq	0
9	qqqqqqqqqq	0
10	zzzzzzzzzz	0
11	NULL	NULL
cidx	CVCHAR255	LOCATE('zzzzzzzzzzzzzz',CVCHAR255)
1	aaaaaaaaaa	0
2	j	0
3	jj	0
4	jjj	0
5	jjjj	0
6	qqqqqqq	0
7	qqqqqqqq	0
8	qqqqqqqqq	0
9	qqqqqqqqqq	0
10	zzzzzzzzzz	0
11	NULL	NULL
cidx	CCHAR1
11	NULL
1	a
2	a
3	a
4	a
5	a
6	z
7	z
8	z
9	z
10	z
cidx	CCHAR1
11	NULL
1	a
2	a
3	a
4	a
5	a
6	z
7	z
8	z
9	z
10	z
cidx	CCHAR1
11	NULL
1	a
2	a
3	a
4	a
5	a
6	z
7	z
8	z
9	z
10	z
cidx	CCHAR1
11	NULL
1	a
2	a
3	a
4	a
5	a
6	z
7	z
8	z
9	z
10	z
cidx	CCHAR2
11	NULL
1	aa
2	b
3	bb
4	bb
5	bb
6	yy
7	yy
8	yy
9	yy
10	zz
cidx	CCHAR2
11	NULL
1	aa
2	b
3	bb
4	bb
5	bb
6	yy
7	yy
8	yy
9	yy
10	zz
cidx	CCHAR2
11	NULL
1	aa
2	b
3	bb
4	bb
5	bb
6	yy
7	yy
8	yy
9	yy
10	zz
cidx	CCHAR2
11	NULL
1	aa
2	b
3	bb
4	bb
5	bb
6	yy
7	yy
8	yy
9	yy
10	zz
cidx	CCHAR3
11	NULL
2	c
3	cc
4	ccc
5	ccc
6	xxx
7	xxx
8	xxx
9	xxx
10	zzz
1	aaa
cidx	CCHAR3
11	NULL
1	aaa
2	c
3	cc
4	ccc
5	ccc
6	xxx
7	xxx
8	xxx
9	xxx
10	zzz
cidx	CCHAR3
11	NULL
1	aaa
2	c
3	cc
4	ccc
5	ccc
6	xxx
7	xxx
8	xxx
9	xxx
10	zzz
cidx	CCHAR3
11	NULL
1	aaa
2	c
3	cc
4	ccc
5	ccc
6	xxx
7	xxx
8	xxx
9	xxx
10	zzz
cidx	CCHAR4
11	NULL
2	d
3	dd
4	ddd
5	dddd
6	wwww
7	wwww
8	wwww
9	wwww
10	zzzz
1	aaaa
cidx	CCHAR4
11	NULL
1	aaaa
2	d
3	dd
4	ddd
5	dddd
6	wwww
7	wwww
8	wwww
9	wwww
10	zzzz
cidx	CCHAR4
11	NULL
1	aaaa
2	d
3	dd
4	ddd
5	dddd
6	wwww
7	wwww
8	wwww
9	wwww
10	zzzz
cidx	CCHAR4
11	NULL
1	aaaa
2	d
3	dd
4	ddd
5	dddd
6	wwww
7	wwww
8	wwww
9	wwww
10	zzzz
cidx	CCHAR5
11	NULL
2	e
3	ee
4	eee
5	eeee
6	vvvvv
7	vvvvv
8	vvvvv
9	vvvvv
10	zzzzz
1	aaaaa
cidx	CCHAR5
11	NULL
1	aaaaa
2	e
3	ee
4	eee
5	eeee
6	vvvvv
7	vvvvv
8	vvvvv
9	vvvvv
10	zzzzz
cidx	CCHAR5
11	NULL
1	aaaaa
2	e
3	ee
4	eee
5	eeee
6	vvvvv
7	vvvvv
8	vvvvv
9	vvvvv
10	zzzzz
cidx	CCHAR5
11	NULL
1	aaaaa
2	e
3	ee
4	eee
5	eeee
6	vvvvv
7	vvvvv
8	vvvvv
9	vvvvv
10	zzzzz
cidx	CCHAR6
11	NULL
2	f
3	ff
4	fff
5	ffff
6	uuuuuu
7	uuuuuu
8	uuuuuu
9	uuuuuu
10	zzzzzz
1	aaaaaa
cidx	CCHAR6
11	NULL
1	aaaaaa
2	f
3	ff
4	fff
5	ffff
6	uuuuuu
7	uuuuuu
8	uuuuuu
9	uuuuuu
10	zzzzzz
cidx	CCHAR6
11	NULL
1	aaaaaa
2	f
3	ff
4	fff
5	ffff
6	uuuuuu
7	uuuuuu
8	uuuuuu
9	uuuuuu
10	zzzzzz
cidx	CCHAR6
11	NULL
1	aaaaaa
2	f
3	ff
4	fff
5	ffff
6	uuuuuu
7	uuuuuu
8	uuuuuu
9	uuuuuu
10	zzzzzz
cidx	CCHAR7
11	NULL
2	g
3	gg
4	ggg
5	gggg
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
1	aaaaaaa
cidx	CCHAR7
11	NULL
1	aaaaaaa
2	g
3	gg
4	ggg
5	gggg
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
cidx	CCHAR7
11	NULL
1	aaaaaaa
2	g
3	gg
4	ggg
5	gggg
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
cidx	CCHAR7
11	NULL
1	aaaaaaa
2	g
3	gg
4	ggg
5	gggg
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
cidx	CCHAR8
11	NULL
2	h
3	hh
4	hhh
5	hhhh
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
1	aaaaaaaa
cidx	CCHAR8
11	NULL
1	aaaaaaaa
2	h
3	hh
4	hhh
5	hhhh
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CCHAR8
11	NULL
1	aaaaaaaa
2	h
3	hh
4	hhh
5	hhhh
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CCHAR8
11	NULL
1	aaaaaaaa
2	h
3	hh
4	hhh
5	hhhh
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CCHAR9
11	NULL
2	i
3	ii
4	iii
5	iiii
6	rrrrrrr
7	rrrrrrrr
8	rrrrrrrrr
9	rrrrrrrrr
10	zzzzzzzzz
1	aaaaaaaaa
cidx	CCHAR9
11	NULL
1	aaaaaaaaa
2	i
3	ii
4	iii
5	iiii
6	rrrrrrr
7	rrrrrrrr
8	rrrrrrrrr
9	rrrrrrrrr
10	zzzzzzzzz
cidx	CCHAR9
11	NULL
1	aaaaaaaaa
2	i
3	ii
4	iii
5	iiii
6	rrrrrrr
7	rrrrrrrr
8	rrrrrrrrr
9	rrrrrrrrr
10	zzzzzzzzz
cidx	CCHAR9
11	NULL
1	aaaaaaaaa
2	i
3	ii
4	iii
5	iiii
6	rrrrrrr
7	rrrrrrrr
8	rrrrrrrrr
9	rrrrrrrrr
10	zzzzzzzzz
cidx	CCHAR255
11	NULL
2	j
3	jj
4	jjj
5	jjjj
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
1	aaaaaaaaaa
cidx	CCHAR255
11	NULL
1	aaaaaaaaaa
2	j
3	jj
4	jjj
5	jjjj
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CCHAR255
11	NULL
1	aaaaaaaaaa
2	j
3	jj
4	jjj
5	jjjj
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CCHAR255
11	NULL
1	aaaaaaaaaa
2	j
3	jj
4	jjj
5	jjjj
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CVCHAR1
11	NULL
1	a
2	a
3	a
4	a
5	a
6	z
7	z
8	z
9	z
10	z
cidx	CVCHAR1
11	NULL
1	a
2	a
3	a
4	a
5	a
6	z
7	z
8	z
9	z
10	z
cidx	CVCHAR1
11	NULL
1	a
2	a
3	a
4	a
5	a
6	z
7	z
8	z
9	z
10	z
cidx	CVCHAR1
11	NULL
1	a
2	a
3	a
4	a
5	a
6	z
7	z
8	z
9	z
10	z
cidx	CVCHAR2
11	NULL
1	aa
2	b
3	bb
4	bb
5	bb
6	yy
7	yy
8	yy
9	yy
10	zz
cidx	CVCHAR2
11	NULL
1	aa
2	b
3	bb
4	bb
5	bb
6	yy
7	yy
8	yy
9	yy
10	zz
cidx	CVCHAR2
11	NULL
1	aa
2	b
3	bb
4	bb
5	bb
6	yy
7	yy
8	yy
9	yy
10	zz
cidx	CVCHAR2
11	NULL
1	aa
2	b
3	bb
4	bb
5	bb
6	yy
7	yy
8	yy
9	yy
10	zz
cidx	CVCHAR3
11	NULL
2	c
3	cc
4	ccc
5	ccc
6	xxx
7	xxx
8	xxx
9	xxx
10	zzz
1	aaa
cidx	CVCHAR3
11	NULL
