cidx	CBIGINT	ABS(CBIGINT)
4	-9999.96
7	9999.96
3	-9999.97
8	9999.97
2	-9999.98
9	9999.98
1	-9999.99
10	9999.99
cidx	CDECIMAL10
11	0
5	-9999995
6	9999995
4	-9999996
7	9999996
3	-9999997
8	9999997
2	-9999998
9	9999998
1	-9999999
10	9999999
cidx	CDECIMAL18
11	0
5	-9999999999995
6	9999999999995
4	-9999999999996
7	9999999999996
3	-9999999999997
8	9999999999997
2	-9999999999998
9	9999999999998
1	-9999999999999
10	9999999999999
cidx	CDECIMAL18_2
11	0.00
5	-99999999999.95
6	99999999999.95
4	-99999999999.96
7	99999999999.96
3	-99999999999.97
8	99999999999.97
2	-99999999999.98
9	99999999999.98
1	-99999999999.99
10	99999999999.99
cidx	CINTEGER
11	0
5	-7483642
4	-7483643
6	7483643
3	-7483644
7	7483644
2	-7483645
8	7483645
1	-7483646
9	7483646
10	7483647
cidx	CSMALLINT
11	0
5	-762
4	-763
6	763
3	-764
7	764
2	-765
8	765
1	-766
9	766
10	767
cidx	CTINYINT
11	0
5	-22
4	-23
6	23
3	-24
7	24
2	-25
8	25
1	-26
9	26
10	27
