cidx	CBIGINT
8	9999999999997
9	9999999999998
10	9999999999999
cidx	CDECIMAL18
1	-9999999999999
2	-9999999999998
3	-9999999999997
4	-9999999999996
5	-9999999999995
11	0
6	9999999999995
7	9999999999996
8	9999999999997
9	9999999999998
10	9999999999999
cidx	CDECIMAL18
1	-9999999999999
2	-9999999999998
3	-9999999999997
4	-9999999999996
5	-9999999999995
11	0
6	9999999999995
7	9999999999996
8	9999999999997
9	9999999999998
10	9999999999999
cidx	CDECIMAL18
1	-9999999999999
2	-9999999999998
3	-9999999999997
4	-9999999999996
5	-9999999999995
11	0
6	9999999999995
7	9999999999996
8	9999999999997
9	9999999999998
10	9999999999999
cidx	CDECIMAL18_2
1	-99999999999.99
2	-99999999999.98
3	-99999999999.97
4	-99999999999.96
5	-99999999999.95
11	0.00
6	99999999999.95
7	99999999999.96
8	99999999999.97
9	99999999999.98
10	99999999999.99
cidx	CDECIMAL18_2
1	-99999999999.99
2	-99999999999.98
3	-99999999999.97
4	-99999999999.96
5	-99999999999.95
11	0.00
6	99999999999.95
7	99999999999.96
8	99999999999.97
9	99999999999.98
10	99999999999.99
cidx	CDECIMAL18_2
1	-99999999999.99
2	-99999999999.98
3	-99999999999.97
4	-99999999999.96
5	-99999999999.95
11	0.00
6	99999999999.95
7	99999999999.96
8	99999999999.97
9	99999999999.98
10	99999999999.99
cidx	CDECIMAL18_2
1	-99999999999.99
2	-99999999999.98
3	-99999999999.97
4	-99999999999.96
5	-99999999999.95
11	0.00
6	99999999999.95
7	99999999999.96
8	99999999999.97
9	99999999999.98
10	99999999999.99
cidx	CDECIMAL18_2
1	-99999999999.99
2	-99999999999.98
3	-99999999999.97
4	-99999999999.96
5	-99999999999.95
11	0.00
6	99999999999.95
7	99999999999.96
8	99999999999.97
9	99999999999.98
10	99999999999.99
cidx	CDECIMAL18_2
1	-99999999999.99
2	-99999999999.98
3	-99999999999.97
4	-99999999999.96
5	-99999999999.95
11	0.00
6	99999999999.95
7	99999999999.96
8	99999999999.97
9	99999999999.98
10	99999999999.99
cidx	CINTEGER
1	-7483646
2	-7483645
3	-7483644
4	-7483643
5	-7483642
11	0
6	7483643
7	7483644
8	7483645
9	7483646
10	7483647
cidx	CINTEGER
1	-7483646
2	-7483645
3	-7483644
4	-7483643
5	-7483642
11	0
6	7483643
7	7483644
8	7483645
9	7483646
10	7483647
cidx	CINTEGER
1	-7483646
2	-7483645
3	-7483644
4	-7483643
5	-7483642
11	0
6	7483643
7	7483644
8	7483645
9	7483646
10	7483647
cidx	CINTEGER
1	-7483646
2	-7483645
3	-7483644
4	-7483643
5	-7483642
11	0
6	7483643
7	7483644
8	7483645
9	7483646
10	7483647
cidx	CINTEGER
1	-7483646
2	-7483645
3	-7483644
4	-7483643
5	-7483642
11	0
6	7483643
7	7483644
8	7483645
9	7483646
10	7483647
cidx	CINTEGER
1	-7483646
2	-7483645
3	-7483644
4	-7483643
5	-7483642
11	0
6	7483643
7	7483644
8	7483645
9	7483646
10	7483647
cidx	CSMALLINT
1	-766
2	-765
3	-764
4	-763
5	-762
11	0
6	763
7	764
8	765
9	766
10	767
cidx	CSMALLINT
1	-766
2	-765
3	-764
4	-763
5	-762
11	0
6	763
7	764
8	765
9	766
10	767
cidx	CSMALLINT
1	-766
2	-765
3	-764
4	-763
5	-762
11	0
6	763
7	764
8	765
9	766
10	767
cidx	CSMALLINT
1	-766
2	-765
3	-764
4	-763
5	-762
11	0
6	763
7	764
8	765
9	766
10	767
cidx	CSMALLINT
1	-766
2	-765
3	-764
4	-763
5	-762
11	0
6	763
7	764
8	765
9	766
10	767
cidx	CSMALLINT
1	-766
2	-765
3	-764
4	-763
5	-762
11	0
6	763
7	764
8	765
9	766
10	767
cidx	CTINYINT
1	-26
2	-25
3	-24
4	-23
5	-22
11	0
6	23
7	24
8	25
9	26
10	27
cidx	CTINYINT
1	-26
2	-25
3	-24
4	-23
5	-22
11	0
6	23
7	24
8	25
9	26
10	27
cidx	CTINYINT
1	-26
2	-25
3	-24
4	-23
5	-22
11	0
6	23
7	24
8	25
9	26
10	27
cidx	CTINYINT
1	-26
2	-25
3	-24
4	-23
5	-22
11	0
6	23
7	24
8	25
9	26
10	27
cidx	CTINYINT
1	-26
2	-25
3	-24
4	-23
5	-22
6	23
7	24
8	25
9	26
10	27
11	0
cidx	CTINYINT
1	-26
2	-25
3	-24
4	-23
5	-22
11	0
6	23
7	24
8	25
9	26
10	27
