l_orderkey	l_linenumber	l_quantity
1485505	4	32.00
1646340	1	5.00
4960614	1	10.00
4960614	3	21.00
5106981	2	37.00
2953057	1	25.00
2953057	3	27.00
905633	3	39.00
3783492	7	10.00
1709703	1	15.00
1709703	2	14.00
4243392	2	28.00
4342725	3	16.00
4342725	4	24.00
3354726	5	23.00
4550145	2	34.00
3951331	3	10.00
4960614	4	8.00
5805349	1	11.00
4972039	1	29.00
792900	2	23.00
792900	4	18.00
905633	4	43.00
905633	5	3.00
905633	6	38.00
905633	7	12.00
5805349	6	29.00
1709703	3	1.00
1709703	5	36.00
1709703	7	13.00
306439	4	39.00
869574	1	8.00
869574	5	17.00
1603585	2	12.00
1859778	2	5.00
1925447	1	35.00
1925447	2	3.00
1925447	5	26.00
1932643	2	42.00
1932643	3	20.00
1868608	2	39.00
4225824	4	50.00
3354726	1	12.00
3354726	2	6.00
3419044	1	18.00
3419044	2	49.00
3504453	1	21.00
3504453	3	22.00
3504453	5	49.00
4616224	1	12.00
792900	1	15.00
905633	1	15.00
224167	2	11.00
269922	5	2.00
287619	1	11.00
916775	6	36.00
916775	7	15.00
3038880	1	11.00
1192231	4	2.00
1192231	6	19.00
1490087	4	30.00
1590469	2	11.00
1603585	5	31.00
1603585	6	38.00
1925447	3	20.00
1953441	1	48.00
1953441	2	2.00
1953441	5	21.00
1953441	6	31.00
1953441	7	44.00
2014848	4	9.00
2290245	2	1.00
2953057	2	17.00
2953057	4	10.00
869574	2	4.00
869574	3	6.00
869574	4	8.00
792900	3	32.00
905633	2	46.00
1859778	3	46.00
1859778	5	48.00
1709703	4	45.00
3431909	3	36.00
3938022	1	27.00
3952544	4	24.00
3986496	2	21.00
3986496	4	30.00
2943521	1	21.00
4342725	2	42.00
4405509	4	37.00
4405509	6	6.00
4808192	1	26.00
3951331	1	18.00
3951331	2	27.00
2917345	2	10.00
2917345	3	6.00
3038880	2	42.00
3038880	3	43.00
3038880	6	41.00
3038880	7	41.00
4378720	1	39.00
4378720	2	47.00
4395841	3	44.00
4395841	4	32.00
4395841	5	43.00
5534435	1	46.00
3860257	2	34.00
3860257	3	2.00
3860257	4	13.00
4395841	1	13.00
4395841	7	7.00
36422	1	27.00
36422	3	42.00
306439	3	18.00
5805349	7	14.00
224167	4	18.00
1590469	3	30.00
1603585	1	35.00
1603585	4	8.00
3986496	1	32.00
3986496	5	28.00
916775	1	35.00
916775	2	40.00
916775	4	29.00
1490087	2	45.00
4273923	2	42.00
1859778	1	40.00
5534435	2	49.00
1842406	4	48.00
1953441	4	7.00
1925447	4	8.00
9154	3	46.00
9154	7	47.00
3378979	4	33.00
306439	2	49.00
306439	5	18.00
306439	6	36.00
3431909	1	29.00
3504453	2	25.00
3504453	4	6.00
3692388	1	15.00
3952544	2	5.00
4569348	4	15.00
4972039	2	28.00
5096387	4	45.00
5805349	2	50.00
5805349	3	19.00
5805349	4	16.00
5805349	5	29.00
1859778	4	27.00
1868608	3	30.00
1868608	4	46.00
9154	6	40.00
36422	2	37.00
36422	4	14.00
36422	6	9.00
36422	7	27.00
3354726	4	8.00
3419044	3	22.00
3419044	4	3.00
3419044	5	43.00
3860257	5	48.00
3860257	6	34.00
3860257	7	43.00
4395841	2	23.00
4395841	6	48.00
4569348	3	46.00
4569348	5	46.00
4569348	6	25.00
3354726	3	39.00
3419044	6	19.00
5096387	1	39.00
5096387	3	8.00
4378720	3	2.00
4569348	1	43.00
1590469	1	12.00
1603585	3	26.00
1932643	5	26.00
4225824	1	10.00
4225824	3	1.00
4550145	1	47.00
883557	1	40.00
3504453	6	24.00
3916288	3	30.00
1572644	2	43.00
1868608	1	17.00
4273923	1	28.00
385825	4	28.00
4405509	5	11.00
5133509	1	28.00
5133509	2	35.00
5133509	4	33.00
5957250	1	28.00
1192231	2	9.00
1192231	3	15.00
1490087	1	22.00
1490087	3	14.00
1842406	2	6.00
1842406	5	40.00
3038880	4	3.00
3176421	2	19.00
3176421	5	10.00
4225824	2	22.00
4407621	1	5.00
4860421	3	5.00
4860421	4	4.00
3860257	1	28.00
4569348	2	22.00
9154	4	31.00
9154	5	12.00
306439	1	7.00
4972039	3	39.00
385825	2	2.00
385825	5	22.00
385825	6	16.00
895172	4	30.00
491620	1	5.00
1755398	1	1.00
1932643	1	32.00
1932643	6	34.00
1543201	1	36.00
1543201	3	30.00
1572644	6	18.00
1646340	2	23.00
1953441	3	2.00
1978756	1	45.00
1978756	6	35.00
2917345	1	19.00
3038880	5	31.00
3176421	6	12.00
3421092	1	36.00
3421092	2	38.00
3421092	3	42.00
4976422	1	3.00
4976422	4	28.00
5096387	2	35.00
4407621	2	10.00
4407621	4	40.00
4860421	2	41.00
4860421	6	29.00
4860421	7	6.00
491620	4	48.00
9154	1	45.00
9154	2	7.00
1543201	2	23.00
1543201	4	11.00
1543201	6	8.00
1646340	3	50.00
385825	1	47.00
639490	1	8.00
639490	4	47.00
639490	5	31.00
1177350	1	25.00
895172	5	19.00
895172	6	3.00
1201223	2	2.00
3421092	4	5.00
3421092	5	21.00
1932643	4	40.00
1932643	7	41.00
2459619	1	42.00
2799425	1	21.00
2799425	2	15.00
3176421	1	15.00
3251169	1	43.00
4243142	2	20.00
4407621	3	17.00
5453440	1	14.00
4808192	2	11.00
5090183	2	20.00
5090183	3	18.00
5133509	3	12.00
5957250	2	26.00
5957250	3	31.00
4860421	1	12.00
4860421	5	39.00
1490087	5	36.00
1521157	3	39.00
1842406	3	7.00
1842406	6	19.00
1978756	2	49.00
1978756	3	35.00
2765152	1	5.00
385825	3	40.00
385825	7	28.00
3378979	1	13.00
639490	2	34.00
639490	3	36.00
816323	7	19.00
895172	3	29.00
895172	7	22.00
3916288	2	8.00
3916288	5	7.00
1201223	1	44.00
1201223	3	41.00
1406820	3	11.00
5090183	1	14.00
5880160	2	41.00
5957250	4	43.00
374723	1	4.00
2799425	3	14.00
2799425	4	1.00
1842406	1	13.00
1967460	1	12.00
3176421	3	23.00
3176421	4	40.00
3251169	3	23.00
3251169	5	23.00
3378979	2	11.00
4243142	1	37.00
3487745	3	27.00
4428354	5	40.00
4428354	6	49.00
5880160	3	13.00
5880160	4	26.00
5880160	5	32.00
5957250	5	46.00
212870	3	26.00
374723	3	16.00
1967460	2	19.00
1978756	4	25.00
1978756	5	22.00
816323	2	20.00
816323	3	40.00
816323	5	36.00
816323	6	21.00
859108	1	40.00
895172	1	27.00
895172	2	39.00
3378979	3	22.00
3487745	2	28.00
3487745	4	35.00
4428354	3	22.00
1406820	4	19.00
5880160	1	1.00
212870	2	48.00
4114983	1	5.00
4960614	2	29.00
l_orderkey	l_linenumber	l_quantity
5257989	1	1.00
5280996	1	1.00
5285347	1	2.00
5346247	1	2.00
5373767	1	4.00
5385540	1	1.00
5396135	1	4.00
5414272	1	5.00
5442503	2	2.00
5452449	1	1.00
5454402	1	4.00
5466758	1	3.00
5466758	3	1.00
5470919	1	3.00
5477734	1	2.00
5546437	1	5.00
5594145	1	2.00
5609059	1	4.00
5637153	1	4.00
5647584	1	2.00
5664065	1	1.00
5697539	1	1.00
5699968	1	3.00
5708417	1	4.00
5712001	1	1.00
5742567	1	3.00
5768036	1	3.00
5787749	1	4.00
5798277	1	4.00
5817856	2	3.00
5894114	1	4.00
5898881	2	5.00
5911779	1	1.00
5915073	1	2.00
5939776	3	3.00
5943141	1	5.00
5971908	1	2.00
5975684	1	3.00
6530	1	5.00
16325	1	6.00
25764	1	4.00
28356	1	4.00
38695	1	2.00
60416	1	4.00
161409	1	3.00
176355	1	1.00
187046	1	3.00
197956	1	2.00
210978	1	2.00
255815	1	5.00
258816	1	4.00
273415	1	3.00
281888	1	1.00
348294	1	1.00
385509	1	4.00
398439	1	4.00
425698	1	3.00
432581	1	1.00
454150	1	6.00
504514	1	3.00
554822	1	2.00
612770	1	7.00
612964	1	5.00
620032	1	1.00
630144	1	2.00
633345	1	4.00
636612	1	3.00
683170	1	4.00
685957	1	5.00
740705	1	5.00
743751	1	7.00
758981	1	4.00
774788	1	4.00
810725	1	1.00
840737	1	4.00
859168	1	1.00
877445	1	2.00
930595	1	3.00
956195	1	4.00
1053377	1	5.00
1054657	1	3.00
1064482	1	5.00
1098148	1	4.00
1121511	1	2.00
1145862	1	6.00
1189060	1	1.00
1205892	1	4.00
1217285	2	1.00
1222246	1	4.00
1261315	1	4.00
1293120	1	3.00
1304259	1	5.00
1310950	1	2.00
1376067	1	3.00
1384103	1	6.00
1415297	1	5.00
1427907	1	1.00
1433539	1	1.00
1508418	1	3.00
1537090	1	4.00
1542050	1	2.00
1648357	1	4.00
1648417	1	1.00
1687937	1	3.00
1688230	1	5.00
1711527	1	6.00
1721377	1	2.00
1723235	1	5.00
1744004	1	2.00
1749414	1	2.00
1781410	1	2.00
1843748	1	2.00
1844452	1	4.00
1874945	1	2.00
1881219	1	4.00
1895877	1	1.00
1907587	1	3.00
1936165	1	1.00
1954310	1	6.00
1963684	1	1.00
1963684	2	1.00
1966145	1	6.00
1966695	1	1.00
1977029	1	3.00
1992257	1	2.00
2051521	1	1.00
2079969	1	5.00
2135620	1	3.00
2200577	1	2.00
2207525	1	4.00
2230631	1	2.00
2236485	1	7.00
2241222	1	2.00
2250851	1	2.00
2258215	1	3.00
2273604	1	4.00
2305859	1	3.00
2313127	1	1.00
2318916	1	1.00
2408577	1	3.00
2413314	1	5.00
2421763	1	2.00
2439715	1	1.00
2474342	1	3.00
2474625	1	1.00
3196928	1	2.00
3200519	1	6.00
3218403	1	3.00
3220997	1	4.00
3240645	1	1.00
3292644	1	1.00
3306244	1	4.00
3323943	1	5.00
3350947	1	2.00
3358343	2	6.00
3364836	1	2.00
3445728	1	7.00
3501027	1	6.00
3523940	1	1.00
3524352	1	3.00
3529316	1	1.00
3551622	1	2.00
3557761	1	2.00
3564932	1	4.00
3637606	1	3.00
3686500	1	2.00
3711298	1	5.00
3719585	1	2.00
3726752	1	3.00
3747745	1	3.00
3764676	1	3.00
3779428	1	5.00
3786818	1	5.00
3812518	1	5.00
3820195	1	5.00
3824423	1	3.00
3839136	1	2.00
3847397	1	1.00
3903173	1	5.00
3960096	1	3.00
3962560	1	4.00
4040801	1	2.00
4054241	1	6.00
4061863	2	1.00
4071206	1	5.00
4123846	1	3.00
4128130	1	6.00
4132899	1	2.00
4139139	1	2.00
4175943	1	4.00
4192929	1	7.00
4236832	1	4.00
4255234	1	1.00
4298722	1	5.00
4314372	1	3.00
4331429	1	3.00
4344418	1	1.00
4379905	1	3.00
4381121	1	8.00
4382214	1	2.00
4401764	1	3.00
4412550	1	5.00
4412612	1	3.00
4414149	1	6.00
4417892	1	3.00
4449958	1	4.00
4463974	1	3.00
4475268	1	2.00
2564386	1	2.00
2575397	1	1.00
2584550	1	4.00
2599296	1	3.00
2618181	1	5.00
2655750	1	3.00
2677921	1	1.00
2678149	1	4.00
2713926	1	2.00
2727013	1	2.00
2734595	1	6.00
2780482	1	3.00
2792519	1	1.00
2816066	1	1.00
2859075	1	7.00
2905025	1	3.00
2952033	1	6.00
2974976	1	2.00
3015364	1	2.00
3124288	1	4.00
3125831	2	1.00
3130948	1	2.00
3172867	1	1.00
4511585	1	4.00
4517893	1	2.00
4522818	1	1.00
4528133	1	3.00
4619943	1	3.00
4635847	1	5.00
4640033	1	3.00
4706496	1	2.00
4726179	1	2.00
4797095	1	2.00
4797601	1	2.00
4826021	1	1.00
4828231	1	1.00
4854311	1	3.00
4876192	1	7.00
4883745	1	1.00
4900098	1	3.00
4902434	1	3.00
4953409	1	2.00
4966663	1	1.00
5005413	1	4.00
5010535	1	3.00
5016068	1	3.00
5043361	1	1.00
5053444	1	2.00
5057408	1	1.00
5064096	1	8.00
5096704	1	5.00
5115715	1	2.00
5137287	1	2.00
5154215	1	3.00
5158179	1	3.00
5172196	1	2.00
5176037	1	3.00
5196001	1	1.00
5242663	1	2.00
5243527	1	3.00
5250052	1	4.00
5256551	1	4.00
5280996	2	2.00
5325603	1	3.00
5330851	1	1.00
5337792	1	6.00
5348196	2	1.00
5352929	1	3.00
5355842	1	1.00
5370912	1	4.00
5447265	1	4.00
5466758	2	1.00
5489635	1	4.00
5554370	1	3.00
5556196	1	3.00
5578688	1	1.00
5601572	1	3.00
5609059	2	1.00
5627047	1	5.00
5645895	1	3.00
5653478	1	1.00
5661345	1	3.00
5695428	1	3.00
5716736	1	3.00
5729507	1	1.00
5729507	2	4.00
5764966	1	1.00
5783204	1	3.00
5827681	1	5.00
5830181	1	6.00
5885319	1	6.00
5918594	1	2.00
5930016	1	3.00
5947270	1	4.00
5950790	1	2.00
452	1	2.00
31201	1	5.00
42977	1	1.00
57221	1	4.00
89440	1	4.00
120483	1	6.00
120483	2	1.00
127105	1	4.00
187463	1	1.00
189764	1	5.00
206628	1	1.00
251683	1	1.00
266278	1	7.00
304420	1	4.00
319239	1	4.00
332034	1	3.00
334884	1	2.00
369634	1	2.00
369828	1	4.00
404576	1	4.00
450950	1	2.00
476678	1	3.00
485792	1	4.00
498208	1	2.00
500484	2	1.00
502983	1	2.00
506146	1	4.00
507431	1	4.00
545282	1	1.00
635712	1	5.00
637121	1	5.00
702177	2	2.00
702533	1	5.00
724418	1	6.00
756229	1	3.00
767493	1	3.00
772963	1	4.00
794692	1	1.00
814437	1	1.00
892166	1	3.00
892774	1	2.00
899972	1	3.00
943109	1	1.00
945059	1	4.00
956359	1	5.00
974115	1	4.00
992741	1	5.00
999015	1	4.00
1052676	1	4.00
1065059	1	1.00
1075298	1	3.00
1110565	1	2.00
1167811	1	5.00
1198850	1	5.00
1210593	1	1.00
1233511	1	4.00
1237440	1	3.00
1243490	1	4.00
1251331	2	2.00
1267616	1	5.00
1295137	1	4.00
1413216	1	2.00
1420742	1	4.00
1428389	1	2.00
1437025	1	2.00
1496195	1	4.00
1514689	1	3.00
1540577	1	4.00
1546464	1	1.00
1561507	1	4.00
1565569	1	1.00
1575905	1	2.00
1580160	1	3.00
1580160	2	1.00
1584961	1	3.00
1586624	1	3.00
1589056	1	3.00
1592933	1	5.00
1605188	1	1.00
1615491	1	4.00
1653794	1	2.00
1655876	1	5.00
1656417	1	3.00
1664931	1	2.00
1692134	1	4.00
1707939	1	2.00
1737925	1	3.00
1741094	1	2.00
1753127	1	4.00
1755488	1	2.00
1760032	1	5.00
1760576	1	3.00
1810853	1	3.00
1847074	1	1.00
1855843	1	4.00
1871591	1	1.00
1872835	2	4.00
1880162	1	2.00
1883809	1	4.00
1886530	1	4.00
1909798	1	2.00
1935684	1	5.00
1979557	1	1.00
1984549	1	4.00
2054880	1	3.00
2070532	1	4.00
2079847	1	6.00
2103168	1	5.00
2147968	1	1.00
2176962	1	3.00
2210470	1	1.00
2215106	1	3.00
2243681	1	2.00
2323589	1	5.00
2346689	1	2.00
2371682	1	1.00
2380353	1	3.00
2384002	1	3.00
2434214	1	2.00
2436903	1	5.00
2449158	1	5.00
2457796	1	3.00
2465767	1	2.00
2492257	1	3.00
2493699	1	4.00
2505828	1	2.00
2555266	1	5.00
2564961	1	6.00
2565569	1	5.00
2624069	1	1.00
2630594	1	2.00
2650023	1	1.00
2661568	1	3.00
2672578	1	3.00
2673218	1	4.00
2676865	1	5.00
2683424	1	1.00
2685028	1	1.00
2722464	1	4.00
2730497	1	2.00
2732739	2	1.00
2755041	1	2.00
2763399	1	2.00
2796134	1	6.00
2841571	1	1.00
2852006	1	6.00
2867590	1	4.00
2876768	1	2.00
2881478	1	4.00
2885285	1	1.00
2924708	1	1.00
2924708	2	2.00
2938688	1	2.00
2953189	1	3.00
2960354	1	3.00
2969159	1	3.00
2987108	1	2.00
2987559	1	4.00
2995332	1	2.00
3011394	1	5.00
3018790	1	2.00
3060231	1	1.00
3089344	1	6.00
3091682	1	6.00
3092065	1	3.00
3100194	1	4.00
3101735	1	3.00
3105538	1	5.00
3125831	1	1.00
3158624	2	1.00
3176032	1	3.00
3183939	1	3.00
3186854	2	1.00
3238405	1	4.00
3246055	1	1.00
3310085	1	3.00
3370019	1	2.00
3382051	1	1.00
3413891	1	3.00
3425792	1	3.00
3456963	1	1.00
3460871	1	1.00
3482338	1	5.00
3483332	1	3.00
3503681	1	3.00
3507909	1	2.00
3523654	1	4.00
3553764	1	4.00
3558370	1	4.00
3590598	1	3.00
3595493	1	1.00
3618529	1	1.00
3624484	1	4.00
3630821	1	1.00
3630914	1	4.00
3657284	1	6.00
3679524	1	7.00
3682756	1	3.00
3686500	2	1.00
3709057	1	2.00
3755972	1	1.00
3761446	1	2.00
3781729	1	3.00
3784039	1	2.00
3785474	1	2.00
3803109	1	4.00
3803363	1	5.00
3825350	1	1.00
3829312	1	2.00
3838019	1	4.00
3847780	1	4.00
3852704	1	1.00
3861125	1	1.00
3864647	1	7.00
3902211	1	5.00
3961380	1	1.00
4017793	2	1.00
4035936	1	4.00
4058213	1	4.00
4116836	1	1.00
4122690	1	6.00
4150435	1	1.00
4160162	1	2.00
4160164	1	5.00
4168164	1	1.00
4189862	1	1.00
4201543	1	2.00
4246117	1	4.00
4258311	1	4.00
4284291	1	2.00
4301540	1	1.00
4302854	1	4.00
4327680	1	1.00
4372160	1	3.00
4410721	1	4.00
4425633	1	2.00
4430403	1	6.00
4445344	1	3.00
4454786	1	3.00
4470272	1	2.00
4487618	1	2.00
4542854	1	2.00
4556832	1	4.00
4603108	1	2.00
4619013	1	3.00
4662593	1	6.00
4675431	1	2.00
4738471	1	2.00
4752709	1	5.00
4805191	1	8.00
4824321	1	1.00
4830980	1	3.00
4869638	1	2.00
4869920	1	5.00
4884071	1	2.00
4960928	1	3.00
4973861	1	3.00
5022691	1	4.00
5024391	1	3.00
5045281	1	3.00
5049312	1	6.00
5123078	1	6.00
5123622	1	3.00
5126722	1	2.00
5133062	1	4.00
5141472	1	2.00
5169410	1	3.00
5175588	1	3.00
5181639	1	3.00
5201188	1	4.00
5202853	1	6.00
5207655	1	6.00
5215395	1	5.00
5237248	1	3.00
5245734	1	2.00
5270822	1	3.00
5319938	1	2.00
5347585	1	4.00
5347905	1	3.00
5364359	1	3.00
5367107	1	5.00
5403398	1	3.00
5426438	1	2.00
5488834	1	3.00
5516675	1	1.00
5521216	1	1.00
5553282	1	4.00
5596064	1	5.00
5600231	1	1.00
5613447	1	2.00
5613447	2	2.00
5622400	1	4.00
5623329	1	3.00
5651233	1	4.00
5669952	1	1.00
5689255	1	5.00
5696448	1	1.00
5716679	1	1.00
5721062	1	3.00
5729507	3	1.00
5731396	1	1.00
5734213	1	3.00
5749729	1	4.00
5774112	1	3.00
5796516	1	3.00
5832161	1	4.00
5874532	1	1.00
5902944	1	6.00
5914981	1	2.00
5915073	2	2.00
5939776	2	1.00
5962085	1	2.00
5971360	1	2.00
20260	1	3.00
28961	1	4.00
34887	1	2.00
37221	1	5.00
43652	1	4.00
55620	1	2.00
83047	1	1.00
85316	1	1.00
92449	1	4.00
99141	1	1.00
103463	1	3.00
121350	1	6.00
121984	1	7.00
133159	1	3.00
135462	1	5.00
138691	1	3.00
146853	1	5.00
160805	1	5.00
204385	1	5.00
206563	1	4.00
235047	1	3.00
260581	1	7.00
267138	1	2.00
276390	1	6.00
281858	1	3.00
282660	1	1.00
283840	1	1.00
295527	1	1.00
306560	1	3.00
307299	1	5.00
367303	1	7.00
383424	1	1.00
409539	1	3.00
425921	1	3.00
430242	1	4.00
431233	1	2.00
448421	1	5.00
479077	1	4.00
493348	1	2.00
496416	1	2.00
500326	1	6.00
512066	1	5.00
515238	1	3.00
527109	1	2.00
555527	1	7.00
557412	1	1.00
595107	1	4.00
601536	1	5.00
616710	1	2.00
680934	1	1.00
700096	1	4.00
702177	1	3.00
704103	1	2.00
711462	1	1.00
749121	1	5.00
758115	1	4.00
780644	1	5.00
794753	1	4.00
843846	1	4.00
914338	1	8.00
934688	1	4.00
990754	1	1.00
1063047	1	4.00
1083045	1	2.00
1083872	1	8.00
1111715	1	2.00
1124518	1	4.00
1152837	1	3.00
1160640	1	1.00
1167328	1	4.00
1217285	1	5.00
1251331	1	3.00
1254759	1	5.00
1277634	1	5.00
1280804	1	2.00
1325856	1	2.00
1346822	1	2.00
1364513	1	5.00
1370722	1	2.00
1372935	1	1.00
1378016	1	7.00
1403267	1	5.00
1407973	1	4.00
1421251	1	2.00
1467970	1	1.00
1472357	1	1.00
1474883	1	3.00
1529504	1	5.00
1539299	1	3.00
1543527	1	1.00
1559330	1	5.00
1572768	1	3.00
1586119	1	2.00
1586625	1	3.00
1605446	1	6.00
1616133	1	4.00
1622400	1	3.00
1638050	1	5.00
1639237	1	2.00
1733894	1	4.00
1740802	1	5.00
1752614	1	2.00
1761985	1	6.00
1770690	1	5.00
1790118	1	6.00
1812964	1	3.00
1828737	1	4.00
1839431	1	3.00
1872835	1	1.00
1898055	1	3.00
1904292	1	5.00
1960903	1	7.00
1962246	1	1.00
1981030	1	5.00
1989126	1	4.00
1995204	1	1.00
2035462	1	7.00
2045792	1	4.00
2065185	1	2.00
2102528	1	3.00
2119298	1	1.00
2148517	1	5.00
2153895	1	2.00
2182917	1	3.00
2197378	1	1.00
2198182	1	2.00
2220418	1	6.00
2251365	1	4.00
2257382	1	5.00
2267524	1	1.00
2271520	1	4.00
2329921	1	4.00
2353219	1	5.00
2363492	1	6.00
2374181	1	7.00
2413638	1	3.00
2452355	1	1.00
2459328	1	1.00
2499906	1	1.00
2501635	1	4.00
2503491	1	3.00
2586467	1	3.00
2608454	1	3.00
2684324	1	1.00
2693382	2	2.00
2695746	1	6.00
2732739	1	1.00
2763556	1	1.00
2778820	1	4.00
2782148	1	1.00
2789029	1	1.00
2804068	1	3.00
2818757	1	2.00
2823044	1	1.00
2839332	1	1.00
2860071	1	4.00
2888833	1	3.00
2894149	1	1.00
2932801	1	1.00
2948416	1	4.00
2958786	1	1.00
2970917	1	3.00
3043584	1	3.00
3058726	1	2.00
3061763	1	6.00
3067170	1	1.00
3095332	1	1.00
3130691	1	3.00
3148837	1	3.00
3153767	1	5.00
3180451	1	6.00
3187751	1	1.00
3200487	1	3.00
3203906	1	2.00
3210944	1	5.00
3212992	1	3.00
3217381	1	4.00
3241920	1	2.00
3246627	1	5.00
3247233	1	4.00
3326215	1	3.00
3330085	1	3.00
3336325	1	2.00
3356098	1	4.00
3369956	1	2.00
3385218	1	5.00
3391300	1	5.00
3407622	1	2.00
3446055	1	2.00
3462402	1	3.00
3471970	1	3.00
3486850	1	4.00
3491808	1	4.00
3554531	1	3.00
3560352	1	1.00
3561220	1	1.00
3615232	1	2.00
3631237	1	2.00
3657765	1	5.00
3712836	1	4.00
3720198	1	6.00
3731138	1	1.00
3765473	1	5.00
3800132	1	3.00
3803399	1	5.00
3812838	1	3.00
3831975	1	5.00
3885572	1	4.00
3892033	1	3.00
3919968	1	4.00
3922852	1	5.00
3967236	1	3.00
3970849	1	5.00
3976581	1	1.00
3998563	1	2.00
4010468	1	4.00
4017793	1	3.00
4025216	1	4.00
4042563	1	4.00
4051110	1	2.00
4064609	1	3.00
4095008	1	5.00
4106051	1	4.00
4108514	1	5.00
4108514	2	2.00
4149093	1	2.00
4177446	1	3.00
4218147	1	5.00
4218881	1	5.00
4231590	1	6.00
4235364	1	4.00
4238689	1	4.00
4250437	1	4.00
4284805	1	5.00
4297441	1	2.00
4345601	2	1.00
4359842	1	6.00
4387394	1	2.00
4387905	1	2.00
4409248	1	6.00
4412966	1	5.00
4418628	1	2.00
4434434	1	3.00
4464006	1	5.00
4480836	1	4.00
4482562	1	2.00
4498688	1	3.00
4503750	1	4.00
4516997	1	3.00
4522945	1	1.00
4605319	1	7.00
4616322	2	1.00
4640739	1	2.00
4646599	1	4.00
4651364	1	6.00
4655298	1	1.00
4656386	1	6.00
4706855	1	3.00
4708096	1	1.00
4774567	1	3.00
4776517	1	2.00
4783559	1	2.00
4802720	1	2.00
4970853	1	4.00
4972994	1	6.00
4983908	1	3.00
5040516	1	1.00
5057348	1	2.00
5075552	1	2.00
5085383	1	7.00
5107302	1	1.00
5114786	1	2.00
5134662	1	4.00
5151590	1	3.00
5158179	2	1.00
5184962	1	1.00
5197415	1	1.00
5197415	2	1.00
5202785	1	5.00
5207559	1	5.00
5215008	1	2.00
5236132	1	2.00
5251331	1	2.00
5260548	1	5.00
5269223	1	3.00
5272098	1	8.00
5286374	1	3.00
5296615	1	2.00
5308482	1	1.00
5311236	1	4.00
5316289	1	3.00
5328802	1	1.00
5338535	1	1.00
5340706	1	2.00
5352772	1	2.00
5365763	1	1.00
5378945	1	6.00
5403812	1	4.00
5409828	1	2.00
5417763	1	6.00
5442503	1	2.00
5470722	1	2.00
5476421	1	7.00
5498278	1	5.00
5561285	1	3.00
5597541	1	2.00
5609059	3	2.00
5613219	1	4.00
5618852	1	2.00
5663462	1	6.00
5669863	1	2.00
5684481	1	2.00
5691011	1	5.00
5696128	1	4.00
5699264	1	2.00
5702115	1	1.00
5717190	1	1.00
5719141	1	5.00
5721893	1	4.00
5752357	1	3.00
5787749	2	3.00
5792451	1	1.00
5794336	1	2.00
5801699	1	1.00
5805029	1	1.00
5833829	1	2.00
5863110	1	4.00
5863911	1	3.00
5893152	1	3.00
5898788	1	1.00
5906499	1	3.00
5953636	1	2.00
5967877	1	1.00
5972130	1	6.00
5975200	1	6.00
7143	1	1.00
11430	1	3.00
35268	1	2.00
120647	1	3.00
159008	1	1.00
167203	1	5.00
212482	1	3.00
217923	1	2.00
233760	1	2.00
233760	2	1.00
254913	1	3.00
260963	1	3.00
268422	1	4.00
275302	1	6.00
301764	1	4.00
340449	1	1.00
342593	1	2.00
458277	1	1.00
459655	1	2.00
477570	1	3.00
488292	1	3.00
514885	1	3.00
562949	1	3.00
576037	1	2.00
581283	1	4.00
640965	1	4.00
642497	1	7.00
645508	1	3.00
647426	1	2.00
672642	1	1.00
