p_name	l_partkey	c_name	o_orderkey	n_name
firebrick grey royal orchid peru	57354	Customer#000082741	1226658	INDONESIA
plum maroon blue olive chiffon	186735	Customer#000039478	5852742	VIETNAM
cream dim blue lemon brown	49728	Customer#000031247	1382432	INDONESIA
ghost seashell navajo saddle peru	41548	Customer#000031247	1382432	INDONESIA
burlywood pink frosted seashell lawn	159945	Customer#000031247	1382432	INDONESIA
firebrick ghost peach white navajo	153986	Customer#000082415	5725605	JAPAN
deep cornflower floral cyan brown	36087	Customer#000082415	5725605	JAPAN
linen violet chocolate floral peru	75829	Customer#000083683	2493703	INDONESIA
chiffon midnight snow cyan spring	13770	Customer#000083683	2493703	INDONESIA
forest brown indian navajo violet	13592	Customer#000059359	3583616	JAPAN
chocolate lemon dark maroon chiffon	135855	Customer#000059359	3583616	JAPAN
beige turquoise grey dodger aquamarine	56734	Customer#000059359	3583616	JAPAN
ghost rosy metallic thistle dim	114780	Customer#000059359	3583616	JAPAN
blue almond drab frosted bisque	96901	Customer#000059359	3583616	JAPAN
lavender dodger lawn linen cream	165984	Customer#000147706	3870498	VIETNAM
violet honeydew wheat aquamarine tomato	123781	Customer#000107590	4267751	JAPAN
orchid goldenrod rose linen moccasin	193898	Customer#000039478	5852742	VIETNAM
lemon chartreuse plum floral deep	126768	Customer#000039478	5852742	VIETNAM
blue gainsboro royal grey orange	54529	Customer#000039478	5852742	VIETNAM
powder beige navajo lemon floral	147984	Customer#000049033	5893511	JAPAN
medium aquamarine orange blue midnight	165954	Customer#000049033	5893511	JAPAN
azure orange burlywood lace peach	105954	Customer#000139823	4328516	INDIA
sandy ghost olive thistle blush	163880	Customer#000139823	4328516	INDIA
purple thistle drab rosy sandy	3653	Customer#000139823	4328516	INDIA
floral lime pale slate dodger	151566	Customer#000031247	1382432	INDONESIA
chartreuse deep burnished snow mint	39606	Customer#000008936	631651	VIETNAM
slate aquamarine red orchid dark	53966	Customer#000008936	631651	VIETNAM
salmon rosy maroon lavender yellow	150829	Customer#000008936	631651	VIETNAM
goldenrod powder floral lace honeydew	110752	Customer#000090091	4803395	VIETNAM
midnight azure papaya dark linen	193901	Customer#000090091	4803395	VIETNAM
orange gainsboro orchid firebrick dodger	63827	Customer#000090091	4803395	VIETNAM
orchid blanched chiffon peru tan	101627	Customer#000033083	2121671	CHINA
gainsboro floral almond bisque peru	12579	Customer#000083683	2493703	INDONESIA
peach midnight ghost goldenrod plum	74685	Customer#000144688	413762	INDIA
sienna goldenrod azure white chocolate	20873	Customer#000144688	413762	INDIA
dark navy coral cyan red	91626	Customer#000018637	2961026	INDIA
brown seashell cyan tan dodger	86640	Customer#000139240	5943781	JAPAN
honeydew steel sky lavender lemon	136865	Customer#000038773	2334433	JAPAN
deep green blanched aquamarine forest	176712	Customer#000107590	4267751	JAPAN
snow turquoise bisque yellow salmon	184238	Customer#000107590	4267751	JAPAN
powder bisque violet salmon plum	184161	Customer#000107590	4267751	JAPAN
plum cornsilk ivory beige sky	140671	Customer#000147706	3870498	VIETNAM
blanched sienna puff dim cornflower	68449	Customer#000147706	3870498	VIETNAM
sandy beige magenta hot floral	17960	Customer#000147706	3870498	VIETNAM
khaki lawn pale brown pink	166577	Customer#000145102	4995363	VIETNAM
mint maroon navajo snow seashell	38994	Customer#000082415	5725605	JAPAN
lawn gainsboro burlywood spring peru	164447	Customer#000082415	5725605	JAPAN
floral goldenrod drab dark slate	81477	Customer#000131386	3459808	INDIA
wheat floral beige bisque burnished	136937	Customer#000144688	413762	INDIA
indian beige midnight blanched black	85914	Customer#000144688	413762	INDIA
brown dodger magenta gainsboro forest	116837	Customer#000144688	413762	INDIA
bisque navajo forest ghost cornflower	79955	Customer#000008482	4046689	INDIA
hot beige cornflower peach coral	199328	Customer#000008482	4046689	INDIA
floral honeydew indian burlywood pink	55545	Customer#000008482	4046689	INDIA
floral coral grey metallic goldenrod	95578	Customer#000128458	1975399	JAPAN
sienna powder smoke cornsilk royal	2598	Customer#000128458	1975399	JAPAN
coral cornsilk plum burnished frosted	132727	Customer#000038773	2334433	JAPAN
dim peru beige cream brown	81580	Customer#000038773	2334433	JAPAN
coral blush turquoise puff slate	105978	Customer#000038773	2334433	JAPAN
navy chartreuse green blanched khaki	58544	Customer#000038773	2334433	JAPAN
khaki firebrick grey aquamarine gainsboro	100709	Customer#000051217	2454368	INDONESIA
thistle blush violet midnight dodger	35402	Customer#000125776	790534	VIETNAM
azure sky drab powder maroon	188936	Customer#000125776	790534	VIETNAM
orchid violet pale peach yellow	113425	Customer#000050386	1642179	INDONESIA
deep pink royal tan sky	11803	Customer#000076067	3272548	INDONESIA
indian beige ghost dodger forest	25578	Customer#000076067	3272548	INDONESIA
saddle midnight red mint lemon	169804	Customer#000062968	3958564	VIETNAM
cyan cornflower navajo misty blush	182927	Customer#000016586	55937	VIETNAM
beige royal spring mint gainsboro	39975	Customer#000016586	55937	VIETNAM
linen tomato coral violet moccasin	153853	Customer#000016586	55937	VIETNAM
steel orchid wheat chocolate lemon	26819	Customer#000144688	413762	INDIA
powder lime cornsilk turquoise khaki	76967	Customer#000107590	4267751	JAPAN
forest chartreuse white antique metallic	56259	Customer#000131482	1406914	INDIA
coral azure floral pale snow	55708	Customer#000147706	3870498	VIETNAM
gainsboro drab ghost ivory plum	6654	Customer#000147706	3870498	VIETNAM
dodger azure dark midnight floral	44361	Customer#000147706	3870498	VIETNAM
navajo pink drab light moccasin	57941	Customer#000097444	4036035	INDONESIA
white royal midnight honeydew bisque	10759	Customer#000097444	4036035	INDONESIA
navajo ivory orchid cornflower burlywood	187997	Customer#000097444	4036035	INDONESIA
bisque gainsboro steel blush purple	4565	Customer#000049033	5893511	JAPAN
mint lavender grey cyan deep	129629	Customer#000118729	5611974	VIETNAM
tomato navy burlywood indian sandy	140119	Customer#000118729	5611974	VIETNAM
dim chocolate beige magenta brown	197308	Customer#000008936	631651	VIETNAM
tan sandy red slate aquamarine	107971	Customer#000082415	5725605	JAPAN
sandy beige saddle burnished red	52778	Customer#000082415	5725605	JAPAN
midnight puff magenta chocolate yellow	92782	Customer#000076559	3990465	CHINA
smoke dim chiffon peru slate	15629	Customer#000090091	4803395	VIETNAM
pale burnished dark blanched purple	156386	Customer#000064483	2745894	CHINA
magenta lawn misty ghost dark	145962	Customer#000139240	5943781	JAPAN
dodger burnished antique pale seashell	168661	Customer#000139240	5943781	JAPAN
snow tan goldenrod azure slate	83340	Customer#000139240	5943781	JAPAN
blue lime orange purple burlywood	93471	Customer#000139240	5943781	JAPAN
frosted aquamarine red navajo seashell	83665	Customer#000076067	3272548	INDONESIA
cyan forest dodger burnished almond	147828	Customer#000118729	5611974	VIETNAM
black grey sandy lemon cyan	164896	Customer#000001489	5864288	INDONESIA
misty pink khaki floral wheat	74325	Customer#000062968	3958564	VIETNAM
olive rose purple pink orchid	168988	Customer#000062968	3958564	VIETNAM
lime lace blanched orchid saddle	93919	Customer#000062968	3958564	VIETNAM
misty rose sienna forest sandy	31630	Customer#000062968	3958564	VIETNAM
goldenrod lavender indian tomato firebrick	194607	Customer#000062968	3958564	VIETNAM
yellow blush coral misty black	199750	Customer#000125776	790534	VIETNAM
firebrick powder lawn sky sienna	190813	Customer#000125776	790534	VIETNAM
chartreuse cornsilk maroon deep puff	35669	Customer#000125776	790534	VIETNAM
peru seashell ivory wheat sky	85055	Customer#000125776	790534	VIETNAM
plum almond pale dodger papaya	155521	Customer#000051217	2454368	INDONESIA
medium pink azure black goldenrod	39633	Customer#000051217	2454368	INDONESIA
forest green cream papaya lemon	4540	Customer#000051217	2454368	INDONESIA
burlywood sandy lace goldenrod chiffon	172409	Customer#000051217	2454368	INDONESIA
pink blue indian orchid turquoise	63722	Customer#000051217	2454368	INDONESIA
orange light purple ghost thistle	173077	Customer#000064483	2745894	CHINA
firebrick puff cyan almond drab	149292	Customer#000064483	2745894	CHINA
cornsilk plum cornflower peru light	139176	Customer#000064483	2745894	CHINA
medium lemon navajo smoke dark	46237	Customer#000063994	809158	INDONESIA
burnished ivory burlywood plum dark	51763	Customer#000013261	4768417	CHINA
metallic antique forest honeydew burlywood	174518	Customer#000013261	4768417	CHINA
plum sky blue khaki blanched	56491	Customer#000013261	4768417	CHINA
khaki ivory purple white cyan	26542	Customer#000042982	5422311	INDIA
papaya snow spring purple lime	73090	Customer#000042982	5422311	INDIA
cornflower dim brown midnight azure	18894	Customer#000042982	5422311	INDIA
powder light dark cream honeydew	107430	Customer#000050386	1642179	INDONESIA
royal mint floral blush lavender	124854	Customer#000050386	1642179	INDONESIA
cyan maroon cornflower hot peach	109672	Customer#000059359	3583616	JAPAN
plum beige sienna olive dodger	177677	Customer#000018637	2961026	INDIA
papaya lawn grey royal chiffon	145539	Customer#000018637	2961026	INDIA
slate blue white lace pink	49883	Customer#000115841	2756705	CHINA
lemon white lavender metallic black	190355	Customer#000115841	2756705	CHINA
cyan blush almond hot white	123873	Customer#000117496	5610209	CHINA
peru pale hot mint powder	189927	Customer#000117496	5610209	CHINA
peach linen khaki chartreuse ghost	87756	Customer#000117496	5610209	CHINA
orchid black dim snow blanched	58319	Customer#000118729	5611974	VIETNAM
sky lace azure seashell blush	170453	Customer#000118729	5611974	VIETNAM
blue black salmon cream dim	99981	Customer#000036742	5637766	JAPAN
smoke dim lawn blush grey	135901	Customer#000036742	5637766	JAPAN
forest peach blue brown hot	77582	Customer#000036742	5637766	JAPAN
hot purple frosted steel cream	107738	Customer#000036742	5637766	JAPAN
dim khaki maroon indian honeydew	21605	Customer#000076559	3990465	CHINA
snow plum tomato peach dark	140675	Customer#000148481	2948355	INDONESIA
pale goldenrod orchid ivory firebrick	128880	Customer#000148481	2948355	INDONESIA
aquamarine cyan cream goldenrod ghost	189680	Customer#000148481	2948355	INDONESIA
beige firebrick burnished floral seashell	42671	Customer#000131386	3459808	INDIA
puff turquoise orange indian coral	170608	Customer#000131386	3459808	INDIA
drab cornsilk pink orchid sandy	156786	Customer#000139240	5943781	JAPAN
red medium cornflower powder antique	162138	Customer#000100159	1395745	JAPAN
lime brown powder moccasin goldenrod	194922	Customer#000100159	1395745	JAPAN
sandy orchid light lavender saddle	51853	Customer#000100159	1395745	JAPAN
peru magenta gainsboro coral saddle	94096	Customer#000008482	4046689	INDIA
slate cornflower yellow violet blanched	68781	Customer#000008482	4046689	INDIA
midnight maroon ghost cornflower cornsilk	884	Customer#000008482	4046689	INDIA
aquamarine goldenrod green papaya brown	166913	Customer#000076067	3272548	INDONESIA
puff orchid lavender dim salmon	72591	Customer#000076067	3272548	INDONESIA
sandy mint salmon chocolate burlywood	148938	Customer#000076067	3272548	INDONESIA
cyan chocolate cornsilk light smoke	35171	Customer#000100978	3312576	CHINA
saddle medium hot aquamarine burnished	86609	Customer#000062968	3958564	VIETNAM
medium maroon coral ivory blush	12990	Customer#000049033	5893511	JAPAN
spring orchid beige rose blanched	114751	Customer#000049033	5893511	JAPAN
navajo pink burlywood tan hot	112552	Customer#000013261	4768417	CHINA
bisque pale lemon wheat puff	117663	Customer#000100159	1395745	JAPAN
khaki rose orchid firebrick spring	147687	Customer#000100159	1395745	JAPAN
papaya chiffon cornflower aquamarine sienna	174602	Customer#000100978	3312576	CHINA
rose midnight drab hot royal	159858	Customer#000100159	1395745	JAPAN
maroon dodger goldenrod blue lavender	106479	Customer#000117496	5610209	CHINA
floral bisque khaki olive puff	154929	Customer#000100978	3312576	CHINA
aquamarine grey firebrick cornflower navy	51330	Customer#000128458	1975399	JAPAN
orange ghost navajo smoke rosy	145953	Customer#000038773	2334433	JAPAN
floral pale red black chocolate	70672	Customer#000001489	5864288	INDONESIA
papaya tan brown chocolate light	32612	Customer#000030415	5955427	JAPAN
azure sky white blush peru	10398	Customer#000148481	2948355	INDONESIA
azure antique yellow gainsboro deep	156848	Customer#000148481	2948355	INDONESIA
white snow ivory ghost steel	119363	Customer#000050386	1642179	INDONESIA
beige metallic black lawn tan	117552	Customer#000050386	1642179	INDONESIA
purple seashell smoke violet navy	164534	Customer#000050386	1642179	INDONESIA
gainsboro magenta chocolate black orchid	115547	Customer#000016586	55937	VIETNAM
chiffon magenta ghost beige wheat	186945	Customer#000016586	55937	VIETNAM
honeydew cream cornflower peru violet	173425	Customer#000016586	55937	VIETNAM
medium blanched firebrick sienna cornflower	151278	Customer#000144688	413762	INDIA
floral midnight rosy sienna deep	86587	Customer#000082741	1226658	INDONESIA
lemon magenta chocolate blush sky	141888	Customer#000082741	1226658	INDONESIA
blue turquoise green firebrick hot	97118	Customer#000082741	1226658	INDONESIA
seashell lime salmon cornsilk chartreuse	174990	Customer#000128458	1975399	JAPAN
honeydew peach sky burnished dodger	171769	Customer#000128458	1975399	JAPAN
gainsboro saddle rosy brown firebrick	18576	Customer#000128458	1975399	JAPAN
yellow snow peach chocolate grey	60939	Customer#000115841	2756705	CHINA
white dark lime medium metallic	89844	Customer#000115841	2756705	CHINA
antique thistle cyan cream seashell	197181	Customer#000115841	2756705	CHINA
hot dim burnished steel rosy	46111	Customer#000016586	55937	VIETNAM
snow cornflower dim spring papaya	5586	Customer#000018637	2961026	INDIA
mint salmon metallic puff royal	79961	Customer#000018637	2961026	INDIA
ghost hot saddle purple smoke	73467	Customer#000018637	2961026	INDIA
smoke brown papaya black midnight	153620	Customer#000018637	2961026	INDIA
blue goldenrod medium gainsboro honeydew	154943	Customer#000030415	5955427	JAPAN
mint cyan green maroon antique	107365	Customer#000030415	5955427	JAPAN
cornsilk moccasin lavender saddle indian	78905	Customer#000030415	5955427	JAPAN
orchid burnished olive azure burlywood	77997	Customer#000082741	1226658	INDONESIA
dodger red gainsboro pink dim	64972	Customer#000055415	5380005	VIETNAM
saddle chocolate salmon dark snow	39940	Customer#000131482	1406914	INDIA
sandy goldenrod ghost medium linen	108647	Customer#000128458	1975399	JAPAN
lemon sienna rose blush burlywood	160889	Customer#000038773	2334433	JAPAN
saddle midnight linen light forest	129291	Customer#000052873	2894533	INDIA
red lavender powder lemon tomato	88719	Customer#000052873	2894533	INDIA
chocolate steel deep yellow ghost	93594	Customer#000025457	978692	JAPAN
hot white almond grey moccasin	25719	Customer#000025457	978692	JAPAN
plum metallic olive brown chartreuse	124960	Customer#000119966	2699520	INDIA
saddle khaki black blush cream	199438	Customer#000119966	2699520	INDIA
tomato khaki red green dim	158349	Customer#000119966	2699520	INDIA
black indian ghost thistle khaki	2975	Customer#000131215	2854465	INDIA
chartreuse burnished antique misty ivory	142998	Customer#000064483	2745894	CHINA
burnished grey steel deep linen	94994	Customer#000064483	2745894	CHINA
green olive lawn dim cornflower	114561	Customer#000064483	2745894	CHINA
black papaya purple azure orange	39242	Customer#000147289	101700	JAPAN
bisque cyan saddle indian lemon	159943	Customer#000147289	101700	JAPAN
sky seashell turquoise cornsilk cream	63356	Customer#000140506	3360065	CHINA
lime blanched gainsboro sienna misty	20208	Customer#000140506	3360065	CHINA
burlywood rose hot peru salmon	20899	Customer#000140506	3360065	CHINA
orchid aquamarine bisque chocolate snow	127614	Customer#000117496	5610209	CHINA
moccasin forest maroon sky olive	191865	Customer#000117496	5610209	CHINA
cream lemon floral royal ghost	46620	Customer#000131482	1406914	INDIA
chiffon spring snow blush dodger	131758	Customer#000131482	1406914	INDIA
indian cream lavender cyan floral	90866	Customer#000051217	2454368	INDONESIA
ivory tomato burlywood forest drab	78387	Customer#000147197	1263015	JAPAN
dodger burlywood cream peach cornflower	195303	Customer#000057401	3518496	INDONESIA
lemon violet mint chartreuse black	46761	Customer#000057401	3518496	INDONESIA
coral lawn chiffon dark frosted	102822	Customer#000057401	3518496	INDONESIA
cyan bisque blanched firebrick sandy	35703	Customer#000057401	3518496	INDONESIA
lime moccasin almond blue cream	18881	Customer#000021529	4248583	JAPAN
grey moccasin azure almond puff	164976	Customer#000118729	5611974	VIETNAM
brown lace blush midnight frosted	142330	Customer#000118729	5611974	VIETNAM
chocolate burlywood azure lavender almond	58649	Customer#000025994	534529	VIETNAM
cornflower cyan blanched tomato indian	122419	Customer#000025994	534529	VIETNAM
gainsboro dodger chocolate moccasin linen	121793	Customer#000099446	1672039	VIETNAM
indian moccasin violet forest midnight	172610	Customer#000099446	1672039	VIETNAM
antique moccasin ghost black powder	133932	Customer#000099446	1672039	VIETNAM
brown aquamarine cyan floral gainsboro	64908	Customer#000117496	5610209	CHINA
bisque lawn metallic blush tan	195909	Customer#000147289	101700	JAPAN
gainsboro tomato thistle moccasin firebrick	43950	Customer#000147289	101700	JAPAN
lemon cream puff pale black	37530	Customer#000093230	511744	INDIA
grey red burnished floral blue	160919	Customer#000131482	1406914	INDIA
metallic forest indian snow cream	156807	Customer#000131482	1406914	INDIA
brown midnight beige lawn snow	76528	Customer#000057401	3518496	INDONESIA
orange royal blue chartreuse olive	48766	Customer#000057401	3518496	INDONESIA
burlywood dodger turquoise navajo linen	177995	Customer#000052873	2894533	INDIA
metallic peach sandy blue mint	116555	Customer#000021529	4248583	JAPAN
peru hot lavender dark navajo	127353	Customer#000021529	4248583	JAPAN
chocolate snow forest medium yellow	32703	Customer#000021529	4248583	JAPAN
cream indian yellow tan lemon	131921	Customer#000036742	5637766	JAPAN
chocolate chiffon papaya orange sandy	118882	Customer#000146608	3342468	CHINA
almond cornflower seashell olive green	147727	Customer#000131215	2854465	INDIA
white peach blue beige orchid	27671	Customer#000131215	2854465	INDIA
almond cream spring dodger rosy	58280	Customer#000131215	2854465	INDIA
chiffon bisque wheat blanched azure	100910	Customer#000131215	2854465	INDIA
burlywood azure burnished steel lawn	178931	Customer#000055415	5380005	VIETNAM
beige moccasin aquamarine almond chocolate	100606	Customer#000076067	3272548	INDONESIA
papaya almond moccasin beige orange	181623	Customer#000025994	534529	VIETNAM
light dodger khaki powder peach	46947	Customer#000093230	511744	INDIA
cornflower mint thistle burnished moccasin	158520	Customer#000093230	511744	INDIA
grey chartreuse light olive goldenrod	44370	Customer#000093230	511744	INDIA
frosted azure thistle steel lemon	158773	Customer#000025457	978692	JAPAN
beige seashell cornsilk powder burlywood	55956	Customer#000025457	978692	JAPAN
sienna maroon drab salmon ghost	51898	Customer#000025457	978692	JAPAN
navy cyan slate chocolate coral	42548	Customer#000025457	978692	JAPAN
burlywood chiffon rosy deep lemon	178184	Customer#000036742	5637766	JAPAN
brown frosted beige papaya burlywood	186955	Customer#000036742	5637766	JAPAN
dodger green cream dark frosted	70091	Customer#000147197	1263015	JAPAN
beige cornsilk linen chiffon magenta	59839	Customer#000147197	1263015	JAPAN
rosy indian chiffon salmon aquamarine	101082	Customer#000147197	1263015	JAPAN
dim cream lace green red	42843	Customer#000099446	1672039	VIETNAM
goldenrod almond cornsilk smoke chiffon	139712	Customer#000052873	2894533	INDIA
dark khaki sandy spring moccasin	44851	Customer#000140506	3360065	CHINA
tomato beige puff deep violet	96904	Customer#000140506	3360065	CHINA
gainsboro turquoise firebrick frosted pink	65421	Customer#000140506	3360065	CHINA
bisque ghost rose green orchid	117775	Customer#000057401	3518496	INDONESIA
blue seashell light rosy floral	125783	Customer#000021529	4248583	JAPAN
deep lace lavender cornsilk purple	72366	Customer#000147289	101700	JAPAN
rose azure lace firebrick lime	60889	Customer#000147289	101700	JAPAN
ivory azure navajo linen frosted	83969	Customer#000013261	4768417	CHINA
cyan seashell white steel chartreuse	41452	Customer#000013261	4768417	CHINA
antique goldenrod orchid indian cream	87648	Customer#000055415	5380005	VIETNAM
midnight dodger antique floral green	88717	Customer#000055415	5380005	VIETNAM
coral floral lawn olive chocolate	65952	Customer#000055415	5380005	VIETNAM
beige burlywood lace lime rose	49367	Customer#000099446	1672039	VIETNAM
black coral powder goldenrod cyan	101928	Customer#000099446	1672039	VIETNAM
khaki cream gainsboro peach papaya	97373	Customer#000099446	1672039	VIETNAM
cornsilk thistle papaya olive burnished	107102	Customer#000025994	534529	VIETNAM
chartreuse medium chocolate maroon ivory	79938	Customer#000025994	534529	VIETNAM
seashell cyan peru bisque papaya	120261	Customer#000093230	511744	INDIA
firebrick aquamarine rosy misty chartreuse	73351	Customer#000050237	1859809	JAPAN
powder deep aquamarine cream orange	109601	Customer#000050237	1859809	JAPAN
spring ghost mint puff azure	57903	Customer#000050237	1859809	JAPAN
ivory purple frosted dim pale	102783	Customer#000147197	1263015	JAPAN
bisque steel forest mint coral	159106	Customer#000052873	2894533	INDIA
olive bisque khaki antique dim	84920	Customer#000052873	2894533	INDIA
smoke coral chocolate sandy light	84580	Customer#000119966	2699520	INDIA
plum blanched honeydew gainsboro linen	133214	Customer#000119966	2699520	INDIA
navajo firebrick pink lavender linen	188446	Customer#000119966	2699520	INDIA
cornflower indian violet orange moccasin	151530	Customer#000119966	2699520	INDIA
thistle sky floral turquoise peru	44827	Customer#000131215	2854465	INDIA
goldenrod antique smoke navy dark	193814	Customer#000131215	2854465	INDIA
lemon black deep tan peach	43927	Customer#000055415	5380005	VIETNAM
tomato blue floral tan goldenrod	91959	Customer#000055415	5380005	VIETNAM
violet sienna black blue burnished	8705	Customer#000140506	3360065	CHINA
cream blanched ghost chocolate drab	894	Customer#000042982	5422311	INDIA
seashell steel purple misty blush	141286	Customer#000042982	5422311	INDIA
olive thistle midnight deep slate	119946	Customer#000093230	511744	INDIA
rosy thistle powder cornsilk dim	16952	Customer#000093230	511744	INDIA
black yellow lavender slate khaki	53937	Customer#000025994	534529	VIETNAM
pink burlywood linen snow chiffon	114952	Customer#000025994	534529	VIETNAM
cornflower bisque indian royal navajo	4376	Customer#000147197	1263015	JAPAN
tan drab blanched chartreuse sky	132939	Customer#000147197	1263015	JAPAN
chartreuse moccasin gainsboro lime turquoise	81428	Customer#000025457	978692	JAPAN
dim aquamarine peru snow moccasin	4391	Customer#000050237	1859809	JAPAN
mint firebrick floral bisque burlywood	189845	Customer#000050237	1859809	JAPAN
cornflower grey brown red coral	166853	Customer#000050237	1859809	JAPAN
lemon metallic moccasin coral navy	76549	Customer#000100978	3312576	CHINA
coral burnished yellow spring azure	116796	Customer#000100978	3312576	CHINA
blush salmon almond purple white	128956	Customer#000100978	3312576	CHINA
chocolate cyan tan blush lawn	28714	Customer#000021529	4248583	JAPAN
magenta purple blue khaki deep	193852	Customer#000021529	4248583	JAPAN
powder turquoise deep lemon chartreuse	24805	Customer#000013261	4768417	CHINA
