l_orderkey	l_quantity	l_extendedprice
2630562	47.00	64079.80
2630562	47.00	64079.80
2630562	8.00	15871.36
2630562	8.00	15871.36
2630562	8.00	15871.36
2630562	8.00	15871.36
2630562	26.00	30789.20
2630562	26.00	30789.20
2630562	26.00	30789.20
2630562	26.00	30789.20
2986913	29.00	37043.44
2986913	29.00	37043.44
2986913	29.00	37043.44
2986913	29.00	37043.44
164711	38.00	51694.82
164711	38.00	51694.82
164711	38.00	51694.82
164711	38.00	51694.82
164711	38.00	72463.72
164711	38.00	72463.72
164711	38.00	72463.72
164711	38.00	72463.72
1071617	30.00	38949.00
1071617	30.00	38949.00
1071617	30.00	38949.00
1071617	30.00	38949.00
1071617	39.00	70891.08
1071617	39.00	70891.08
1071617	39.00	70891.08
1071617	39.00	70891.08
1374019	42.00	71972.46
1374019	42.00	71972.46
1374019	42.00	71972.46
1374019	42.00	71972.46
3251169	25.00	27352.00
3251169	25.00	27352.00
3251169	25.00	27352.00
3251169	25.00	27352.00
3251169	48.00	59049.60
3251169	48.00	59049.60
3251169	48.00	59049.60
3251169	48.00	59049.60
905633	39.00	49385.70
905633	39.00	49385.70
905633	39.00	49385.70
905633	39.00	49385.70
1071617	27.00	48244.95
1071617	27.00	48244.95
1071617	27.00	48244.95
1071617	27.00	48244.95
1071617	36.00	45985.32
1071617	36.00	45985.32
1071617	36.00	45985.32
1071617	36.00	45985.32
1944711	13.00	24646.57
1944711	13.00	24646.57
1944711	13.00	24646.57
1944711	13.00	24646.57
224167	18.00	28469.34
224167	18.00	28469.34
224167	18.00	28469.34
224167	18.00	28469.34
385825	28.00	50956.64
385825	28.00	50956.64
385825	28.00	50956.64
385825	28.00	50956.64
905633	43.00	75798.25
905633	43.00	75798.25
905633	43.00	75798.25
905633	43.00	75798.25
905633	3.00	4474.20
905633	3.00	4474.20
905633	3.00	4474.20
905633	3.00	4474.20
905633	38.00	50931.78
905633	38.00	50931.78
905633	38.00	50931.78
905633	38.00	50931.78
905633	12.00	16431.48
905633	12.00	16431.48
905633	12.00	16431.48
905633	12.00	16431.48
1944711	15.00	26532.30
1944711	15.00	26532.30
1944711	15.00	26532.30
1944711	15.00	26532.30
224167	7.00	12149.97
224167	7.00	12149.97
224167	7.00	12149.97
224167	7.00	12149.97
5133509	28.00	36741.88
5133509	28.00	36741.88
5133509	28.00	36741.88
5133509	28.00	36741.88
5133509	35.00	63199.50
5133509	35.00	63199.50
5133509	35.00	63199.50
5133509	35.00	63199.50
5133509	33.00	53713.77
5133509	33.00	53713.77
5133509	33.00	53713.77
5133509	33.00	53713.77
1192231	29.00	39740.44
1192231	29.00	39740.44
1192231	29.00	39740.44
1192231	29.00	39740.44
1192231	26.00	36958.22
1192231	26.00	36958.22
1192231	26.00	36958.22
1192231	26.00	36958.22
1192231	9.00	15747.84
1192231	9.00	15747.84
1192231	9.00	15747.84
1192231	9.00	15747.84
1192231	15.00	18529.80
1192231	15.00	18529.80
1192231	15.00	18529.80
1192231	15.00	18529.80
1842406	6.00	7273.20
1842406	6.00	7273.20
1842406	6.00	7273.20
1842406	6.00	7273.20
1842406	40.00	51569.20
1842406	40.00	51569.20
1842406	40.00	51569.20
1842406	40.00	51569.20
905633	15.00	26022.15
905633	15.00	26022.15
905633	15.00	26022.15
905633	15.00	26022.15
224167	11.00	20635.12
224167	11.00	20635.12
224167	11.00	20635.12
224167	11.00	20635.12
1953441	2.00	3575.70
1953441	2.00	3575.70
1953441	2.00	3575.70
1953441	2.00	3575.70
1978756	45.00	63014.85
1978756	45.00	63014.85
1978756	45.00	63014.85
1978756	45.00	63014.85
1978756	35.00	45893.75
1978756	35.00	45893.75
1978756	35.00	45893.75
1978756	35.00	45893.75
1192231	2.00	2728.68
1192231	2.00	2728.68
1192231	2.00	2728.68
1192231	2.00	2728.68
1192231	19.00	26378.84
1192231	19.00	26378.84
1192231	19.00	26378.84
1192231	19.00	26378.84
385825	2.00	2961.00
385825	2.00	2961.00
385825	2.00	2961.00
385825	2.00	2961.00
385825	22.00	24333.76
385825	22.00	24333.76
385825	22.00	24333.76
385825	22.00	24333.76
385825	16.00	28716.80
385825	16.00	28716.80
385825	16.00	28716.80
385825	16.00	28716.80
1953441	48.00	77602.08
1953441	48.00	77602.08
1953441	48.00	77602.08
1953441	48.00	77602.08
1953441	2.00	3599.40
1953441	2.00	3599.40
1953441	2.00	3599.40
1953441	2.00	3599.40
1953441	21.00	28230.72
1953441	21.00	28230.72
1953441	21.00	28230.72
1953441	21.00	28230.72
1953441	31.00	44220.26
1953441	31.00	44220.26
1953441	31.00	44220.26
1953441	31.00	44220.26
1953441	44.00	74041.88
1953441	44.00	74041.88
1953441	44.00	74041.88
1953441	44.00	74041.88
4808192	11.00	17529.27
4808192	11.00	17529.27
4808192	11.00	17529.27
4808192	11.00	17529.27
5133509	12.00	23399.76
5133509	12.00	23399.76
5133509	12.00	23399.76
5133509	12.00	23399.76
905633	46.00	49549.36
905633	46.00	49549.36
905633	46.00	49549.36
905633	46.00	49549.36
4808192	26.00	47080.54
4808192	26.00	47080.54
4808192	26.00	47080.54
4808192	26.00	47080.54
385825	47.00	70473.21
385825	47.00	70473.21
385825	47.00	70473.21
385825	47.00	70473.21
1842406	7.00	8002.61
1842406	7.00	8002.61
1842406	7.00	8002.61
1842406	7.00	8002.61
1842406	19.00	29801.50
1842406	19.00	29801.50
1842406	19.00	29801.50
1842406	19.00	29801.50
1978756	49.00	99076.53
1978756	49.00	99076.53
1978756	49.00	99076.53
1978756	49.00	99076.53
1978756	35.00	53466.00
1978756	35.00	53466.00
1978756	35.00	53466.00
1978756	35.00	53466.00
224167	18.00	25673.76
224167	18.00	25673.76
224167	18.00	25673.76
224167	18.00	25673.76
2765152	5.00	8734.10
2765152	5.00	8734.10
2765152	5.00	8734.10
2765152	5.00	8734.10
2459619	42.00	43640.10
2459619	42.00	43640.10
2459619	42.00	43640.10
2459619	42.00	43640.10
3251169	43.00	68051.80
3251169	43.00	68051.80
3251169	43.00	68051.80
3251169	43.00	68051.80
1842406	48.00	58903.20
1842406	48.00	58903.20
1842406	48.00	58903.20
1842406	48.00	58903.20
1953441	7.00	7610.26
1953441	7.00	7610.26
1953441	7.00	7610.26
1953441	7.00	7610.26
385825	40.00	51574.80
385825	40.00	51574.80
385825	40.00	51574.80
385825	40.00	51574.80
385825	28.00	51205.84
385825	28.00	51205.84
385825	28.00	51205.84
385825	28.00	51205.84
3251169	23.00	40752.78
3251169	23.00	40752.78
3251169	23.00	40752.78
3251169	23.00	40752.78
3251169	23.00	30919.13
3251169	23.00	30919.13
3251169	23.00	30919.13
3251169	23.00	30919.13
1842406	13.00	14587.69
1842406	13.00	14587.69
1842406	13.00	14587.69
1842406	13.00	14587.69
1978756	25.00	44419.75
1978756	25.00	44419.75
1978756	25.00	44419.75
1978756	25.00	44419.75
1978756	22.00	28143.50
1978756	22.00	28143.50
1978756	22.00	28143.50
1978756	22.00	28143.50
l_orderkey	l_quantity	l_extendedprice
385825	28.00	50956.64
385825	28.00	50956.64
385825	28.00	50956.64
385825	28.00	50956.64
385825	28.00	50956.64
385825	28.00	50956.64
385825	28.00	50956.64
385825	28.00	50956.64
385825	2.00	2961.00
385825	2.00	2961.00
385825	2.00	2961.00
385825	2.00	2961.00
385825	2.00	2961.00
385825	2.00	2961.00
385825	2.00	2961.00
385825	2.00	2961.00
385825	22.00	24333.76
385825	22.00	24333.76
385825	22.00	24333.76
385825	22.00	24333.76
385825	22.00	24333.76
385825	22.00	24333.76
385825	22.00	24333.76
385825	22.00	24333.76
385825	16.00	28716.80
385825	16.00	28716.80
385825	16.00	28716.80
385825	16.00	28716.80
385825	16.00	28716.80
385825	16.00	28716.80
385825	16.00	28716.80
385825	16.00	28716.80
2630562	45.00	56166.30
2630562	45.00	56166.30
2630562	45.00	56166.30
2630562	39.00	53913.99
2630562	39.00	53913.99
2630562	39.00	53913.99
385825	47.00	70473.21
385825	47.00	70473.21
385825	47.00	70473.21
385825	47.00	70473.21
385825	47.00	70473.21
385825	47.00	70473.21
385825	47.00	70473.21
385825	47.00	70473.21
2459619	42.00	43640.10
2459619	42.00	43640.10
2459619	42.00	43640.10
2459619	42.00	43640.10
2459619	42.00	43640.10
2459619	42.00	43640.10
2459619	42.00	43640.10
2459619	42.00	43640.10
4320612	24.00	33872.88
4320612	24.00	33872.88
4320612	24.00	33872.88
4320612	24.00	33872.88
4320612	24.00	33872.88
4320612	24.00	33872.88
4320612	24.00	33872.88
4320612	24.00	33872.88
4320612	37.00	75256.15
4320612	37.00	75256.15
4320612	37.00	75256.15
4320612	37.00	75256.15
4320612	37.00	75256.15
4320612	37.00	75256.15
4320612	37.00	75256.15
4320612	37.00	75256.15
3251169	43.00	68051.80
3251169	43.00	68051.80
3251169	43.00	68051.80
3251169	43.00	68051.80
3251169	43.00	68051.80
3251169	43.00	68051.80
3251169	43.00	68051.80
3251169	43.00	68051.80
430243	23.00	30941.67
430243	23.00	30941.67
1226497	32.00	49937.60
1226497	32.00	49937.60
1226497	32.00	49937.60
1226497	32.00	49937.60
1226497	32.00	49937.60
1226497	32.00	49937.60
1226497	32.00	49937.60
1226497	32.00	49937.60
385825	40.00	51574.80
385825	40.00	51574.80
385825	40.00	51574.80
385825	40.00	51574.80
385825	40.00	51574.80
385825	40.00	51574.80
385825	40.00	51574.80
385825	40.00	51574.80
385825	28.00	51205.84
385825	28.00	51205.84
385825	28.00	51205.84
385825	28.00	51205.84
385825	28.00	51205.84
385825	28.00	51205.84
385825	28.00	51205.84
385825	28.00	51205.84
2630562	23.00	43696.32
2630562	23.00	43696.32
2630562	23.00	43696.32
3251169	23.00	40752.78
3251169	23.00	40752.78
3251169	23.00	40752.78
3251169	23.00	40752.78
3251169	23.00	40752.78
3251169	23.00	40752.78
3251169	23.00	40752.78
3251169	23.00	40752.78
3251169	23.00	30919.13
3251169	23.00	30919.13
3251169	23.00	30919.13
3251169	23.00	30919.13
3251169	23.00	30919.13
3251169	23.00	30919.13
3251169	23.00	30919.13
3251169	23.00	30919.13
3251169	25.00	27352.00
3251169	25.00	27352.00
3251169	25.00	27352.00
3251169	25.00	27352.00
3251169	25.00	27352.00
3251169	25.00	27352.00
3251169	25.00	27352.00
3251169	25.00	27352.00
3251169	48.00	59049.60
3251169	48.00	59049.60
3251169	48.00	59049.60
3251169	48.00	59049.60
3251169	48.00	59049.60
3251169	48.00	59049.60
3251169	48.00	59049.60
3251169	48.00	59049.60
1226497	27.00	41729.58
1226497	27.00	41729.58
1226497	27.00	41729.58
1226497	27.00	41729.58
1226497	27.00	41729.58
1226497	27.00	41729.58
1226497	27.00	41729.58
1226497	27.00	41729.58
4320612	48.00	58574.40
4320612	48.00	58574.40
4320612	48.00	58574.40
4320612	48.00	58574.40
4320612	48.00	58574.40
4320612	48.00	58574.40
4320612	48.00	58574.40
4320612	48.00	58574.40
2986913	29.00	37043.44
2986913	29.00	37043.44
2986913	29.00	37043.44
2986913	29.00	37043.44
2986913	29.00	37043.44
2986913	29.00	37043.44
2986913	29.00	37043.44
2986913	29.00	37043.44
2630562	37.00	64888.38
2630562	37.00	64888.38
2630562	37.00	64888.38
2630562	47.00	64079.80
2630562	47.00	64079.80
2630562	47.00	64079.80
2630562	8.00	15871.36
2630562	8.00	15871.36
2630562	8.00	15871.36
2630562	26.00	30789.20
2630562	26.00	30789.20
2630562	26.00	30789.20
1071617	11.00	15635.18
1071617	11.00	15635.18
1071617	30.00	38949.00
1071617	30.00	38949.00
1071617	39.00	70891.08
1071617	39.00	70891.08
4320612	17.00	22307.57
4320612	17.00	22307.57
4320612	17.00	22307.57
4320612	17.00	22307.57
4320612	17.00	22307.57
4320612	17.00	22307.57
4320612	17.00	22307.57
4320612	17.00	22307.57
2986913	3.00	5318.34
2986913	3.00	5318.34
2986913	3.00	5318.34
2986913	3.00	5318.34
2986913	3.00	5318.34
2986913	3.00	5318.34
2986913	3.00	5318.34
2986913	3.00	5318.34
1944711	37.00	57334.46
1944711	37.00	57334.46
1944711	37.00	57334.46
1944711	37.00	57334.46
1944711	37.00	57334.46
1944711	37.00	57334.46
1944711	37.00	57334.46
1944711	37.00	57334.46
905633	39.00	49385.70
905633	39.00	49385.70
905633	39.00	49385.70
1071617	27.00	48244.95
1071617	27.00	48244.95
1071617	36.00	45985.32
1071617	36.00	45985.32
1944711	13.00	24646.57
1944711	13.00	24646.57
1944711	13.00	24646.57
1944711	13.00	24646.57
1944711	13.00	24646.57
1944711	13.00	24646.57
1944711	13.00	24646.57
1944711	13.00	24646.57
2992930	50.00	95646.00
2992930	50.00	95646.00
164711	34.00	51323.68
164711	34.00	51323.68
164711	34.00	51323.68
164711	34.00	51323.68
164711	34.00	51323.68
164711	34.00	51323.68
164711	34.00	51323.68
164711	34.00	51323.68
1763205	10.00	15416.20
1763205	10.00	15416.20
905633	43.00	75798.25
905633	43.00	75798.25
905633	43.00	75798.25
905633	3.00	4474.20
905633	3.00	4474.20
905633	3.00	4474.20
905633	38.00	50931.78
905633	38.00	50931.78
905633	38.00	50931.78
905633	12.00	16431.48
905633	12.00	16431.48
905633	12.00	16431.48
1944711	15.00	26532.30
1944711	15.00	26532.30
1944711	15.00	26532.30
1944711	15.00	26532.30
1944711	15.00	26532.30
1944711	15.00	26532.30
1944711	15.00	26532.30
1944711	15.00	26532.30
164711	15.00	16652.70
164711	15.00	16652.70
164711	15.00	16652.70
164711	15.00	16652.70
164711	15.00	16652.70
164711	15.00	16652.70
164711	15.00	16652.70
164711	15.00	16652.70
164711	34.00	59764.52
164711	34.00	59764.52
164711	34.00	59764.52
164711	34.00	59764.52
164711	34.00	59764.52
164711	34.00	59764.52
164711	34.00	59764.52
164711	34.00	59764.52
1374019	39.00	38884.95
1374019	39.00	38884.95
1374019	13.00	20586.41
1374019	13.00	20586.41
1374019	33.00	46016.19
1374019	33.00	46016.19
905633	15.00	26022.15
905633	15.00	26022.15
905633	15.00	26022.15
164711	33.00	62728.71
164711	33.00	62728.71
164711	33.00	62728.71
164711	33.00	62728.71
164711	33.00	62728.71
164711	33.00	62728.71
164711	33.00	62728.71
164711	33.00	62728.71
1374019	1.00	1630.55
1374019	1.00	1630.55
164711	38.00	51694.82
164711	38.00	51694.82
164711	38.00	51694.82
164711	38.00	51694.82
164711	38.00	51694.82
164711	38.00	51694.82
164711	38.00	51694.82
164711	38.00	51694.82
164711	38.00	72463.72
164711	38.00	72463.72
164711	38.00	72463.72
164711	38.00	72463.72
164711	38.00	72463.72
164711	38.00	72463.72
164711	38.00	72463.72
164711	38.00	72463.72
905633	46.00	49549.36
905633	46.00	49549.36
905633	46.00	49549.36
1374019	42.00	71972.46
1374019	42.00	71972.46
l_orderkey	l_quantity	l_extendedprice
2459619	42.00	43640.10
2459619	42.00	43640.10
2459619	42.00	43640.10
2459619	42.00	43640.10
3251169	43.00	68051.80
3251169	43.00	68051.80
3251169	43.00	68051.80
3251169	43.00	68051.80
3251169	25.00	27352.00
3251169	25.00	27352.00
3251169	25.00	27352.00
3251169	25.00	27352.00
3251169	48.00	59049.60
3251169	48.00	59049.60
3251169	48.00	59049.60
3251169	48.00	59049.60
3251169	23.00	40752.78
3251169	23.00	40752.78
3251169	23.00	40752.78
3251169	23.00	40752.78
3251169	23.00	30919.13
3251169	23.00	30919.13
3251169	23.00	30919.13
3251169	23.00	30919.13
