l_orderkey	l_linenumber	l_quantity
3532066	4	49.00
3533958	3	26.00
3566981	3	48.00
3570659	3	15.00
3596487	4	26.00
3600130	1	30.00
3687655	4	44.00
3707616	1	50.00
3707616	3	21.00
3707616	6	8.00
3719712	3	6.00
3719712	5	46.00
3721860	1	13.00
3739334	1	41.00
3745766	6	17.00
3787936	2	26.00
3787936	3	17.00
3852420	2	15.00
3863075	2	41.00
3863075	5	22.00
3863075	6	23.00
3866689	5	21.00
3866851	1	18.00
3869698	1	21.00
3889223	3	11.00
3913764	3	27.00
3913764	4	32.00
3913764	6	13.00
3944610	2	12.00
3952354	1	1.00
3987111	2	4.00
4011426	1	27.00
4053059	4	18.00
4070850	2	30.00
4070850	6	9.00
4091431	4	18.00
4092133	6	24.00
4093734	1	31.00
4093734	6	24.00
4094661	1	14.00
4102247	1	49.00
4108640	2	11.00
4133248	3	39.00
4133248	4	18.00
4190631	7	35.00
4223328	1	42.00
4225921	1	14.00
4241729	3	5.00
4242083	2	39.00
4243426	3	6.00
4249315	4	45.00
4267110	5	6.00
4294722	4	8.00
4298438	1	4.00
4314599	5	4.00
4314599	6	1.00
4329280	1	24.00
4346439	6	33.00
4346439	7	26.00
4371460	6	18.00
4381216	2	39.00
4384101	2	47.00
4406915	5	18.00
4419107	4	37.00
4441378	1	8.00
4488962	2	9.00
4504897	2	15.00
4550880	3	33.00
4551425	1	27.00
4555267	3	10.00
4596164	2	19.00
4598817	2	14.00
4615783	2	21.00
4615783	5	38.00
4648449	1	19.00
4648449	2	2.00
4701573	1	43.00
4701573	2	42.00
4718694	4	26.00
4722434	1	21.00
4722817	1	11.00
4744743	3	17.00
4745248	5	45.00
4759395	1	32.00
4759395	3	19.00
4759395	4	25.00
4788385	1	8.00
4788385	3	45.00
4788385	4	36.00
4808128	2	14.00
4816613	1	20.00
4881601	3	14.00
4881601	6	39.00
4904896	1	45.00
4908513	3	25.00
5000128	1	4.00
5000128	2	4.00
5000128	3	32.00
5000128	6	5.00
5000230	1	37.00
5000964	6	20.00
5030849	5	39.00
5036769	3	9.00
5038407	1	39.00
5039523	3	23.00
5045607	2	29.00
5070790	2	19.00
5084578	5	40.00
5084578	7	38.00
5098914	2	12.00
5132196	1	10.00
5143111	1	33.00
5143111	3	38.00
5143111	4	12.00
5147109	5	36.00
5147109	6	36.00
5149249	1	30.00
5149249	3	35.00
5149249	5	17.00
5172611	2	30.00
5172611	3	16.00
5172611	4	21.00
5176677	5	5.00
5192068	1	43.00
5192768	1	27.00
5220005	7	23.00
5245760	3	40.00
5269190	2	35.00
5269701	1	48.00
5274308	2	27.00
5275782	3	19.00
5291654	3	20.00
5291654	5	43.00
5312517	6	30.00
5317734	4	4.00
5317765	2	17.00
5329701	6	43.00
5334369	1	30.00
5340131	4	13.00
5340452	1	49.00
5350754	1	42.00
5350754	5	29.00
5354082	2	33.00
5367719	2	37.00
5376550	3	10.00
5386594	1	40.00
5386594	7	35.00
5424962	1	8.00
5452483	1	42.00
5452483	4	3.00
5464034	1	12.00
5464034	3	30.00
5464034	5	47.00
5471556	2	43.00
5520036	3	23.00
5520036	4	43.00
5537443	1	50.00
5537443	5	32.00
5542439	5	35.00
5555620	2	12.00
5558277	3	2.00
5558277	4	7.00
5566467	3	12.00
5571841	5	46.00
5602627	1	23.00
5618726	1	21.00
5618726	3	17.00
5626592	5	6.00
5667142	1	5.00
5740006	2	2.00
5740006	3	5.00
5749376	1	33.00
5750435	2	5.00
5752994	1	33.00
5799239	4	36.00
5813664	1	43.00
5847619	3	11.00
5889505	1	6.00
5889505	2	17.00
5892037	1	18.00
5900192	4	22.00
5924357	4	9.00
5942118	2	33.00
5956129	1	27.00
5960866	1	26.00
5960866	4	25.00
5991559	1	31.00
6501	2	43.00
8067	2	2.00
8224	1	2.00
9925	2	46.00
9925	6	40.00
26759	1	5.00
26759	6	25.00
36582	1	46.00
36582	2	3.00
36582	3	29.00
60579	1	25.00
62627	1	23.00
63655	1	6.00
73219	1	34.00
79174	1	5.00
79174	3	23.00
79174	4	49.00
80069	3	13.00
80069	4	25.00
88134	1	34.00
88134	2	12.00
88134	5	45.00
91011	3	23.00
102597	4	28.00
103298	1	27.00
111525	3	27.00
116006	1	38.00
124005	3	11.00
124676	1	28.00
132449	2	2.00
140513	1	23.00
161568	1	23.00
173700	2	47.00
173700	4	36.00
173700	6	37.00
179555	2	38.00
184994	3	14.00
186023	4	36.00
186023	6	12.00
188547	4	25.00
206183	1	21.00
206979	6	42.00
209376	3	1.00
210983	1	50.00
210983	3	41.00
252931	5	16.00
252931	6	37.00
264417	1	34.00
264417	3	14.00
270081	1	11.00
282725	3	5.00
296005	1	47.00
297473	1	6.00
317282	3	30.00
317282	6	26.00
317733	1	45.00
317733	2	42.00
317733	3	5.00
346402	2	45.00
346402	6	38.00
349347	2	11.00
352832	1	18.00
352832	4	33.00
361956	2	32.00
361956	3	8.00
378370	2	15.00
385798	2	40.00
392903	1	23.00
398117	1	12.00
398117	2	46.00
398117	3	23.00
398117	4	33.00
434405	1	21.00
437632	3	19.00
451778	1	28.00
464774	1	10.00
464774	5	8.00
476193	4	17.00
476193	6	23.00
476257	3	20.00
484000	1	1.00
486593	6	22.00
487873	2	9.00
489894	1	1.00
489894	3	5.00
498117	2	38.00
498117	3	39.00
505028	3	38.00
506791	7	27.00
552455	1	22.00
552455	3	34.00
552455	5	50.00
552455	6	42.00
570435	2	21.00
575041	4	39.00
575495	3	40.00
575495	5	31.00
584801	2	3.00
584801	5	34.00
587076	2	5.00
605282	2	37.00
607969	1	18.00
614688	5	44.00
614688	7	12.00
614979	2	45.00
616518	3	39.00
617605	2	24.00
617605	7	18.00
620385	2	49.00
620385	3	43.00
623776	2	24.00
631968	6	45.00
634949	1	25.00
642151	2	41.00
642151	4	16.00
642151	5	27.00
659201	1	9.00
662851	2	14.00
662851	5	30.00
670820	3	33.00
670820	4	20.00
670820	5	14.00
693893	1	4.00
693893	2	18.00
693893	3	26.00
700037	4	33.00
715812	2	29.00
715812	4	18.00
715812	6	49.00
719746	6	19.00
730311	1	30.00
743973	1	9.00
746023	1	16.00
750854	4	50.00
751904	1	47.00
751904	5	35.00
765797	2	17.00
782979	1	17.00
814244	3	27.00
817509	2	40.00
817634	1	12.00
817634	3	9.00
834530	3	2.00
842338	1	45.00
857536	2	47.00
857536	3	44.00
868868	2	27.00
868868	3	30.00
877735	1	41.00
904677	2	21.00
907681	4	34.00
907681	5	14.00
910720	1	22.00
910720	2	4.00
912866	1	47.00
914087	2	5.00
914087	3	29.00
914087	7	22.00
919335	3	30.00
956096	1	11.00
956096	2	36.00
989862	1	20.00
989862	2	34.00
989862	3	20.00
994214	1	24.00
994214	3	50.00
997029	3	29.00
997029	5	44.00
997029	7	31.00
1008995	1	34.00
1016035	1	3.00
1016035	3	48.00
1020323	6	26.00
1020323	7	1.00
1029572	4	25.00
1030561	2	37.00
1037540	1	23.00
1039975	1	17.00
1041765	1	42.00
1041765	3	4.00
1046503	2	18.00
1047495	2	31.00
1060193	3	12.00
1060225	1	29.00
1060225	3	44.00
1064711	1	20.00
1068706	4	41.00
1068706	5	11.00
1073190	2	47.00
1073190	4	32.00
1073799	3	3.00
1089025	3	6.00
1089025	5	7.00
1089025	6	28.00
1089477	3	7.00
1092935	6	48.00
1093634	2	16.00
1093634	4	9.00
1093634	5	37.00
1100676	1	14.00
1102882	6	24.00
1103553	3	11.00
1105061	2	46.00
1111938	1	14.00
1111938	3	9.00
1121574	1	48.00
1121574	2	4.00
1121574	4	49.00
1147975	1	1.00
1147975	2	37.00
1155268	6	30.00
1155268	7	7.00
1156708	1	25.00
1156708	3	39.00
1156738	1	6.00
1166528	6	34.00
1168482	3	48.00
1184288	4	35.00
1195811	2	49.00
1195910	3	44.00
1195910	4	4.00
1204164	1	1.00
1205830	5	44.00
1215270	3	34.00
1215270	4	45.00
1229184	4	13.00
1229184	5	5.00
1246880	2	15.00
1249024	1	35.00
1249024	3	9.00
1252098	3	23.00
1254979	3	4.00
1261793	1	38.00
1276160	1	25.00
1276160	6	38.00
1280836	2	32.00
1280836	3	48.00
1280836	4	4.00
1289796	4	45.00
1289796	5	37.00
1307844	2	40.00
1313155	3	19.00
1313155	5	36.00
1328644	1	9.00
1336576	5	25.00
1340322	1	38.00
1345799	2	45.00
1348997	1	21.00
1352672	1	26.00
1352672	5	13.00
1381729	1	11.00
1383716	5	18.00
1383716	6	40.00
1388483	1	21.00
1388483	4	20.00
1388483	5	10.00
1394656	5	36.00
1414052	1	21.00
1414052	5	33.00
1417186	1	2.00
1423876	6	20.00
1425061	2	36.00
1425061	4	21.00
1437958	4	26.00
1437958	7	7.00
1444999	4	5.00
1450628	5	33.00
1452640	2	11.00
1465221	1	4.00
1465221	4	43.00
1466276	5	35.00
1466276	7	35.00
1468224	2	29.00
1468224	5	24.00
1477889	2	9.00
1477889	5	40.00
1478179	3	24.00
1478179	6	30.00
1501828	1	40.00
1501828	2	42.00
1501828	3	10.00
1506531	1	11.00
1508546	3	26.00
2416960	1	7.00
2418918	1	37.00
2425890	1	4.00
2425890	6	26.00
2429540	2	40.00
2429540	4	20.00
2429540	5	21.00
2430501	3	19.00
2430501	4	14.00
2430566	2	49.00
2430596	3	6.00
2431108	2	34.00
2433152	5	39.00
2433152	6	7.00
2434115	2	4.00
2434115	3	33.00
2434115	5	44.00
2434115	6	37.00
2437894	1	7.00
2440069	2	7.00
2441095	3	19.00
2441220	4	11.00
2441700	1	9.00
2441700	2	7.00
2441700	3	8.00
2443204	2	28.00
2443204	3	50.00
2443204	4	10.00
2446402	2	5.00
2446822	4	34.00
2448419	3	41.00
2453093	2	39.00
2453699	1	1.00
2460198	2	30.00
2470468	3	50.00
2470468	5	10.00
2472227	1	28.00
2472227	2	47.00
2472227	3	27.00
2472739	4	47.00
2477764	1	25.00
2479718	1	3.00
2481635	5	47.00
2487940	1	26.00
2488992	1	25.00
2488992	2	5.00
2491143	3	39.00
2491143	5	4.00
2491937	5	44.00
2494435	1	8.00
2494759	5	46.00
2495682	3	49.00
2501219	4	1.00
2503011	6	28.00
2513124	1	45.00
2515648	3	17.00
2518883	1	21.00
2520101	1	41.00
2526917	2	19.00
2526917	6	21.00
2527296	3	46.00
2527296	4	11.00
2529536	1	35.00
2529986	5	32.00
2530246	6	17.00
2531234	2	33.00
2535235	1	28.00
2537569	2	9.00
2537569	4	43.00
2539363	4	23.00
2543493	4	40.00
2543493	6	35.00
2549477	2	38.00
2549477	4	6.00
2551937	3	43.00
2555142	2	50.00
2555333	1	18.00
2555813	3	33.00
2562244	3	2.00
2562244	6	36.00
2562464	3	4.00
2562464	6	50.00
2563526	3	42.00
2564067	1	2.00
2568549	2	6.00
2568930	1	19.00
2572582	2	50.00
2573315	6	3.00
2574823	4	18.00
2574823	6	48.00
2575873	4	2.00
2584103	2	50.00
2586437	2	40.00
2586437	3	8.00
2586437	4	46.00
2586437	6	16.00
2589861	2	44.00
2597764	3	38.00
2597764	5	19.00
2597764	6	33.00
2599205	1	48.00
2599205	2	27.00
2601057	1	9.00
2601057	6	29.00
2606274	2	25.00
2606274	6	11.00
2606274	7	22.00
2606819	1	10.00
2608966	1	9.00
2608966	5	37.00
2608966	7	23.00
2613639	3	20.00
2615138	1	13.00
2616004	1	49.00
2616320	1	30.00
2617186	3	39.00
2619140	1	24.00
2619140	6	48.00
2619140	7	40.00
2619941	4	50.00
2619941	6	15.00
2619941	7	3.00
2621347	3	29.00
2621573	3	48.00
2624097	3	45.00
2624097	4	43.00
2624097	6	20.00
2627459	2	11.00
2628420	3	43.00
2628420	4	3.00
2630435	1	5.00
2634435	2	5.00
2634435	3	18.00
2642532	2	3.00
2642532	3	22.00
2643908	2	36.00
2643908	6	29.00
2645925	1	22.00
2650371	1	20.00
2650371	3	44.00
2650724	3	32.00
2650820	2	34.00
2651270	2	34.00
2651844	5	42.00
2654469	4	2.00
2659297	4	47.00
2659297	5	34.00
2662817	1	10.00
2662817	2	14.00
2662817	3	34.00
2662817	4	40.00
2662884	1	42.00
2664166	2	25.00
2664166	4	31.00
2670884	1	47.00
2673698	6	16.00
2674916	2	35.00
2674951	2	28.00
2674951	3	50.00
2675107	4	45.00
2675107	5	49.00
2682115	3	23.00
2683045	2	31.00
2684035	2	32.00
2685665	4	11.00
2691973	2	35.00
2694433	1	49.00
2694530	1	18.00
2694530	2	35.00
2694530	4	37.00
2694530	5	16.00
2695108	3	15.00
2698466	2	38.00
2698466	3	1.00
2701763	2	50.00
2702497	3	32.00
2704130	3	40.00
2704130	4	49.00
2705092	3	41.00
2707526	1	3.00
2708356	2	36.00
2708929	1	46.00
2710663	3	32.00
2711046	3	36.00
2713604	4	35.00
2717059	3	23.00
2717059	4	40.00
2722918	1	41.00
2722918	2	8.00
2722918	5	10.00
2722918	6	8.00
2723392	1	12.00
2723392	3	41.00
2723392	4	32.00
2724391	3	22.00
2726374	1	50.00
2726374	4	50.00
2727398	3	27.00
2729504	1	32.00
2729504	5	18.00
2729504	7	24.00
2732227	1	44.00
2732227	2	13.00
2732227	3	15.00
2735429	1	30.00
2739652	2	40.00
2744096	1	16.00
2748839	1	8.00
2748839	3	24.00
2749216	2	13.00
2749858	1	37.00
2749858	2	29.00
2749858	3	23.00
2750309	1	15.00
2750981	4	23.00
2752835	5	6.00
2756259	6	12.00
2756930	2	3.00
2761351	5	21.00
2763297	2	24.00
2765542	1	14.00
2765542	2	50.00
2771266	6	4.00
2771266	7	14.00
2772421	1	27.00
2772962	1	8.00
2775717	2	26.00
2775717	3	46.00
2775717	5	49.00
2777732	3	45.00
2777732	4	23.00
2777732	5	21.00
2778375	4	46.00
2783620	2	22.00
2784866	2	22.00
2784866	5	34.00
2786407	2	50.00
2789893	5	3.00
2789893	6	21.00
2793571	1	17.00
2794630	1	24.00
2794630	2	28.00
2795232	5	38.00
2802915	1	32.00
2805381	3	38.00
2805409	3	33.00
2806817	3	16.00
2810080	2	42.00
2811015	1	48.00
2811015	2	18.00
2811015	3	5.00
2812163	1	2.00
2812163	2	49.00
2812163	3	41.00
2814373	3	26.00
2814850	1	33.00
2814850	2	50.00
2814850	4	49.00
2815399	7	37.00
2816705	3	43.00
2816705	5	10.00
2817250	2	3.00
2817250	3	43.00
2818085	2	29.00
2818085	3	38.00
2827846	3	9.00
2827846	7	31.00
2828065	1	3.00
2832422	1	43.00
2832422	4	50.00
2834273	4	38.00
2834273	5	45.00
2836195	1	11.00
2836195	4	44.00
2837668	2	33.00
2839078	2	8.00
2841955	2	37.00
2844934	3	42.00
2852160	3	24.00
2853824	3	33.00
2853824	4	42.00
2853824	6	44.00
2853824	7	28.00
2853861	5	7.00
2854661	4	39.00
2855622	1	4.00
2856417	6	32.00
2856417	7	23.00
2865063	1	48.00
2866115	1	41.00
2866115	3	1.00
2866466	1	42.00
2867207	4	41.00
2868066	3	42.00
2878694	1	31.00
2878694	3	2.00
2878753	3	48.00
2878753	5	22.00
2878753	6	36.00
2888645	2	46.00
2892131	2	32.00
2898694	1	28.00
2898694	2	33.00
2898694	5	14.00
2900289	1	29.00
2904583	5	33.00
2913093	2	46.00
2913255	1	36.00
2913255	5	26.00
2935206	1	21.00
2935206	2	37.00
2935206	5	48.00
2939298	6	10.00
2945124	1	48.00
2945381	1	46.00
2946661	1	13.00
2948134	1	30.00
2948675	2	45.00
2948675	4	36.00
2948995	2	27.00
2948995	4	43.00
2951392	1	48.00
2951392	2	31.00
2951527	3	38.00
2952578	1	18.00
2952578	6	21.00
2955043	1	30.00
2955043	3	43.00
2956576	1	24.00
2956576	2	21.00
2956803	2	42.00
2957958	2	39.00
2957958	3	28.00
2959233	3	7.00
2959489	1	33.00
2966054	6	14.00
2970276	2	28.00
2971491	2	19.00
2971616	2	20.00
2971616	4	48.00
2971876	3	19.00
2972739	1	23.00
2973924	1	41.00
2973924	4	13.00
2974117	2	49.00
2974117	4	20.00
2978981	1	44.00
2978981	2	14.00
2981442	7	16.00
2982977	3	14.00
2982977	4	23.00
2982977	6	21.00
2982977	7	26.00
2983142	5	2.00
2984550	6	22.00
2989827	5	39.00
2991909	1	23.00
2992352	1	22.00
2993287	4	33.00
2993287	5	9.00
3002978	2	10.00
3002978	4	6.00
3004128	2	25.00
3004128	3	43.00
3006144	1	14.00
3010279	1	17.00
3010279	3	35.00
3010279	5	25.00
3010279	7	10.00
3012964	1	12.00
3025793	3	4.00
3036161	3	18.00
3036480	1	16.00
3039044	2	8.00
3044034	4	46.00
3045250	2	21.00
3045796	2	7.00
3045796	3	13.00
1510085	4	46.00
1521638	2	24.00
1530690	2	6.00
1531939	3	13.00
1546116	1	23.00
1546116	5	1.00
1547558	4	26.00
1547558	6	3.00
1548135	5	39.00
1563265	2	35.00
1563265	3	29.00
1572096	1	28.00
1572096	6	44.00
1613572	2	28.00
1620935	2	8.00
1620935	4	31.00
1637504	1	16.00
1650593	2	7.00
1652836	3	16.00
