count(*)
200000
count(*)
2997697
l_orderkey	l_quantity	l_extendedprice
3504453	22.00	28671.94
3504453	49.00	98143.08
1288420	2.00	2710.52
1522214	14.00	23626.68
1649920	18.00	24289.56
1649920	7.00	9066.75
1649920	2.00	2580.62
1859778	5.00	8263.65
4144037	47.00	81204.72
4144037	12.00	17008.20
4485731	45.00	70317.00
4485731	33.00	46309.23
4603875	19.00	35812.34
4603875	27.00	42242.85
3671879	46.00	84536.04
3727234	1.00	1111.04
3727234	34.00	47580.28
3727234	11.00	17992.26
3986496	32.00	37576.32
3986496	28.00	41704.88
4068771	5.00	6526.50
4188902	33.00	50475.48
4188902	8.00	12692.48
4188902	23.00	42407.63
1868608	39.00	54106.26
1883718	16.00	22214.56
1883718	6.00	11579.88
2205862	46.00	75792.82
2341222	32.00	35520.64
4254181	24.00	46941.36
4254181	41.00	79330.49
4270019	14.00	19086.06
4273923	42.00	62015.52
4314274	38.00	49946.44
4314274	42.00	70970.76
4587526	13.00	15160.73
4587526	48.00	82743.36
4613986	28.00	34335.00
787105	5.00	9024.05
1046082	12.00	23147.52
1066274	46.00	76348.50
1202788	14.00	15330.98
1202788	39.00	54342.60
1202788	18.00	28700.82
1362726	36.00	56827.80
1362726	14.00	28153.86
1376704	4.00	7607.80
2671008	10.00	13403.40
2723524	37.00	47738.14
2723524	16.00	20547.20
1823424	26.00	46119.32
3952354	1.00	1088.12
4381216	39.00	44545.02
1365316	38.00	49338.44
1521157	50.00	89486.00
1521157	22.00	39792.94
4999392	4.00	6882.60
4999392	37.00	37704.11
5271109	1.00	1747.79
5271109	29.00	40929.44
5534435	49.00	89075.63
4937380	46.00	60594.88
4937380	16.00	27963.84
4937380	48.00	64332.00
4937380	15.00	20058.60
4976422	8.00	12852.80
4976422	31.00	49214.98
4976422	24.00	22488.24
5121954	31.00	28737.00
5121954	35.00	67969.65
5397218	40.00	61464.80
3271333	8.00	11947.84
3271333	48.00	69961.92
3354726	12.00	23915.88
3354726	6.00	9537.96
3366240	44.00	56596.32
3366240	42.00	52299.24
3368833	3.00	5005.77
3419044	18.00	28774.26
3419044	49.00	52923.43
3562055	46.00	91029.40
2084997	24.00	25944.48
1595332	1.00	1360.41
1595332	7.00	7728.63
1595332	26.00	34065.98
1595332	19.00	28625.02
1950947	8.00	13829.36
1950947	41.00	68495.83
1953381	41.00	72437.98
2022438	33.00	61739.70
2022438	9.00	10450.44
2333249	33.00	39804.60
2459332	46.00	50281.22
2459332	27.00	40026.96
2522405	32.00	47405.12
2522405	34.00	52344.36
2522405	16.00	30558.40
2290245	18.00	20071.98
2290245	24.00	35794.56
2290245	31.00	49712.84
2302246	21.00	23479.47
2632326	11.00	19797.58
2632326	19.00	31056.45
2782659	6.00	7898.28
2782659	17.00	22666.78
2090534	6.00	8733.30
2581345	50.00	56361.00
2588320	1.00	1714.63
5637637	29.00	38578.99
5637637	50.00	65366.50
5637637	16.00	24984.32
5742502	13.00	25869.87
5976837	42.00	52300.50
2891394	39.00	44466.24
2916320	21.00	30249.45
2916320	31.00	51016.08
2986913	3.00	5318.34
2646244	17.00	28232.41
2646244	48.00	90903.84
3123489	19.00	22289.66
3429057	8.00	12364.48
3768484	6.00	11453.88
3860257	34.00	48324.88
3860257	2.00	1992.06
3860257	13.00	19051.76
4128289	31.00	37825.89
4253186	27.00	48489.03
4395841	13.00	15875.73
4395841	7.00	7056.07
3069221	2.00	3125.24
3119776	12.00	17488.56
3268516	41.00	46295.15
3487745	42.00	46200.00
4569348	15.00	20376.00
4629824	26.00	33104.76
4706437	27.00	47218.41
4706437	34.00	60819.54
4706437	41.00	49990.89
4829253	18.00	35026.20
4972039	28.00	49693.28
5096387	45.00	75499.65
491620	14.00	26359.48
491620	17.00	27957.69
917893	6.00	7681.38
4235046	13.00	14456.13
4303745	12.00	17200.92
4327493	14.00	26472.04
3683623	25.00	39364.50
3683623	33.00	61508.04
3950849	38.00	54359.00
3952544	38.00	46139.60
4143526	45.00	82477.80
4143526	17.00	34032.81
5199234	47.00	47708.76
5199234	4.00	5733.40
5199234	7.00	8338.05
5206016	25.00	49424.00
5207073	35.00	37768.15
5293862	22.00	34352.56
5347076	16.00	29741.28
5407235	34.00	40193.10
5407235	34.00	39072.12
5621349	19.00	24723.18
5739076	26.00	40910.74
5805349	50.00	73321.50
5805349	19.00	28720.21
5805349	16.00	23207.04
5805349	29.00	46763.66
1485505	10.00	11722.30
1485505	50.00	89092.50
1572644	41.00	61849.32
1572644	19.00	22501.13
1572644	40.00	65786.80
1572644	14.00	22535.80
1576097	10.00	19709.60
1650627	22.00	37284.06
4692995	28.00	30413.04
4702695	39.00	75145.98
4968129	50.00	86184.00
5003109	20.00	30670.80
5207685	44.00	63728.28
4428354	43.00	43432.15
4428354	19.00	32465.30
4468801	41.00	60866.96
4610343	43.00	58455.06
4718403	2.00	2214.40
34019	19.00	19228.95
438881	45.00	84685.95
2408480	46.00	73446.36
2408480	16.00	28138.88
2592801	16.00	20213.44
2592801	8.00	11667.76
2592801	12.00	12936.12
2708037	40.00	75838.00
2708037	41.00	41698.23
2809669	2.00	2918.74
2813698	44.00	76153.00
2813698	17.00	33522.30
5091364	5.00	6400.90
5091364	23.00	34236.42
5261861	13.00	21679.71
5406599	32.00	47374.08
5589733	20.00	37999.60
5749952	4.00	6867.08
5749952	42.00	66762.36
3696386	43.00	74546.09
5754464	48.00	92346.72
9154	46.00	58158.26
9154	47.00	71507.68
68579	10.00	13773.00
5619718	33.00	43934.22
5819459	9.00	17009.46
5864416	43.00	75321.81
5882432	1.00	1319.39
5882432	19.00	35299.34
5882432	50.00	58605.00
5897442	45.00	64414.80
5925216	47.00	90137.54
5957861	21.00	24552.36
5957861	42.00	63359.10
5206661	42.00	44352.84
5206661	13.00	18270.33
306439	49.00	95449.06
306439	18.00	37259.46
306439	36.00	69367.68
4603875	22.00	29114.14
4976422	43.00	61031.19
4976422	29.00	30364.74
5027840	15.00	26367.30
5027840	32.00	54966.08
5121954	23.00	45194.08
5121954	46.00	91765.86
144610	42.00	75463.08
144610	27.00	34592.40
212870	39.00	47668.53
225379	11.00	14733.51
374723	44.00	90374.24
374723	48.00	80189.76
440964	45.00	57746.70
440964	33.00	62661.39
601794	45.00	51076.80
1049990	24.00	43603.20
1049990	9.00	16846.56
1061287	21.00	35797.65
1127620	23.00	42959.40
1127620	35.00	62398.00
1400006	28.00	30523.36
1400006	16.00	21798.08
906884	21.00	36155.70
1119813	29.00	42325.21
1578944	10.00	15364.50
1584903	48.00	56892.96
1590469	12.00	21081.96
1603585	26.00	44815.68
1775687	6.00	7075.50
1775687	41.00	58855.09
1932643	26.00	27354.86
1943620	22.00	36488.54
5999748	9.00	13990.95
287366	49.00	94316.67
309891	39.00	55007.94
309891	33.00	44759.88
309891	44.00	55674.96
410595	33.00	48295.50
5608869	42.00	60327.54
5608869	48.00	84319.20
5692738	47.00	53824.87
5692738	35.00	50767.15
2229729	24.00	26016.72
2370438	17.00	20095.70
2438016	6.00	9561.90
2438016	9.00	11388.15
2438016	5.00	6827.10
2546947	15.00	29309.40
2673088	50.00	62560.00
2673088	20.00	24723.40
5975365	6.00	11537.28
5975365	12.00	14079.12
112964	48.00	81246.72
193030	3.00	5942.94
193030	32.00	42792.32
545218	1.00	1093.00
545218	33.00	41255.61
3040804	40.00	72473.20
3139556	40.00	59981.20
605441	22.00	42016.04
686918	28.00	35317.52
828801	11.00	11011.66
828801	26.00	47651.24
888615	43.00	67188.36
1035265	15.00	26950.95
1074979	8.00	8617.12
1074979	49.00	49588.98
5359271	42.00	82948.32
5397218	42.00	60664.38
5637637	25.00	47471.50
5976837	28.00	54288.08
5976837	44.00	48053.28
345858	19.00	35186.29
3368547	20.00	38597.80
3504453	24.00	37091.52
3671879	2.00	2566.64
3837959	44.00	58313.20
3837959	10.00	18157.20
3838532	14.00	24257.10
3916288	30.00	54322.50
1495106	22.00	36535.18
1591941	36.00	48830.76
2014848	48.00	80622.24
2084997	40.00	48528.80
1247233	46.00	87808.48
1536067	49.00	87061.24
3588422	10.00	14805.60
3588422	49.00	67738.58
5452483	42.00	52843.14
5452483	3.00	4429.68
161568	23.00	40910.33
1037540	23.00	25393.84
4188902	8.00	8168.00
4270019	19.00	21473.99
4270019	15.00	21201.30
4273923	28.00	33632.76
4314274	25.00	39065.75
4587526	11.00	15139.41
1876550	11.00	12023.44
1876550	8.00	7304.00
1982691	6.00	5946.48
2046658	48.00	69382.08
2103748	4.00	7103.28
2103748	3.00	4828.98
2279493	38.00	44311.42
2488771	43.00	58884.63
3909318	30.00	40359.60
3909318	25.00	34035.25
3916288	15.00	16111.20
3916288	6.00	12341.82
3936550	28.00	53617.20
3945702	37.00	44666.77
4039460	15.00	22327.20
4039460	39.00	66991.08
4641314	36.00	38557.08
4999392	49.00	61944.33
5271109	44.00	67784.20
760615	13.00	18374.07
760615	34.00	48057.30
760615	39.00	42279.51
787105	48.00	49778.40
1073670	41.00	77527.31
2510146	21.00	34182.12
2510146	27.00	32082.21
2712836	7.00	9985.50
2747429	37.00	66701.38
2818886	13.00	13612.04
2818886	29.00	34049.77
2818886	45.00	46173.15
5379745	10.00	10360.30
5379745	17.00	22650.46
5600390	46.00	69254.38
5653925	49.00	81273.85
5653925	30.00	39038.70
5754464	19.00	25371.46
5832548	7.00	11904.48
2290245	48.00	61498.08
2809985	49.00	95444.65
2809985	45.00	70724.70
5612065	22.00	23211.98
3318789	33.00	59396.04
3318789	14.00	14938.00
3318789	36.00	39458.16
3580034	17.00	22701.80
3580034	45.00	72878.85
3580034	31.00	48005.36
3580034	33.00	50277.81
1823424	47.00	63415.22
1823424	14.00	22659.56
1823424	3.00	3552.39
9154	31.00	53215.22
9154	12.00	24287.28
306439	7.00	10755.99
139072	50.00	79326.50
152289	21.00	26886.30
324740	21.00	38403.96
324740	23.00	43997.62
380740	45.00	43652.25
380740	48.00	55979.04
3938053	45.00	61758.00
3938053	13.00	19103.76
3938053	37.00	71071.08
3938053	41.00	74408.85
4099329	11.00	16186.17
4161248	29.00	52659.65
4161248	8.00	12708.24
823525	33.00	59225.76
998598	34.00	62384.90
1061287	50.00	96798.00
1061287	2.00	3975.90
1127620	17.00	22684.12
1127620	21.00	39583.53
608132	47.00	84310.95
608132	40.00	81958.40
608132	45.00	56667.60
3952354	49.00	84904.26
4381216	42.00	57597.96
4404676	48.00	70677.12
5112389	17.00	22410.25
4593444	44.00	68797.96
4650021	11.00	13918.41
4650021	33.00	39934.29
4659813	7.00	7315.42
5052385	17.00	24009.61
1400006	27.00	37809.18
1755398	1.00	1134.05
1775687	2.00	2646.62
3069221	13.00	23280.53
3082272	31.00	59081.35
3082272	4.00	7927.60
3352611	20.00	29988.00
1275745	47.00	53731.81
1522214	26.00	40706.12
1932643	32.00	35168.00
1932643	34.00	45059.52
1943620	4.00	4104.04
1954561	33.00	63618.39
1954561	29.00	45051.21
2007493	26.00	38359.88
2007493	17.00	22869.93
2022438	11.00	14424.19
2370438	4.00	5617.64
2370438	3.00	4558.44
2370438	43.00	71582.10
5060002	20.00	38679.40
5060002	43.00	66762.66
5060002	25.00	43368.25
5060002	1.00	1173.26
5093856	3.00	4528.59
5496967	29.00	52339.20
1176518	10.00	12411.60
1313185	6.00	8215.86
1313185	47.00	83371.42
1313185	28.00	56922.32
1362726	2.00	3229.26
1718016	30.00	53784.30
1718016	5.00	6441.80
1884448	22.00	22088.22
2032356	46.00	81088.34
2333249	43.00	70845.94
2522405	32.00	49138.88
2528931	46.00	62531.48
2546947	40.00	56660.00
3011172	35.00	70664.65
3040804	27.00	56159.46
5876613	6.00	7693.50
5936868	20.00	25503.80
112964	14.00	20026.02
193030	31.00	55980.11
3139556	1.00	1165.22
3368547	18.00	35945.64
3368547	27.00	34485.48
3426337	30.00	28950.90
3671879	40.00	75030.80
1950947	9.00	15541.29
1950947	5.00	4620.00
545218	32.00	42409.92
686918	33.00	65239.02
686918	27.00	45677.79
828801	14.00	16481.22
917893	37.00	49923.36
917893	20.00	23223.20
1485505	46.00	88086.32
1485505	34.00	52138.32
1485505	6.00	9705.36
1543201	3.00	4585.62
1543201	39.00	65737.62
1783749	29.00	49813.01
1783749	7.00	9914.59
2121571	30.00	38529.90
3838532	31.00	34164.17
3909318	46.00	74043.44
3936550	16.00	21060.48
4065153	3.00	5489.46
4065153	47.00	77158.96
4068771	7.00	12129.81
4068771	35.00	62254.85
5452483	13.00	18438.03
161568	47.00	52408.76
3123489	7.00	11399.92
3123489	28.00	53367.16
3588422	31.00	52724.18
1428645	30.00	54744.90
4641314	17.00	23262.97
838821	11.00	15316.95
1037540	42.00	42168.00
1037540	48.00	81774.24
1252005	29.00	34980.67
1252005	39.00	55085.16
1252005	30.00	56875.50
1252005	35.00	56861.35
1357410	15.00	16860.45
3909318	44.00	52414.12
3936550	8.00	8481.12
4039460	44.00	42109.32
4039460	41.00	48102.84
2046658	39.00	71516.25
2046658	11.00	19764.14
2046658	33.00	52255.83
2103748	41.00	80439.54
2103748	26.00	27041.04
5003462	45.00	51844.50
5271109	25.00	28879.50
5271109	18.00	30737.52
5287012	15.00	17581.65
5379745	43.00	69087.24
5379745	47.00	63799.68
5379745	29.00	42496.31
1823424	4.00	4885.04
2488771	1.00	1729.81
2488771	44.00	81436.08
2510146	9.00	15946.65
2538276	8.00	9152.40
2747429	21.00	28819.14
2818886	1.00	1542.61
2818886	14.00	17489.78
5653925	25.00	38388.25
5653925	17.00	32434.13
5754464	13.00	19284.59
9154	45.00	67477.95
9154	7.00	7883.47
139072	40.00	41600.40
139072	24.00	44037.84
152289	1.00	1615.70
3683623	3.00	3537.63
3683623	35.00	45722.25
3727234	37.00	56484.94
3732196	45.00	60046.20
3732196	34.00	52170.96
3946786	25.00	48874.25
3946786	28.00	39013.24
3950849	24.00	28249.92
3952544	17.00	22684.80
4084932	1.00	1175.23
4192001	41.00	66322.01
4208006	14.00	14588.56
3312515	48.00	51749.76
3312515	17.00	29184.58
3357730	44.00	56817.64
3401094	3.00	4165.11
3440902	26.00	43204.72
3580034	20.00	26005.00
4250786	23.00	37757.95
4428354	3.00	3759.84
4468801	46.00	52356.28
4610343	22.00	44262.24
4718403	24.00	31856.64
2408480	29.00	46649.98
2408480	44.00	78091.20
2708037	21.00	31680.18
3938053	33.00	59061.42
3942656	50.00	93240.50
4161248	33.00	64545.03
3699876	30.00	50658.90
3952354	4.00	5513.48
3952354	38.00	61699.08
4381216	5.00	5550.45
4937380	7.00	9572.08
5106981	33.00	39771.60
5121954	42.00	59701.32
2581345	48.00	80526.24
2736865	41.00	56763.68
2826500	32.00	46512.96
2842599	50.00	65361.00
2842599	45.00	78467.40
2891394	34.00	38528.80
2891394	25.00	47073.25
2916320	2.00	2778.64
2992930	50.00	95646.00
4364800	45.00	90179.10
4364800	38.00	43627.42
4593444	41.00	65333.50
4593444	8.00	13302.00
4593444	9.00	15440.94
823525	30.00	49251.30
1485505	32.00	50320.00
1646340	5.00	7452.45
1650627	35.00	53600.40
1650627	49.00	90589.73
2408480	48.00	86964.48
2708037	6.00	7993.50
1859778	27.00	53619.03
1868608	30.00	49912.20
1868608	46.00	57420.88
5052385	47.00	57539.75
5052385	10.00	15395.90
5052385	2.00	3535.54
5093856	4.00	4044.00
5214082	27.00	39837.15
5214082	2.00	2724.84
5214082	5.00	9484.90
5414466	44.00	67916.20
5414466	20.00	26606.40
5496967	10.00	12672.60
5496967	32.00	56053.12
5555686	23.00	45997.93
5555686	48.00	82837.44
5555686	28.00	46528.44
5555686	41.00	76415.39
5590690	43.00	73260.39
5106981	37.00	74738.89
998598	26.00	48616.10
1177350	25.00	28354.75
1400006	35.00	52975.30
1400006	43.00	57889.61
5261861	14.00	21034.86
5262498	5.00	5505.70
5418919	50.00	86232.50
2341222	13.00	24425.57
2379907	43.00	43604.15
2379907	8.00	8753.28
2379907	38.00	43892.66
2671008	9.00	12667.50
2723524	24.00	46487.28
2809669	3.00	3732.81
2809669	27.00	47136.33
5692738	23.00	33474.89
5959683	17.00	27804.18
106243	36.00	68072.76
106243	28.00	47705.56
1584903	18.00	20341.62
1584903	42.00	67101.72
1584903	8.00	9513.52
1932643	40.00	58656.40
1932643	41.00	51875.25
1943620	41.00	56550.89
1943620	41.00	71573.70
1954561	23.00	31471.13
1954561	21.00	33589.71
1954561	49.00	86910.81
2007493	41.00	60416.37
2022438	9.00	16216.47
3271333	34.00	45874.84
3271333	11.00	15317.28
3354726	8.00	14959.44
3419044	22.00	44350.46
3419044	3.00	3744.66
3419044	43.00	79588.70
3541094	3.00	4345.50
3562055	43.00	51698.47
3562055	4.00	7243.56
545218	31.00	60108.69
545218	8.00	8184.32
554115	46.00	55484.28
675940	45.00	65814.30
686918	35.00	51956.10
2229729	25.00	48096.25
2370438	19.00	30392.21
2370438	30.00	58526.40
2459332	18.00	31638.96
2546947	9.00	15467.76
2546947	44.00	68045.56
3860257	48.00	50785.92
3860257	34.00	64084.56
3860257	43.00	51475.30
4085285	12.00	22355.04
4144037	16.00	21588.32
4144037	19.00	32999.20
5882432	37.00	45219.18
5897442	21.00	34033.02
5957861	37.00	52223.28
5957861	40.00	63141.60
24322	16.00	28090.72
24322	29.00	44588.95
24322	44.00	53559.00
24322	22.00	30611.46
36422	31.00	63021.14
70819	31.00	37329.89
225379	21.00	22953.00
969474	12.00	13656.72
1428645	19.00	22117.71
1478917	35.00	53705.75
1478917	20.00	20520.00
3933538	9.00	15045.84
3933538	38.00	68357.44
3942656	50.00	95444.00
4068167	31.00	49184.60
4068167	38.00	45987.22
4068167	46.00	83575.56
4068167	37.00	47520.95
4320612	24.00	33872.88
4320612	37.00	75256.15
3051493	8.00	15030.64
3139556	22.00	36049.86
4395841	23.00	27603.68
4395841	48.00	87155.52
4516484	47.00	53301.76
4516484	45.00	75184.20
4562949	16.00	30830.40
4569348	46.00	60826.26
4569348	46.00	48346.00
4569348	25.00	47898.00
4706437	8.00	12339.76
4833511	44.00	76330.76
4833511	49.00	101331.02
4833511	31.00	40124.54
4833511	37.00	39890.44
1616512	50.00	66511.50
3433858	9.00	15937.02
3540450	2.00	3249.42
3540450	8.00	14182.56
3568032	28.00	33464.48
3838532	34.00	37066.12
3909318	4.00	6482.48
3936550	47.00	73864.26
3936550	17.00	16456.51
3945702	6.00	9676.08
3945702	25.00	27251.25
3945702	17.00	32452.66
3945702	9.00	12053.79
4039460	45.00	80494.65
4039460	16.00	23926.88
4065153	29.00	59855.42
4068771	37.00	51960.95
4982115	8.00	8120.48
5096387	39.00	48331.53
5096387	8.00	10289.68
5206016	1.00	1382.42
5206016	26.00	30890.60
5207073	18.00	19980.90
5293862	30.00	39636.60
5293862	43.00	50916.30
5293862	3.00	4153.26
5323937	41.00	42891.33
5347076	31.00	33760.55
5383973	12.00	23843.52
2510146	41.00	57293.40
2554949	41.00	54869.48
2747429	22.00	42743.80
2818886	14.00	19268.34
2818886	4.00	6986.60
4641314	46.00	76388.98
5621349	36.00	72214.20
5621349	11.00	18355.59
5739076	34.00	47645.56
374723	25.00	44095.50
374723	17.00	30085.92
440964	46.00	49549.82
440964	1.00	1735.72
579908	33.00	53513.13
601794	14.00	17727.08
601794	47.00	92020.36
601794	41.00	69766.01
3312867	28.00	39797.52
3312867	16.00	26184.96
3312867	9.00	15918.66
3312867	46.00	77998.06
4593444	50.00	86689.50
4743364	41.00	57866.99
4942119	11.00	13687.52
5080485	19.00	29004.26
5129313	32.00	38083.52
4960614	10.00	18809.70
4960614	21.00	32035.29
5228454	39.00	49888.41
5407235	45.00	85723.65
4327493	25.00	43917.25
3580034	3.00	5189.25
3580034	6.00	8462.94
3868359	36.00	48649.68
3868359	9.00	14891.76
3942656	10.00	20439.60
3942656	45.00	71217.45
3942656	41.00	65292.91
4068167	40.00	78076.80
1427296	40.00	78837.20
1495106	38.00	61432.32
4810978	39.00	70464.03
5112389	36.00	63132.48
5112389	11.00	18851.58
5452483	27.00	29133.81
5452483	47.00	84492.37
5745185	35.00	43549.45
5811008	50.00	92090.50
14656	21.00	31469.13
146884	36.00	59384.16
152289	28.00	42744.24
5003109	35.00	63345.80
5003109	21.00	19446.21
1620672	13.00	16774.81
1620672	13.00	14874.73
1925447	12.00	18090.36
2014848	44.00	43122.64
2014848	30.00	37444.50
2084997	2.00	2314.38
2084997	7.00	8401.47
380740	29.00	39709.12
5237730	49.00	80245.83
5406599	32.00	34849.28
5406599	18.00	31764.24
5425221	15.00	16890.60
5569570	47.00	82428.60
5569570	38.00	47089.60
5789540	48.00	60448.80
5794178	41.00	48383.28
164711	34.00	51323.68
4203687	5.00	9604.20
4320612	48.00	58574.40
4593444	15.00	18844.05
438881	33.00	37523.31
4827302	34.00	37402.04
4827302	8.00	11235.84
4999392	11.00	21019.79
5003462	42.00	44693.04
5271109	45.00	92159.10
5271109	32.00	36035.20
5287012	23.00	25902.60
5453440	14.00	17084.20
5206661	38.00	75200.86
5206661	5.00	8093.30
5754464	17.00	30237.90
5754464	50.00	50851.00
883557	40.00	56452.80
5590690	29.00	52283.23
5959683	15.00	23001.90
5987111	24.00	29619.36
5987111	36.00	64254.24
139072	46.00	72568.22
152289	21.00	32961.39
152289	49.00	60576.74
324740	44.00	85618.28
427971	24.00	45477.84
1572644	43.00	72309.66
1868608	17.00	24725.65
1959365	34.00	47820.66
1959365	22.00	44879.12
106243	19.00	36172.58
106243	14.00	20923.42
545218	36.00	71638.56
554115	39.00	38807.73
554115	44.00	71876.64
675940	30.00	40151.40
888615	38.00	68238.88
888615	15.00	18244.35
1252005	3.00	3081.30
1252005	37.00	50293.73
823525	7.00	7147.00
998598	25.00	33407.75
1061287	36.00	41585.76
1400006	5.00	8578.20
2264739	38.00	54242.34
2379907	33.00	46810.83
2379907	41.00	61398.73
2379907	6.00	7195.74
2671747	15.00	23992.95
2671747	11.00	19367.92
846112	8.00	11819.60
846112	33.00	50013.48
846112	50.00	89338.50
1521157	39.00	54964.65
1584903	49.00	72443.56
1943620	9.00	11297.97
1954561	16.00	20323.04
1954561	33.00	49649.16
2022438	17.00	33335.98
2022438	18.00	25748.28
2809669	37.00	38003.07
2870055	7.00	9116.24
2870055	19.00	36403.81
1353314	27.00	29187.81
1357410	15.00	18933.15
1357410	1.00	1509.42
1733158	41.00	57296.68
1733158	27.00	43267.50
1733158	42.00	55707.12
1733158	30.00	36005.40
1823424	38.00	63255.56
1823424	27.00	36190.80
1982691	4.00	5044.96
1428645	42.00	54063.24
1478917	8.00	12596.48
1478917	10.00	17117.30
1843907	34.00	64151.20
1843907	6.00	12521.94
2333249	19.00	22974.61
2370438	5.00	7843.10
2507303	12.00	16383.36
2522405	30.00	33660.60
2522405	8.00	12469.04
2522405	43.00	75407.38
2546947	7.00	10475.71
2646244	40.00	59098.40
2290245	46.00	85410.50
2302246	9.00	13874.22
2632326	2.00	3609.78
2096544	4.00	6706.36
2720773	19.00	34365.68
5235045	48.00	78939.84
5489316	37.00	59739.83
5489316	7.00	12388.81
1275745	16.00	25352.64
1275745	34.00	63676.22
1288420	15.00	25676.70
1288420	28.00	29820.28
1365316	32.00	48718.08
1365316	33.00	62893.38
2872675	47.00	79652.31
2872675	20.00	34916.60
3326466	48.00	83601.12
3326466	10.00	15895.80
3431909	38.00	42941.14
2892036	7.00	10573.22
3193248	46.00	90940.62
3357730	3.00	5378.19
3401094	2.00	3012.98
3401094	30.00	48828.60
3478503	27.00	30321.81
360067	1.00	1509.52
360067	8.00	13276.56
360067	4.00	6278.16
1519395	34.00	40265.52
1519395	27.00	31377.51
1522214	4.00	4652.88
1522214	30.00	43093.80
1649920	3.00	2877.00
1884448	7.00	13250.44
2035073	47.00	81106.02
2035073	2.00	3337.42
3950849	50.00	84787.00
3950849	7.00	13326.74
3986496	49.00	71123.99
3986496	14.00	24343.06
3986496	44.00	65406.44
3994567	14.00	14631.54
3994567	13.00	18685.55
4084932	17.00	17357.17
4084932	30.00	40988.40
3699876	34.00	53606.10
441696	48.00	92730.24
441696	44.00	86588.92
554115	25.00	39016.00
554115	26.00	33549.36
709665	20.00	35675.80
801249	45.00	53422.65
846112	19.00	20065.14
1050688	50.00	64715.50
1050688	33.00	42615.87
2205862	7.00	13180.86
2205862	34.00	54831.80
2205862	21.00	29618.40
2333249	3.00	3360.60
2333249	39.00	78740.22
2392480	40.00	74514.00
2643777	20.00	37756.40
4192001	34.00	52036.66
4192001	32.00	57751.04
4192001	1.00	1123.17
4208006	39.00	69878.64
4254181	17.00	30033.39
4468801	44.00	61528.72
4468801	38.00	45344.26
4563873	41.00	40017.64
4616224	12.00	20648.88
4328998	23.00	35661.50
4391456	13.00	12480.00
4391456	40.00	56179.20
4411653	46.00	85508.02
4455394	33.00	50504.85
4455394	17.00	18293.53
4455394	36.00	42665.76
4810978	44.00	70781.48
1131267	13.00	24556.74
1131267	29.00	40261.57
1267014	3.00	4588.83
1267014	3.00	5567.25
1267014	47.00	70054.91
1267014	17.00	31854.26
1478917	40.00	75150.80
1674405	22.00	40169.58
3562055	5.00	9033.65
3562055	1.00	1815.77
3696386	8.00	7504.16
3860257	28.00	49135.24
5917185	42.00	77990.22
5917185	15.00	22551.30
5999748	21.00	22010.31
4881061	26.00	39244.66
4953319	24.00	22320.00
5261861	35.00	42568.75
5261861	26.00	41851.68
2106343	26.00	38961.00
2249606	44.00	66155.76
2279493	28.00	40863.48
2342115	32.00	51602.56
2524452	12.00	14377.68
2524452	24.00	29380.08
2524452	29.00	48099.69
2524452	18.00	35818.56
5925216	3.00	3042.03
5957861	16.00	28284.48
4485731	12.00	16563.36
4485731	17.00	20555.21
4516484	8.00	8912.32
4562949	15.00	23797.50
4569348	22.00	21561.10
4603875	32.00	44172.80
4603875	48.00	92008.80
4706437	27.00	47595.60
4968519	38.00	65847.16
4972039	39.00	67032.03
5027840	18.00	25675.56
5199234	37.00	43738.81
