lo_orderkey	lo_linenumber	lo_custkey	lo_partkey	lo_suppkey	lo_orderdate	lo_orderpriority	lo_shippriority	lo_quantity	lo_extendedprice	lo_ordtotalprice	lo_discount	lo_revenue	lo_supplycost	lo_tax	lo_commitdate	lo_shipmode
68000	2	28733	28121	5493	19960420	1-URGENT	0	16.00	1678592.00	18762268.00	0.00	1678592.00	62947.00	7.00	19960614	MAIL
68000	3	28733	24710	287	19960420	1-URGENT	0	21.00	3432891.00	18762268.00	2.00	3364233.00	98082.00	1.00	19960529	RAIL
68000	4	28733	98188	7969	19960420	1-URGENT	0	1.00	118618.00	18762268.00	3.00	115059.00	71170.00	2.00	19960703	FOB
68000	5	28733	38822	9152	19960420	1-URGENT	0	35.00	6162870.00	18762268.00	7.00	5731469.00	105649.00	4.00	19960625	SHIP
68000	6	28733	73014	6665	19960420	1-URGENT	0	30.00	2961030.00	18762268.00	5.00	2812978.00	59220.00	6.00	19960703	SHIP
72000	1	22288	65256	9813	19940904	3-MEDIUM	0	6.00	732750.00	28095018.00	4.00	703440.00	73275.00	4.00	19941126	REG AIR
72000	2	22288	142725	6351	19940904	3-MEDIUM	0	19.00	3358668.00	28095018.00	8.00	3089974.00	106063.00	1.00	19941020	RAIL
72000	3	22288	170534	8869	19940904	3-MEDIUM	0	34.00	5455402.00	28095018.00	0.00	5455402.00	96271.00	8.00	19941124	REG AIR
72000	4	22288	163960	220	19940904	3-MEDIUM	0	35.00	7083860.00	28095018.00	1.00	7013021.00	121437.00	8.00	19941203	TRUCK
72000	5	22288	63180	4599	19940904	3-MEDIUM	0	28.00	3200904.00	28095018.00	9.00	2912822.00	68590.00	2.00	19941010	RAIL
72000	6	22288	54871	2049	19940904	3-MEDIUM	0	45.00	8216415.00	28095018.00	5.00	7805594.00	109552.00	0.00	19941004	RAIL
76000	1	5363	127003	5454	19930404	5-LOW	0	46.00	4738000.00	19939027.00	10.00	4264200.00	61800.00	6.00	19930701	AIR
76000	2	5363	131769	8069	19930404	5-LOW	0	42.00	7563192.00	19939027.00	8.00	6958136.00	108045.00	8.00	19930608	FOB
76000	3	5363	28475	9025	19930404	5-LOW	0	20.00	2806940.00	19939027.00	0.00	2806940.00	84208.00	3.00	19930608	FOB
76000	4	5363	175268	7102	19930404	5-LOW	0	3.00	402978.00	19939027.00	4.00	386858.00	80595.00	2.00	19930601	TRUCK
76000	5	5363	119730	1998	19930404	5-LOW	0	27.00	4724271.00	19939027.00	6.00	4440814.00	104983.00	4.00	19930626	AIR
80000	1	12035	84892	593	19951215	5-LOW	0	34.00	6381426.00	14277584.00	3.00	6189983.00	112613.00	1.00	19960205	AIR
80000	2	12035	171463	1156	19951215	5-LOW	0	13.00	1994798.00	14277584.00	9.00	1815266.00	92067.00	4.00	19960208	SHIP
80000	3	12035	166251	1692	19951215	5-LOW	0	43.00	5664175.00	14277584.00	0.00	5664175.00	79035.00	6.00	19960225	MAIL
80000	4	12035	173191	4930	19951215	5-LOW	0	1.00	126419.00	14277584.00	2.00	123890.00	75851.00	8.00	19960121	TRUCK
84000	1	3770	123345	49	19920125	3-MEDIUM	0	35.00	4789190.00	27711558.00	5.00	4549730.00	82100.00	2.00	19920324	RAIL
84000	2	3770	54572	1582	19920125	3-MEDIUM	0	15.00	2289855.00	27711558.00	10.00	2060869.00	91594.00	8.00	19920327	SHIP
84000	3	3770	187164	3701	19920125	3-MEDIUM	0	50.00	6255800.00	27711558.00	0.00	6255800.00	75069.00	0.00	19920420	MAIL
84000	4	3770	55981	9827	19920125	3-MEDIUM	0	40.00	7747920.00	27711558.00	7.00	7205565.00	116218.00	1.00	19920411	MAIL
84000	5	3770	65323	4389	19920125	3-MEDIUM	0	40.00	5153280.00	27711558.00	7.00	4792550.00	77299.00	5.00	19920325	RAIL
84000	6	3770	73592	1488	19920125	3-MEDIUM	0	14.00	2191826.00	27711558.00	0.00	2191826.00	93935.00	4.00	19920325	SHIP
88000	1	1987	47050	6414	19980130	4-NOT SPECI	0	0.00	0.00	0.00	2.00	0.00	59823.00	7.00	19980317	MAIL
88000	2	1987	159347	8120	19980130	4-NOT SPECI	0	0.00	0.00	0.00	1.00	0.00	84380.00	5.00	19980412	REG AIR
92000	1	21688	101036	453	19920203	2-HIGH	0	44.00	4562932.00	7295782.00	0.00	4562932.00	62221.00	2.00	19920405	RAIL
92000	2	21688	100057	7085	19920203	2-HIGH	0	14.00	1479870.00	7295782.00	8.00	1361480.00	63423.00	5.00	19920311	SHIP
92000	3	21688	42329	6595	19920203	2-HIGH	0	9.00	1144188.00	7295782.00	1.00	1132746.00	76279.00	7.00	19920420	REG AIR
96000	1	7880	176940	7147	19951019	3-MEDIUM	0	15.00	3025410.00	10187620.00	1.00	2995155.00	121016.00	0.00	19951218	FOB
96000	2	7880	25128	8419	19951019	3-MEDIUM	0	49.00	5160288.00	10187620.00	2.00	5057082.00	63187.00	5.00	19951211	TRUCK
96000	3	7880	115660	3150	19951019	3-MEDIUM	0	7.00	1172962.00	10187620.00	3.00	1137773.00	100539.00	0.00	19951202	FOB
96000	4	7880	86257	1476	19951019	3-MEDIUM	0	6.00	745950.00	10187620.00	4.00	716112.00	74595.00	4.00	19960108	AIR
100000	1	19510	53864	2708	19920527	3-MEDIUM	0	26.00	4726436.00	11431800.00	4.00	4537378.00	109071.00	1.00	19920801	AIR
100000	2	19510	90845	8143	19920527	3-MEDIUM	0	8.00	1468672.00	11431800.00	9.00	1336491.00	110150.00	0.00	19920721	TRUCK
100000	3	19510	19255	8502	19920527	3-MEDIUM	0	41.00	4814425.00	11431800.00	9.00	4381126.00	70455.00	3.00	19920730	TRUCK
100000	4	19510	5185	9464	19920527	3-MEDIUM	0	9.00	981162.00	11431800.00	2.00	961538.00	65410.00	4.00	19920803	RAIL
