count(distinct l_linenumber)
7
sum(distinct l_linenumber)	avg(distinct l_linenumber)	count(distinct l_linenumber)
8960	6461	0.05
8987	6488	0.06
9041	4042	0.08
9043	1544	0.08
9056	6557	0.04
9062	6563	0.04
9074	1575	0.06
9164	1665	0.06
9177	1678	0.00
9181	9182	0.03
9193	4194	0.02
9204	9205	0.01
9246	1747	0.01
9253	1754	0.01
9312	6813	0.05
9358	6859	0.05
9371	4372	0.01
9438	4439	0.07
9457	6958	0.03
9463	4464	0.06
9481	6982	0.06
9491	9492	0.02
9508	9509	0.08
9561	4562	0.02
9567	7068	0.08
9576	7077	0.05
9594	9595	0.02
9600	4601	0.04
9631	9632	0.02
9693	2194	0.03
9721	4722	0.07
9760	7261	0.03
9762	2263	0.02
9767	9768	0.08
9768	4769	0.01
9770	2271	0.08
9775	4776	0.10
9799	7300	0.00
9852	2353	0.04
9855	4856	0.07
9871	7372	0.02
9888	9889	0.04
9920	2421	0.01
9924	7425	0.05
9960	9961	0.07
9982	9983	0.08
10003	2505	0.03
10005	2507	0.06
10020	21	0.02
10143	5146	0.05
10157	5160	0.00
10196	5199	0.08
10202	5205	0.02
10236	5239	0.07
10259	7763	0.01
10263	2765	0.06
10287	7791	0.00
10288	2790	0.06
10303	7807	0.08
10304	7808	0.00
10313	5316	0.08
10337	2839	0.01
10356	7860	0.08
10360	5363	0.05
10371	2873	0.02
10394	5397	0.04
10412	413	0.02
10426	2928	0.07
10447	7951	0.08
10461	2963	0.00
10470	5473	0.05
10518	5521	0.05
10529	530	0.06
10534	3036	0.07
10558	5561	0.01
10585	5588	0.05
10618	8122	0.06
10643	644	0.03
10655	8159	0.06
10662	663	0.00
10672	3174	0.06
10695	5698	0.06
10697	3199	0.08
10709	3211	0.00
10711	3213	0.07
10720	5723	0.01
10726	727	0.03
10744	8248	0.05
10795	8299	0.00
10802	5805	0.02
10805	806	0.06
10837	8341	0.08
10866	867	0.03
10868	5871	0.04
10883	884	0.02
10943	5946	0.07
10977	8481	0.06
11038	3540	0.03
11056	3558	0.06
11060	8564	0.03
11088	1089	0.07
11149	8653	0.06
11158	6161	0.03
11165	3667	0.04
11167	6170	0.03
11173	8677	0.08
11175	6178	0.00
11181	1182	0.05
11261	6264	0.07
11278	1279	0.04
11281	8785	0.05
11283	6286	0.03
11284	1285	0.01
11314	8818	0.06
11323	8827	0.02
11454	6457	0.06
11457	6460	0.08
11492	1493	0.03
11497	6500	0.04
11568	1569	0.08
11605	9109	0.06
11615	4117	0.03
11627	9131	0.04
11629	1630	0.02
11673	4175	0.06
11709	6712	0.01
11725	1726	0.08
11731	6734	0.06
11734	4236	0.00
11739	4241	0.03
11739	6742	0.08
11823	4325	0.07
11860	1861	0.08
11918	9422	0.03
11921	6924	0.02
11924	9428	0.07
11972	6975	0.07
11993	6996	0.03
12001	7004	0.02
12026	7029	0.03
12029	4531	0.04
12042	9546	0.07
12109	7112	0.02
12117	9621	0.06
12126	4628	0.04
12128	7131	0.03
12130	4632	0.05
12132	2133	0.01
12152	9656	0.07
12164	4666	0.08
12218	9722	0.01
12260	9764	0.08
12275	7278	0.08
12318	2319	0.00
12350	4852	0.02
12360	9864	0.02
12405	2406	0.06
12416	4918	0.02
12436	9940	0.07
12480	2481	0.04
12496	7499	0.02
12516	7519	0.08
12532	36	0.08
12533	2534	0.04
12612	5114	0.03
12673	177	0.01
12688	5190	0.07
12718	7721	0.05
12785	2786	0.01
12790	294	0.04
12812	5314	0.01
12852	7855	0.04
12855	359	0.04
12896	5398	0.07
12903	5405	0.08
12911	2912	0.04
12941	7944	0.07
12947	5449	0.05
12962	7965	0.02
12987	5489	0.05
13052	3053	0.00
13094	8097	0.02
13137	641	0.00
13144	8147	0.01
13150	654	0.00
13179	3180	0.07
13185	3186	0.06
13198	8201	0.07
13217	3218	0.01
13228	732	0.00
13252	8255	0.04
13272	5774	0.05
13347	8350	0.08
13356	860	0.08
13360	864	0.06
13382	8385	0.04
13423	8426	0.08
13460	964	0.08
13471	8474	0.06
13478	8481	0.00
13488	5990	0.02
13505	1009	0.05
13512	1016	0.07
13522	3523	0.07
13523	1027	0.03
13566	3567	0.07
13584	3585	0.03
13595	8598	0.04
13613	8616	0.05
13621	6123	0.00
13657	8660	0.05
13659	3660	0.06
13664	6166	0.00
13676	3677	0.08
13698	3699	0.02
13720	1224	0.03
13750	1254	0.03
13793	1297	0.01
13808	1312	0.04
13876	8879	0.07
13880	3881	0.06
13891	1395	0.01
13894	6396	0.02
13915	8918	0.05
13918	1422	0.05
13932	6434	0.02
13937	3938	0.01
13949	3950	0.08
13953	8956	0.03
13957	6459	0.01
13957	8960	0.04
13981	3982	0.08
14038	6540	0.01
14058	6560	0.01
14060	4061	0.05
14138	4139	0.00
14212	1716	0.05
14218	6720	0.07
14237	1741	0.08
14238	1742	0.07
14312	6814	0.07
14355	1859	0.06
14390	1894	0.02
14473	1977	0.00
14480	6982	0.02
14487	9490	0.02
14500	4501	0.01
14601	4602	0.07
14617	7119	0.00
14625	4626	0.00
14650	7152	0.00
14679	7181	0.06
14681	2185	0.06
14707	2211	0.07
14714	4715	0.03
14722	7224	0.01
14728	7230	0.08
14730	4731	0.01
14732	4733	0.03
14764	9767	0.00
14785	9788	0.01
14885	7387	0.01
14918	2422	0.04
14933	7435	0.04
14948	2452	0.05
14973	7475	0.05
14977	4978	0.03
14990	4991	0.08
14993	4994	0.02
15001	2505	0.08
15002	2506	0.04
15003	5004	0.05
15018	2522	0.03
15044	2548	0.02
15046	5047	0.05
15097	7599	0.07
15099	5100	0.02
15110	113	0.08
15125	128	0.04
15157	160	0.07
15229	7731	0.00
15253	7755	0.03
15264	267	0.03
15272	5273	0.02
15283	7785	0.09
15292	5293	0.04
15316	5317	0.01
15339	2843	0.04
15345	5346	0.07
15347	2851	0.04
15419	422	0.02
15473	7975	0.08
15511	3015	0.05
15635	638	0.02
15680	683	0.08
15689	8191	0.00
15706	8208	0.00
15720	5721	0.04
15742	3246	0.01
15749	3253	0.01
15771	5772	0.00
15804	8306	0.02
15828	3332	0.01
15868	5869	0.02
15871	3375	0.03
15881	884	0.00
15959	3463	0.01
15978	5979	0.08
15981	8483	0.08
15982	985	0.04
15990	5991	0.00
16023	1026	0.00
16038	1041	0.06
16090	8592	0.02
16131	8633	0.04
16135	6136	0.06
16138	6139	0.06
16175	1178	0.04
16176	8678	0.04
16188	3692	0.04
16219	8721	0.05
16224	3728	0.08
16225	3729	0.00
16240	1243	0.00
16310	8812	0.08
16321	3825	0.04
16331	3835	0.03
16370	1373	0.03
16405	6406	0.05
16420	3924	0.02
16474	1477	0.01
16475	6476	0.06
16503	6504	0.01
16565	9067	0.02
16569	4073	0.08
16605	6606	0.06
16607	6608	0.01
16621	1624	0.02
16635	1638	0.05
16637	6638	0.03
16638	6639	0.08
16655	6656	0.03
16662	6663	0.08
16681	9183	0.01
16697	4201	0.06
16705	6706	0.08
16788	4292	0.07
16818	1821	0.02
16820	4324	0.04
16855	4359	0.06
16885	6886	0.00
16885	9387	0.04
16893	9395	0.04
16902	6903	0.02
16976	1979	0.06
16996	1999	0.08
17015	2018	0.08
17017	7018	0.07
17018	4522	0.04
17028	4532	0.03
17043	2046	0.05
17043	7044	0.04
17058	4562	0.08
17065	9567	0.07
17069	2072	0.02
17074	4578	0.01
17091	2094	0.05
17130	7131	0.04
17158	4662	0.00
17179	2182	0.02
17189	9691	0.05
17248	7249	0.01
17281	7282	0.01
17295	4799	0.00
17300	7301	0.05
17330	7331	0.08
17354	7355	0.03
17366	4870	0.06
17378	2381	0.06
17380	4884	0.04
17403	9905	0.03
17410	9912	0.07
17458	4962	0.05
17473	9975	0.05
17483	9985	0.06
17492	9994	0.03
17496	5000	0.06
17510	12	0.01
17514	16	0.03
17526	28	0.01
17533	5037	0.00
17561	2564	0.02
17575	2578	0.02
17580	7581	0.00
17603	2606	0.04
17646	7647	0.00
17656	158	0.02
17670	2673	0.08
17677	179	0.02
17709	211	0.04
17710	5214	0.04
17736	5240	0.03
17738	5242	0.03
17758	7759	0.06
17762	264	0.03
17768	2771	0.08
17832	2835	0.06
17835	337	0.08
17862	7863	0.04
17878	2881	0.04
17924	2927	0.07
17936	2939	0.01
18030	532	0.02
18043	5547	0.03
18066	8067	0.04
18097	5601	0.04
18107	609	0.02
18112	3115	0.05
18148	650	0.07
18170	5674	0.01
18176	678	0.01
18185	5689	0.08
18186	5690	0.00
18187	689	0.02
18206	5710	0.03
18213	5717	0.07
18227	729	0.03
18308	5812	0.01
18312	814	0.02
18337	8338	0.00
18338	3341	0.03
18344	8345	0.05
18354	5858	0.05
18374	8375	0.04
18377	3380	0.07
18378	3381	0.02
18380	5884	0.02
18433	8434	0.01
18476	978	0.07
18478	980	0.00
18488	3491	0.05
18504	1006	0.00
18521	1023	0.06
18535	8536	0.00
18538	8539	0.04
18539	3542	0.03
18546	1048	0.07
18552	1054	0.03
18568	8569	0.07
18571	1073	0.06
18588	3591	0.08
18612	1114	0.00
18637	1139	0.04
18649	6153	0.05
18656	8657	0.03
18734	1236	0.03
18751	3754	0.08
18782	6286	0.05
18783	6287	0.05
18788	1290	0.07
18810	8811	0.08
18816	3819	0.04
18835	6339	0.07
18858	6362	0.07
18890	3893	0.03
18904	3907	0.07
18914	8915	0.01
18923	6427	0.06
18928	1430	0.06
19026	4029	0.01
19036	6540	0.00
19045	9046	0.07
19059	6563	0.00
19095	4098	0.01
19112	6616	0.00
19173	9174	0.05
19183	1685	0.00
19188	4191	0.05
19195	6699	0.06
19204	9205	0.01
19300	6804	0.07
19346	9347	0.04
19353	9354	0.03
19370	6874	0.04
19409	6913	0.00
19420	4423	0.04
19435	6939	0.06
19451	4454	0.01
19451	6955	0.05
19472	1974	0.03
19480	1982	0.08
19486	1988	0.08
19493	9494	0.05
19510	4513	0.07
19583	4586	0.03
19633	4636	0.02
19646	9647	0.07
19676	4679	0.00
19679	2181	0.01
19716	4719	0.04
19748	2250	0.02
19772	7276	0.00
19821	2323	0.02
19844	9845	0.04
19849	2351	0.04
19877	4880	0.01
19878	7382	0.00
19883	4886	0.02
19924	7428	0.07
19927	4930	0.08
19969	2471	0.02
19995	7499	0.05
20002	2505	0.00
20003	5008	0.08
20009	7516	0.02
20080	5085	0.05
20091	7598	0.05
20096	7603	0.08
20101	7608	0.01
20138	2641	0.07
20139	2642	0.06
20152	153	0.02
20193	5198	0.05
20267	7774	0.02
20285	286	0.08
20292	2795	0.03
20319	320	0.03
20393	2896	0.02
20445	446	0.04
20469	470	0.02
20471	5476	0.06
20481	5486	0.08
20489	7996	0.08
20508	5513	0.04
20527	5532	0.04
20546	3049	0.04
20590	3093	0.05
20643	5648	0.00
20646	647	0.01
20650	5655	0.03
20658	659	0.08
20711	712	0.03
20721	5726	0.01
20737	5742	0.01
20758	3261	0.04
20775	3278	0.05
20775	5780	0.04
20795	796	0.00
20829	8336	0.04
20867	8374	0.00
20879	880	0.06
20882	5887	0.03
20939	8446	0.02
20948	8455	0.08
21035	6040	0.05
21091	6096	0.03
21100	1101	0.05
21113	3616	0.01
21118	3621	0.07
21164	6169	0.07
21168	3671	0.02
21185	8692	0.04
21214	1215	0.03
21218	6223	0.08
21260	8767	0.07
21291	8798	0.03
21309	1310	0.00
21312	6317	0.04
21331	3834	0.02
21347	6352	0.04
21359	3862	0.06
21372	8879	0.05
21430	8937	0.08
21431	8938	0.04
21462	6467	0.05
21521	9028	0.05
21522	1523	0.05
21526	1527	0.00
21548	1549	0.06
21549	6554	0.08
21571	1572	0.03
21584	4087	0.04
21600	9107	0.00
21636	9143	0.04
21652	6657	0.05
21662	1663	0.07
21664	6669	0.03
21696	4199	0.08
21704	6709	0.05
21706	6711	0.01
21708	1709	0.02
21725	9232	0.08
21727	9234	0.07
21735	9242	0.00
21742	9249	0.03
21805	4308	0.01
21812	1813	0.07
21826	4329	0.04
21865	4368	0.08
21870	6875	0.07
21908	9415	0.03
21909	1910	0.08
21913	9420	0.04
22011	7016	0.08
22035	2036	0.06
22049	7054	0.04
22079	9586	0.08
22081	7086	0.00
22112	7117	0.01
22150	2151	0.00
22155	9662	0.00
22195	2196	0.06
22206	9713	0.00
22210	4713	0.04
22240	4743	0.07
22246	4749	0.02
22346	7351	0.08
22352	9859	0.03
22353	2354	0.07
22387	4890	0.02
22394	9901	0.03
22399	2400	0.05
22435	4938	0.08
22445	7450	0.05
22493	2494	0.02
22590	5093	0.01
22609	2610	0.00
22620	7625	0.07
22630	5133	0.03
22648	5151	0.02
22676	7681	0.01
22677	184	0.05
22683	190	0.01
22696	2697	0.02
22746	2747	0.02
22777	7782	0.05
22788	2789	0.01
22835	2836	0.05
22847	7852	0.04
22862	7867	0.00
22897	5400	0.06
22944	451	0.07
22952	7957	0.01
22967	2968	0.06
22990	497	0.08
23024	5527	0.01
23025	532	0.02
23029	5532	0.03
23054	3055	0.03
23056	8061	0.08
23063	5566	0.06
23137	644	0.08
23148	8153	0.05
23149	3150	0.01
23153	660	0.06
23176	3177	0.02
23196	3197	0.03
23216	3217	0.13
23226	3227	0.02
23236	5739	0.01
23256	8261	0.04
23297	3298	0.06
23307	814	0.05
23321	828	0.04
23349	8354	0.01
23369	8374	0.05
23375	882	0.08
23397	904	0.04
23419	926	0.05
23480	987	0.02
23482	989	0.00
23483	8488	0.08
23514	3515	0.00
23568	8573	0.02
23585	1092	0.01
23646	3647	0.00
23652	8657	0.06
23675	1182	0.06
23675	3676	0.00
23676	6179	0.08
23678	1185	0.06
23683	3684	0.06
23687	3688	0.08
23726	1233	0.05
23748	8753	0.07
23786	6289	0.02
23796	1303	0.02
23834	1341	0.04
23875	1382	0.05
23917	8922	0.00
23918	6421	0.06
23932	3933	0.05
23938	1445	0.04
23960	6463	0.08
24007	1514	0.03
24027	1534	0.04
24092	6595	0.01
24137	6640	0.02
24231	1738	0.06
24267	4268	0.02
24278	4279	0.06
24284	4285	0.04
24286	1793	0.00
24329	9334	0.08
24334	4335	0.05
24359	9364	0.02
24361	1868	0.01
24410	6913	0.03
24411	9416	0.03
24435	4436	0.02
24472	9477	0.05
24474	4475	0.02
24483	6986	0.07
24493	2000	0.00
24498	2005	0.01
24501	2008	0.01
24521	4522	0.03
24527	4528	0.06
24543	2050	0.07
24553	7056	0.04
24556	9561	0.03
24579	9584	0.01
24597	2104	0.00
24603	2110	0.03
24643	4644	0.05
24644	7147	0.02
24718	9723	0.08
24829	9834	0.01
24830	9835	0.08
24881	4882	0.07
24887	9892	0.02
24932	2439	0.07
24933	9938	0.04
24937	9942	0.01
24971	7474	0.02
24974	9979	0.06
25003	7506	0.03
25080	85	0.01
25083	2590	0.02
25106	5107	0.08
25111	7614	0.02
25166	2673	0.07
25189	5190	0.05
25235	240	0.03
25241	7744	0.05
25243	248	0.08
25246	7749	0.02
25254	2761	0.07
25258	263	0.08
25261	266	0.03
25270	7773	0.02
25276	5277	0.05
25327	2834	0.00
25343	2850	0.03
25365	7868	0.02
25382	7885	0.06
25400	7903	0.06
25423	7926	0.06
25491	496	0.06
25494	7997	0.05
25511	8014	0.06
25560	565	0.02
25572	577	0.02
25581	5582	0.04
25594	5595	0.00
25641	646	0.03
25679	684	0.00
25684	5685	0.08
25700	3207	0.04
25711	3218	0.04
25711	8214	0.07
25722	8225	0.01
25745	5746	0.07
25832	3339	0.08
25886	891	0.01
25894	5895	0.07
25896	8399	0.08
25919	5920	0.04
25952	3459	0.00
25967	3474	0.03
25976	5977	0.03
25985	5986	0.02
25994	3501	0.06
26013	1018	0.06
26054	1059	0.05
26065	3572	0.00
26080	6081	0.00
26100	6101	0.03
26164	1169	0.04
26169	3676	0.08
26225	8728	0.06
26265	3772	0.07
26279	1284	0.05
26300	3807	0.03
26318	3825	0.02
26347	6348	0.05
26389	6390	0.07
26428	6429	0.05
26490	8993	0.03
26536	1541	0.06
26561	9064	0.02
26584	6585	0.06
26601	4108	0.00
26610	6611	0.02
26658	4165	0.02
26677	9180	0.06
26716	1721	0.08
26745	1750	0.03
26756	9259	0.01
26760	9263	0.06
26765	6766	0.05
26809	1814	0.08
26812	4319	0.02
26817	4324	0.06
26844	4351	0.07
26850	4357	0.02
26850	6851	0.06
26853	4360	0.02
26861	9364	0.08
26885	9388	0.01
26905	1910	0.07
26948	1953	0.08
27031	7032	0.03
27039	4546	0.00
27080	9583	0.02
27109	2114	0.01
27157	4664	0.03
27199	4706	0.08
27230	7231	0.08
27255	2260	0.06
27279	9782	0.01
27286	2291	0.02
27289	9792	0.00
27296	2301	0.07
27319	9822	0.00
27321	9824	0.03
27331	2336	0.04
27338	4845	0.08
27342	9845	0.08
27389	7390	0.03
27410	9913	0.00
27451	7452	0.04
27460	2465	0.05
27486	2491	0.05
27523	5030	0.08
27554	7555	0.04
27593	5100	0.04
27603	5110	0.06
27671	174	0.04
27679	7680	0.00
27701	7702	0.04
27711	7712	0.01
27719	7720	0.05
27798	2803	0.03
27850	353	0.07
27876	379	0.08
27878	5385	0.07
27897	5404	0.07
27973	2978	0.01
27979	5486	0.03
27981	2986	0.02
27986	7987	0.05
27999	5506	0.02
28004	8005	0.03
28017	3022	0.07
28027	530	0.08
28056	3061	0.06
28070	5577	0.03
28073	3078	0.07
28073	8074	0.04
28082	5589	0.00
28091	594	0.00
28099	5606	0.05
28175	5682	0.05
28184	3189	0.04
28201	3206	0.02
28244	8245	0.07
28259	8260	0.04
28274	777	0.08
28284	5791	0.00
28284	8285	0.00
28285	8286	0.06
28339	3344	0.03
28343	8344	0.01
28360	5867	0.07
28371	874	0.02
28378	5885	0.06
28403	5910	0.03
28410	5917	0.01
28431	8432	0.04
28438	8439	0.03
28443	8444	0.08
28459	8460	0.00
28480	3485	0.03
28488	991	0.03
28495	998	0.02
28536	3541	0.03
28550	6057	0.04
28571	6078	0.00
28573	1076	0.05
28574	1077	0.07
28586	8587	0.04
28589	8590	0.00
28592	6099	0.04
28629	6136	0.02
28635	6142	0.03
28653	3658	0.06
28659	3664	0.07
28768	3773	0.06
28779	1282	0.04
28785	3790	0.08
28792	8793	0.03
28806	1309	0.00
28825	1328	0.03
28839	6346	0.06
28850	3855	0.08
28873	3878	0.03
28881	6388	0.08
28907	1410	0.07
28912	6419	0.01
28933	3938	0.02
29004	1507	0.07
29022	4027	0.07
29048	6555	0.04
29129	4134	0.06
29162	4167	0.08
29222	1725	0.05
29285	1788	0.08
29287	4292	0.02
29313	1816	0.05
29316	6823	0.00
29341	1844	0.02
29380	1883	0.06
29421	4426	0.04
29454	6961	0.03
29550	4555	0.08
29570	2073	0.06
29590	4595	0.06
29603	7110	0.04
29613	4618	0.08
29629	2132	0.00
29633	7140	0.08
29636	2139	0.06
29674	4679	0.01
29705	7212	0.02
29709	2212	0.00
29726	4731	0.03
29744	4749	0.02
29757	2260	0.02
29760	9761	0.07
29762	2265	0.00
29782	2285	0.06
29803	4808	0.02
29825	2328	0.04
29854	9855	0.04
29869	7376	0.08
29895	9896	0.03
29905	4910	0.02
29968	2471	0.04
30016	2520	0.07
30026	2530	0.00
30052	53	0.06
30061	5068	0.02
30133	5140	0.02
30142	143	0.06
30158	2662	0.07
30160	5167	0.07
30170	7680	0.02
30179	5186	0.00
30186	7696	0.00
30208	209	0.06
30220	5227	0.06
30220	7730	0.00
30240	5247	0.05
30245	7755	0.01
30291	292	0.03
30349	350	0.00
30350	5357	0.06
30417	418	0.04
30420	7930	0.06
30422	423	0.06
30439	2943	0.06
30440	5447	0.04
30480	2984	0.08
30527	528	0.08
30527	3031	0.08
