cidx	CDATE	EXTRACT( DAY FROM CDATE)
11	2009-12-31 23:59:59	59
cidx	CDATETIME	EXTRACT( HOUR FROM CDATETIME)
1	1997-01-01 00:00:00	0
2	1997-01-01 00:00:01	0
3	1997-01-02 00:00:01	0
4	1997-01-03 00:00:02	0
5	1997-01-04 00:00:03	0
6	2009-12-31 23:59:56	23
7	2009-12-31 23:59:57	23
8	2009-12-31 23:59:58	23
9	2009-12-31 23:59:59	23
10	2009-12-31 23:59:59	23
11	2009-12-31 23:59:59	23
cidx	CDATETIME	EXTRACT( DAY FROM CDATETIME)
1	1997-01-01 00:00:00	1
2	1997-01-01 00:00:01	1
3	1997-01-02 00:00:01	2
4	1997-01-03 00:00:02	3
5	1997-01-04 00:00:03	4
6	2009-12-31 23:59:56	31
7	2009-12-31 23:59:57	31
8	2009-12-31 23:59:58	31
9	2009-12-31 23:59:59	31
10	2009-12-31 23:59:59	31
11	2009-12-31 23:59:59	31
cidx	CDATETIME	EXTRACT( WEEK FROM CDATETIME)
1	1997-01-01 00:00:00	0
2	1997-01-01 00:00:01	0
3	1997-01-02 00:00:01	0
4	1997-01-03 00:00:02	0
5	1997-01-04 00:00:03	0
6	2009-12-31 23:59:56	52
7	2009-12-31 23:59:57	52
8	2009-12-31 23:59:58	52
9	2009-12-31 23:59:59	52
10	2009-12-31 23:59:59	52
11	2009-12-31 23:59:59	52
cidx	CDATETIME	EXTRACT( MONTH FROM CDATETIME)
1	1997-01-01 00:00:00	1
2	1997-01-01 00:00:01	1
3	1997-01-02 00:00:01	1
4	1997-01-03 00:00:02	1
5	1997-01-04 00:00:03	1
6	2009-12-31 23:59:56	12
7	2009-12-31 23:59:57	12
8	2009-12-31 23:59:58	12
9	2009-12-31 23:59:59	12
10	2009-12-31 23:59:59	12
11	2009-12-31 23:59:59	12
cidx	CDATETIME	EXTRACT( QUARTER FROM CDATETIME)
1	1997-01-01 00:00:00	1
2	1997-01-01 00:00:01	1
3	1997-01-02 00:00:01	1
4	1997-01-03 00:00:02	1
5	1997-01-04 00:00:03	1
6	2009-12-31 23:59:56	4
7	2009-12-31 23:59:57	4
8	2009-12-31 23:59:58	4
9	2009-12-31 23:59:59	4
10	2009-12-31 23:59:59	4
11	2009-12-31 23:59:59	4
cidx	CDATETIME	EXTRACT( YEAR FROM CDATETIME)
1	1997-01-01 00:00:00	1997
2	1997-01-01 00:00:01	1997
3	1997-01-02 00:00:01	1997
4	1997-01-03 00:00:02	1997
5	1997-01-04 00:00:03	1997
6	2009-12-31 23:59:56	2009
7	2009-12-31 23:59:57	2009
8	2009-12-31 23:59:58	2009
9	2009-12-31 23:59:59	2009
10	2009-12-31 23:59:59	2009
11	2009-12-31 23:59:59	2009
cidx	CDATETIME	EXTRACT( YEAR_MONTH FROM CDATETIME)
1	1997-01-01 00:00:00	199701
2	1997-01-01 00:00:01	199701
3	1997-01-02 00:00:01	199701
4	1997-01-03 00:00:02	199701
5	1997-01-04 00:00:03	199701
6	2009-12-31 23:59:56	200912
7	2009-12-31 23:59:57	200912
8	2009-12-31 23:59:58	200912
9	2009-12-31 23:59:59	200912
10	2009-12-31 23:59:59	200912
11	2009-12-31 23:59:59	200912
cidx	CDATETIME	EXTRACT( MINUTE_SECOND FROM CDATETIME)
1	1997-01-01 00:00:00	0
2	1997-01-01 00:00:01	1
3	1997-01-02 00:00:01	1
4	1997-01-03 00:00:02	2
5	1997-01-04 00:00:03	3
6	2009-12-31 23:59:56	5956
7	2009-12-31 23:59:57	5957
8	2009-12-31 23:59:58	5958
9	2009-12-31 23:59:59	5959
10	2009-12-31 23:59:59	5959
11	2009-12-31 23:59:59	5959
cidx	CDATETIME	EXTRACT( HOUR_SECOND FROM CDATETIME)
1	1997-01-01 00:00:00	0
2	1997-01-01 00:00:01	1
3	1997-01-02 00:00:01	1
4	1997-01-03 00:00:02	2
5	1997-01-04 00:00:03	3
6	2009-12-31 23:59:56	235956
7	2009-12-31 23:59:57	235957
8	2009-12-31 23:59:58	235958
9	2009-12-31 23:59:59	235959
10	2009-12-31 23:59:59	235959
11	2009-12-31 23:59:59	235959
cidx	CDATETIME	EXTRACT( HOUR_MINUTE FROM CDATETIME)
1	1997-01-01 00:00:00	0
2	1997-01-01 00:00:01	0
3	1997-01-02 00:00:01	0
4	1997-01-03 00:00:02	0
5	1997-01-04 00:00:03	0
6	2009-12-31 23:59:56	2359
7	2009-12-31 23:59:57	2359
8	2009-12-31 23:59:58	2359
9	2009-12-31 23:59:59	2359
10	2009-12-31 23:59:59	2359
11	2009-12-31 23:59:59	2359
cidx	CDATETIME	EXTRACT( DAY_SECOND FROM CDATETIME)
1	1997-01-01 00:00:00	1000000
2	1997-01-01 00:00:01	1000001
3	1997-01-02 00:00:01	2000001
4	1997-01-03 00:00:02	3000002
5	1997-01-04 00:00:03	4000003
6	2009-12-31 23:59:56	31235956
7	2009-12-31 23:59:57	31235957
8	2009-12-31 23:59:58	31235958
9	2009-12-31 23:59:59	31235959
10	2009-12-31 23:59:59	31235959
11	2009-12-31 23:59:59	31235959
cidx	CDATETIME	EXTRACT( DAY_MINUTE FROM CDATETIME)
1	1997-01-01 00:00:00	10000
2	1997-01-01 00:00:01	10000
3	1997-01-02 00:00:01	20000
4	1997-01-03 00:00:02	30000
5	1997-01-04 00:00:03	40000
6	2009-12-31 23:59:56	312359
7	2009-12-31 23:59:57	312359
8	2009-12-31 23:59:58	312359
9	2009-12-31 23:59:59	312359
10	2009-12-31 23:59:59	312359
11	2009-12-31 23:59:59	312359
cidx	CDATETIME	EXTRACT( DAY_HOUR FROM CDATETIME)
1	1997-01-01 00:00:00	100
2	1997-01-01 00:00:01	100
3	1997-01-02 00:00:01	200
4	1997-01-03 00:00:02	300
5	1997-01-04 00:00:03	400
6	2009-12-31 23:59:56	3123
7	2009-12-31 23:59:57	3123
8	2009-12-31 23:59:58	3123
9	2009-12-31 23:59:59	3123
10	2009-12-31 23:59:59	3123
11	2009-12-31 23:59:59	3123
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
cidx	CDATETIME
1	1997-01-01 00:00:00
cidx	CDATETIME
1	1997-01-01 00:00:00
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
