cidx	CCHAR1	POSITION('aaa' IN CCHAR1)
2	f	0
3	ff	0
4	fff	0
5	ffff	0
6	uuuuuu	0
7	uuuuuu	0
8	uuuuuu	0
9	uuuuuu	0
10	zzzzzz	0
11	NULL	NULL
cidx	CCHAR6	POSITION('zzzzzzzzz' IN CCHAR6)
1	aaaaaa	0
2	f	0
3	ff	0
4	fff	0
5	ffff	0
6	uuuuuu	0
7	uuuuuu	0
8	uuuuuu	0
9	uuuuuu	0
10	zzzzzz	0
11	NULL	NULL
cidx	CCHAR7	POSITION('aaa' IN CCHAR7)
1	aaaaaaa	1
2	g	0
3	gg	0
4	ggg	0
5	gggg	0
6	ttttttt	0
7	ttttttt	0
8	ttttttt	0
9	ttttttt	0
10	zzzzzzz	0
11	NULL	NULL
cidx	CCHAR7	POSITION('zzz' IN CCHAR7)
1	aaaaaaa	0
2	g	0
3	gg	0
4	ggg	0
5	gggg	0
6	ttttttt	0
7	ttttttt	0
8	ttttttt	0
9	ttttttt	0
10	zzzzzzz	1
11	NULL	NULL
cidx	CCHAR7	POSITION('aaaaaaaaa' IN CCHAR7)
1	aaaaaaa	0
2	g	0
3	gg	0
4	ggg	0
5	gggg	0
6	ttttttt	0
7	ttttttt	0
8	ttttttt	0
9	ttttttt	0
10	zzzzzzz	0
11	NULL	NULL
cidx	CCHAR7	POSITION('zzzzzzzzz' IN CCHAR7)
1	aaaaaaa	0
2	g	0
3	gg	0
4	ggg	0
5	gggg	0
6	ttttttt	0
7	ttttttt	0
8	ttttttt	0
9	ttttttt	0
10	zzzzzzz	0
11	NULL	NULL
cidx	CCHAR8	POSITION('aaa' IN CCHAR8)
1	aaaaaaaa	1
2	h	0
3	hh	0
4	hhh	0
5	hhhh	0
6	sssssss	0
7	ssssssss	0
8	ssssssss	0
9	ssssssss	0
10	zzzzzzzz	0
11	NULL	NULL
cidx	CCHAR8	POSITION('zzz' IN CCHAR8)
1	aaaaaaaa	0
2	h	0
3	hh	0
4	hhh	0
5	hhhh	0
6	sssssss	0
7	ssssssss	0
8	ssssssss	0
9	ssssssss	0
10	zzzzzzzz	1
11	NULL	NULL
cidx	CCHAR8	POSITION('aaaaaaaaa' IN CCHAR8)
1	aaaaaaaa	0
2	h	0
3	hh	0
4	hhh	0
5	hhhh	0
6	sssssss	0
7	ssssssss	0
8	ssssssss	0
9	ssssssss	0
10	zzzzzzzz	0
11	NULL	NULL
cidx	CCHAR8	POSITION('zzzzzzzzz' IN CCHAR8)
1	aaaaaaaa	0
2	h	0
3	hh	0
4	hhh	0
5	hhhh	0
6	sssssss	0
7	ssssssss	0
8	ssssssss	0
9	ssssssss	0
10	zzzzzzzz	0
11	NULL	NULL
cidx	CCHAR9	POSITION('aaa' IN CCHAR9)
1	aaaaaaaaa	1
2	i	0
3	ii	0
4	iii	0
5	iiii	0
6	rrrrrrr	0
7	rrrrrrrr	0
8	rrrrrrrrr	0
9	rrrrrrrrr	0
10	zzzzzzzzz	0
11	NULL	NULL
cidx	CCHAR9	POSITION('zzz' IN CCHAR9)
1	aaaaaaaaa	0
2	i	0
3	ii	0
4	iii	0
5	iiii	0
6	rrrrrrr	0
7	rrrrrrrr	0
8	rrrrrrrrr	0
9	rrrrrrrrr	0
10	zzzzzzzzz	1
11	NULL	NULL
cidx	CCHAR9	POSITION('aaaaaaaaa' IN CCHAR9)
1	aaaaaaaaa	1
2	i	0
3	ii	0
4	iii	0
5	iiii	0
6	rrrrrrr	0
7	rrrrrrrr	0
8	rrrrrrrrr	0
9	rrrrrrrrr	0
10	zzzzzzzzz	0
11	NULL	NULL
cidx	CCHAR9	POSITION('zzzzzzzzz' IN CCHAR9)
1	aaaaaaaaa	0
2	i	0
3	ii	0
4	iii	0
5	iiii	0
6	rrrrrrr	0
7	rrrrrrrr	0
8	rrrrrrrrr	0
9	rrrrrrrrr	0
10	zzzzzzzzz	1
11	NULL	NULL
cidx	CCHAR255	POSITION('aaa' IN CCHAR255)
1	aaaaaaaaaa	1
2	j	0
3	jj	0
4	jjj	0
5	jjjj	0
6	qqqqqqq	0
7	qqqqqqqq	0
8	qqqqqqqqq	0
9	qqqqqqqqqq	0
10	zzzzzzzzzz	0
11	NULL	NULL
cidx	CCHAR255	POSITION('zzz' IN CCHAR255)
1	aaaaaaaaaa	0
2	j	0
3	jj	0
4	jjj	0
5	jjjj	0
6	qqqqqqq	0
7	qqqqqqqq	0
8	qqqqqqqqq	0
9	qqqqqqqqqq	0
10	zzzzzzzzzz	1
11	NULL	NULL
cidx	CCHAR255	POSITION('aaaaaaaaa' IN CCHAR255)
1	aaaaaaaaaa	1
2	j	0
3	jj	0
4	jjj	0
5	jjjj	0
6	qqqqqqq	0
7	qqqqqqqq	0
8	qqqqqqqqq	0
9	qqqqqqqqqq	0
10	zzzzzzzzzz	0
11	NULL	NULL
cidx	CCHAR255	POSITION('zzzzzzzzz' IN CCHAR255)
1	aaaaaaaaaa	0
2	j	0
3	jj	0
4	jjj	0
5	jjjj	0
6	qqqqqqq	0
7	qqqqqqqq	0
8	qqqqqqqqq	0
9	qqqqqqqqqq	0
10	zzzzzzzzzz	1
11	NULL	NULL
cidx	CVCHAR1	POSITION('aaa' IN CVCHAR1)
1	a	0
2	a	0
3	a	0
4	a	0
5	a	0
6	z	0
7	z	0
8	z	0
9	z	0
10	z	0
11	NULL	NULL
cidx	CVCHAR1	POSITION('zzz' IN CVCHAR1)
1	a	0
2	a	0
3	a	0
4	a	0
5	a	0
6	z	0
7	z	0
8	z	0
9	z	0
10	z	0
11	NULL	NULL
cidx	CVCHAR1	POSITION('aaaaaaaaa' IN CVCHAR1)
1	a	0
2	a	0
3	a	0
4	a	0
5	a	0
6	z	0
7	z	0
8	z	0
9	z	0
10	z	0
11	NULL	NULL
cidx	CVCHAR1	POSITION('zzzzzzzzz' IN CVCHAR1)
1	a	0
2	a	0
3	a	0
4	a	0
5	a	0
6	z	0
7	z	0
8	z	0
9	z	0
10	z	0
11	NULL	NULL
cidx	CVCHAR2	POSITION('aaa' IN CVCHAR2)
1	aa	0
2	b	0
3	bb	0
4	bb	0
5	bb	0
6	yy	0
7	yy	0
8	yy	0
9	yy	0
10	zz	0
11	NULL	NULL
cidx	CVCHAR2	POSITION('zzz' IN CVCHAR2)
1	aa	0
2	b	0
3	bb	0
4	bb	0
5	bb	0
6	yy	0
7	yy	0
8	yy	0
9	yy	0
10	zz	0
11	NULL	NULL
cidx	CVCHAR2	POSITION('aaaaaaaaa' IN CVCHAR2)
1	aa	0
2	b	0
3	bb	0
4	bb	0
5	bb	0
6	yy	0
7	yy	0
8	yy	0
9	yy	0
10	zz	0
11	NULL	NULL
cidx	CVCHAR2	POSITION('zzzzzzzzz' IN CVCHAR2)
1	aa	0
2	b	0
3	bb	0
4	bb	0
5	bb	0
6	yy	0
7	yy	0
8	yy	0
9	yy	0
10	zz	0
11	NULL	NULL
cidx	CVCHAR3	POSITION('aaa' IN CVCHAR3)
1	aaa	1
2	c	0
3	cc	0
4	ccc	0
5	ccc	0
6	xxx	0
7	xxx	0
8	xxx	0
9	xxx	0
10	zzz	0
11	NULL	NULL
cidx	CVCHAR3	POSITION('zzz' IN CVCHAR3)
1	aaa	0
2	c	0
3	cc	0
4	ccc	0
5	ccc	0
6	xxx	0
7	xxx	0
8	xxx	0
9	xxx	0
10	zzz	1
11	NULL	NULL
cidx	CVCHAR3	POSITION('aaaaaaaaa' IN CVCHAR3)
1	aaa	0
2	c	0
3	cc	0
4	ccc	0
5	ccc	0
6	xxx	0
7	xxx	0
8	xxx	0
9	xxx	0
10	zzz	0
11	NULL	NULL
cidx	CVCHAR3	POSITION('zzzzzzzzz' IN CVCHAR3)
1	aaa	0
2	c	0
3	cc	0
4	ccc	0
5	ccc	0
6	xxx	0
7	xxx	0
8	xxx	0
9	xxx	0
10	zzz	0
11	NULL	NULL
cidx	CVCHAR4	POSITION('aaa' IN CVCHAR4)
1	aaaa	1
2	d	0
3	dd	0
4	ddd	0
5	dddd	0
6	wwww	0
7	wwww	0
8	wwww	0
9	wwww	0
10	zzzz	0
11	NULL	NULL
cidx	CVCHAR4	POSITION('zzz' IN CVCHAR4)
1	aaaa	0
2	d	0
3	dd	0
4	ddd	0
5	dddd	0
6	wwww	0
7	wwww	0
8	wwww	0
9	wwww	0
10	zzzz	1
11	NULL	NULL
cidx	CVCHAR4	POSITION('aaaaaaaaa' IN CVCHAR4)
1	aaaa	0
2	d	0
3	dd	0
4	ddd	0
5	dddd	0
6	wwww	0
7	wwww	0
8	wwww	0
9	wwww	0
10	zzzz	0
11	NULL	NULL
cidx	CVCHAR4	POSITION('zzzzzzzzz' IN CVCHAR4)
1	aaaa	0
2	d	0
3	dd	0
4	ddd	0
5	dddd	0
6	wwww	0
7	wwww	0
8	wwww	0
9	wwww	0
10	zzzz	0
11	NULL	NULL
cidx	CVCHAR5	POSITION('aaa' IN CVCHAR5)
1	aaaaa	1
2	e	0
3	ee	0
4	eee	0
5	eeee	0
6	vvvvv	0
7	vvvvv	0
8	vvvvv	0
9	vvvvv	0
10	zzzzz	0
11	NULL	NULL
cidx	CVCHAR5	POSITION('zzz' IN CVCHAR5)
1	aaaaa	0
2	e	0
3	ee	0
4	eee	0
5	eeee	0
6	vvvvv	0
7	vvvvv	0
8	vvvvv	0
9	vvvvv	0
10	zzzzz	1
11	NULL	NULL
cidx	CVCHAR5	POSITION('aaaaaaaaa' IN CVCHAR5)
1	aaaaa	0
2	e	0
3	ee	0
4	eee	0
5	eeee	0
6	vvvvv	0
7	vvvvv	0
8	vvvvv	0
9	vvvvv	0
10	zzzzz	0
11	NULL	NULL
cidx	CVCHAR5	POSITION('zzzzzzzzz' IN CVCHAR5)
1	aaaaa	0
2	e	0
3	ee	0
4	eee	0
5	eeee	0
6	vvvvv	0
7	vvvvv	0
8	vvvvv	0
9	vvvvv	0
10	zzzzz	0
11	NULL	NULL
cidx	CVCHAR6	POSITION('aaa' IN CVCHAR6)
1	aaaaaa	1
2	f	0
3	ff	0
4	fff	0
5	ffff	0
6	uuuuuu	0
7	uuuuuu	0
8	uuuuuu	0
9	uuuuuu	0
10	zzzzzz	0
11	NULL	NULL
cidx	CVCHAR6	POSITION('zzz' IN CVCHAR6)
1	aaaaaa	0
2	f	0
3	ff	0
4	fff	0
5	ffff	0
6	uuuuuu	0
7	uuuuuu	0
8	uuuuuu	0
9	uuuuuu	0
10	zzzzzz	1
11	NULL	NULL
cidx	CVCHAR6	POSITION('aaaaaaaaa' IN CVCHAR6)
1	aaaaaa	0
2	f	0
3	ff	0
4	fff	0
5	ffff	0
6	uuuuuu	0
7	uuuuuu	0
8	uuuuuu	0
9	uuuuuu	0
10	zzzzzz	0
11	NULL	NULL
cidx	CVCHAR6	POSITION('zzzzzzzzz' IN CVCHAR6)
1	aaaaaa	0
2	f	0
3	ff	0
4	fff	0
5	ffff	0
6	uuuuuu	0
7	uuuuuu	0
8	uuuuuu	0
9	uuuuuu	0
10	zzzzzz	0
11	NULL	NULL
cidx	CVCHAR7	POSITION('aaa' IN CVCHAR7)
1	aaaaaaa	1
2	g	0
3	gg	0
4	ggg	0
5	gggg	0
6	ttttttt	0
7	ttttttt	0
8	ttttttt	0
9	ttttttt	0
10	zzzzzzz	0
11	NULL	NULL
cidx	CVCHAR7	POSITION('zzz' IN CVCHAR7)
1	aaaaaaa	0
2	g	0
3	gg	0
4	ggg	0
5	gggg	0
6	ttttttt	0
7	ttttttt	0
8	ttttttt	0
9	ttttttt	0
10	zzzzzzz	1
11	NULL	NULL
cidx	CVCHAR7	POSITION('aaaaaaaaa' IN CVCHAR7)
1	aaaaaaa	0
2	g	0
3	gg	0
4	ggg	0
5	gggg	0
6	ttttttt	0
7	ttttttt	0
8	ttttttt	0
9	ttttttt	0
10	zzzzzzz	0
11	NULL	NULL
cidx	CVCHAR7	POSITION('zzzzzzzzz' IN CVCHAR7)
1	aaaaaaa	0
2	g	0
3	gg	0
4	ggg	0
5	gggg	0
6	ttttttt	0
7	ttttttt	0
8	ttttttt	0
9	ttttttt	0
10	zzzzzzz	0
11	NULL	NULL
cidx	CVCHAR8	POSITION('aaa' IN CVCHAR8)
1	aaaaaaaa	1
2	h	0
3	hh	0
4	hhh	0
5	hhhh	0
6	sssssss	0
7	ssssssss	0
8	ssssssss	0
9	ssssssss	0
10	zzzzzzzz	0
11	NULL	NULL
cidx	CVCHAR8	POSITION('zzz' IN CVCHAR8)
1	aaaaaaaa	0
2	h	0
3	hh	0
4	hhh	0
5	hhhh	0
6	sssssss	0
7	ssssssss	0
8	ssssssss	0
9	ssssssss	0
10	zzzzzzzz	1
11	NULL	NULL
cidx	CVCHAR8	POSITION('aaaaaaaaa' IN CVCHAR8)
1	aaaaaaaa	0
2	h	0
3	hh	0
4	hhh	0
5	hhhh	0
6	sssssss	0
7	ssssssss	0
8	ssssssss	0
9	ssssssss	0
10	zzzzzzzz	0
11	NULL	NULL
cidx	CVCHAR8	POSITION('zzzzzzzzz' IN CVCHAR8)
1	aaaaaaaa	0
2	h	0
3	hh	0
4	hhh	0
5	hhhh	0
6	sssssss	0
7	ssssssss	0
8	ssssssss	0
9	ssssssss	0
10	zzzzzzzz	0
11	NULL	NULL
cidx	CVCHAR255	POSITION('aaa' IN CVCHAR255)
1	aaaaaaaaaa	1
2	j	0
3	jj	0
4	jjj	0
5	jjjj	0
6	qqqqqqq	0
7	qqqqqqqq	0
8	qqqqqqqqq	0
9	qqqqqqqqqq	0
10	zzzzzzzzzz	0
11	NULL	NULL
cidx	CVCHAR255	POSITION('zzz' IN CVCHAR255)
1	aaaaaaaaaa	0
2	j	0
3	jj	0
4	jjj	0
5	jjjj	0
6	qqqqqqq	0
7	qqqqqqqq	0
8	qqqqqqqqq	0
9	qqqqqqqqqq	0
10	zzzzzzzzzz	1
11	NULL	NULL
cidx	CVCHAR255	POSITION('aaaaaaaaa' IN CVCHAR255)
1	aaaaaaaaaa	1
2	j	0
3	jj	0
4	jjj	0
5	jjjj	0
6	qqqqqqq	0
7	qqqqqqqq	0
8	qqqqqqqqq	0
9	qqqqqqqqqq	0
10	zzzzzzzzzz	0
11	NULL	NULL
cidx	CVCHAR255	POSITION('zzzzzzzzz' IN CVCHAR255)
1	aaaaaaaaaa	0
2	j	0
3	jj	0
4	jjj	0
5	jjjj	0
6	qqqqqqq	0
7	qqqqqqqq	0
8	qqqqqqqqq	0
9	qqqqqqqqqq	0
10	zzzzzzzzzz	1
11	NULL	NULL
cidx	CCHAR3
1	aaa
cidx	CCHAR3
10	zzz
cidx	CCHAR4
1	aaaa
cidx	CCHAR4
10	zzzz
cidx	CCHAR5
1	aaaaa
cidx	CCHAR5
10	zzzzz
cidx	CCHAR6
1	aaaaaa
cidx	CCHAR6
10	zzzzzz
cidx	CCHAR7
1	aaaaaaa
cidx	CCHAR7
10	zzzzzzz
cidx	CCHAR8
1	aaaaaaaa
cidx	CCHAR8
10	zzzzzzzz
cidx	CCHAR9
1	aaaaaaaaa
cidx	CCHAR9
10	zzzzzzzzz
cidx	CCHAR9
1	aaaaaaaaa
cidx	CCHAR9
10	zzzzzzzzz
cidx	CCHAR255
1	aaaaaaaaaa
cidx	CCHAR255
10	zzzzzzzzzz
cidx	CCHAR255
1	aaaaaaaaaa
cidx	CCHAR255
10	zzzzzzzzzz
cidx	CVCHAR3
1	aaa
cidx	CVCHAR3
10	zzz
cidx	CVCHAR4
1	aaaa
cidx	CVCHAR4
10	zzzz
cidx	CVCHAR5
1	aaaaa
cidx	CVCHAR5
10	zzzzz
cidx	CVCHAR6
1	aaaaaa
cidx	CVCHAR6
10	zzzzzz
cidx	CVCHAR7
1	aaaaaaa
cidx	CVCHAR7
10	zzzzzzz
cidx	CVCHAR8
1	aaaaaaaa
cidx	CVCHAR8
10	zzzzzzzz
cidx	CVCHAR255
1	aaaaaaaaaa
cidx	CVCHAR255
10	zzzzzzzzzz
cidx	CVCHAR255
1	aaaaaaaaaa
cidx	CVCHAR255
10	zzzzzzzzzz
