cidx	CBIGINT	ROUND(CBIGINT)
8	9.97	10.0
9	9.98	10.0
10	9.99	10.0
11	0.00	0.0
cidx	CDECIMAL4_2	ROUND(CDECIMAL4_2,2)
1	-9.99	-9.99
2	-9.98	-9.98
3	-9.97	-9.97
4	-9.96	-9.96
5	-9.95	-9.95
6	9.95	9.95
7	9.96	9.96
8	9.97	9.97
9	9.98	9.98
10	9.99	9.99
11	0.00	0.00
cidx	CDECIMAL4_2	ROUND(CDECIMAL4_2,0)
1	-9.99	-10
2	-9.98	-10
3	-9.97	-10
4	-9.96	-10
5	-9.95	-10
6	9.95	10
7	9.96	10
8	9.97	10
9	9.98	10
10	9.99	10
11	0.00	0
cidx	CDECIMAL4_2	ROUND(CDECIMAL4_2,-2)
1	-9.99	0
2	-9.98	0
3	-9.97	0
4	-9.96	0
5	-9.95	0
6	9.95	0
7	9.96	0
8	9.97	0
9	9.98	0
10	9.99	0
11	0.00	0
cidx	CDECIMAL4_2	ROUND(CDECIMAL4_2,-1)
1	-9.99	-10
2	-9.98	-10
3	-9.97	-10
4	-9.96	-10
5	-9.95	-10
6	9.95	10
7	9.96	10
8	9.97	10
9	9.98	10
10	9.99	10
11	0.00	0
cidx	CDECIMAL5	ROUND(CDECIMAL5)
1	-999	-999
2	-998	-998
3	-997	-997
4	-996	-996
5	-995	-995
6	995	995
7	996	996
8	997	997
9	998	998
10	999	999
11	0	0
cidx	CDECIMAL5	ROUND(CDECIMAL5,1)
1	-999	-999.0
2	-998	-998.0
3	-997	-997.0
4	-996	-996.0
5	-995	-995.0
6	995	995.0
7	996	996.0
8	997	997.0
9	998	998.0
10	999	999.0
11	0	0.0
cidx	CDECIMAL5	ROUND(CDECIMAL5,2)
1	-999	-999.00
2	-998	-998.00
3	-997	-997.00
4	-996	-996.00
5	-995	-995.00
6	995	995.00
7	996	996.00
8	997	997.00
9	998	998.00
10	999	999.00
11	0	0.00
cidx	CDECIMAL5	ROUND(CDECIMAL5,0)
1	-999	-999
2	-998	-998
3	-997	-997
4	-996	-996
5	-995	-995
6	995	995
7	996	996
8	997	997
9	998	998
10	999	999
11	0	0
cidx	CDECIMAL5	ROUND(CDECIMAL5,-2)
1	-999	-1000
2	-998	-1000
3	-997	-1000
4	-996	-1000
5	-995	-1000
6	995	1000
7	996	1000
8	997	1000
9	998	1000
10	999	1000
11	0	0
cidx	CDECIMAL5	ROUND(CDECIMAL5,-1)
1	-999	-1000
2	-998	-1000
3	-997	-1000
4	-996	-1000
5	-995	-1000
6	995	1000
7	996	1000
8	997	1000
9	998	1000
10	999	1000
11	0	0
cidx	CDECIMAL9	ROUND(CDECIMAL9)
1	-999999	-999999
2	-999998	-999998
3	-999997	-999997
4	-999996	-999996
5	-999995	-999995
6	999995	999995
7	999996	999996
8	999997	999997
9	999998	999998
10	999999	999999
11	0	0
cidx	CDECIMAL9	ROUND(CDECIMAL9,1)
1	-999999	-999999.0
2	-999998	-999998.0
3	-999997	-999997.0
4	-999996	-999996.0
5	-999995	-999995.0
6	999995	999995.0
7	999996	999996.0
8	999997	999997.0
9	999998	999998.0
10	999999	999999.0
11	0	0.0
cidx	CDECIMAL9	ROUND(CDECIMAL9,2)
1	-999999	-999999.00
2	-999998	-999998.00
3	-999997	-999997.00
4	-999996	-999996.00
5	-999995	-999995.00
6	999995	999995.00
7	999996	999996.00
8	999997	999997.00
9	999998	999998.00
10	999999	999999.00
11	0	0.00
cidx	CDECIMAL9	ROUND(CDECIMAL9,0)
1	-999999	-999999
2	-999998	-999998
3	-999997	-999997
4	-999996	-999996
5	-999995	-999995
6	999995	999995
7	999996	999996
8	999997	999997
9	999998	999998
10	999999	999999
11	0	0
cidx	CDECIMAL9	ROUND(CDECIMAL9,-2)
1	-999999	-1000000
2	-999998	-1000000
3	-999997	-1000000
4	-999996	-1000000
5	-999995	-1000000
6	999995	1000000
7	999996	1000000
8	999997	1000000
9	999998	1000000
10	999999	1000000
11	0	0
cidx	CDECIMAL9	ROUND(CDECIMAL9,-1)
1	-999999	-1000000
2	-999998	-1000000
3	-999997	-1000000
4	-999996	-1000000
5	-999995	-1000000
6	999995	1000000
7	999996	1000000
8	999997	1000000
9	999998	1000000
10	999999	1000000
11	0	0
cidx	CDECIMAL9_2	ROUND(CDECIMAL9_2)
1	-9999.99	-10000
2	-9999.98	-10000
3	-9999.97	-10000
4	-9999.96	-10000
5	-9999.95	-10000
6	9999.95	10000
7	9999.96	10000
8	9999.97	10000
9	9999.98	10000
10	9999.99	10000
11	0.00	0
cidx	CDECIMAL9_2	ROUND(CDECIMAL9_2,1)
1	-9999.99	-10000.0
2	-9999.98	-10000.0
3	-9999.97	-10000.0
4	-9999.96	-10000.0
5	-9999.95	-10000.0
6	9999.95	10000.0
7	9999.96	10000.0
8	9999.97	10000.0
9	9999.98	10000.0
10	9999.99	10000.0
11	0.00	0.0
cidx	CDECIMAL9_2	ROUND(CDECIMAL9_2,2)
1	-9999.99	-9999.99
2	-9999.98	-9999.98
3	-9999.97	-9999.97
4	-9999.96	-9999.96
5	-9999.95	-9999.95
6	9999.95	9999.95
7	9999.96	9999.96
8	9999.97	9999.97
9	9999.98	9999.98
10	9999.99	9999.99
11	0.00	0.00
cidx	CDECIMAL9_2	ROUND(CDECIMAL9_2,0)
1	-9999.99	-10000
2	-9999.98	-10000
3	-9999.97	-10000
4	-9999.96	-10000
5	-9999.95	-10000
6	9999.95	10000
7	9999.96	10000
8	9999.97	10000
9	9999.98	10000
10	9999.99	10000
11	0.00	0
cidx	CDECIMAL9_2	ROUND(CDECIMAL9_2,-2)
1	-9999.99	-10000
2	-9999.98	-10000
3	-9999.97	-10000
4	-9999.96	-10000
5	-9999.95	-10000
6	9999.95	10000
7	9999.96	10000
8	9999.97	10000
9	9999.98	10000
10	9999.99	10000
11	0.00	0
cidx	CDECIMAL9_2	ROUND(CDECIMAL9_2,-1)
1	-9999.99	-10000
2	-9999.98	-10000
3	-9999.97	-10000
4	-9999.96	-10000
5	-9999.95	-10000
6	9999.95	10000
7	9999.96	10000
8	9999.97	10000
9	9999.98	10000
10	9999.99	10000
11	0.00	0
cidx	CDECIMAL10	ROUND(CDECIMAL10)
1	-9999999	-9999999
2	-9999998	-9999998
3	-9999997	-9999997
4	-9999996	-9999996
5	-9999995	-9999995
6	9999995	9999995
7	9999996	9999996
8	9999997	9999997
9	9999998	9999998
10	9999999	9999999
11	0	0
cidx	CDECIMAL10	ROUND(CDECIMAL10,1)
1	-9999999	-9999999.0
2	-9999998	-9999998.0
3	-9999997	-9999997.0
4	-9999996	-9999996.0
5	-9999995	-9999995.0
6	9999995	9999995.0
7	9999996	9999996.0
8	9999997	9999997.0
9	9999998	9999998.0
10	9999999	9999999.0
11	0	0.0
cidx	CDECIMAL10	ROUND(CDECIMAL10,2)
1	-9999999	-9999999.00
2	-9999998	-9999998.00
3	-9999997	-9999997.00
4	-9999996	-9999996.00
5	-9999995	-9999995.00
6	9999995	9999995.00
7	9999996	9999996.00
8	9999997	9999997.00
9	9999998	9999998.00
10	9999999	9999999.00
11	0	0.00
cidx	CDECIMAL10	ROUND(CDECIMAL10,0)
1	-9999999	-9999999
2	-9999998	-9999998
3	-9999997	-9999997
4	-9999996	-9999996
5	-9999995	-9999995
6	9999995	9999995
7	9999996	9999996
8	9999997	9999997
9	9999998	9999998
10	9999999	9999999
11	0	0
cidx	CDECIMAL10	ROUND(CDECIMAL10,-2)
1	-9999999	-10000000
2	-9999998	-10000000
3	-9999997	-10000000
4	-9999996	-10000000
5	-9999995	-10000000
6	9999995	10000000
7	9999996	10000000
8	9999997	10000000
9	9999998	10000000
10	9999999	10000000
11	0	0
cidx	CDECIMAL10	ROUND(CDECIMAL10,-1)
1	-9999999	-10000000
2	-9999998	-10000000
3	-9999997	-10000000
4	-9999996	-10000000
5	-9999995	-10000000
6	9999995	10000000
7	9999996	10000000
8	9999997	10000000
9	9999998	10000000
10	9999999	10000000
11	0	0
cidx	CDECIMAL18	ROUND(CDECIMAL18)
1	-9999999999999	-9999999999999
2	-9999999999998	-9999999999998
3	-9999999999997	-9999999999997
4	-9999999999996	-9999999999996
5	-9999999999995	-9999999999995
6	9999999999995	9999999999995
7	9999999999996	9999999999996
8	9999999999997	9999999999997
9	9999999999998	9999999999998
10	9999999999999	9999999999999
11	0	0
cidx	CDECIMAL18	ROUND(CDECIMAL18,1)
1	-9999999999999	-9999999999999.0
2	-9999999999998	-9999999999998.0
3	-9999999999997	-9999999999997.0
4	-9999999999996	-9999999999996.0
5	-9999999999995	-9999999999995.0
6	9999999999995	9999999999995.0
7	9999999999996	9999999999996.0
8	9999999999997	9999999999997.0
9	9999999999998	9999999999998.0
10	9999999999999	9999999999999.0
11	0	0.0
cidx	CDECIMAL18	ROUND(CDECIMAL18,2)
1	-9999999999999	-9999999999999.00
2	-9999999999998	-9999999999998.00
3	-9999999999997	-9999999999997.00
4	-9999999999996	-9999999999996.00
5	-9999999999995	-9999999999995.00
6	9999999999995	9999999999995.00
7	9999999999996	9999999999996.00
8	9999999999997	9999999999997.00
9	9999999999998	9999999999998.00
10	9999999999999	9999999999999.00
11	0	0.00
cidx	CDECIMAL18	ROUND(CDECIMAL18,0)
1	-9999999999999	-9999999999999
2	-9999999999998	-9999999999998
3	-9999999999997	-9999999999997
4	-9999999999996	-9999999999996
5	-9999999999995	-9999999999995
6	9999999999995	9999999999995
7	9999999999996	9999999999996
8	9999999999997	9999999999997
9	9999999999998	9999999999998
10	9999999999999	9999999999999
11	0	0
cidx	CDECIMAL18	ROUND(CDECIMAL18,-2)
1	-9999999999999	-10000000000000
2	-9999999999998	-10000000000000
3	-9999999999997	-10000000000000
4	-9999999999996	-10000000000000
5	-9999999999995	-10000000000000
6	9999999999995	10000000000000
7	9999999999996	10000000000000
8	9999999999997	10000000000000
9	9999999999998	10000000000000
10	9999999999999	10000000000000
11	0	0
cidx	CDECIMAL18	ROUND(CDECIMAL18,-1)
1	-9999999999999	-10000000000000
2	-9999999999998	-10000000000000
3	-9999999999997	-10000000000000
4	-9999999999996	-10000000000000
5	-9999999999995	-10000000000000
6	9999999999995	10000000000000
7	9999999999996	10000000000000
8	9999999999997	10000000000000
9	9999999999998	10000000000000
10	9999999999999	10000000000000
11	0	0
cidx	CDECIMAL18_2	ROUND(CDECIMAL18_2)
1	-99999999999.99	-100000000000
2	-99999999999.98	-100000000000
3	-99999999999.97	-100000000000
4	-99999999999.96	-100000000000
5	-99999999999.95	-100000000000
6	99999999999.95	100000000000
7	99999999999.96	100000000000
8	99999999999.97	100000000000
9	99999999999.98	100000000000
10	99999999999.99	100000000000
11	0.00	0
cidx	CDECIMAL18_2	ROUND(CDECIMAL18_2,1)
1	-99999999999.99	-100000000000.0
2	-99999999999.98	-100000000000.0
3	-99999999999.97	-100000000000.0
4	-99999999999.96	-100000000000.0
5	-99999999999.95	-100000000000.0
6	99999999999.95	100000000000.0
7	99999999999.96	100000000000.0
8	99999999999.97	100000000000.0
9	99999999999.98	100000000000.0
10	99999999999.99	100000000000.0
11	0.00	0.0
cidx	CDECIMAL18_2	ROUND(CDECIMAL18_2,2)
1	-99999999999.99	-99999999999.99
2	-99999999999.98	-99999999999.98
3	-99999999999.97	-99999999999.97
4	-99999999999.96	-99999999999.96
5	-99999999999.95	-99999999999.95
6	99999999999.95	99999999999.95
7	99999999999.96	99999999999.96
8	99999999999.97	99999999999.97
9	99999999999.98	99999999999.98
10	99999999999.99	99999999999.99
11	0.00	0.00
cidx	CDECIMAL18_2	ROUND(CDECIMAL18_2,0)
1	-99999999999.99	-100000000000
2	-99999999999.98	-100000000000
3	-99999999999.97	-100000000000
4	-99999999999.96	-100000000000
5	-99999999999.95	-100000000000
6	99999999999.95	100000000000
7	99999999999.96	100000000000
8	99999999999.97	100000000000
9	99999999999.98	100000000000
10	99999999999.99	100000000000
11	0.00	0
cidx	CDECIMAL18_2	ROUND(CDECIMAL18_2,-2)
1	-99999999999.99	-100000000000
2	-99999999999.98	-100000000000
3	-99999999999.97	-100000000000
4	-99999999999.96	-100000000000
5	-99999999999.95	-100000000000
6	99999999999.95	100000000000
7	99999999999.96	100000000000
8	99999999999.97	100000000000
9	99999999999.98	100000000000
10	99999999999.99	100000000000
11	0.00	0
cidx	CDECIMAL18_2	ROUND(CDECIMAL18_2,-1)
1	-99999999999.99	-100000000000
2	-99999999999.98	-100000000000
3	-99999999999.97	-100000000000
4	-99999999999.96	-100000000000
5	-99999999999.95	-100000000000
6	99999999999.95	100000000000
7	99999999999.96	100000000000
8	99999999999.97	100000000000
9	99999999999.98	100000000000
10	99999999999.99	100000000000
11	0.00	0
cidx	CINTEGER	ROUND(CINTEGER)
1	-7483646	-7483646
2	-7483645	-7483645
3	-7483644	-7483644
4	-7483643	-7483643
5	-7483642	-7483642
6	7483643	7483643
7	7483644	7483644
8	7483645	7483645
9	7483646	7483646
10	7483647	7483647
11	0	0
cidx	CINTEGER	ROUND(CINTEGER,1)
1	-7483646	-7483646
2	-7483645	-7483645
3	-7483644	-7483644
4	-7483643	-7483643
5	-7483642	-7483642
6	7483643	7483643
7	7483644	7483644
8	7483645	7483645
9	7483646	7483646
10	7483647	7483647
11	0	0
cidx	CINTEGER	ROUND(CINTEGER,2)
1	-7483646	-7483646
2	-7483645	-7483645
3	-7483644	-7483644
4	-7483643	-7483643
5	-7483642	-7483642
6	7483643	7483643
7	7483644	7483644
8	7483645	7483645
9	7483646	7483646
10	7483647	7483647
11	0	0
cidx	CINTEGER	ROUND(CINTEGER,0)
1	-7483646	-7483646
2	-7483645	-7483645
3	-7483644	-7483644
4	-7483643	-7483643
5	-7483642	-7483642
6	7483643	7483643
7	7483644	7483644
8	7483645	7483645
9	7483646	7483646
10	7483647	7483647
11	0	0
cidx	CINTEGER	ROUND(CINTEGER,-2)
1	-7483646	-7483600
2	-7483645	-7483600
3	-7483644	-7483600
4	-7483643	-7483600
5	-7483642	-7483600
6	7483643	7483600
7	7483644	7483600
8	7483645	7483600
9	7483646	7483600
10	7483647	7483600
11	0	0
cidx	CINTEGER	ROUND(CINTEGER,-1)
1	-7483646	-7483650
2	-7483645	-7483650
3	-7483644	-7483640
4	-7483643	-7483640
5	-7483642	-7483640
6	7483643	7483640
7	7483644	7483640
8	7483645	7483650
9	7483646	7483650
10	7483647	7483650
11	0	0
cidx	CSMALLINT	ROUND(CSMALLINT)
1	-766	-766
2	-765	-765
3	-764	-764
4	-763	-763
5	-762	-762
6	763	763
7	764	764
8	765	765
9	766	766
10	767	767
11	0	0
cidx	CSMALLINT	ROUND(CSMALLINT,1)
1	-766	-766
2	-765	-765
3	-764	-764
4	-763	-763
5	-762	-762
6	763	763
7	764	764
8	765	765
9	766	766
10	767	767
11	0	0
cidx	CSMALLINT	ROUND(CSMALLINT,2)
1	-766	-766
2	-765	-765
3	-764	-764
4	-763	-763
5	-762	-762
6	763	763
7	764	764
8	765	765
9	766	766
10	767	767
11	0	0
cidx	CSMALLINT	ROUND(CSMALLINT,0)
1	-766	-766
2	-765	-765
3	-764	-764
4	-763	-763
5	-762	-762
6	763	763
7	764	764
8	765	765
9	766	766
10	767	767
11	0	0
cidx	CSMALLINT	ROUND(CSMALLINT,-2)
1	-766	-800
2	-765	-800
3	-764	-800
4	-763	-800
5	-762	-800
6	763	800
7	764	800
8	765	800
9	766	800
10	767	800
11	0	0
cidx	CSMALLINT	ROUND(CSMALLINT,-1)
1	-766	-770
2	-765	-770
3	-764	-760
4	-763	-760
5	-762	-760
6	763	760
7	764	760
8	765	770
9	766	770
10	767	770
11	0	0
cidx	CTINYINT	ROUND(CTINYINT)
1	-26	-26
2	-25	-25
3	-24	-24
4	-23	-23
5	-22	-22
6	23	23
7	24	24
8	25	25
9	26	26
10	27	27
11	0	0
cidx	CTINYINT	ROUND(CTINYINT,1)
1	-26	-26
2	-25	-25
3	-24	-24
4	-23	-23
5	-22	-22
6	23	23
7	24	24
8	25	25
9	26	26
10	27	27
11	0	0
cidx	CTINYINT	ROUND(CTINYINT,2)
1	-26	-26
2	-25	-25
3	-24	-24
4	-23	-23
5	-22	-22
6	23	23
7	24	24
8	25	25
9	26	26
10	27	27
11	0	0
cidx	CTINYINT	ROUND(CTINYINT,0)
1	-26	-26
2	-25	-25
3	-24	-24
4	-23	-23
5	-22	-22
6	23	23
7	24	24
8	25	25
9	26	26
10	27	27
11	0	0
cidx	CTINYINT	ROUND(CTINYINT,-2)
1	-26	0
2	-25	0
3	-24	0
4	-23	0
5	-22	0
6	23	0
7	24	0
8	25	0
9	26	0
10	27	0
11	0	0
cidx	CTINYINT	ROUND(CTINYINT,-1)
1	-26	-30
2	-25	-30
3	-24	-20
4	-23	-20
5	-22	-20
6	23	20
7	24	20
8	25	30
9	26	30
10	27	30
11	0	0
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
11	0
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
11	0
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
11	0
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
11	0
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
11	0
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
11	0
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
11	0
6	5
7	6
8	7
9	8
10	9
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
11	0
6	5
7	6
8	7
9	8
10	9
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
11	0
6	5
7	6
8	7
9	8
10	9
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
11	0
6	5
7	6
8	7
9	8
10	9
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
6	5
7	6
8	7
9	8
10	9
11	0
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
11	0
6	5
7	6
8	7
9	8
10	9
cidx	CDECIMAL4
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL4
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL4
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL4
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL4
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL4
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
11	0.00
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
11	0.00
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
11	0.00
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
11	0.00
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
11	0.00
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
11	0.00
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
cidx	CDECIMAL5
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL5
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL5
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL5
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL5
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL5
1	-999
2	-998
3	-997
4	-996
5	-995
11	0
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
11	0
6	999995
7	999996
8	999997
9	999998
10	999999
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
11	0
6	999995
7	999996
8	999997
9	999998
10	999999
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
11	0
6	999995
7	999996
8	999997
9	999998
10	999999
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
11	0
6	999995
7	999996
8	999997
9	999998
10	999999
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
11	0
6	999995
7	999996
8	999997
9	999998
10	999999
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
11	0
6	999995
7	999996
8	999997
9	999998
10	999999
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
11	0.00
6	9999.95
7	9999.96
8	9999.97
9	9999.98
10	9999.99
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
11	0.00
6	9999.95
7	9999.96
8	9999.97
9	9999.98
10	9999.99
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
11	0.00
6	9999.95
7	9999.96
8	9999.97
9	9999.98
