cidx	CBIGINT	CONVERT(CBIGINT,SIGNED)
6	9999.95	10000
7	9999.96	10000
8	9999.97	10000
9	9999.98	10000
10	9999.99	10000
11	0.00	0
cidx	CDECIMAL9_2	CONVERT(CDECIMAL9_2,DECIMAL(9))
1	-9999.99	-10000
2	-9999.98	-10000
3	-9999.97	-10000
4	-9999.96	-10000
5	-9999.95	-10000
6	9999.95	10000
7	9999.96	10000
8	9999.97	10000
9	9999.98	10000
10	9999.99	10000
11	0.00	0
cidx	CDECIMAL9_2	CONVERT(CDECIMAL9_2,DECIMAL(9,2))
1	-9999.99	-9999.99
2	-9999.98	-9999.98
3	-9999.97	-9999.97
4	-9999.96	-9999.96
5	-9999.95	-9999.95
6	9999.95	9999.95
7	9999.96	9999.96
8	9999.97	9999.97
9	9999.98	9999.98
10	9999.99	9999.99
11	0.00	0.00
cidx	CDECIMAL10	CONVERT(CDECIMAL10,SIGNED)
1	-9999999	-9999999
2	-9999998	-9999998
3	-9999997	-9999997
4	-9999996	-9999996
5	-9999995	-9999995
6	9999995	9999995
7	9999996	9999996
8	9999997	9999997
9	9999998	9999998
10	9999999	9999999
11	0	0
cidx	CDECIMAL10	CONVERT(CDECIMAL10,DECIMAL(9))
1	-9999999	-9999999
2	-9999998	-9999998
3	-9999997	-9999997
4	-9999996	-9999996
5	-9999995	-9999995
6	9999995	9999995
7	9999996	9999996
8	9999997	9999997
9	9999998	9999998
10	9999999	9999999
11	0	0
cidx	CDECIMAL10	CONVERT(CDECIMAL10,DECIMAL(9,2))
1	-9999999	-9999999.00
2	-9999998	-9999998.00
3	-9999997	-9999997.00
4	-9999996	-9999996.00
5	-9999995	-9999995.00
6	9999995	9999995.00
7	9999996	9999996.00
8	9999997	9999997.00
9	9999998	9999998.00
10	9999999	9999999.00
11	0	0.00
cidx	CDECIMAL18	CONVERT(CDECIMAL18,SIGNED)
1	-9999999999999	-9999999999999
2	-9999999999998	-9999999999998
3	-9999999999997	-9999999999997
4	-9999999999996	-9999999999996
5	-9999999999995	-9999999999995
6	9999999999995	9999999999995
7	9999999999996	9999999999996
8	9999999999997	9999999999997
9	9999999999998	9999999999998
10	9999999999999	9999999999999
11	0	0
cidx	CDECIMAL18	CONVERT(CDECIMAL18,DECIMAL(9))
1	-9999999999999	-999999999
2	-9999999999998	-999999999
3	-9999999999997	-999999999
4	-9999999999996	-999999999
5	-9999999999995	-999999999
6	9999999999995	999999999
7	9999999999996	999999999
8	9999999999997	999999999
9	9999999999998	999999999
10	9999999999999	999999999
11	0	0
cidx	CDECIMAL18	CONVERT(CDECIMAL18,DECIMAL(9,2))
1	-9999999999999	-9999999.99
2	-9999999999998	-9999999.99
3	-9999999999997	-9999999.99
4	-9999999999996	-9999999.99
5	-9999999999995	-9999999.99
6	9999999999995	9999999.99
7	9999999999996	9999999.99
8	9999999999997	9999999.99
9	9999999999998	9999999.99
10	9999999999999	9999999.99
11	0	0.00
cidx	CDECIMAL18_2	CONVERT(CDECIMAL18_2,SIGNED)
1	-99999999999.99	-100000000000
2	-99999999999.98	-100000000000
3	-99999999999.97	-100000000000
4	-99999999999.96	-100000000000
5	-99999999999.95	-100000000000
6	99999999999.95	100000000000
7	99999999999.96	100000000000
8	99999999999.97	100000000000
9	99999999999.98	100000000000
10	99999999999.99	100000000000
11	0.00	0
cidx	CDECIMAL18_2	CONVERT(CDECIMAL18_2,DECIMAL(9))
1	-99999999999.99	-999999999
2	-99999999999.98	-999999999
3	-99999999999.97	-999999999
4	-99999999999.96	-999999999
5	-99999999999.95	-999999999
6	99999999999.95	999999999
7	99999999999.96	999999999
8	99999999999.97	999999999
9	99999999999.98	999999999
10	99999999999.99	999999999
11	0.00	0
cidx	CDECIMAL18_2	CONVERT(CDECIMAL18_2,DECIMAL(9,2))
1	-99999999999.99	-9999999.99
2	-99999999999.98	-9999999.99
3	-99999999999.97	-9999999.99
4	-99999999999.96	-9999999.99
5	-99999999999.95	-9999999.99
6	99999999999.95	9999999.99
7	99999999999.96	9999999.99
8	99999999999.97	9999999.99
9	99999999999.98	9999999.99
10	99999999999.99	9999999.99
11	0.00	0.00
cidx	CINTEGER	CONVERT(CINTEGER,SIGNED)
1	-7483646	-7483646
2	-7483645	-7483645
3	-7483644	-7483644
4	-7483643	-7483643
5	-7483642	-7483642
6	7483643	7483643
7	7483644	7483644
8	7483645	7483645
9	7483646	7483646
10	7483647	7483647
11	0	0
cidx	CINTEGER	CONVERT(CINTEGER,DECIMAL(9))
1	-7483646	-7483646
2	-7483645	-7483645
3	-7483644	-7483644
4	-7483643	-7483643
5	-7483642	-7483642
6	7483643	7483643
7	7483644	7483644
8	7483645	7483645
9	7483646	7483646
10	7483647	7483647
11	0	0
cidx	CINTEGER	CONVERT(CINTEGER,DECIMAL(9,2))
1	-7483646	-7483646.00
2	-7483645	-7483645.00
3	-7483644	-7483644.00
4	-7483643	-7483643.00
5	-7483642	-7483642.00
6	7483643	7483643.00
7	7483644	7483644.00
8	7483645	7483645.00
9	7483646	7483646.00
10	7483647	7483647.00
11	0	0.00
cidx	CSMALLINT	CONVERT(CSMALLINT,SIGNED)
1	-766	-766
2	-765	-765
3	-764	-764
4	-763	-763
5	-762	-762
6	763	763
7	764	764
8	765	765
9	766	766
10	767	767
11	0	0
cidx	CSMALLINT	CONVERT(CSMALLINT,DECIMAL(9))
1	-766	-766
2	-765	-765
3	-764	-764
4	-763	-763
5	-762	-762
6	763	763
7	764	764
8	765	765
9	766	766
10	767	767
11	0	0
cidx	CSMALLINT	CONVERT(CSMALLINT,DECIMAL(9,2))
1	-766	-766.00
2	-765	-765.00
3	-764	-764.00
4	-763	-763.00
5	-762	-762.00
6	763	763.00
7	764	764.00
8	765	765.00
9	766	766.00
10	767	767.00
11	0	0.00
cidx	CTINYINT	CONVERT(CTINYINT,SIGNED)
1	-26	-26
2	-25	-25
3	-24	-24
4	-23	-23
5	-22	-22
6	23	23
7	24	24
8	25	25
9	26	26
10	27	27
11	0	0
cidx	CTINYINT	CONVERT(CTINYINT,DECIMAL(9))
1	-26	-26
2	-25	-25
3	-24	-24
4	-23	-23
5	-22	-22
6	23	23
7	24	24
8	25	25
9	26	26
10	27	27
11	0	0
cidx	CTINYINT	CONVERT(CTINYINT,DECIMAL(9,2))
1	-26	-26.00
2	-25	-25.00
3	-24	-24.00
4	-23	-23.00
5	-22	-22.00
6	23	23.00
7	24	24.00
8	25	25.00
9	26	26.00
10	27	27.00
11	0	0.00
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
6	9999.95
7	9999.96
8	9999.97
9	9999.98
10	9999.99
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
6	9999.95
7	9999.96
8	9999.97
9	9999.98
10	9999.99
cidx	CDECIMAL18
1	-9999999999999
2	-9999999999998
3	-9999999999997
4	-9999999999996
5	-9999999999995
6	9999999999995
7	9999999999996
8	9999999999997
9	9999999999998
10	9999999999999
cidx	CDECIMAL18
1	-9999999999999
2	-9999999999998
3	-9999999999997
4	-9999999999996
5	-9999999999995
6	9999999999995
7	9999999999996
8	9999999999997
9	9999999999998
10	9999999999999
cidx	CDECIMAL18_2
1	-99999999999.99
2	-99999999999.98
3	-99999999999.97
4	-99999999999.96
5	-99999999999.95
6	99999999999.95
7	99999999999.96
8	99999999999.97
9	99999999999.98
10	99999999999.99
cidx	CDECIMAL18_2
1	-99999999999.99
2	-99999999999.98
3	-99999999999.97
4	-99999999999.96
5	-99999999999.95
6	99999999999.95
7	99999999999.96
8	99999999999.97
9	99999999999.98
10	99999999999.99
cidx	CDECIMAL18_2
1	-99999999999.99
2	-99999999999.98
3	-99999999999.97
4	-99999999999.96
5	-99999999999.95
6	99999999999.95
7	99999999999.96
8	99999999999.97
9	99999999999.98
10	99999999999.99
