cidx	CDECIMAL18_2	CAST(CDECIMAL18_2 AS SIGNED)
9	yy	yy
10	zz	zz
11	NULL	NULL
CIDX	CVCHAR8	CAST(CVCHAR8 AS CHAR(10))
1	aaaaaaaa	aaaaaaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	sssssss
7	ssssssss	ssssssss
8	ssssssss	ssssssss
9	ssssssss	ssssssss
10	zzzzzzzz	zzzzzzzz
11	NULL	NULL
CIDX	CDECIMAL18_2
1	-99999999999.99
2	-99999999999.98
3	-99999999999.97
4	-99999999999.96
5	-99999999999.95
6	99999999999.95
7	99999999999.96
8	99999999999.97
9	99999999999.98
10	99999999999.99
11	0.00
CIDX	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
11	0.00
CIDX	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
CIDX	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
11	0
CIDX	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
6	5
7	6
8	7
9	8
10	9
11	0
CIDX	CINTEGER
1	-7483646
2	-7483645
3	-7483644
4	-7483643
5	-7483642
6	7483643
7	7483644
8	7483645
9	7483646
10	7483647
11	0
CIDX	CSMALLINT
1	-766
2	-765
3	-764
4	-763
5	-762
6	763
7	764
8	765
9	766
10	767
11	0
CIDX	CTINYINT
1	-26
2	-25
3	-24
4	-23
5	-22
6	23
7	24
8	25
9	26
10	27
11	0
CIDX	CCHAR1
1	a
2	a
3	a
4	a
5	a
6	z
7	z
8	z
9	z
10	z
CIDX	CCHAR9
1	aaaaaaaaa
2	i
3	ii
4	iii
5	iiii
6	rrrrrrr
7	rrrrrrrr
8	rrrrrrrrr
9	rrrrrrrrr
10	zzzzzzzzz
CIDX	CVCHAR2
1	aa
2	b
3	bb
4	bb
5	bb
6	yy
7	yy
8	yy
9	yy
10	zz
CIDX	CVCHAR8
1	aaaaaaaa
2	h
3	hh
4	hhh
5	hhhh
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
CIDX	2000-01-01
1	2000-01-01
2	2000-01-01
3	2000-01-01
4	2000-01-01
5	2000-01-01
6	2000-01-01
7	2000-01-01
8	2000-01-01
9	2000-01-01
10	2000-01-01
11	2000-01-01
cidx	CDECIMAL18_2	CAST(CDECIMAL18_2 AS DATE)
1	-99999999999.99	NULL
2	-99999999999.98	NULL
3	-99999999999.97	NULL
4	-99999999999.96	NULL
5	-99999999999.95	NULL
6	99999999999.95	NULL
7	99999999999.96	NULL
8	99999999999.97	NULL
9	99999999999.98	NULL
10	99999999999.99	NULL
11	0.00	NULL
cidx	CDECIMAL4_2	CAST(CDECIMAL4_2 AS DATE)
1	-9.99	NULL
2	-9.98	NULL
3	-9.97	NULL
4	-9.96	NULL
5	-9.95	NULL
6	9.95	NULL
7	9.96	NULL
8	9.97	NULL
9	9.98	NULL
10	9.99	NULL
11	0.00	NULL
cidx	CDATE	CAST(CDATE AS DATE)
1	1997-01-01	1997-01-01
2	1997-01-01	1997-01-01
3	1997-01-02	1997-01-02
4	1997-01-03	1997-01-03
5	1997-01-04	1997-01-04
6	2009-12-28	2009-12-28
7	2009-12-29	2009-12-29
8	2009-12-30	2009-12-30
9	2009-12-31	2009-12-31
10	2009-12-31	2009-12-31
11	2009-12-31	2009-12-31
CAST('2000-01-01' AS DATE)
2000-01-01
cidx	CBIGINT	CAST(CBIGINT AS DATE)
1	-72036854775806	NULL
2	-72036854775805	NULL
3	-72036854775804	NULL
4	-72036854775803	NULL
5	-72036854775802	NULL
6	72036854775803	NULL
7	72036854775804	NULL
8	72036854775805	NULL
9	72036854775806	NULL
10	72036854775807	NULL
11	0	NULL
cidx	CDECIMAL1	CAST(CDECIMAL1 AS DATE)
1	-9	NULL
2	-8	NULL
3	-7	NULL
4	-6	NULL
5	-5	NULL
6	5	NULL
7	6	NULL
8	7	NULL
9	8	NULL
10	9	NULL
11	0	NULL
cidx	CINTEGER	CAST(CINTEGER AS DATE)
1	-7483646	NULL
2	-7483645	NULL
3	-7483644	NULL
4	-7483643	NULL
5	-7483642	NULL
6	7483643	NULL
7	7483644	NULL
8	7483645	NULL
9	7483646	NULL
10	7483647	NULL
11	0	NULL
cidx	CSMALLINT	CAST(CSMALLINT AS DATE)
1	-766	NULL
2	-765	NULL
3	-764	NULL
4	-763	NULL
5	-762	NULL
6	763	NULL
7	764	NULL
8	765	NULL
9	766	NULL
10	767	NULL
11	0	NULL
cidx	CTINYINT	CAST(CTINYINT AS DATE)
1	-26	NULL
2	-25	NULL
3	-24	NULL
4	-23	NULL
5	-22	NULL
6	23	NULL
7	24	NULL
8	25	NULL
9	26	NULL
10	27	NULL
11	0	NULL
cidx	CCHAR1	CAST(CCHAR1 AS DATE)
1	a	NULL
2	a	NULL
3	a	NULL
4	a	NULL
5	a	NULL
6	z	NULL
7	z	NULL
8	z	NULL
9	z	NULL
10	z	NULL
11	NULL	NULL
cidx	CCHAR9	CAST(CCHAR9 AS DATE)
1	aaaaaaaaa	NULL
2	i	NULL
3	ii	NULL
4	iii	NULL
5	iiii	NULL
6	rrrrrrr	NULL
7	rrrrrrrr	NULL
8	rrrrrrrrr	NULL
9	rrrrrrrrr	NULL
10	zzzzzzzzz	NULL
11	NULL	NULL
cidx	CVCHAR2	CAST(CVCHAR2 AS DATE)
1	aa	NULL
2	b	NULL
3	bb	NULL
4	bb	NULL
5	bb	NULL
6	yy	NULL
7	yy	NULL
8	yy	NULL
9	yy	NULL
10	zz	NULL
11	NULL	NULL
cidx	CVCHAR8	CAST(CVCHAR8 AS DATE)
1	aaaaaaaa	NULL
2	h	NULL
3	hh	NULL
4	hhh	NULL
5	hhhh	NULL
6	sssssss	NULL
7	ssssssss	NULL
8	ssssssss	NULL
9	ssssssss	NULL
10	zzzzzzzz	NULL
11	NULL	NULL
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	2000-01-01
1	2000-01-01
2	2000-01-01
3	2000-01-01
4	2000-01-01
5	2000-01-01
6	2000-01-01
7	2000-01-01
8	2000-01-01
9	2000-01-01
10	2000-01-01
11	2000-01-01
cidx	CDECIMAL18_2	CAST(CDECIMAL18_2 AS DATETIME)
1	-99999999999.99	NULL
2	-99999999999.98	NULL
3	-99999999999.97	NULL
4	-99999999999.96	NULL
5	-99999999999.95	NULL
6	99999999999.95	NULL
7	99999999999.96	NULL
8	99999999999.97	NULL
9	99999999999.98	NULL
10	99999999999.99	NULL
11	0.00	NULL
cidx	CDECIMAL4_2	CAST(CDECIMAL4_2 AS DATETIME)
1	-9.99	NULL
2	-9.98	NULL
3	-9.97	NULL
4	-9.96	NULL
5	-9.95	NULL
6	9.95	NULL
7	9.96	NULL
8	9.97	NULL
9	9.98	NULL
10	9.99	NULL
11	0.00	NULL
cidx	CDATETIME	CAST(CDATETIME AS DATETIME)
1	1997-01-01 00:00:00	1997-01-01 00:00:00
2	1997-01-01 00:00:01	1997-01-01 00:00:01
3	1997-01-02 00:00:01	1997-01-02 00:00:01
4	1997-01-03 00:00:02	1997-01-03 00:00:02
5	1997-01-04 00:00:03	1997-01-04 00:00:03
6	2009-12-31 23:59:56	2009-12-31 23:59:56
7	2009-12-31 23:59:57	2009-12-31 23:59:57
8	2009-12-31 23:59:58	2009-12-31 23:59:58
9	2009-12-31 23:59:59	2009-12-31 23:59:59
10	2009-12-31 23:59:59	2009-12-31 23:59:59
11	2009-12-31 23:59:59	2009-12-31 23:59:59
CAST('2000-01-01' AS DATETIME)
2000-01-01 00:00:00
cidx	CBIGINT	CAST(CBIGINT AS DATETIME)
1	-72036854775806	NULL
2	-72036854775805	NULL
3	-72036854775804	NULL
4	-72036854775803	NULL
5	-72036854775802	NULL
6	72036854775803	NULL
7	72036854775804	NULL
8	72036854775805	NULL
9	72036854775806	NULL
10	72036854775807	NULL
11	0	NULL
cidx	CDECIMAL1	CAST(CDECIMAL1 AS DATETIME)
1	-9	NULL
2	-8	NULL
3	-7	NULL
4	-6	NULL
5	-5	NULL
6	5	NULL
7	6	NULL
8	7	NULL
9	8	NULL
10	9	NULL
11	0	NULL
cidx	CINTEGER	CAST(CINTEGER AS DATETIME)
1	-7483646	NULL
2	-7483645	NULL
3	-7483644	NULL
4	-7483643	NULL
5	-7483642	NULL
6	7483643	NULL
7	7483644	NULL
8	7483645	NULL
9	7483646	NULL
10	7483647	NULL
11	0	NULL
cidx	CSMALLINT	CAST(CSMALLINT AS DATETIME)
1	-766	NULL
2	-765	NULL
3	-764	NULL
4	-763	NULL
5	-762	NULL
6	763	NULL
7	764	NULL
8	765	NULL
9	766	NULL
10	767	NULL
11	0	NULL
cidx	CTINYINT	CAST(CTINYINT AS DATETIME)
1	-26	NULL
2	-25	NULL
3	-24	NULL
4	-23	NULL
5	-22	NULL
6	23	NULL
7	24	NULL
8	25	NULL
9	26	NULL
10	27	NULL
11	0	NULL
cidx	CCHAR1	CAST(CCHAR1 AS DATETIME)
1	a	NULL
2	a	NULL
3	a	NULL
4	a	NULL
5	a	NULL
6	z	NULL
7	z	NULL
8	z	NULL
9	z	NULL
10	z	NULL
11	NULL	NULL
cidx	CCHAR9	CAST(CCHAR9 AS DATETIME)
1	aaaaaaaaa	NULL
2	i	NULL
3	ii	NULL
4	iii	NULL
5	iiii	NULL
6	rrrrrrr	NULL
7	rrrrrrrr	NULL
8	rrrrrrrrr	NULL
9	rrrrrrrrr	NULL
10	zzzzzzzzz	NULL
11	NULL	NULL
cidx	CVCHAR2	CAST(CVCHAR2 AS DATETIME)
1	aa	NULL
2	b	NULL
3	bb	NULL
4	bb	NULL
5	bb	NULL
6	yy	NULL
7	yy	NULL
8	yy	NULL
9	yy	NULL
10	zz	NULL
11	NULL	NULL
cidx	CVCHAR8	CAST(CVCHAR8 AS DATETIME)
1	aaaaaaaa	NULL
2	h	NULL
3	hh	NULL
4	hhh	NULL
5	hhhh	NULL
6	sssssss	NULL
7	ssssssss	NULL
8	ssssssss	NULL
9	ssssssss	NULL
10	zzzzzzzz	NULL
11	NULL	NULL
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	2000-01-01
1	2000-01-01
2	2000-01-01
3	2000-01-01
4	2000-01-01
5	2000-01-01
6	2000-01-01
7	2000-01-01
8	2000-01-01
9	2000-01-01
10	2000-01-01
11	2000-01-01
cidx	CDECIMAL18_2	CAST(CDECIMAL18_2 AS DECIMAL(10,2))
1	-99999999999.99	-99999999.99
2	-99999999999.98	-99999999.99
3	-99999999999.97	-99999999.99
4	-99999999999.96	-99999999.99
5	-99999999999.95	-99999999.99
6	99999999999.95	99999999.99
7	99999999999.96	99999999.99
8	99999999999.97	99999999.99
9	99999999999.98	99999999.99
10	99999999999.99	99999999.99
11	0.00	0.00
cidx	CDECIMAL4_2	CAST(CDECIMAL4_2 AS DECIMAL(10,2))
1	-9.99	-9.99
2	-9.98	-9.98
3	-9.97	-9.97
4	-9.96	-9.96
5	-9.95	-9.95
6	9.95	9.95
7	9.96	9.96
8	9.97	9.97
9	9.98	9.98
10	9.99	9.99
11	0.00	0.00
cidx	CDATE	CAST(CDATE AS DECIMAL(10,2))
1	1997-01-01	19970101.00
2	1997-01-01	19970101.00
3	1997-01-02	19970102.00
4	1997-01-03	19970103.00
5	1997-01-04	19970104.00
6	2009-12-28	20091228.00
7	2009-12-29	20091229.00
8	2009-12-30	20091230.00
9	2009-12-31	20091231.00
10	2009-12-31	20091231.00
11	2009-12-31	20091231.00
CAST('2000-01-01' AS DECIMAL(10,2))
2000.00
cidx	CBIGINT	CAST(CBIGINT AS DECIMAL(10,2))
1	-72036854775806	-99999999.99
2	-72036854775805	-99999999.99
3	-72036854775804	-99999999.99
4	-72036854775803	-99999999.99
5	-72036854775802	-99999999.99
6	72036854775803	99999999.99
7	72036854775804	99999999.99
8	72036854775805	99999999.99
9	72036854775806	99999999.99
10	72036854775807	99999999.99
11	0	0.00
cidx	CDECIMAL1	CAST(CDECIMAL1 AS DECIMAL(10,2))
1	-9	-9.00
2	-8	-8.00
3	-7	-7.00
4	-6	-6.00
5	-5	-5.00
6	5	5.00
7	6	6.00
8	7	7.00
9	8	8.00
10	9	9.00
11	0	0.00
cidx	CINTEGER	CAST(CINTEGER AS DECIMAL(10,2))
1	-7483646	-7483646.00
2	-7483645	-7483645.00
