cidx	CCHAR1	CAST(CCHAR1 AS CHAR(1))
6	uuuuuu	uuuuu
7	uuuuuu	uuuuu
8	uuuuuu	uuuuu
9	uuuuuu	uuuuu
10	zzzzzz	zzzzz
11	NULL	NULL
cidx	CCHAR6	CAST(CCHAR6 AS CHAR(6))
1	aaaaaa	aaaaaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	ffff
6	uuuuuu	uuuuuu
7	uuuuuu	uuuuuu
8	uuuuuu	uuuuuu
9	uuuuuu	uuuuuu
10	zzzzzz	zzzzzz
11	NULL	NULL
cidx	CCHAR6	CAST(CCHAR6 AS CHAR(7))
1	aaaaaa	aaaaaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	ffff
6	uuuuuu	uuuuuu
7	uuuuuu	uuuuuu
8	uuuuuu	uuuuuu
9	uuuuuu	uuuuuu
10	zzzzzz	zzzzzz
11	NULL	NULL
cidx	CCHAR6	CAST(CCHAR6 AS CHAR(8))
1	aaaaaa	aaaaaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	ffff
6	uuuuuu	uuuuuu
7	uuuuuu	uuuuuu
8	uuuuuu	uuuuuu
9	uuuuuu	uuuuuu
10	zzzzzz	zzzzzz
11	NULL	NULL
cidx	CCHAR6	CAST(CCHAR6 AS CHAR(9))
1	aaaaaa	aaaaaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	ffff
6	uuuuuu	uuuuuu
7	uuuuuu	uuuuuu
8	uuuuuu	uuuuuu
9	uuuuuu	uuuuuu
10	zzzzzz	zzzzzz
11	NULL	NULL
cidx	CCHAR6	CAST(CCHAR6 AS CHAR(20))
1	aaaaaa	aaaaaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	ffff
6	uuuuuu	uuuuuu
7	uuuuuu	uuuuuu
8	uuuuuu	uuuuuu
9	uuuuuu	uuuuuu
10	zzzzzz	zzzzzz
11	NULL	NULL
cidx	CCHAR7	CAST(CCHAR7 AS CHAR(1))
1	aaaaaaa	a
2	g	g
3	gg	g
4	ggg	g
5	gggg	g
6	ttttttt	t
7	ttttttt	t
8	ttttttt	t
9	ttttttt	t
10	zzzzzzz	z
11	NULL	NULL
cidx	CCHAR7	CAST(CCHAR7 AS CHAR(2))
1	aaaaaaa	aa
2	g	g
3	gg	gg
4	ggg	gg
5	gggg	gg
6	ttttttt	tt
7	ttttttt	tt
8	ttttttt	tt
9	ttttttt	tt
10	zzzzzzz	zz
11	NULL	NULL
cidx	CCHAR7	CAST(CCHAR7 AS CHAR(3))
1	aaaaaaa	aaa
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	ggg
6	ttttttt	ttt
7	ttttttt	ttt
8	ttttttt	ttt
9	ttttttt	ttt
10	zzzzzzz	zzz
11	NULL	NULL
cidx	CCHAR7	CAST(CCHAR7 AS CHAR(4))
1	aaaaaaa	aaaa
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	gggg
6	ttttttt	tttt
7	ttttttt	tttt
8	ttttttt	tttt
9	ttttttt	tttt
10	zzzzzzz	zzzz
11	NULL	NULL
cidx	CCHAR7	CAST(CCHAR7 AS CHAR(5))
1	aaaaaaa	aaaaa
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	gggg
6	ttttttt	ttttt
7	ttttttt	ttttt
8	ttttttt	ttttt
9	ttttttt	ttttt
10	zzzzzzz	zzzzz
11	NULL	NULL
cidx	CCHAR7	CAST(CCHAR7 AS CHAR(6))
1	aaaaaaa	aaaaaa
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	gggg
6	ttttttt	tttttt
7	ttttttt	tttttt
8	ttttttt	tttttt
9	ttttttt	tttttt
10	zzzzzzz	zzzzzz
11	NULL	NULL
cidx	CCHAR7	CAST(CCHAR7 AS CHAR(7))
1	aaaaaaa	aaaaaaa
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	gggg
6	ttttttt	ttttttt
7	ttttttt	ttttttt
8	ttttttt	ttttttt
9	ttttttt	ttttttt
10	zzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CCHAR7	CAST(CCHAR7 AS CHAR(8))
1	aaaaaaa	aaaaaaa
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	gggg
6	ttttttt	ttttttt
7	ttttttt	ttttttt
8	ttttttt	ttttttt
9	ttttttt	ttttttt
10	zzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CCHAR7	CAST(CCHAR7 AS CHAR(9))
1	aaaaaaa	aaaaaaa
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	gggg
6	ttttttt	ttttttt
7	ttttttt	ttttttt
8	ttttttt	ttttttt
9	ttttttt	ttttttt
10	zzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CCHAR7	CAST(CCHAR7 AS CHAR(20))
1	aaaaaaa	aaaaaaa
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	gggg
6	ttttttt	ttttttt
7	ttttttt	ttttttt
8	ttttttt	ttttttt
9	ttttttt	ttttttt
10	zzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CCHAR8	CAST(CCHAR8 AS CHAR(1))
1	aaaaaaaa	a
2	h	h
3	hh	h
4	hhh	h
5	hhhh	h
6	sssssss	s
7	ssssssss	s
8	ssssssss	s
9	ssssssss	s
10	zzzzzzzz	z
11	NULL	NULL
cidx	CCHAR8	CAST(CCHAR8 AS CHAR(2))
1	aaaaaaaa	aa
2	h	h
3	hh	hh
4	hhh	hh
5	hhhh	hh
6	sssssss	ss
7	ssssssss	ss
8	ssssssss	ss
9	ssssssss	ss
10	zzzzzzzz	zz
11	NULL	NULL
cidx	CCHAR8	CAST(CCHAR8 AS CHAR(3))
1	aaaaaaaa	aaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhh
6	sssssss	sss
7	ssssssss	sss
8	ssssssss	sss
9	ssssssss	sss
10	zzzzzzzz	zzz
11	NULL	NULL
cidx	CCHAR8	CAST(CCHAR8 AS CHAR(4))
1	aaaaaaaa	aaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	ssss
7	ssssssss	ssss
8	ssssssss	ssss
9	ssssssss	ssss
10	zzzzzzzz	zzzz
11	NULL	NULL
cidx	CCHAR8	CAST(CCHAR8 AS CHAR(5))
1	aaaaaaaa	aaaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	sssss
7	ssssssss	sssss
8	ssssssss	sssss
9	ssssssss	sssss
10	zzzzzzzz	zzzzz
11	NULL	NULL
cidx	CCHAR8	CAST(CCHAR8 AS CHAR(6))
1	aaaaaaaa	aaaaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	ssssss
7	ssssssss	ssssss
8	ssssssss	ssssss
9	ssssssss	ssssss
10	zzzzzzzz	zzzzzz
11	NULL	NULL
cidx	CCHAR8	CAST(CCHAR8 AS CHAR(7))
1	aaaaaaaa	aaaaaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	sssssss
7	ssssssss	sssssss
8	ssssssss	sssssss
9	ssssssss	sssssss
10	zzzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CCHAR8	CAST(CCHAR8 AS CHAR(8))
1	aaaaaaaa	aaaaaaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	sssssss
7	ssssssss	ssssssss
8	ssssssss	ssssssss
9	ssssssss	ssssssss
10	zzzzzzzz	zzzzzzzz
11	NULL	NULL
cidx	CCHAR8	CAST(CCHAR8 AS CHAR(9))
1	aaaaaaaa	aaaaaaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	sssssss
7	ssssssss	ssssssss
8	ssssssss	ssssssss
9	ssssssss	ssssssss
10	zzzzzzzz	zzzzzzzz
11	NULL	NULL
cidx	CCHAR8	CAST(CCHAR8 AS CHAR(20))
1	aaaaaaaa	aaaaaaaa
2	h	h
3	hh	hh
4	hhh	hhh
5	hhhh	hhhh
6	sssssss	sssssss
7	ssssssss	ssssssss
8	ssssssss	ssssssss
9	ssssssss	ssssssss
10	zzzzzzzz	zzzzzzzz
11	NULL	NULL
cidx	CCHAR9	CAST(CCHAR9 AS CHAR(1))
1	aaaaaaaaa	a
2	i	i
3	ii	i
4	iii	i
5	iiii	i
6	rrrrrrr	r
7	rrrrrrrr	r
8	rrrrrrrrr	r
9	rrrrrrrrr	r
10	zzzzzzzzz	z
11	NULL	NULL
cidx	CCHAR9	CAST(CCHAR9 AS CHAR(2))
1	aaaaaaaaa	aa
2	i	i
3	ii	ii
4	iii	ii
5	iiii	ii
6	rrrrrrr	rr
7	rrrrrrrr	rr
8	rrrrrrrrr	rr
9	rrrrrrrrr	rr
10	zzzzzzzzz	zz
11	NULL	NULL
cidx	CCHAR9	CAST(CCHAR9 AS CHAR(3))
1	aaaaaaaaa	aaa
2	i	i
3	ii	ii
4	iii	iii
5	iiii	iii
6	rrrrrrr	rrr
7	rrrrrrrr	rrr
8	rrrrrrrrr	rrr
9	rrrrrrrrr	rrr
10	zzzzzzzzz	zzz
11	NULL	NULL
cidx	CCHAR9	CAST(CCHAR9 AS CHAR(4))
1	aaaaaaaaa	aaaa
2	i	i
3	ii	ii
4	iii	iii
5	iiii	iiii
6	rrrrrrr	rrrr
7	rrrrrrrr	rrrr
8	rrrrrrrrr	rrrr
9	rrrrrrrrr	rrrr
10	zzzzzzzzz	zzzz
11	NULL	NULL
cidx	CCHAR9	CAST(CCHAR9 AS CHAR(5))
1	aaaaaaaaa	aaaaa
2	i	i
3	ii	ii
4	iii	iii
5	iiii	iiii
6	rrrrrrr	rrrrr
7	rrrrrrrr	rrrrr
8	rrrrrrrrr	rrrrr
9	rrrrrrrrr	rrrrr
10	zzzzzzzzz	zzzzz
11	NULL	NULL
cidx	CCHAR9	CAST(CCHAR9 AS CHAR(6))
1	aaaaaaaaa	aaaaaa
2	i	i
3	ii	ii
4	iii	iii
5	iiii	iiii
6	rrrrrrr	rrrrrr
7	rrrrrrrr	rrrrrr
8	rrrrrrrrr	rrrrrr
9	rrrrrrrrr	rrrrrr
10	zzzzzzzzz	zzzzzz
11	NULL	NULL
cidx	CCHAR9	CAST(CCHAR9 AS CHAR(7))
1	aaaaaaaaa	aaaaaaa
2	i	i
3	ii	ii
4	iii	iii
5	iiii	iiii
6	rrrrrrr	rrrrrrr
7	rrrrrrrr	rrrrrrr
8	rrrrrrrrr	rrrrrrr
9	rrrrrrrrr	rrrrrrr
10	zzzzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CCHAR9	CAST(CCHAR9 AS CHAR(8))
1	aaaaaaaaa	aaaaaaaa
2	i	i
3	ii	ii
4	iii	iii
5	iiii	iiii
6	rrrrrrr	rrrrrrr
7	rrrrrrrr	rrrrrrrr
8	rrrrrrrrr	rrrrrrrr
9	rrrrrrrrr	rrrrrrrr
10	zzzzzzzzz	zzzzzzzz
11	NULL	NULL
cidx	CCHAR9	CAST(CCHAR9 AS CHAR(9))
1	aaaaaaaaa	aaaaaaaaa
2	i	i
3	ii	ii
4	iii	iii
5	iiii	iiii
6	rrrrrrr	rrrrrrr
7	rrrrrrrr	rrrrrrrr
8	rrrrrrrrr	rrrrrrrrr
9	rrrrrrrrr	rrrrrrrrr
10	zzzzzzzzz	zzzzzzzzz
11	NULL	NULL
cidx	CCHAR9	CAST(CCHAR9 AS CHAR(20))
1	aaaaaaaaa	aaaaaaaaa
2	i	i
3	ii	ii
4	iii	iii
5	iiii	iiii
6	rrrrrrr	rrrrrrr
7	rrrrrrrr	rrrrrrrr
8	rrrrrrrrr	rrrrrrrrr
9	rrrrrrrrr	rrrrrrrrr
10	zzzzzzzzz	zzzzzzzzz
11	NULL	NULL
cidx	CCHAR255	CAST(CCHAR255 AS CHAR(1))
1	aaaaaaaaaa	a
2	j	j
3	jj	j
4	jjj	j
5	jjjj	j
6	qqqqqqq	q
7	qqqqqqqq	q
8	qqqqqqqqq	q
9	qqqqqqqqqq	q
10	zzzzzzzzzz	z
11	NULL	NULL
cidx	CCHAR255	CAST(CCHAR255 AS CHAR(2))
1	aaaaaaaaaa	aa
2	j	j
3	jj	jj
4	jjj	jj
5	jjjj	jj
6	qqqqqqq	qq
7	qqqqqqqq	qq
8	qqqqqqqqq	qq
9	qqqqqqqqqq	qq
10	zzzzzzzzzz	zz
11	NULL	NULL
cidx	CCHAR255	CAST(CCHAR255 AS CHAR(3))
1	aaaaaaaaaa	aaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjj
6	qqqqqqq	qqq
7	qqqqqqqq	qqq
8	qqqqqqqqq	qqq
9	qqqqqqqqqq	qqq
10	zzzzzzzzzz	zzz
11	NULL	NULL
cidx	CCHAR255	CAST(CCHAR255 AS CHAR(4))
1	aaaaaaaaaa	aaaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjjj
6	qqqqqqq	qqqq
7	qqqqqqqq	qqqq
8	qqqqqqqqq	qqqq
9	qqqqqqqqqq	qqqq
10	zzzzzzzzzz	zzzz
11	NULL	NULL
cidx	CCHAR255	CAST(CCHAR255 AS CHAR(5))
1	aaaaaaaaaa	aaaaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjjj
6	qqqqqqq	qqqqq
7	qqqqqqqq	qqqqq
8	qqqqqqqqq	qqqqq
9	qqqqqqqqqq	qqqqq
10	zzzzzzzzzz	zzzzz
11	NULL	NULL
cidx	CCHAR255	CAST(CCHAR255 AS CHAR(6))
1	aaaaaaaaaa	aaaaaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjjj
6	qqqqqqq	qqqqqq
