cidx	CBIGINT	FORMAT(CBIGINT,0)
11	0.00	0
cidx	CDECIMAL4_2	FORMAT(CDECIMAL4_2,1)
1	-9.99	-10.0
2	-9.98	-10.0
3	-9.97	-10.0
4	-9.96	-10.0
5	-9.95	-10.0
6	9.95	10.0
7	9.96	10.0
8	9.97	10.0
9	9.98	10.0
10	9.99	10.0
11	0.00	0.0
cidx	CDECIMAL4_2	FORMAT(CDECIMAL4_2,2)
1	-9.99	-9.99
2	-9.98	-9.98
3	-9.97	-9.97
4	-9.96	-9.96
5	-9.95	-9.95
6	9.95	9.95
7	9.96	9.96
8	9.97	9.97
9	9.98	9.98
10	9.99	9.99
11	0.00	0.00
cidx	CDECIMAL4_2	FORMAT(CDECIMAL4_2,3)
1	-9.99	-9.990
2	-9.98	-9.980
3	-9.97	-9.970
4	-9.96	-9.960
5	-9.95	-9.950
6	9.95	9.950
7	9.96	9.960
8	9.97	9.970
9	9.98	9.980
10	9.99	9.990
11	0.00	0.000
cidx	CDECIMAL4_2	FORMAT(CDECIMAL4_2,4)
1	-9.99	-9.9900
2	-9.98	-9.9800
3	-9.97	-9.9700
4	-9.96	-9.9600
5	-9.95	-9.9500
6	9.95	9.9500
7	9.96	9.9600
8	9.97	9.9700
9	9.98	9.9800
10	9.99	9.9900
11	0.00	0.0000
cidx	CDECIMAL5	FORMAT(CDECIMAL5,0)
1	-999	-999
2	-998	-998
3	-997	-997
4	-996	-996
5	-995	-995
6	995	995
7	996	996
8	997	997
9	998	998
10	999	999
11	0	0
cidx	CDECIMAL5	FORMAT(CDECIMAL5,1)
1	-999	-999.0
2	-998	-998.0
3	-997	-997.0
4	-996	-996.0
5	-995	-995.0
6	995	995.0
7	996	996.0
8	997	997.0
9	998	998.0
10	999	999.0
11	0	0.0
cidx	CDECIMAL5	FORMAT(CDECIMAL5,2)
1	-999	-999.00
2	-998	-998.00
3	-997	-997.00
4	-996	-996.00
5	-995	-995.00
6	995	995.00
7	996	996.00
8	997	997.00
9	998	998.00
10	999	999.00
11	0	0.00
cidx	CDECIMAL5	FORMAT(CDECIMAL5,3)
1	-999	-999.000
2	-998	-998.000
3	-997	-997.000
4	-996	-996.000
5	-995	-995.000
6	995	995.000
7	996	996.000
8	997	997.000
9	998	998.000
10	999	999.000
11	0	0.000
cidx	CDECIMAL5	FORMAT(CDECIMAL5,4)
1	-999	-999.0000
2	-998	-998.0000
3	-997	-997.0000
4	-996	-996.0000
5	-995	-995.0000
6	995	995.0000
7	996	996.0000
8	997	997.0000
9	998	998.0000
10	999	999.0000
11	0	0.0000
cidx	CDECIMAL9	FORMAT(CDECIMAL9,0)
1	-999999	-999,999
2	-999998	-999,998
3	-999997	-999,997
4	-999996	-999,996
5	-999995	-999,995
6	999995	999,995
7	999996	999,996
8	999997	999,997
9	999998	999,998
10	999999	999,999
11	0	0
cidx	CDECIMAL9	FORMAT(CDECIMAL9,1)
1	-999999	-999,999.0
2	-999998	-999,998.0
3	-999997	-999,997.0
4	-999996	-999,996.0
5	-999995	-999,995.0
6	999995	999,995.0
7	999996	999,996.0
8	999997	999,997.0
9	999998	999,998.0
10	999999	999,999.0
11	0	0.0
cidx	CDECIMAL9	FORMAT(CDECIMAL9,2)
1	-999999	-999,999.00
2	-999998	-999,998.00
3	-999997	-999,997.00
4	-999996	-999,996.00
5	-999995	-999,995.00
6	999995	999,995.00
7	999996	999,996.00
8	999997	999,997.00
9	999998	999,998.00
10	999999	999,999.00
11	0	0.00
cidx	CDECIMAL9	FORMAT(CDECIMAL9,3)
1	-999999	-999,999.000
2	-999998	-999,998.000
3	-999997	-999,997.000
4	-999996	-999,996.000
5	-999995	-999,995.000
6	999995	999,995.000
7	999996	999,996.000
8	999997	999,997.000
9	999998	999,998.000
10	999999	999,999.000
11	0	0.000
cidx	CDECIMAL9	FORMAT(CDECIMAL9,4)
1	-999999	-999,999.0000
2	-999998	-999,998.0000
3	-999997	-999,997.0000
4	-999996	-999,996.0000
5	-999995	-999,995.0000
6	999995	999,995.0000
7	999996	999,996.0000
8	999997	999,997.0000
9	999998	999,998.0000
10	999999	999,999.0000
11	0	0.0000
cidx	CDECIMAL9_2	FORMAT(CDECIMAL9_2,0)
1	-9999.99	-10,000
2	-9999.98	-10,000
3	-9999.97	-10,000
4	-9999.96	-10,000
5	-9999.95	-10,000
6	9999.95	10,000
7	9999.96	10,000
8	9999.97	10,000
9	9999.98	10,000
10	9999.99	10,000
11	0.00	0
cidx	CDECIMAL9_2	FORMAT(CDECIMAL9_2,1)
1	-9999.99	-10,000.0
2	-9999.98	-10,000.0
3	-9999.97	-10,000.0
4	-9999.96	-10,000.0
5	-9999.95	-10,000.0
6	9999.95	10,000.0
7	9999.96	10,000.0
8	9999.97	10,000.0
9	9999.98	10,000.0
10	9999.99	10,000.0
11	0.00	0.0
cidx	CDECIMAL9_2	FORMAT(CDECIMAL9_2,2)
1	-9999.99	-9,999.99
2	-9999.98	-9,999.98
3	-9999.97	-9,999.97
4	-9999.96	-9,999.96
5	-9999.95	-9,999.95
6	9999.95	9,999.95
7	9999.96	9,999.96
8	9999.97	9,999.97
9	9999.98	9,999.98
10	9999.99	9,999.99
11	0.00	0.00
cidx	CDECIMAL9_2	FORMAT(CDECIMAL9_2,3)
1	-9999.99	-9,999.990
2	-9999.98	-9,999.980
3	-9999.97	-9,999.970
4	-9999.96	-9,999.960
5	-9999.95	-9,999.950
6	9999.95	9,999.950
7	9999.96	9,999.960
8	9999.97	9,999.970
9	9999.98	9,999.980
10	9999.99	9,999.990
11	0.00	0.000
cidx	CDECIMAL9_2	FORMAT(CDECIMAL9_2,4)
1	-9999.99	-9,999.9900
2	-9999.98	-9,999.9800
3	-9999.97	-9,999.9700
4	-9999.96	-9,999.9600
5	-9999.95	-9,999.9500
6	9999.95	9,999.9500
7	9999.96	9,999.9600
8	9999.97	9,999.9700
9	9999.98	9,999.9800
10	9999.99	9,999.9900
11	0.00	0.0000
cidx	CDECIMAL10	FORMAT(CDECIMAL10,0)
1	-9999999	-9,999,999
2	-9999998	-9,999,998
3	-9999997	-9,999,997
4	-9999996	-9,999,996
5	-9999995	-9,999,995
6	9999995	9,999,995
7	9999996	9,999,996
8	9999997	9,999,997
9	9999998	9,999,998
10	9999999	9,999,999
11	0	0
cidx	CDECIMAL10	FORMAT(CDECIMAL10,1)
1	-9999999	-9,999,999.0
2	-9999998	-9,999,998.0
3	-9999997	-9,999,997.0
4	-9999996	-9,999,996.0
5	-9999995	-9,999,995.0
6	9999995	9,999,995.0
7	9999996	9,999,996.0
8	9999997	9,999,997.0
9	9999998	9,999,998.0
10	9999999	9,999,999.0
11	0	0.0
cidx	CDECIMAL10	FORMAT(CDECIMAL10,2)
1	-9999999	-9,999,999.00
2	-9999998	-9,999,998.00
3	-9999997	-9,999,997.00
4	-9999996	-9,999,996.00
5	-9999995	-9,999,995.00
6	9999995	9,999,995.00
7	9999996	9,999,996.00
8	9999997	9,999,997.00
9	9999998	9,999,998.00
10	9999999	9,999,999.00
11	0	0.00
cidx	CDECIMAL10	FORMAT(CDECIMAL10,3)
1	-9999999	-9,999,999.000
2	-9999998	-9,999,998.000
3	-9999997	-9,999,997.000
4	-9999996	-9,999,996.000
5	-9999995	-9,999,995.000
6	9999995	9,999,995.000
7	9999996	9,999,996.000
8	9999997	9,999,997.000
9	9999998	9,999,998.000
10	9999999	9,999,999.000
11	0	0.000
cidx	CDECIMAL10	FORMAT(CDECIMAL10,4)
1	-9999999	-9,999,999.0000
2	-9999998	-9,999,998.0000
3	-9999997	-9,999,997.0000
4	-9999996	-9,999,996.0000
5	-9999995	-9,999,995.0000
6	9999995	9,999,995.0000
7	9999996	9,999,996.0000
8	9999997	9,999,997.0000
9	9999998	9,999,998.0000
10	9999999	9,999,999.0000
11	0	0.0000
cidx	CDECIMAL18	FORMAT(CDECIMAL18,0)
1	-9999999999999	-9,999,999,999,999
2	-9999999999998	-9,999,999,999,998
3	-9999999999997	-9,999,999,999,997
4	-9999999999996	-9,999,999,999,996
5	-9999999999995	-9,999,999,999,995
6	9999999999995	9,999,999,999,995
7	9999999999996	9,999,999,999,996
8	9999999999997	9,999,999,999,997
9	9999999999998	9,999,999,999,998
10	9999999999999	9,999,999,999,999
11	0	0
cidx	CDECIMAL18	FORMAT(CDECIMAL18,1)
1	-9999999999999	-9,999,999,999,999.0
2	-9999999999998	-9,999,999,999,998.0
3	-9999999999997	-9,999,999,999,997.0
4	-9999999999996	-9,999,999,999,996.0
5	-9999999999995	-9,999,999,999,995.0
6	9999999999995	9,999,999,999,995.0
7	9999999999996	9,999,999,999,996.0
8	9999999999997	9,999,999,999,997.0
9	9999999999998	9,999,999,999,998.0
10	9999999999999	9,999,999,999,999.0
11	0	0.0
cidx	CDECIMAL18	FORMAT(CDECIMAL18,2)
1	-9999999999999	-9,999,999,999,999.00
2	-9999999999998	-9,999,999,999,998.00
3	-9999999999997	-9,999,999,999,997.00
4	-9999999999996	-9,999,999,999,996.00
5	-9999999999995	-9,999,999,999,995.00
6	9999999999995	9,999,999,999,995.00
7	9999999999996	9,999,999,999,996.00
8	9999999999997	9,999,999,999,997.00
9	9999999999998	9,999,999,999,998.00
10	9999999999999	9,999,999,999,999.00
11	0	0.00
cidx	CDECIMAL18	FORMAT(CDECIMAL18,3)
1	-9999999999999	-9,999,999,999,999.000
2	-9999999999998	-9,999,999,999,998.000
3	-9999999999997	-9,999,999,999,997.000
4	-9999999999996	-9,999,999,999,996.000
5	-9999999999995	-9,999,999,999,995.000
6	9999999999995	9,999,999,999,995.000
7	9999999999996	9,999,999,999,996.000
8	9999999999997	9,999,999,999,997.000
9	9999999999998	9,999,999,999,998.000
10	9999999999999	9,999,999,999,999.000
11	0	0.000
cidx	CDECIMAL18	FORMAT(CDECIMAL18,4)
1	-9999999999999	-9,999,999,999,999.0000
2	-9999999999998	-9,999,999,999,998.0000
3	-9999999999997	-9,999,999,999,997.0000
4	-9999999999996	-9,999,999,999,996.0000
5	-9999999999995	-9,999,999,999,995.0000
6	9999999999995	9,999,999,999,995.0000
7	9999999999996	9,999,999,999,996.0000
8	9999999999997	9,999,999,999,997.0000
9	9999999999998	9,999,999,999,998.0000
10	9999999999999	9,999,999,999,999.0000
11	0	0.0000
cidx	CDECIMAL18_2	FORMAT(CDECIMAL18_2,0)
1	-99999999999.99	-100,000,000,000
2	-99999999999.98	-100,000,000,000
3	-99999999999.97	-100,000,000,000
4	-99999999999.96	-100,000,000,000
5	-99999999999.95	-100,000,000,000
6	99999999999.95	100,000,000,000
7	99999999999.96	100,000,000,000
8	99999999999.97	100,000,000,000
9	99999999999.98	100,000,000,000
10	99999999999.99	100,000,000,000
11	0.00	0
cidx	CDECIMAL18_2	FORMAT(CDECIMAL18_2,1)
1	-99999999999.99	-100,000,000,000.0
2	-99999999999.98	-100,000,000,000.0
3	-99999999999.97	-100,000,000,000.0
4	-99999999999.96	-100,000,000,000.0
5	-99999999999.95	-100,000,000,000.0
6	99999999999.95	100,000,000,000.0
7	99999999999.96	100,000,000,000.0
8	99999999999.97	100,000,000,000.0
9	99999999999.98	100,000,000,000.0
10	99999999999.99	100,000,000,000.0
11	0.00	0.0
cidx	CDECIMAL18_2	FORMAT(CDECIMAL18_2,2)
1	-99999999999.99	-99,999,999,999.99
2	-99999999999.98	-99,999,999,999.98
3	-99999999999.97	-99,999,999,999.97
4	-99999999999.96	-99,999,999,999.96
5	-99999999999.95	-99,999,999,999.95
6	99999999999.95	99,999,999,999.95
7	99999999999.96	99,999,999,999.96
8	99999999999.97	99,999,999,999.97
9	99999999999.98	99,999,999,999.98
10	99999999999.99	99,999,999,999.99
11	0.00	0.00
cidx	CDECIMAL18_2	FORMAT(CDECIMAL18_2,3)
1	-99999999999.99	-99,999,999,999.990
2	-99999999999.98	-99,999,999,999.980
3	-99999999999.97	-99,999,999,999.970
4	-99999999999.96	-99,999,999,999.960
5	-99999999999.95	-99,999,999,999.950
6	99999999999.95	99,999,999,999.950
7	99999999999.96	99,999,999,999.960
8	99999999999.97	99,999,999,999.970
9	99999999999.98	99,999,999,999.980
10	99999999999.99	99,999,999,999.990
11	0.00	0.000
cidx	CDECIMAL18_2	FORMAT(CDECIMAL18_2,4)
1	-99999999999.99	-99,999,999,999.9900
2	-99999999999.98	-99,999,999,999.9800
3	-99999999999.97	-99,999,999,999.9700
4	-99999999999.96	-99,999,999,999.9600
5	-99999999999.95	-99,999,999,999.9500
6	99999999999.95	99,999,999,999.9500
7	99999999999.96	99,999,999,999.9600
8	99999999999.97	99,999,999,999.9700
9	99999999999.98	99,999,999,999.9800
10	99999999999.99	99,999,999,999.9900
11	0.00	0.0000
cidx	CINTEGER	FORMAT(CINTEGER,0)
1	-7483646	-7,483,646
2	-7483645	-7,483,645
3	-7483644	-7,483,644
4	-7483643	-7,483,643
5	-7483642	-7,483,642
6	7483643	7,483,643
7	7483644	7,483,644
8	7483645	7,483,645
9	7483646	7,483,646
10	7483647	7,483,647
11	0	0
cidx	CINTEGER	FORMAT(CINTEGER,1)
1	-7483646	-7,483,646.0
2	-7483645	-7,483,645.0
3	-7483644	-7,483,644.0
4	-7483643	-7,483,643.0
5	-7483642	-7,483,642.0
6	7483643	7,483,643.0
7	7483644	7,483,644.0
8	7483645	7,483,645.0
9	7483646	7,483,646.0
10	7483647	7,483,647.0
11	0	0.0
cidx	CINTEGER	FORMAT(CINTEGER,2)
1	-7483646	-7,483,646.00
2	-7483645	-7,483,645.00
3	-7483644	-7,483,644.00
4	-7483643	-7,483,643.00
5	-7483642	-7,483,642.00
6	7483643	7,483,643.00
7	7483644	7,483,644.00
8	7483645	7,483,645.00
9	7483646	7,483,646.00
10	7483647	7,483,647.00
11	0	0.00
cidx	CINTEGER	FORMAT(CINTEGER,3)
1	-7483646	-7,483,646.000
2	-7483645	-7,483,645.000
3	-7483644	-7,483,644.000
4	-7483643	-7,483,643.000
5	-7483642	-7,483,642.000
6	7483643	7,483,643.000
7	7483644	7,483,644.000
8	7483645	7,483,645.000
9	7483646	7,483,646.000
10	7483647	7,483,647.000
11	0	0.000
cidx	CINTEGER	FORMAT(CINTEGER,4)
1	-7483646	-7,483,646.0000
2	-7483645	-7,483,645.0000
3	-7483644	-7,483,644.0000
4	-7483643	-7,483,643.0000
5	-7483642	-7,483,642.0000
6	7483643	7,483,643.0000
7	7483644	7,483,644.0000
8	7483645	7,483,645.0000
9	7483646	7,483,646.0000
10	7483647	7,483,647.0000
11	0	0.0000
cidx	CSMALLINT	FORMAT(CSMALLINT,0)
1	-766	-766
2	-765	-765
3	-764	-764
4	-763	-763
5	-762	-762
6	763	763
7	764	764
8	765	765
9	766	766
10	767	767
11	0	0
cidx	CSMALLINT	FORMAT(CSMALLINT,1)
1	-766	-766.0
2	-765	-765.0
3	-764	-764.0
4	-763	-763.0
5	-762	-762.0
6	763	763.0
7	764	764.0
8	765	765.0
9	766	766.0
10	767	767.0
11	0	0.0
cidx	CSMALLINT	FORMAT(CSMALLINT,2)
1	-766	-766.00
2	-765	-765.00
3	-764	-764.00
4	-763	-763.00
5	-762	-762.00
6	763	763.00
7	764	764.00
8	765	765.00
9	766	766.00
10	767	767.00
11	0	0.00
cidx	CSMALLINT	FORMAT(CSMALLINT,3)
1	-766	-766.000
2	-765	-765.000
3	-764	-764.000
4	-763	-763.000
5	-762	-762.000
6	763	763.000
7	764	764.000
8	765	765.000
9	766	766.000
10	767	767.000
11	0	0.000
cidx	CSMALLINT	FORMAT(CSMALLINT,4)
1	-766	-766.0000
2	-765	-765.0000
3	-764	-764.0000
4	-763	-763.0000
5	-762	-762.0000
6	763	763.0000
7	764	764.0000
8	765	765.0000
9	766	766.0000
10	767	767.0000
11	0	0.0000
cidx	CTINYINT	FORMAT(CTINYINT,0)
1	-26	-26
2	-25	-25
3	-24	-24
4	-23	-23
5	-22	-22
6	23	23
7	24	24
8	25	25
9	26	26
10	27	27
11	0	0
cidx	CTINYINT	FORMAT(CTINYINT,1)
1	-26	-26.0
2	-25	-25.0
3	-24	-24.0
4	-23	-23.0
5	-22	-22.0
6	23	23.0
7	24	24.0
8	25	25.0
9	26	26.0
10	27	27.0
11	0	0.0
cidx	CTINYINT	FORMAT(CTINYINT,2)
1	-26	-26.00
2	-25	-25.00
3	-24	-24.00
4	-23	-23.00
5	-22	-22.00
6	23	23.00
7	24	24.00
8	25	25.00
9	26	26.00
10	27	27.00
11	0	0.00
cidx	CTINYINT	FORMAT(CTINYINT,3)
1	-26	-26.000
2	-25	-25.000
3	-24	-24.000
4	-23	-23.000
5	-22	-22.000
6	23	23.000
7	24	24.000
8	25	25.000
9	26	26.000
10	27	27.000
11	0	0.000
cidx	CTINYINT	FORMAT(CTINYINT,4)
1	-26	-26.0000
2	-25	-25.0000
3	-24	-24.0000
4	-23	-23.0000
5	-22	-22.0000
6	23	23.0000
7	24	24.0000
8	25	25.0000
9	26	26.0000
10	27	27.0000
11	0	0.0000
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
6	5
7	6
8	7
9	8
10	9
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
6	5
7	6
8	7
9	8
10	9
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
6	5
7	6
8	7
9	8
10	9
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
6	5
7	6
8	7
9	8
10	9
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
6	5
7	6
8	7
9	8
10	9
cidx	CDECIMAL4
1	-999
2	-998
3	-997
4	-996
5	-995
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL4
1	-999
2	-998
3	-997
4	-996
5	-995
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL4
1	-999
2	-998
3	-997
4	-996
5	-995
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL4
1	-999
2	-998
3	-997
4	-996
5	-995
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL4
1	-999
2	-998
3	-997
4	-996
5	-995
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
cidx	CDECIMAL5
1	-999
2	-998
3	-997
4	-996
5	-995
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL5
1	-999
2	-998
3	-997
4	-996
5	-995
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL5
1	-999
2	-998
3	-997
4	-996
5	-995
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL5
1	-999
2	-998
3	-997
4	-996
5	-995
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL5
1	-999
2	-998
3	-997
4	-996
5	-995
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
6	999995
7	999996
8	999997
9	999998
10	999999
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
6	999995
7	999996
8	999997
9	999998
10	999999
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
6	999995
7	999996
8	999997
9	999998
10	999999
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
6	999995
7	999996
8	999997
9	999998
10	999999
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
6	999995
7	999996
8	999997
9	999998
10	999999
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
6	9999.95
7	9999.96
8	9999.97
9	9999.98
10	9999.99
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
6	9999.95
7	9999.96
8	9999.97
9	9999.98
10	9999.99
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
6	9999.95
7	9999.96
8	9999.97
9	9999.98
10	9999.99
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
6	9999.95
7	9999.96
8	9999.97
9	9999.98
10	9999.99
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
6	9999.95
7	9999.96
8	9999.97
9	9999.98
10	9999.99
cidx	CDECIMAL10
1	-9999999
2	-9999998
3	-9999997
4	-9999996
5	-9999995
6	9999995
7	9999996
8	9999997
9	9999998
10	9999999
cidx	CDECIMAL10
1	-9999999
2	-9999998
3	-9999997
4	-9999996
5	-9999995
6	9999995
7	9999996
8	9999997
9	9999998
10	9999999
cidx	CDECIMAL10
1	-9999999
2	-9999998
3	-9999997
4	-9999996
5	-9999995
6	9999995
7	9999996
8	9999997
9	9999998
10	9999999
cidx	CDECIMAL10
1	-9999999
2	-9999998
3	-9999997
4	-9999996
5	-9999995
6	9999995
7	9999996
8	9999997
9	9999998
10	9999999
