cidx	CDATE	DATE_ADD(CDATE, INTERVAL 3 SECOND)
3	1997-01-02	1997-01-23
4	1997-01-03	1997-01-24
5	1997-01-04	1997-01-25
6	2009-12-28	2010-01-18
7	2009-12-29	2010-01-19
8	2009-12-30	2010-01-20
9	2009-12-31	2010-01-21
10	2009-12-31	2010-01-21
11	2009-12-31	2010-01-21
cidx	CDATE	DATE_ADD(CDATE, INTERVAL 3 MONTH)
1	1997-01-01	1997-04-01
2	1997-01-01	1997-04-01
3	1997-01-02	1997-04-02
4	1997-01-03	1997-04-03
5	1997-01-04	1997-04-04
6	2009-12-28	2010-03-28
7	2009-12-29	2010-03-29
8	2009-12-30	2010-03-30
9	2009-12-31	2010-03-31
10	2009-12-31	2010-03-31
11	2009-12-31	2010-03-31
cidx	CDATE	DATE_ADD(CDATE, INTERVAL 3 QUARTER)
1	1997-01-01	1997-10-01
2	1997-01-01	1997-10-01
3	1997-01-02	1997-10-02
4	1997-01-03	1997-10-03
5	1997-01-04	1997-10-04
6	2009-12-28	2010-09-28
7	2009-12-29	2010-09-29
8	2009-12-30	2010-09-30
9	2009-12-31	2010-09-30
10	2009-12-31	2010-09-30
11	2009-12-31	2010-09-30
cidx	CDATE	DATE_ADD(CDATE, INTERVAL 3 YEAR)
1	1997-01-01	2000-01-01
2	1997-01-01	2000-01-01
3	1997-01-02	2000-01-02
4	1997-01-03	2000-01-03
5	1997-01-04	2000-01-04
6	2009-12-28	2012-12-28
7	2009-12-29	2012-12-29
8	2009-12-30	2012-12-30
9	2009-12-31	2012-12-31
10	2009-12-31	2012-12-31
11	2009-12-31	2012-12-31
cidx	CDATETIME	DATE_ADD(CDATETIME, INTERVAL 3 SECOND)
1	1997-01-01 00:00:00	1997-01-01 00:00:03
2	1997-01-01 00:00:01	1997-01-01 00:00:04
3	1997-01-02 00:00:01	1997-01-02 00:00:04
4	1997-01-03 00:00:02	1997-01-03 00:00:05
5	1997-01-04 00:00:03	1997-01-04 00:00:06
6	2009-12-31 23:59:56	2009-12-31 23:59:59
7	2009-12-31 23:59:57	2010-01-01 00:00:00
8	2009-12-31 23:59:58	2010-01-01 00:00:01
9	2009-12-31 23:59:59	2010-01-01 00:00:02
10	2009-12-31 23:59:59	2010-01-01 00:00:02
11	2009-12-31 23:59:59	2010-01-01 00:00:02
cidx	CDATETIME	DATE_ADD(CDATETIME, INTERVAL 3 MINUTE)
1	1997-01-01 00:00:00	1997-01-01 00:03:00
2	1997-01-01 00:00:01	1997-01-01 00:03:01
3	1997-01-02 00:00:01	1997-01-02 00:03:01
4	1997-01-03 00:00:02	1997-01-03 00:03:02
5	1997-01-04 00:00:03	1997-01-04 00:03:03
6	2009-12-31 23:59:56	2010-01-01 00:02:56
7	2009-12-31 23:59:57	2010-01-01 00:02:57
8	2009-12-31 23:59:58	2010-01-01 00:02:58
9	2009-12-31 23:59:59	2010-01-01 00:02:59
10	2009-12-31 23:59:59	2010-01-01 00:02:59
11	2009-12-31 23:59:59	2010-01-01 00:02:59
cidx	CDATETIME	DATE_ADD(CDATETIME, INTERVAL 3 HOUR)
1	1997-01-01 00:00:00	1997-01-01 03:00:00
2	1997-01-01 00:00:01	1997-01-01 03:00:01
3	1997-01-02 00:00:01	1997-01-02 03:00:01
4	1997-01-03 00:00:02	1997-01-03 03:00:02
5	1997-01-04 00:00:03	1997-01-04 03:00:03
6	2009-12-31 23:59:56	2010-01-01 02:59:56
7	2009-12-31 23:59:57	2010-01-01 02:59:57
8	2009-12-31 23:59:58	2010-01-01 02:59:58
9	2009-12-31 23:59:59	2010-01-01 02:59:59
10	2009-12-31 23:59:59	2010-01-01 02:59:59
11	2009-12-31 23:59:59	2010-01-01 02:59:59
cidx	CDATETIME	DATE_ADD(CDATETIME, INTERVAL 3 DAY)
1	1997-01-01 00:00:00	1997-01-04 00:00:00
2	1997-01-01 00:00:01	1997-01-04 00:00:01
3	1997-01-02 00:00:01	1997-01-05 00:00:01
4	1997-01-03 00:00:02	1997-01-06 00:00:02
5	1997-01-04 00:00:03	1997-01-07 00:00:03
6	2009-12-31 23:59:56	2010-01-03 23:59:56
7	2009-12-31 23:59:57	2010-01-03 23:59:57
8	2009-12-31 23:59:58	2010-01-03 23:59:58
9	2009-12-31 23:59:59	2010-01-03 23:59:59
10	2009-12-31 23:59:59	2010-01-03 23:59:59
11	2009-12-31 23:59:59	2010-01-03 23:59:59
cidx	CDATETIME	DATE_ADD(CDATETIME, INTERVAL 3 WEEK)
1	1997-01-01 00:00:00	1997-01-22 00:00:00
2	1997-01-01 00:00:01	1997-01-22 00:00:01
3	1997-01-02 00:00:01	1997-01-23 00:00:01
4	1997-01-03 00:00:02	1997-01-24 00:00:02
5	1997-01-04 00:00:03	1997-01-25 00:00:03
6	2009-12-31 23:59:56	2010-01-21 23:59:56
7	2009-12-31 23:59:57	2010-01-21 23:59:57
8	2009-12-31 23:59:58	2010-01-21 23:59:58
9	2009-12-31 23:59:59	2010-01-21 23:59:59
10	2009-12-31 23:59:59	2010-01-21 23:59:59
11	2009-12-31 23:59:59	2010-01-21 23:59:59
cidx	CDATETIME	DATE_ADD(CDATETIME, INTERVAL 3 MONTH)
1	1997-01-01 00:00:00	1997-04-01 00:00:00
2	1997-01-01 00:00:01	1997-04-01 00:00:01
3	1997-01-02 00:00:01	1997-04-02 00:00:01
4	1997-01-03 00:00:02	1997-04-03 00:00:02
5	1997-01-04 00:00:03	1997-04-04 00:00:03
6	2009-12-31 23:59:56	2010-03-31 23:59:56
7	2009-12-31 23:59:57	2010-03-31 23:59:57
8	2009-12-31 23:59:58	2010-03-31 23:59:58
9	2009-12-31 23:59:59	2010-03-31 23:59:59
10	2009-12-31 23:59:59	2010-03-31 23:59:59
11	2009-12-31 23:59:59	2010-03-31 23:59:59
cidx	CDATETIME	DATE_ADD(CDATETIME, INTERVAL 3 QUARTER)
1	1997-01-01 00:00:00	1997-10-01 00:00:00
2	1997-01-01 00:00:01	1997-10-01 00:00:01
3	1997-01-02 00:00:01	1997-10-02 00:00:01
4	1997-01-03 00:00:02	1997-10-03 00:00:02
5	1997-01-04 00:00:03	1997-10-04 00:00:03
6	2009-12-31 23:59:56	2010-09-30 23:59:56
7	2009-12-31 23:59:57	2010-09-30 23:59:57
8	2009-12-31 23:59:58	2010-09-30 23:59:58
9	2009-12-31 23:59:59	2010-09-30 23:59:59
10	2009-12-31 23:59:59	2010-09-30 23:59:59
11	2009-12-31 23:59:59	2010-09-30 23:59:59
cidx	CDATETIME	DATE_ADD(CDATETIME, INTERVAL 3 YEAR)
1	1997-01-01 00:00:00	2000-01-01 00:00:00
2	1997-01-01 00:00:01	2000-01-01 00:00:01
3	1997-01-02 00:00:01	2000-01-02 00:00:01
4	1997-01-03 00:00:02	2000-01-03 00:00:02
5	1997-01-04 00:00:03	2000-01-04 00:00:03
6	2009-12-31 23:59:56	2012-12-31 23:59:56
7	2009-12-31 23:59:57	2012-12-31 23:59:57
8	2009-12-31 23:59:58	2012-12-31 23:59:58
9	2009-12-31 23:59:59	2012-12-31 23:59:59
10	2009-12-31 23:59:59	2012-12-31 23:59:59
11	2009-12-31 23:59:59	2012-12-31 23:59:59
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CDATE
1	1997-01-01
2	1997-01-01
3	1997-01-02
4	1997-01-03
5	1997-01-04
6	2009-12-28
7	2009-12-29
8	2009-12-30
9	2009-12-31
10	2009-12-31
11	2009-12-31
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
cidx	CDATETIME
1	1997-01-01 00:00:00
2	1997-01-01 00:00:01
3	1997-01-02 00:00:01
4	1997-01-03 00:00:02
5	1997-01-04 00:00:03
6	2009-12-31 23:59:56
7	2009-12-31 23:59:57
8	2009-12-31 23:59:58
9	2009-12-31 23:59:59
10	2009-12-31 23:59:59
11	2009-12-31 23:59:59
