cidx	CCHAR1	INSERT(CCHAR1,-1,4,'a')
10	zzzzzzzz
cidx	CCHAR9
1	aaaaaaaaa
2	i
3	ii
4	iii
5	iiii
6	rrrrrrr
7	rrrrrrrr
8	rrrrrrrrr
9	rrrrrrrrr
10	zzzzzzzzz
cidx	CCHAR9
1	aaaaaaaaa
2	i
3	ii
4	iii
5	iiii
6	rrrrrrr
7	rrrrrrrr
8	rrrrrrrrr
9	rrrrrrrrr
10	zzzzzzzzz
cidx	CCHAR255
1	aaaaaaaaaa
2	j
3	jj
4	jjj
5	jjjj
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CCHAR255
1	aaaaaaaaaa
2	j
3	jj
4	jjj
5	jjjj
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CVCHAR1
1	a
2	a
3	a
4	a
5	a
6	z
7	z
8	z
9	z
10	z
cidx	CVCHAR1
1	a
2	a
3	a
4	a
5	a
6	z
7	z
8	z
9	z
10	z
cidx	CVCHAR2
2	b
3	bb
4	bb
5	bb
6	yy
7	yy
8	yy
9	yy
10	zz
cidx	CVCHAR2
1	aa
2	b
3	bb
4	bb
5	bb
6	yy
7	yy
8	yy
9	yy
10	zz
cidx	CVCHAR3
1	aaa
2	c
3	cc
4	ccc
5	ccc
6	xxx
7	xxx
8	xxx
9	xxx
10	zzz
cidx	CVCHAR3
1	aaa
2	c
3	cc
4	ccc
5	ccc
6	xxx
7	xxx
8	xxx
9	xxx
cidx	CVCHAR4
1	aaaa
2	d
3	dd
4	ddd
5	dddd
6	wwww
7	wwww
8	wwww
9	wwww
10	zzzz
cidx	CVCHAR4
1	aaaa
2	d
3	dd
4	ddd
5	dddd
6	wwww
7	wwww
8	wwww
9	wwww
10	zzzz
cidx	CVCHAR5
1	aaaaa
2	e
3	ee
4	eee
5	eeee
6	vvvvv
7	vvvvv
8	vvvvv
9	vvvvv
10	zzzzz
cidx	CVCHAR5
1	aaaaa
2	e
3	ee
4	eee
5	eeee
6	vvvvv
7	vvvvv
8	vvvvv
9	vvvvv
10	zzzzz
cidx	CVCHAR6
1	aaaaaa
2	f
3	ff
4	fff
5	ffff
6	uuuuuu
7	uuuuuu
8	uuuuuu
9	uuuuuu
10	zzzzzz
cidx	CVCHAR6
1	aaaaaa
2	f
3	ff
4	fff
5	ffff
6	uuuuuu
7	uuuuuu
8	uuuuuu
9	uuuuuu
10	zzzzzz
cidx	CVCHAR7
1	aaaaaaa
2	g
3	gg
4	ggg
5	gggg
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
cidx	CVCHAR7
1	aaaaaaa
2	g
3	gg
4	ggg
5	gggg
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
cidx	CVCHAR8
1	aaaaaaaa
2	h
3	hh
4	hhh
5	hhhh
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CVCHAR8
1	aaaaaaaa
2	h
3	hh
4	hhh
5	hhhh
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CVCHAR255
1	aaaaaaaaaa
2	j
3	jj
4	jjj
5	jjjj
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CVCHAR255
1	aaaaaaaaaa
2	j
3	jj
4	jjj
5	jjjj
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
