cidx	CBIGINT	MOD(CBIGINT,10)
cidx	CDECIMAL9	MOD(CDECIMAL9,0)
1	-999999	NULL
2	-999998	NULL
3	-999997	NULL
4	-999996	NULL
5	-999995	NULL
6	999995	NULL
7	999996	NULL
8	999997	NULL
9	999998	NULL
10	999999	NULL
11	0	NULL
cidx	CDECIMAL9	MOD(CDECIMAL9,-2)
1	-999999	-1
2	-999998	0
3	-999997	-1
4	-999996	0
5	-999995	-1
6	999995	1
7	999996	0
8	999997	1
9	999998	0
10	999999	1
11	0	0
cidx	CDECIMAL9	MOD(CDECIMAL9,-1)
1	-999999	0
2	-999998	0
3	-999997	0
4	-999996	0
5	-999995	0
6	999995	0
7	999996	0
8	999997	0
9	999998	0
10	999999	0
11	0	0
cidx	CDECIMAL9_2	MOD(CDECIMAL9_2,10)
1	-9999.99	-9.99
2	-9999.98	-9.98
3	-9999.97	-9.97
4	-9999.96	-9.96
5	-9999.95	-9.95
6	9999.95	9.95
7	9999.96	9.96
8	9999.97	9.97
9	9999.98	9.98
10	9999.99	9.99
11	0.00	0.00
cidx	CDECIMAL9_2	MOD(CDECIMAL9_2,2)
1	-9999.99	-1.99
2	-9999.98	-1.98
3	-9999.97	-1.97
4	-9999.96	-1.96
5	-9999.95	-1.95
6	9999.95	1.95
7	9999.96	1.96
8	9999.97	1.97
9	9999.98	1.98
10	9999.99	1.99
11	0.00	0.00
cidx	CDECIMAL9_2	MOD(CDECIMAL9_2,0)
1	-9999.99	NULL
2	-9999.98	NULL
3	-9999.97	NULL
4	-9999.96	NULL
5	-9999.95	NULL
6	9999.95	NULL
7	9999.96	NULL
8	9999.97	NULL
9	9999.98	NULL
10	9999.99	NULL
11	0.00	NULL
cidx	CDECIMAL9_2	MOD(CDECIMAL9_2,-2)
1	-9999.99	-1.99
2	-9999.98	-1.98
3	-9999.97	-1.97
4	-9999.96	-1.96
5	-9999.95	-1.95
6	9999.95	1.95
7	9999.96	1.96
8	9999.97	1.97
9	9999.98	1.98
10	9999.99	1.99
11	0.00	0.00
cidx	CDECIMAL9_2	MOD(CDECIMAL9_2,-1)
1	-9999.99	-0.99
2	-9999.98	-0.98
3	-9999.97	-0.97
4	-9999.96	-0.96
5	-9999.95	-0.95
6	9999.95	0.95
7	9999.96	0.96
8	9999.97	0.97
9	9999.98	0.98
10	9999.99	0.99
11	0.00	0.00
cidx	CDECIMAL10	MOD(CDECIMAL10,10)
1	-9999999	-9
2	-9999998	-8
3	-9999997	-7
4	-9999996	-6
5	-9999995	-5
6	9999995	5
7	9999996	6
8	9999997	7
9	9999998	8
10	9999999	9
11	0	0
cidx	CDECIMAL10	MOD(CDECIMAL10,2)
1	-9999999	-1
2	-9999998	0
3	-9999997	-1
4	-9999996	0
5	-9999995	-1
6	9999995	1
7	9999996	0
8	9999997	1
9	9999998	0
10	9999999	1
11	0	0
cidx	CDECIMAL10	MOD(CDECIMAL10,0)
1	-9999999	NULL
2	-9999998	NULL
3	-9999997	NULL
4	-9999996	NULL
5	-9999995	NULL
6	9999995	NULL
7	9999996	NULL
8	9999997	NULL
9	9999998	NULL
10	9999999	NULL
11	0	NULL
cidx	CDECIMAL10	MOD(CDECIMAL10,-2)
1	-9999999	-1
2	-9999998	0
3	-9999997	-1
4	-9999996	0
5	-9999995	-1
6	9999995	1
7	9999996	0
8	9999997	1
9	9999998	0
10	9999999	1
11	0	0
cidx	CDECIMAL10	MOD(CDECIMAL10,-1)
1	-9999999	0
2	-9999998	0
3	-9999997	0
4	-9999996	0
5	-9999995	0
6	9999995	0
7	9999996	0
8	9999997	0
9	9999998	0
10	9999999	0
11	0	0
cidx	CDECIMAL18	MOD(CDECIMAL18,10)
1	-9999999999999	-9
2	-9999999999998	-8
3	-9999999999997	-7
4	-9999999999996	-6
5	-9999999999995	-5
6	9999999999995	5
7	9999999999996	6
8	9999999999997	7
9	9999999999998	8
10	9999999999999	9
11	0	0
cidx	CDECIMAL18	MOD(CDECIMAL18,2)
1	-9999999999999	-1
2	-9999999999998	0
3	-9999999999997	-1
4	-9999999999996	0
5	-9999999999995	-1
6	9999999999995	1
7	9999999999996	0
8	9999999999997	1
9	9999999999998	0
10	9999999999999	1
11	0	0
cidx	CDECIMAL18	MOD(CDECIMAL18,0)
1	-9999999999999	NULL
2	-9999999999998	NULL
3	-9999999999997	NULL
4	-9999999999996	NULL
5	-9999999999995	NULL
6	9999999999995	NULL
7	9999999999996	NULL
8	9999999999997	NULL
9	9999999999998	NULL
10	9999999999999	NULL
11	0	NULL
cidx	CDECIMAL18	MOD(CDECIMAL18,-2)
1	-9999999999999	-1
2	-9999999999998	0
3	-9999999999997	-1
4	-9999999999996	0
5	-9999999999995	-1
6	9999999999995	1
7	9999999999996	0
8	9999999999997	1
9	9999999999998	0
10	9999999999999	1
11	0	0
cidx	CDECIMAL18	MOD(CDECIMAL18,-1)
1	-9999999999999	0
2	-9999999999998	0
3	-9999999999997	0
4	-9999999999996	0
5	-9999999999995	0
6	9999999999995	0
7	9999999999996	0
8	9999999999997	0
9	9999999999998	0
10	9999999999999	0
11	0	0
cidx	CDECIMAL18_2	MOD(CDECIMAL18_2,10)
1	-99999999999.99	-9.99
2	-99999999999.98	-9.98
3	-99999999999.97	-9.97
4	-99999999999.96	-9.96
5	-99999999999.95	-9.95
6	99999999999.95	9.95
7	99999999999.96	9.96
8	99999999999.97	9.97
9	99999999999.98	9.98
10	99999999999.99	9.99
11	0.00	0.00
cidx	CDECIMAL18_2	MOD(CDECIMAL18_2,2)
1	-99999999999.99	-1.99
2	-99999999999.98	-1.98
3	-99999999999.97	-1.97
4	-99999999999.96	-1.96
5	-99999999999.95	-1.95
6	99999999999.95	1.95
7	99999999999.96	1.96
8	99999999999.97	1.97
9	99999999999.98	1.98
10	99999999999.99	1.99
11	0.00	0.00
cidx	CDECIMAL18_2	MOD(CDECIMAL18_2,0)
1	-99999999999.99	NULL
2	-99999999999.98	NULL
3	-99999999999.97	NULL
4	-99999999999.96	NULL
5	-99999999999.95	NULL
6	99999999999.95	NULL
7	99999999999.96	NULL
8	99999999999.97	NULL
9	99999999999.98	NULL
10	99999999999.99	NULL
11	0.00	NULL
cidx	CDECIMAL18_2	MOD(CDECIMAL18_2,-2)
1	-99999999999.99	-1.99
2	-99999999999.98	-1.98
3	-99999999999.97	-1.97
4	-99999999999.96	-1.96
5	-99999999999.95	-1.95
6	99999999999.95	1.95
7	99999999999.96	1.96
8	99999999999.97	1.97
9	99999999999.98	1.98
10	99999999999.99	1.99
11	0.00	0.00
cidx	CDECIMAL18_2	MOD(CDECIMAL18_2,-1)
1	-99999999999.99	-0.99
2	-99999999999.98	-0.98
3	-99999999999.97	-0.97
4	-99999999999.96	-0.96
5	-99999999999.95	-0.95
6	99999999999.95	0.95
7	99999999999.96	0.96
8	99999999999.97	0.97
9	99999999999.98	0.98
10	99999999999.99	0.99
11	0.00	0.00
cidx	CINTEGER	MOD(CINTEGER,10)
1	-7483646	-6
2	-7483645	-5
3	-7483644	-4
4	-7483643	-3
5	-7483642	-2
6	7483643	3
7	7483644	4
8	7483645	5
9	7483646	6
10	7483647	7
11	0	0
cidx	CINTEGER	MOD(CINTEGER,2)
1	-7483646	0
2	-7483645	-1
3	-7483644	0
4	-7483643	-1
5	-7483642	0
6	7483643	1
7	7483644	0
8	7483645	1
9	7483646	0
10	7483647	1
11	0	0
cidx	CINTEGER	MOD(CINTEGER,0)
1	-7483646	NULL
2	-7483645	NULL
3	-7483644	NULL
4	-7483643	NULL
5	-7483642	NULL
6	7483643	NULL
7	7483644	NULL
8	7483645	NULL
9	7483646	NULL
10	7483647	NULL
11	0	NULL
cidx	CINTEGER	MOD(CINTEGER,-2)
1	-7483646	0
2	-7483645	-1
3	-7483644	0
4	-7483643	-1
5	-7483642	0
6	7483643	1
7	7483644	0
8	7483645	1
9	7483646	0
10	7483647	1
11	0	0
cidx	CINTEGER	MOD(CINTEGER,-1)
1	-7483646	0
2	-7483645	0
3	-7483644	0
4	-7483643	0
5	-7483642	0
6	7483643	0
7	7483644	0
8	7483645	0
9	7483646	0
10	7483647	0
11	0	0
cidx	CSMALLINT	MOD(CSMALLINT,10)
1	-766	-6
2	-765	-5
3	-764	-4
4	-763	-3
5	-762	-2
6	763	3
7	764	4
8	765	5
9	766	6
10	767	7
11	0	0
cidx	CSMALLINT	MOD(CSMALLINT,2)
1	-766	0
2	-765	-1
3	-764	0
4	-763	-1
5	-762	0
6	763	1
7	764	0
8	765	1
9	766	0
10	767	1
11	0	0
cidx	CSMALLINT	MOD(CSMALLINT,0)
1	-766	NULL
2	-765	NULL
3	-764	NULL
4	-763	NULL
5	-762	NULL
6	763	NULL
7	764	NULL
8	765	NULL
9	766	NULL
10	767	NULL
11	0	NULL
cidx	CSMALLINT	MOD(CSMALLINT,-2)
1	-766	0
2	-765	-1
3	-764	0
4	-763	-1
5	-762	0
6	763	1
7	764	0
8	765	1
9	766	0
10	767	1
11	0	0
cidx	CSMALLINT	MOD(CSMALLINT,-1)
1	-766	0
2	-765	0
3	-764	0
4	-763	0
5	-762	0
6	763	0
7	764	0
8	765	0
9	766	0
10	767	0
11	0	0
cidx	CTINYINT	MOD(CTINYINT,10)
1	-26	-6
2	-25	-5
3	-24	-4
4	-23	-3
5	-22	-2
6	23	3
7	24	4
8	25	5
9	26	6
10	27	7
11	0	0
cidx	CTINYINT	MOD(CTINYINT,2)
1	-26	0
2	-25	-1
3	-24	0
4	-23	-1
5	-22	0
6	23	1
7	24	0
8	25	1
9	26	0
10	27	1
11	0	0
cidx	CTINYINT	MOD(CTINYINT,0)
1	-26	NULL
2	-25	NULL
3	-24	NULL
4	-23	NULL
5	-22	NULL
6	23	NULL
7	24	NULL
8	25	NULL
9	26	NULL
10	27	NULL
11	0	NULL
cidx	CTINYINT	MOD(CTINYINT,-2)
1	-26	0
2	-25	-1
3	-24	0
4	-23	-1
5	-22	0
6	23	1
7	24	0
8	25	1
9	26	0
10	27	1
11	0	0
cidx	CTINYINT	MOD(CTINYINT,-1)
1	-26	0
2	-25	0
3	-24	0
4	-23	0
5	-22	0
6	23	0
7	24	0
8	25	0
9	26	0
10	27	0
11	0	0
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
6	5
7	6
8	7
9	8
10	9
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
6	5
7	6
8	7
9	8
10	9
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
6	5
7	6
8	7
9	8
10	9
cidx	CDECIMAL4
1	-999
2	-998
3	-997
4	-996
5	-995
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL4
1	-999
2	-998
3	-997
4	-996
5	-995
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL4
1	-999
2	-998
3	-997
4	-996
5	-995
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL4
1	-999
2	-998
3	-997
4	-996
5	-995
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
cidx	CDECIMAL5
1	-999
2	-998
3	-997
4	-996
5	-995
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL5
1	-999
2	-998
3	-997
4	-996
5	-995
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL5
1	-999
2	-998
3	-997
4	-996
5	-995
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL5
1	-999
2	-998
3	-997
4	-996
5	-995
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
6	999995
7	999996
8	999997
9	999998
10	999999
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
6	999995
7	999996
8	999997
9	999998
10	999999
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
6	999995
7	999996
8	999997
9	999998
10	999999
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
6	999995
7	999996
8	999997
9	999998
10	999999
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
6	9999.95
7	9999.96
8	9999.97
9	9999.98
10	9999.99
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
6	9999.95
7	9999.96
8	9999.97
9	9999.98
10	9999.99
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
6	9999.95
7	9999.96
8	9999.97
9	9999.98
10	9999.99
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
6	9999.95
7	9999.96
8	9999.97
9	9999.98
10	9999.99
cidx	CDECIMAL10
1	-9999999
2	-9999998
3	-9999997
4	-9999996
5	-9999995
6	9999995
7	9999996
8	9999997
9	9999998
10	9999999
cidx	CDECIMAL10
1	-9999999
2	-9999998
3	-9999997
4	-9999996
5	-9999995
6	9999995
7	9999996
8	9999997
9	9999998
10	9999999
cidx	CDECIMAL10
1	-9999999
2	-9999998
3	-9999997
4	-9999996
5	-9999995
6	9999995
7	9999996
8	9999997
9	9999998
10	9999999
cidx	CDECIMAL10
1	-9999999
2	-9999998
3	-9999997
4	-9999996
5	-9999995
6	9999995
7	9999996
8	9999997
9	9999998
10	9999999
cidx	CDECIMAL18
1	-9999999999999
2	-9999999999998
3	-9999999999997
4	-9999999999996
5	-9999999999995
6	9999999999995
7	9999999999996
8	9999999999997
9	9999999999998
10	9999999999999
cidx	CDECIMAL18
1	-9999999999999
2	-9999999999998
3	-9999999999997
4	-9999999999996
5	-9999999999995
6	9999999999995
7	9999999999996
8	9999999999997
9	9999999999998
10	9999999999999
cidx	CDECIMAL18
1	-9999999999999
2	-9999999999998
3	-9999999999997
4	-9999999999996
5	-9999999999995
6	9999999999995
7	9999999999996
8	9999999999997
9	9999999999998
10	9999999999999
cidx	CDECIMAL18
1	-9999999999999
2	-9999999999998
3	-9999999999997
4	-9999999999996
5	-9999999999995
6	9999999999995
7	9999999999996
8	9999999999997
9	9999999999998
10	9999999999999
cidx	CDECIMAL18_2
1	-99999999999.99
2	-99999999999.98
3	-99999999999.97
4	-99999999999.96
5	-99999999999.95
6	99999999999.95
7	99999999999.96
8	99999999999.97
9	99999999999.98
10	99999999999.99
cidx	CDECIMAL18_2
1	-99999999999.99
2	-99999999999.98
3	-99999999999.97
4	-99999999999.96
5	-99999999999.95
6	99999999999.95
7	99999999999.96
8	99999999999.97
9	99999999999.98
10	99999999999.99
cidx	CDECIMAL18_2
1	-99999999999.99
2	-99999999999.98
3	-99999999999.97
4	-99999999999.96
5	-99999999999.95
6	99999999999.95
7	99999999999.96
8	99999999999.97
9	99999999999.98
10	99999999999.99
cidx	CDECIMAL18_2
1	-99999999999.99
2	-99999999999.98
3	-99999999999.97
4	-99999999999.96
5	-99999999999.95
6	99999999999.95
7	99999999999.96
8	99999999999.97
9	99999999999.98
10	99999999999.99
cidx	CINTEGER
1	-7483646
2	-7483645
3	-7483644
4	-7483643
5	-7483642
6	7483643
7	7483644
8	7483645
9	7483646
10	7483647
cidx	CINTEGER
1	-7483646
2	-7483645
3	-7483644
4	-7483643
5	-7483642
6	7483643
7	7483644
8	7483645
9	7483646
10	7483647
cidx	CINTEGER
1	-7483646
2	-7483645
3	-7483644
4	-7483643
5	-7483642
6	7483643
7	7483644
8	7483645
9	7483646
10	7483647
cidx	CINTEGER
1	-7483646
2	-7483645
3	-7483644
4	-7483643
5	-7483642
6	7483643
7	7483644
8	7483645
9	7483646
10	7483647
cidx	CSMALLINT
1	-766
2	-765
3	-764
4	-763
5	-762
6	763
7	764
8	765
9	766
10	767
cidx	CSMALLINT
1	-766
2	-765
3	-764
4	-763
5	-762
6	763
7	764
8	765
9	766
10	767
cidx	CSMALLINT
1	-766
2	-765
3	-764
4	-763
5	-762
6	763
7	764
8	765
9	766
10	767
cidx	CSMALLINT
1	-766
2	-765
3	-764
4	-763
5	-762
6	763
7	764
8	765
9	766
10	767
cidx	CTINYINT
1	-26
2	-25
3	-24
4	-23
5	-22
6	23
7	24
8	25
9	26
10	27
cidx	CTINYINT
1	-26
2	-25
3	-24
4	-23
5	-22
6	23
7	24
8	25
9	26
10	27
cidx	CTINYINT
1	-26
2	-25
3	-24
4	-23
5	-22
6	23
7	24
8	25
9	26
10	27
cidx	CTINYINT
1	-26
2	-25
3	-24
4	-23
5	-22
6	23
7	24
8	25
9	26
10	27
