CIDX	sha(CIDX         )
-996	c6533770d3fe1ac920d4e7d8071d85449a53ccf5
-995	d5bb86ec01a455572914bab899a1f791c3395edf
995	42405d7bf8a6c5d1cbf57dd8a4411bdf0b188b58
996	ae7b4b79bbda7972ec40d8cd085c7875087973cc
997	4a839f86b122140fda5b48dc57e2f0fc170d0356
998	f66b7dcd21696a4242e1ff93608c405741802c92
999	afc97ea131fd7e2695a98ef34013608f97f34e1d
0	b6589fc6ab0dc82cf12099d1c2d40ab994e8410c
CDECIMAL4_2	sha(CDECIMAL4_2  )
-9.99	a0728c1616dc8541bb2806e11e71dfb6cca208a5
-9.98	5411fd09a274b2f0bdee346db4ebd516b6f83d5b
-9.97	3e61831ccc1a699197e598ed48f5a34a4fb91c42
-9.96	018d4f1c59a391acd6ebd7778bff90d2ff6cc053
-9.95	ba2dc4b7793c86e98b65174eb557976408137a1b
9.95	8818c759d88e34a1184655ed00ae1a44121aabd5
9.96	7d8f15f14abcac7cc3613ff48b587d09ffd2cd14
9.97	427a5148d30c8c258a74db80cc4130831573de74
9.98	48953fc0360673f263005afb25d3df7d2cb4b95e
9.99	9cbb03c945669a20d637a2a410540ce302e3c30b
0.00	22cf82b68b95049bffb91128349ccc312a460b10
CDECIMAL5	sha(CDECIMAL5    )
-999	a9389fe3addc9eb110fc326bba3cbd5783d64239
-998	67f82f7ef20e852fa30cbe17ba738c0304d31525
-997	20cc5800b26c5d828e3faa2f50b6760778a24a97
-996	c6533770d3fe1ac920d4e7d8071d85449a53ccf5
-995	d5bb86ec01a455572914bab899a1f791c3395edf
995	42405d7bf8a6c5d1cbf57dd8a4411bdf0b188b58
996	ae7b4b79bbda7972ec40d8cd085c7875087973cc
997	4a839f86b122140fda5b48dc57e2f0fc170d0356
998	f66b7dcd21696a4242e1ff93608c405741802c92
999	afc97ea131fd7e2695a98ef34013608f97f34e1d
0	b6589fc6ab0dc82cf12099d1c2d40ab994e8410c
CDECIMAL9	sha(CDECIMAL9    )
-999999	fcae4e9a8ca34fa1e5c9faa8207de8889f3521c0
-999998	48833409c197282c3260665406a52d7b669e9b12
-999997	28b97513c7d627b592756e0a2fc2771c11aab1c4
-999996	d136264b31cd3e0a5fda4d1ae6cab8aa01f2af00
-999995	09b9e81ae26dee80e60fce97febd19974e37dc4b
999995	52e3924f844d5b49f9b532763420a2cc8dee1652
999996	e19aa567baa76c18b269fea1e40afe7ae984ac89
999997	ee9359faf19a66df89dc4fd32fa8ec28ee0c9d27
999998	88796129579a56488c0b38fab2bce36373f8df5e
999999	1f5523a8f535289b3401b29958d01b2966ed61d2
0	b6589fc6ab0dc82cf12099d1c2d40ab994e8410c
CDECIMAL9_2	sha(CDECIMAL9_2  )
-9999.99	08649a1fd5df93e14828322432ba06303207908a
-9999.98	7c01dd69b7ffb8c043d0afe072b8070bfee6604b
-9999.97	65993a92beb5a8330c16cb6e12a2d6f8ad30ca15
-9999.96	133e65b1273acea27cab0d1fac22c444c85e9edd
-9999.95	1b1ff69cb88cec16b9c860e3de0d21e01ada9b19
9999.95	26218c42f5f73b9e99b40ff7cfb068aba9d42927
9999.96	acb5d8130d74152e79d4d72665d5fd7799ceb63b
9999.97	e3ed469ef50dae6d50d812b9f602d2f8bc70c159
9999.98	d7fcb462dcd8b564365e6a8e697e880629cbaa53
9999.99	c717a6a5f313d839027b45153c2f1ef272b05d3f
0.00	22cf82b68b95049bffb91128349ccc312a460b10
CDECIMAL10	sha(CDECIMAL10   )
-9999999	0481e0ff47fc07e86978ccdb5c1c4ba311223fd8
-9999998	726eebe70ed7cda1394e340d4dd0df94b9050525
-9999997	f4d47db3391cced3a4c8cbed66f570005cf8fec4
-9999996	21e3d82fd32734f5db3fd7a174b6afe344c399b9
-9999995	5568fbc693c5094c1c0f39942f189547bd82ec9f
9999995	29d8019eb4594edde64d74195e1a0812c7ed1baf
9999996	c6b8d5eb8b91b5b866d50c9a7651ca33ae2b9249
9999997	ad595bdbe17e271f48c186e004c2c3a1996c8f53
9999998	a32e686e8bdf33624d22073ecc0aff75390be17f
9999999	22067cb54a7b24764186f1e48cb4586772733cd7
0	b6589fc6ab0dc82cf12099d1c2d40ab994e8410c
CDECIMAL18	sha(CDECIMAL18   )
-9999999999999	0a3f51ee29fb640614127d48e0b0886e6c79be05
-9999999999998	1ec7a84cfa92ca868d39560d14f53ddee1960716
-9999999999997	66ddf84f38de9145497e11d5b9eaa7b51f83ac0e
-9999999999996	5fe592db58d35e9f37c41675c6962447b6fdf612
-9999999999995	8ee9408de5ec0d0a840d2f09305495224e672d9d
9999999999995	962e4223fda8b2004fd842c75070914376f518ce
9999999999996	b4da36182af89a69f79030bf21b696eb98bb513d
9999999999997	c5e9edd2bd477819d69b09cab4f3f07712a9ecfa
9999999999998	e054652f50afa07bcc8ed5e7ccd722356b51af67
9999999999999	7a7c574ae1bf0609f6c61dd02e3bf405eb84c434
0	b6589fc6ab0dc82cf12099d1c2d40ab994e8410c
CDECIMAL18_2	sha(CDECIMAL18_2 )
-99999999999.99	c94919b8d074e67b33fa4505fed92d5f6320af65
-99999999999.98	96f7e1e469e88685064659c7c7ecaf9b5584371c
-99999999999.97	5a17773aa464542a5c20cf0e188f4e97187ded2c
-99999999999.96	20e8b9a4cfaf5272556180c5c2f11ebdf854ed48
-99999999999.95	a8c4d2f789b9b88b32be21bbf84a596bedab886f
99999999999.95	1b89939f74679749ed7fed94b478ef42eb3f8575
99999999999.96	b91644a34e62685bde211bfa51b2971d38240a2a
99999999999.97	06cb526cf579f75bf5dedd688be4c8907cdca57f
99999999999.98	33f694dca7266cac787bd06a8a881c3ff43ce9c5
99999999999.99	30ef8e638800f4b3193a467d150d022602722667
0.00	22cf82b68b95049bffb91128349ccc312a460b10
CINTEGER	sha(CINTEGER     )
-7483646	6d8d1d7a9d8b825147cdba6500e1830e0177b80e
-7483645	32daec37f3a41f5e55f5399c70438f517a49af5e
-7483644	fa3ea46cdb2f62866b45baf7955127c2c6fef013
-7483643	308c1789cd96b60d0101d82d3c320df65cf758dc
-7483642	6f4ca60a3c73f32ffd7f7aeeb3d2a6899a7e2012
7483643	f5203ac90b218c44b205d197b30e9a24b6c762ce
7483644	daf7a729f7ea0f91ae5a579db49af29864b848f2
7483645	e17aa56a6fcadfa59b3ef61ad7c3d78d6b484429
7483646	7b38a0ceccca2f225b2a88d84f8b9e3c49f69cc3
7483647	979852d5710b0fb439d3707641527ce927edfc57
0	b6589fc6ab0dc82cf12099d1c2d40ab994e8410c
CSMALLINT	sha(CSMALLINT    )
-766	35cd7a6c5c4939804a353dc0519fa35f8f66a04d
-765	59956168f27b11ebb5680f193760759487232282
-764	869bf0a552ffbd9257c34c9c9e55283fbf7c255c
-763	d7be2aa5ada8ade4e5fa25e75ca24cdafa3fdf50
-762	087ac930f46f71ff9cba8e82acebdeb2be1c6d1e
763	e1de5f7134a427a6c9098ddecdf8e461eb8c8cda
764	b5586099944014e589f483efe663318aa1979d56
765	e1f463f56b2a3203d08ed5a49e11a775cde98a50
766	581a8ed69cf5d505b989c438becd65e37c8de61e
767	81755a2845e39420c81902a3ce83dff1cfc782e7
0	b6589fc6ab0dc82cf12099d1c2d40ab994e8410c
CTINYINT	sha(CTINYINT     )
-26	b655dc367f08f881894f277f96122b6174a9ff9c
-25	0f96a57140c1f6b62c0ed4543abd7ea0f19963e4
-24	3a72d4e12687f68a334c13949eed59aa233ee767
-23	908dded2c2db9d49ec26b126367256f68f9c5f87
-22	1575a65fab9579dc5252ec2aeddd1570ac59b776
23	d435a6cdd786300dff204ee7c2ef942d3e9034e2
24	4d134bc072212ace2df385dae143139da74ec0ef
25	f6e1126cedebf23e1463aee73f9df08783640400
26	887309d048beef83ad3eabf2a79a64a389ab1c9f
27	bc33ea4e26e5e1af1408321416956113a4658763
0	b6589fc6ab0dc82cf12099d1c2d40ab994e8410c
CDATETIME	sha(CDATETIME    )
1997-01-01 00:00:00	07812a2ec14ff711a793fe925e4b38c341249a1b
1997-01-01 00:00:01	c20c90a2b2eb9056453f88d7e949546398fe0d94
1997-01-02 00:00:01	c74253515664eef4ab9b253d4501a65aece09c88
1997-01-03 00:00:02	38e07530b1e1a0cd645ddda452d27accce9c17fe
1997-01-04 00:00:03	013c190b3adf434714071365511535b43cf5aafb
2009-12-31 23:59:56	281652daee2c54e98744e30959e27f0eb2d52485
2009-12-31 23:59:57	5d6b1c45de203da61e6a1084556016e576a81e4d
2009-12-31 23:59:58	ff3a15bfb8225655a88e766b6bacd346616cf916
2009-12-31 23:59:59	df501083cee021570945803d0d923825559c7b06
2009-12-31 23:59:59	df501083cee021570945803d0d923825559c7b06
2009-12-31 23:59:59	df501083cee021570945803d0d923825559c7b06
CCHAR1	sha(CCHAR1       )
a	86f7e437faa5a7fce15d1ddcb9eaeaea377667b8
a	86f7e437faa5a7fce15d1ddcb9eaeaea377667b8
a	86f7e437faa5a7fce15d1ddcb9eaeaea377667b8
a	86f7e437faa5a7fce15d1ddcb9eaeaea377667b8
a	86f7e437faa5a7fce15d1ddcb9eaeaea377667b8
z	395df8f7c51f007019cb30201c49e884b46b92fa
z	395df8f7c51f007019cb30201c49e884b46b92fa
z	395df8f7c51f007019cb30201c49e884b46b92fa
z	395df8f7c51f007019cb30201c49e884b46b92fa
z	395df8f7c51f007019cb30201c49e884b46b92fa
NULL	NULL
CCHAR2	sha(CCHAR2       )
aa	e0c9035898dd52fc65c41454cec9c4d2611bfb37
b	e9d71f5ee7c92d6dc9e92ffdad17b8bd49418f98
bb	9a900f538965a426994e1e90600920aff0b4e8d2
bb	9a900f538965a426994e1e90600920aff0b4e8d2
bb	9a900f538965a426994e1e90600920aff0b4e8d2
yy	b2a801fc1f6cdddb5df949c5126817cb5c8562ce
yy	b2a801fc1f6cdddb5df949c5126817cb5c8562ce
yy	b2a801fc1f6cdddb5df949c5126817cb5c8562ce
yy	b2a801fc1f6cdddb5df949c5126817cb5c8562ce
zz	d7dacae2c968388960bf8970080a980ed5c5dcb7
NULL	NULL
CCHAR3	sha(CCHAR3       )
aaa	7e240de74fb1ed08fa08d38063f6a6a91462a815
c	84a516841ba77a5b4648de2cd0dfcb30ea46dbb4
cc	bdb480de655aa6ec75ca058c849c4faf3c0f75b1
ccc	f36b4825e5db2cf7dd2d2593b3f5c24c0311d8b2
ccc	f36b4825e5db2cf7dd2d2593b3f5c24c0311d8b2
xxx	b60d121b438a380c343d5ec3c2037564b82ffef3
xxx	b60d121b438a380c343d5ec3c2037564b82ffef3
xxx	b60d121b438a380c343d5ec3c2037564b82ffef3
xxx	b60d121b438a380c343d5ec3c2037564b82ffef3
zzz	40fa37ec00c761c7dbb6ebdee6d4a260b922f5f4
NULL	NULL
CCHAR4	sha(CCHAR4       )
aaaa	70c881d4a26984ddce795f6f71817c9cf4480e79
d	3c363836cf4e16666669a25da280a1865c2d2874
dd	388ad1c312a488ee9e12998fe097f2258fa8d5ee
ddd	9c969ddf454079e3d439973bbab63ea6233e4087
dddd	01464e1616e3fdd5c60c0cc5516c1d1454cc4185
wwww	573b76b3265bbcfe6a9d2bf0ba54f057f155c921
wwww	573b76b3265bbcfe6a9d2bf0ba54f057f155c921
wwww	573b76b3265bbcfe6a9d2bf0ba54f057f155c921
wwww	573b76b3265bbcfe6a9d2bf0ba54f057f155c921
zzzz	cb990257247b592eaaed54b84b32d96b7904fd95
NULL	NULL
CCHAR5	sha(CCHAR5       )
aaaaa	df51e37c269aa94d38f93e537bf6e2020b21406c
e	58e6b3a414a1e090dfc6029add0f3555ccba127f
ee	1f444844b1ca616009c2b0e3564fecc065872b5b
eee	637a81ed8e8217bb01c15c67c39b43b0ab4e20f1
eeee	b2c4ee5de82866db38f79c6d4a91a626486b70e9
vvvvv	88e6101730f4cf454196252e1e1e2e77fd30da4c
vvvvv	88e6101730f4cf454196252e1e1e2e77fd30da4c
vvvvv	88e6101730f4cf454196252e1e1e2e77fd30da4c
vvvvv	88e6101730f4cf454196252e1e1e2e77fd30da4c
zzzzz	a2b7caddbc353bd7d7ace2067b8c4e34db2097a3
NULL	NULL
CCHAR6	sha(CCHAR6       )
aaaaaa	f7a9e24777ec23212c54d7a350bc5bea5477fdbb
f	4a0a19218e082a343a1b17e5333409af9d98f0f5
ff	ed70c57d7564e994e7d5f6fd6967cea8b347efbc
fff	f6949a8c7d5b90b4a698660bbfb9431503fbb995
ffff	d33fef58bedd39dc1c2d38f16305b10010e9058e
uuuuuu	3d978f314200eb1bda01449bd477c46a816a9f06
uuuuuu	3d978f314200eb1bda01449bd477c46a816a9f06
uuuuuu	3d978f314200eb1bda01449bd477c46a816a9f06
uuuuuu	3d978f314200eb1bda01449bd477c46a816a9f06
zzzzzz	984ff6ee7c78078d4cb1ca08255303fb8741d986
NULL	NULL
CCHAR7	sha(CCHAR7       )
aaaaaaa	e93b4e3c464ffd51732fbd6ded717e9efda28aad
g	54fd1711209fb1c0781092374132c66e79e2241b
gg	f3226f91f77a87d909b8920adc91f9a301a7316b
ggg	07dcd371560bc43c48f56a2f55739ac66741d59d
gggg	46295fcb2eee0ac3b097d6e78562910fe9d7f27b
ttttttt	bd602e4152f943c35648b2d9d74dc736abf61fb2
ttttttt	bd602e4152f943c35648b2d9d74dc736abf61fb2
ttttttt	bd602e4152f943c35648b2d9d74dc736abf61fb2
ttttttt	bd602e4152f943c35648b2d9d74dc736abf61fb2
zzzzzzz	30986c81059b460882d5416484691d178c367ff6
NULL	NULL
CCHAR8	sha(CCHAR8       )
aaaaaaaa	b480c074d6b75947c02681f31c90c668c46bf6b8
h	27d5482eebd075de44389774fce28c69f45c8a75
hh	d3fc13dc12d8d7a58e7ae87295e93dbaddb5d36b
hhh	effdb5f96a28acd2eb19dcb15d8f43af762bd0ae
hhhh	f416168b5eb1a5be010bbbc327eabee876de8b05
sssssss	f7ce80c45d242369e815ea77f12d786f23f18b66
ssssssss	603e6907398c7e74e25c0ae8ec3a03ffac7c9bb4
ssssssss	603e6907398c7e74e25c0ae8ec3a03ffac7c9bb4
ssssssss	603e6907398c7e74e25c0ae8ec3a03ffac7c9bb4
zzzzzzzz	fd15e5dc45839815c6465b7b7e60728057c5af3f
NULL	NULL
CCHAR9	sha(CCHAR9       )
aaaaaaaaa	2882f38e575101ba615f725af5e59bf2333a9a68
i	042dc4512fa3d391c5170cf3aa61e6a638f84342
ii	3918373cf5559c54b52c7066428f6c4118d31c23
iii	425ffc1422dc4f32528bd9fd5af355fdb5c96192
iiii	30531c2885ce61b385dc81d2a375f6bef80607d5
rrrrrrr	ed377ed2cf9d476eba5d6785ffaa65bc42e56eb5
rrrrrrrr	afe369ed3ed0087195df5704734784800bc46a8c
rrrrrrrrr	67a51ba34bf6161cb7aa15e6b97284e1ab1feea3
rrrrrrrrr	67a51ba34bf6161cb7aa15e6b97284e1ab1feea3
zzzzzzzzz	7fed875c8c611e8627b70ea33b78639a0b2875e0
NULL	NULL
CCHAR255	sha(CCHAR255     )
aaaaaaaaaa	3495ff69d34671d1e15b33a63c1379fdedd3a32a
j	5c2dd944dde9e08881bef0894fe7b22a5c9c4b06
jj	7323a5431d1c31072983a6a5bf23745b655ddf59
jjj	c84c766f873ecedf75aa6cf35f1e305e095fec83
jjjj	d2a4d1a7e5308eb33481c6595d7b03f376320b73
qqqqqqq	c967199bd48c4fc4ccbeeb264f7bdbe3fa2d697f
qqqqqqqq	63ab89682d9a027b1f5c91f6b0ed347ef7dc9ac7
qqqqqqqqq	c1671ca2313dff6d27595ea9e399066e0f88914d
qqqqqqqqqq	1d9300380a5ab5ef1b7d4d0192c8a61d4c50d2d9
zzzzzzzzzz	a11257ca53dc534da44b299c064fef3b37da6bbd
NULL	NULL
CVCHAR1	sha(CVCHAR1      )
a	86f7e437faa5a7fce15d1ddcb9eaeaea377667b8
a	86f7e437faa5a7fce15d1ddcb9eaeaea377667b8
a	86f7e437faa5a7fce15d1ddcb9eaeaea377667b8
a	86f7e437faa5a7fce15d1ddcb9eaeaea377667b8
a	86f7e437faa5a7fce15d1ddcb9eaeaea377667b8
z	395df8f7c51f007019cb30201c49e884b46b92fa
z	395df8f7c51f007019cb30201c49e884b46b92fa
z	395df8f7c51f007019cb30201c49e884b46b92fa
z	395df8f7c51f007019cb30201c49e884b46b92fa
z	395df8f7c51f007019cb30201c49e884b46b92fa
NULL	NULL
CVCHAR2	sha(CVCHAR2      )
aa	e0c9035898dd52fc65c41454cec9c4d2611bfb37
b	e9d71f5ee7c92d6dc9e92ffdad17b8bd49418f98
bb	9a900f538965a426994e1e90600920aff0b4e8d2
bb	9a900f538965a426994e1e90600920aff0b4e8d2
bb	9a900f538965a426994e1e90600920aff0b4e8d2
yy	b2a801fc1f6cdddb5df949c5126817cb5c8562ce
yy	b2a801fc1f6cdddb5df949c5126817cb5c8562ce
yy	b2a801fc1f6cdddb5df949c5126817cb5c8562ce
yy	b2a801fc1f6cdddb5df949c5126817cb5c8562ce
zz	d7dacae2c968388960bf8970080a980ed5c5dcb7
NULL	NULL
CVCHAR3	sha(CVCHAR3      )
aaa	7e240de74fb1ed08fa08d38063f6a6a91462a815
c	84a516841ba77a5b4648de2cd0dfcb30ea46dbb4
cc	bdb480de655aa6ec75ca058c849c4faf3c0f75b1
ccc	f36b4825e5db2cf7dd2d2593b3f5c24c0311d8b2
ccc	f36b4825e5db2cf7dd2d2593b3f5c24c0311d8b2
xxx	b60d121b438a380c343d5ec3c2037564b82ffef3
xxx	b60d121b438a380c343d5ec3c2037564b82ffef3
xxx	b60d121b438a380c343d5ec3c2037564b82ffef3
xxx	b60d121b438a380c343d5ec3c2037564b82ffef3
zzz	40fa37ec00c761c7dbb6ebdee6d4a260b922f5f4
NULL	NULL
CVCHAR4	sha(CVCHAR4      )
aaaa	70c881d4a26984ddce795f6f71817c9cf4480e79
d	3c363836cf4e16666669a25da280a1865c2d2874
dd	388ad1c312a488ee9e12998fe097f2258fa8d5ee
ddd	9c969ddf454079e3d439973bbab63ea6233e4087
dddd	01464e1616e3fdd5c60c0cc5516c1d1454cc4185
wwww	573b76b3265bbcfe6a9d2bf0ba54f057f155c921
wwww	573b76b3265bbcfe6a9d2bf0ba54f057f155c921
wwww	573b76b3265bbcfe6a9d2bf0ba54f057f155c921
wwww	573b76b3265bbcfe6a9d2bf0ba54f057f155c921
zzzz	cb990257247b592eaaed54b84b32d96b7904fd95
NULL	NULL
CVCHAR5	sha(CVCHAR5      )
aaaaa	df51e37c269aa94d38f93e537bf6e2020b21406c
e	58e6b3a414a1e090dfc6029add0f3555ccba127f
ee	1f444844b1ca616009c2b0e3564fecc065872b5b
eee	637a81ed8e8217bb01c15c67c39b43b0ab4e20f1
eeee	b2c4ee5de82866db38f79c6d4a91a626486b70e9
vvvvv	88e6101730f4cf454196252e1e1e2e77fd30da4c
vvvvv	88e6101730f4cf454196252e1e1e2e77fd30da4c
vvvvv	88e6101730f4cf454196252e1e1e2e77fd30da4c
vvvvv	88e6101730f4cf454196252e1e1e2e77fd30da4c
zzzzz	a2b7caddbc353bd7d7ace2067b8c4e34db2097a3
NULL	NULL
CVCHAR6	sha(CVCHAR6      )
aaaaaa	f7a9e24777ec23212c54d7a350bc5bea5477fdbb
f	4a0a19218e082a343a1b17e5333409af9d98f0f5
ff	ed70c57d7564e994e7d5f6fd6967cea8b347efbc
fff	f6949a8c7d5b90b4a698660bbfb9431503fbb995
ffff	d33fef58bedd39dc1c2d38f16305b10010e9058e
uuuuuu	3d978f314200eb1bda01449bd477c46a816a9f06
uuuuuu	3d978f314200eb1bda01449bd477c46a816a9f06
uuuuuu	3d978f314200eb1bda01449bd477c46a816a9f06
uuuuuu	3d978f314200eb1bda01449bd477c46a816a9f06
zzzzzz	984ff6ee7c78078d4cb1ca08255303fb8741d986
NULL	NULL
CVCHAR7	sha(CVCHAR7      )
aaaaaaa	e93b4e3c464ffd51732fbd6ded717e9efda28aad
g	54fd1711209fb1c0781092374132c66e79e2241b
gg	f3226f91f77a87d909b8920adc91f9a301a7316b
ggg	07dcd371560bc43c48f56a2f55739ac66741d59d
gggg	46295fcb2eee0ac3b097d6e78562910fe9d7f27b
ttttttt	bd602e4152f943c35648b2d9d74dc736abf61fb2
ttttttt	bd602e4152f943c35648b2d9d74dc736abf61fb2
ttttttt	bd602e4152f943c35648b2d9d74dc736abf61fb2
ttttttt	bd602e4152f943c35648b2d9d74dc736abf61fb2
zzzzzzz	30986c81059b460882d5416484691d178c367ff6
NULL	NULL
CVCHAR8	sha(CVCHAR8      )
aaaaaaaa	b480c074d6b75947c02681f31c90c668c46bf6b8
h	27d5482eebd075de44389774fce28c69f45c8a75
hh	d3fc13dc12d8d7a58e7ae87295e93dbaddb5d36b
hhh	effdb5f96a28acd2eb19dcb15d8f43af762bd0ae
hhhh	f416168b5eb1a5be010bbbc327eabee876de8b05
sssssss	f7ce80c45d242369e815ea77f12d786f23f18b66
ssssssss	603e6907398c7e74e25c0ae8ec3a03ffac7c9bb4
ssssssss	603e6907398c7e74e25c0ae8ec3a03ffac7c9bb4
ssssssss	603e6907398c7e74e25c0ae8ec3a03ffac7c9bb4
zzzzzzzz	fd15e5dc45839815c6465b7b7e60728057c5af3f
NULL	NULL
CVCHAR255	sha(CVCHAR255    )
aaaaaaaaaa	3495ff69d34671d1e15b33a63c1379fdedd3a32a
j	5c2dd944dde9e08881bef0894fe7b22a5c9c4b06
jj	7323a5431d1c31072983a6a5bf23745b655ddf59
jjj	c84c766f873ecedf75aa6cf35f1e305e095fec83
jjjj	d2a4d1a7e5308eb33481c6595d7b03f376320b73
qqqqqqq	c967199bd48c4fc4ccbeeb264f7bdbe3fa2d697f
qqqqqqqq	63ab89682d9a027b1f5c91f6b0ed347ef7dc9ac7
qqqqqqqqq	c1671ca2313dff6d27595ea9e399066e0f88914d
qqqqqqqqqq	1d9300380a5ab5ef1b7d4d0192c8a61d4c50d2d9
zzzzzzzzzz	a11257ca53dc534da44b299c064fef3b37da6bbd
NULL	NULL
r_regionkey	r_name	r_comment
2	ASIA	ges. thinly even pinto beans ca
sha(r_name)	count(*)
1a64244bcc9c71a818e244cc4ce8a1f3e6ebf34a	1
3065cb5215d809156c53669212e45061b545f218	1
6a587ea491740af2b01399190d139940f425b9e2	1
8ab16b2c76dd64f969c5fe229d46849a4f2137e9	1
dc7c74093a28d3ab0bc8e425fff571ff2979b7fc	1
r_regionkey	r_name	r_comment
1	AMERICA	hs use ironic, even requests. s
