cidx	CDATE	DATE_SUB(CDATE, INTERVAL '01:22' YEAR_MONTH)
4	1997-01-03	1997-01-02 23:59:50
5	1997-01-04	1997-01-03 23:59:50
6	2009-12-28	2009-12-27 23:59:50
7	2009-12-29	2009-12-28 23:59:50
8	2009-12-30	2009-12-29 23:59:50
9	2009-12-31	2009-12-30 23:59:50
10	2009-12-31	2009-12-30 23:59:50
11	2009-12-31	2009-12-30 23:59:50
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 10 MINUTE_SECOND)
1	1997-01-01	1996-12-31 23:59:50
2	1997-01-01	1996-12-31 23:59:50
3	1997-01-02	1997-01-01 23:59:50
4	1997-01-03	1997-01-02 23:59:50
5	1997-01-04	1997-01-03 23:59:50
6	2009-12-28	2009-12-27 23:59:50
7	2009-12-29	2009-12-28 23:59:50
8	2009-12-30	2009-12-29 23:59:50
9	2009-12-31	2009-12-30 23:59:50
10	2009-12-31	2009-12-30 23:59:50
11	2009-12-31	2009-12-30 23:59:50
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 10 month)
1	1997-01-01	1996-03-01
2	1997-01-01	1996-03-01
3	1997-01-02	1996-03-02
4	1997-01-03	1996-03-03
5	1997-01-04	1996-03-04
6	2009-12-28	2009-02-28
7	2009-12-29	2009-02-28
8	2009-12-30	2009-02-28
9	2009-12-31	2009-02-28
10	2009-12-31	2009-02-28
11	2009-12-31	2009-02-28
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -10 MONTH)
1	1997-01-01	1997-11-01
2	1997-01-01	1997-11-01
3	1997-01-02	1997-11-02
4	1997-01-03	1997-11-03
5	1997-01-04	1997-11-04
6	2009-12-28	2010-10-28
7	2009-12-29	2010-10-29
8	2009-12-30	2010-10-30
9	2009-12-31	2010-10-31
10	2009-12-31	2010-10-31
11	2009-12-31	2010-10-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 10 year)
1	1997-01-01	1987-01-01
2	1997-01-01	1987-01-01
3	1997-01-02	1987-01-02
4	1997-01-03	1987-01-03
5	1997-01-04	1987-01-04
6	2009-12-28	1999-12-28
7	2009-12-29	1999-12-29
8	2009-12-30	1999-12-30
9	2009-12-31	1999-12-31
10	2009-12-31	1999-12-31
11	2009-12-31	1999-12-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '10' YEAR_MONTH)
1	1997-01-01	1996-03-01
2	1997-01-01	1996-03-01
3	1997-01-02	1996-03-02
4	1997-01-03	1996-03-03
5	1997-01-04	1996-03-04
6	2009-12-28	2009-02-28
7	2009-12-29	2009-02-28
8	2009-12-30	2009-02-28
9	2009-12-31	2009-02-28
10	2009-12-31	2009-02-28
11	2009-12-31	2009-02-28
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '111111:22' YEAR_MONTH)
1	1997-01-01	NULL
2	1997-01-01	NULL
3	1997-01-02	NULL
4	1997-01-03	NULL
5	1997-01-04	NULL
6	2009-12-28	NULL
7	2009-12-29	NULL
8	2009-12-30	NULL
9	2009-12-31	NULL
10	2009-12-31	NULL
11	2009-12-31	NULL
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -11111 year)
1	1997-01-01	NULL
2	1997-01-01	NULL
3	1997-01-02	NULL
4	1997-01-03	NULL
5	1997-01-04	NULL
6	2009-12-28	NULL
7	2009-12-29	NULL
8	2009-12-30	NULL
9	2009-12-31	NULL
10	2009-12-31	NULL
11	2009-12-31	NULL
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 11 month)
1	1997-01-01	1996-02-01
2	1997-01-01	1996-02-01
3	1997-01-02	1996-02-02
4	1997-01-03	1996-02-03
5	1997-01-04	1996-02-04
6	2009-12-28	2009-01-28
7	2009-12-29	2009-01-29
8	2009-12-30	2009-01-30
9	2009-12-31	2009-01-31
10	2009-12-31	2009-01-31
11	2009-12-31	2009-01-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -11 MONTH)
1	1997-01-01	1997-12-01
2	1997-01-01	1997-12-01
3	1997-01-02	1997-12-02
4	1997-01-03	1997-12-03
5	1997-01-04	1997-12-04
6	2009-12-28	2010-11-28
7	2009-12-29	2010-11-29
8	2009-12-30	2010-11-30
9	2009-12-31	2010-11-30
10	2009-12-31	2010-11-30
11	2009-12-31	2010-11-30
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '11' YEAR_MONTH)
1	1997-01-01	1996-02-01
2	1997-01-01	1996-02-01
3	1997-01-02	1996-02-02
4	1997-01-03	1996-02-03
5	1997-01-04	1996-02-04
6	2009-12-28	2009-01-28
7	2009-12-29	2009-01-29
8	2009-12-30	2009-01-30
9	2009-12-31	2009-01-31
10	2009-12-31	2009-01-31
11	2009-12-31	2009-01-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 120 second)
1	1997-01-01	1996-12-31 23:58:00
2	1997-01-01	1996-12-31 23:58:00
3	1997-01-02	1997-01-01 23:58:00
4	1997-01-03	1997-01-02 23:58:00
5	1997-01-04	1997-01-03 23:58:00
6	2009-12-28	2009-12-27 23:58:00
7	2009-12-29	2009-12-28 23:58:00
8	2009-12-30	2009-12-29 23:58:00
9	2009-12-31	2009-12-30 23:58:00
10	2009-12-31	2009-12-30 23:58:00
11	2009-12-31	2009-12-30 23:58:00
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 12 month)
1	1997-01-01	1996-01-01
2	1997-01-01	1996-01-01
3	1997-01-02	1996-01-02
4	1997-01-03	1996-01-03
5	1997-01-04	1996-01-04
6	2009-12-28	2008-12-28
7	2009-12-29	2008-12-29
8	2009-12-30	2008-12-30
9	2009-12-31	2008-12-31
10	2009-12-31	2008-12-31
11	2009-12-31	2008-12-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -12 MONTH)
1	1997-01-01	1998-01-01
2	1997-01-01	1998-01-01
3	1997-01-02	1998-01-02
4	1997-01-03	1998-01-03
5	1997-01-04	1998-01-04
6	2009-12-28	2010-12-28
7	2009-12-29	2010-12-29
8	2009-12-30	2010-12-30
9	2009-12-31	2010-12-31
10	2009-12-31	2010-12-31
11	2009-12-31	2010-12-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 12 MONTH)
1	1997-01-01	1996-01-01
2	1997-01-01	1996-01-01
3	1997-01-02	1996-01-02
4	1997-01-03	1996-01-03
5	1997-01-04	1996-01-04
6	2009-12-28	2008-12-28
7	2009-12-29	2008-12-29
8	2009-12-30	2008-12-30
9	2009-12-31	2008-12-31
10	2009-12-31	2008-12-31
11	2009-12-31	2008-12-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '12' YEAR_MONTH)
1	1997-01-01	1996-01-01
2	1997-01-01	1996-01-01
3	1997-01-02	1996-01-02
4	1997-01-03	1996-01-03
5	1997-01-04	1996-01-04
6	2009-12-28	2008-12-28
7	2009-12-29	2008-12-29
8	2009-12-30	2008-12-30
9	2009-12-31	2008-12-31
10	2009-12-31	2008-12-31
11	2009-12-31	2008-12-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 13 month)
1	1997-01-01	1995-12-01
2	1997-01-01	1995-12-01
3	1997-01-02	1995-12-02
4	1997-01-03	1995-12-03
5	1997-01-04	1995-12-04
6	2009-12-28	2008-11-28
7	2009-12-29	2008-11-29
8	2009-12-30	2008-11-30
9	2009-12-31	2008-11-30
10	2009-12-31	2008-11-30
11	2009-12-31	2008-11-30
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -13 MONTH)
1	1997-01-01	1998-02-01
2	1997-01-01	1998-02-01
3	1997-01-02	1998-02-02
4	1997-01-03	1998-02-03
5	1997-01-04	1998-02-04
6	2009-12-28	2011-01-28
7	2009-12-29	2011-01-29
8	2009-12-30	2011-01-30
9	2009-12-31	2011-01-31
10	2009-12-31	2011-01-31
11	2009-12-31	2011-01-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL '13' YEAR_MONTH)
1	1997-01-01	1995-12-01
2	1997-01-01	1995-12-01
3	1997-01-02	1995-12-02
4	1997-01-03	1995-12-03
5	1997-01-04	1995-12-04
6	2009-12-28	2008-11-28
7	2009-12-29	2008-11-29
8	2009-12-30	2008-11-30
9	2009-12-31	2008-11-30
10	2009-12-31	2008-11-30
11	2009-12-31	2008-11-30
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -14 MONTH)
1	1997-01-01	1998-03-01
2	1997-01-01	1998-03-01
3	1997-01-02	1998-03-02
4	1997-01-03	1998-03-03
5	1997-01-04	1998-03-04
6	2009-12-28	2011-02-28
7	2009-12-29	2011-02-28
8	2009-12-30	2011-02-28
9	2009-12-31	2011-02-28
10	2009-12-31	2011-02-28
11	2009-12-31	2011-02-28
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -15 day)
1	1997-01-01	1997-01-16
2	1997-01-01	1997-01-16
3	1997-01-02	1997-01-17
4	1997-01-03	1997-01-18
5	1997-01-04	1997-01-19
6	2009-12-28	2010-01-12
7	2009-12-29	2010-01-13
8	2009-12-30	2010-01-14
9	2009-12-31	2010-01-15
10	2009-12-31	2010-01-15
11	2009-12-31	2010-01-15
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -1 day)
1	1997-01-01	1997-01-02
2	1997-01-01	1997-01-02
3	1997-01-02	1997-01-03
4	1997-01-03	1997-01-04
5	1997-01-04	1997-01-05
6	2009-12-28	2009-12-29
7	2009-12-29	2009-12-30
8	2009-12-30	2009-12-31
9	2009-12-31	2010-01-01
10	2009-12-31	2010-01-01
11	2009-12-31	2010-01-01
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 1 day)
1	1997-01-01	1996-12-31
2	1997-01-01	1996-12-31
3	1997-01-02	1997-01-01
4	1997-01-03	1997-01-02
5	1997-01-04	1997-01-03
6	2009-12-28	2009-12-27
7	2009-12-29	2009-12-28
8	2009-12-30	2009-12-29
9	2009-12-31	2009-12-30
10	2009-12-31	2009-12-30
11	2009-12-31	2009-12-30
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 1 hour)
1	1997-01-01	1996-12-31 23:00:00
2	1997-01-01	1996-12-31 23:00:00
3	1997-01-02	1997-01-01 23:00:00
4	1997-01-03	1997-01-02 23:00:00
5	1997-01-04	1997-01-03 23:00:00
6	2009-12-28	2009-12-27 23:00:00
7	2009-12-29	2009-12-28 23:00:00
8	2009-12-30	2009-12-29 23:00:00
9	2009-12-31	2009-12-30 23:00:00
10	2009-12-31	2009-12-30 23:00:00
11	2009-12-31	2009-12-30 23:00:00
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -1 MONTH)
1	1997-01-01	1997-02-01
2	1997-01-01	1997-02-01
3	1997-01-02	1997-02-02
4	1997-01-03	1997-02-03
5	1997-01-04	1997-02-04
6	2009-12-28	2010-01-28
7	2009-12-29	2010-01-29
8	2009-12-30	2010-01-30
9	2009-12-31	2010-01-31
10	2009-12-31	2010-01-31
11	2009-12-31	2010-01-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 1 MONTH)
1	1997-01-01	1996-12-01
2	1997-01-01	1996-12-01
3	1997-01-02	1996-12-02
4	1997-01-03	1996-12-03
5	1997-01-04	1996-12-04
6	2009-12-28	2009-11-28
7	2009-12-29	2009-11-29
8	2009-12-30	2009-11-30
9	2009-12-31	2009-11-30
10	2009-12-31	2009-11-30
11	2009-12-31	2009-11-30
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 1 quarter)
1	1997-01-01	1996-10-01
2	1997-01-01	1996-10-01
3	1997-01-02	1996-10-02
4	1997-01-03	1996-10-03
5	1997-01-04	1996-10-04
6	2009-12-28	2009-09-28
7	2009-12-29	2009-09-29
8	2009-12-30	2009-09-30
9	2009-12-31	2009-09-30
10	2009-12-31	2009-09-30
11	2009-12-31	2009-09-30
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 1 second)
1	1997-01-01	1996-12-31 23:59:59
2	1997-01-01	1996-12-31 23:59:59
3	1997-01-02	1997-01-01 23:59:59
4	1997-01-03	1997-01-02 23:59:59
5	1997-01-04	1997-01-03 23:59:59
6	2009-12-28	2009-12-27 23:59:59
7	2009-12-29	2009-12-28 23:59:59
8	2009-12-30	2009-12-29 23:59:59
9	2009-12-31	2009-12-30 23:59:59
10	2009-12-31	2009-12-30 23:59:59
11	2009-12-31	2009-12-30 23:59:59
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 1 week)
1	1997-01-01	1996-12-25
2	1997-01-01	1996-12-25
3	1997-01-02	1996-12-26
4	1997-01-03	1996-12-27
5	1997-01-04	1996-12-28
6	2009-12-28	2009-12-21
7	2009-12-29	2009-12-22
8	2009-12-30	2009-12-23
9	2009-12-31	2009-12-24
10	2009-12-31	2009-12-24
11	2009-12-31	2009-12-24
cidx	CDATE	DATE_SUB(CDATE, INTERVAL --1 year)
1	1997-01-01	1996-01-01
2	1997-01-01	1996-01-01
3	1997-01-02	1996-01-02
4	1997-01-03	1996-01-03
5	1997-01-04	1996-01-04
6	2009-12-28	2008-12-28
7	2009-12-29	2008-12-29
8	2009-12-30	2008-12-30
9	2009-12-31	2008-12-31
10	2009-12-31	2008-12-31
11	2009-12-31	2008-12-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -1 year)
1	1997-01-01	1998-01-01
2	1997-01-01	1998-01-01
3	1997-01-02	1998-01-02
4	1997-01-03	1998-01-03
5	1997-01-04	1998-01-04
6	2009-12-28	2010-12-28
7	2009-12-29	2010-12-29
8	2009-12-30	2010-12-30
9	2009-12-31	2010-12-31
10	2009-12-31	2010-12-31
11	2009-12-31	2010-12-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 1 year)
1	1997-01-01	1996-01-01
2	1997-01-01	1996-01-01
3	1997-01-02	1996-01-02
4	1997-01-03	1996-01-03
5	1997-01-04	1996-01-04
6	2009-12-28	2008-12-28
7	2009-12-29	2008-12-29
8	2009-12-30	2008-12-30
9	2009-12-31	2008-12-31
10	2009-12-31	2008-12-31
11	2009-12-31	2008-12-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL --1 YEAR_MONTH)
1	1997-01-01	1996-12-01
2	1997-01-01	1996-12-01
3	1997-01-02	1996-12-02
4	1997-01-03	1996-12-03
5	1997-01-04	1996-12-04
