CIDX	from_unixtime(CIDX         )
CDECIMAL18_2	from_unixtime(CDECIMAL18_2 )
-99999999999.99	NULL
-99999999999.98	NULL
-99999999999.97	NULL
-99999999999.96	NULL
-99999999999.95	NULL
99999999999.95	NULL
99999999999.96	NULL
99999999999.97	NULL
99999999999.98	NULL
99999999999.99	NULL
0.00	1969-12-31 18:00:00
CINTEGER	from_unixtime(CINTEGER     )
-7483646	NULL
-7483645	NULL
-7483644	NULL
-7483643	NULL
-7483642	NULL
7483643	1970-03-28 08:47:23
7483644	1970-03-28 08:47:24
7483645	1970-03-28 08:47:25
7483646	1970-03-28 08:47:26
7483647	1970-03-28 08:47:27
0	1969-12-31 18:00:00
CSMALLINT	from_unixtime(CSMALLINT    )
-766	NULL
-765	NULL
-764	NULL
-763	NULL
-762	NULL
763	1969-12-31 18:12:43
764	1969-12-31 18:12:44
765	1969-12-31 18:12:45
766	1969-12-31 18:12:46
767	1969-12-31 18:12:47
0	1969-12-31 18:00:00
CTINYINT	from_unixtime(CTINYINT     )
-26	NULL
-25	NULL
-24	NULL
-23	NULL
-22	NULL
23	1969-12-31 18:00:23
24	1969-12-31 18:00:24
25	1969-12-31 18:00:25
26	1969-12-31 18:00:26
27	1969-12-31 18:00:27
0	1969-12-31 18:00:00
CDOUBLE	from_unixtime(CDOUBLE      )
-1.797693231e+108	NULL
-1.79769323e+108	NULL
-1.797693229e+108	NULL
-1.797693228e+108	NULL
-1.797693227e+108	NULL
1.797693227e+108	NULL
1.797693228e+108	NULL
1.797693229e+108	NULL
1.79769323e+108	NULL
1.797693231e+108	NULL
0	1969-12-31 18:00:00
CFLOAT	from_unixtime(CFLOAT       )
-3.40287e+18	NULL
-3.40287e+18	NULL
-3.40286e+18	NULL
-3.40286e+18	NULL
-3.40286e+18	NULL
3.40286e+18	NULL
3.40286e+18	NULL
3.40286e+18	NULL
3.40287e+18	NULL
3.40287e+18	NULL
0	1969-12-31 18:00:00
CDATETIME	from_unixtime(CDATETIME    )
1997-01-01 00:00:00	NULL
1997-01-01 00:00:01	NULL
1997-01-02 00:00:01	NULL
1997-01-03 00:00:02	NULL
1997-01-04 00:00:03	NULL
2009-12-31 23:59:56	NULL
2009-12-31 23:59:57	NULL
2009-12-31 23:59:58	NULL
2009-12-31 23:59:59	NULL
2009-12-31 23:59:59	NULL
2009-12-31 23:59:59	NULL
CCHAR1	from_unixtime(CCHAR1       )
a	1969-12-31 18:00:00
a	1969-12-31 18:00:00
a	1969-12-31 18:00:00
a	1969-12-31 18:00:00
a	1969-12-31 18:00:00
z	1969-12-31 18:00:00
z	1969-12-31 18:00:00
z	1969-12-31 18:00:00
z	1969-12-31 18:00:00
z	1969-12-31 18:00:00
NULL	NULL
CCHAR2	from_unixtime(CCHAR2       )
aa	1969-12-31 18:00:00
b	1969-12-31 18:00:00
bb	1969-12-31 18:00:00
bb	1969-12-31 18:00:00
bb	1969-12-31 18:00:00
yy	1969-12-31 18:00:00
yy	1969-12-31 18:00:00
yy	1969-12-31 18:00:00
yy	1969-12-31 18:00:00
zz	1969-12-31 18:00:00
NULL	NULL
CCHAR3	from_unixtime(CCHAR3       )
aaa	1969-12-31 18:00:00
c	1969-12-31 18:00:00
cc	1969-12-31 18:00:00
ccc	1969-12-31 18:00:00
ccc	1969-12-31 18:00:00
xxx	1969-12-31 18:00:00
xxx	1969-12-31 18:00:00
xxx	1969-12-31 18:00:00
xxx	1969-12-31 18:00:00
zzz	1969-12-31 18:00:00
NULL	NULL
CCHAR4	from_unixtime(CCHAR4       )
aaaa	1969-12-31 18:00:00
d	1969-12-31 18:00:00
dd	1969-12-31 18:00:00
ddd	1969-12-31 18:00:00
dddd	1969-12-31 18:00:00
wwww	1969-12-31 18:00:00
wwww	1969-12-31 18:00:00
wwww	1969-12-31 18:00:00
wwww	1969-12-31 18:00:00
zzzz	1969-12-31 18:00:00
NULL	NULL
CCHAR5	from_unixtime(CCHAR5       )
aaaaa	1969-12-31 18:00:00
e	1969-12-31 18:00:00
ee	1969-12-31 18:00:00
eee	1969-12-31 18:00:00
eeee	1969-12-31 18:00:00
vvvvv	1969-12-31 18:00:00
vvvvv	1969-12-31 18:00:00
vvvvv	1969-12-31 18:00:00
vvvvv	1969-12-31 18:00:00
zzzzz	1969-12-31 18:00:00
NULL	NULL
CCHAR6	from_unixtime(CCHAR6       )
aaaaaa	1969-12-31 18:00:00
f	1969-12-31 18:00:00
ff	1969-12-31 18:00:00
fff	1969-12-31 18:00:00
ffff	1969-12-31 18:00:00
uuuuuu	1969-12-31 18:00:00
uuuuuu	1969-12-31 18:00:00
uuuuuu	1969-12-31 18:00:00
uuuuuu	1969-12-31 18:00:00
zzzzzz	1969-12-31 18:00:00
NULL	NULL
CCHAR7	from_unixtime(CCHAR7       )
aaaaaaa	1969-12-31 18:00:00
g	1969-12-31 18:00:00
gg	1969-12-31 18:00:00
ggg	1969-12-31 18:00:00
gggg	1969-12-31 18:00:00
ttttttt	1969-12-31 18:00:00
ttttttt	1969-12-31 18:00:00
ttttttt	1969-12-31 18:00:00
ttttttt	1969-12-31 18:00:00
zzzzzzz	1969-12-31 18:00:00
NULL	NULL
CCHAR8	from_unixtime(CCHAR8       )
aaaaaaaa	1969-12-31 18:00:00
h	1969-12-31 18:00:00
hh	1969-12-31 18:00:00
hhh	1969-12-31 18:00:00
hhhh	1969-12-31 18:00:00
sssssss	1969-12-31 18:00:00
ssssssss	1969-12-31 18:00:00
ssssssss	1969-12-31 18:00:00
ssssssss	1969-12-31 18:00:00
zzzzzzzz	1969-12-31 18:00:00
NULL	NULL
CCHAR9	from_unixtime(CCHAR9       )
aaaaaaaaa	1969-12-31 18:00:00
i	1969-12-31 18:00:00
ii	1969-12-31 18:00:00
iii	1969-12-31 18:00:00
iiii	1969-12-31 18:00:00
rrrrrrr	1969-12-31 18:00:00
rrrrrrrr	1969-12-31 18:00:00
rrrrrrrrr	1969-12-31 18:00:00
rrrrrrrrr	1969-12-31 18:00:00
zzzzzzzzz	1969-12-31 18:00:00
NULL	NULL
CCHAR255	from_unixtime(CCHAR255     )
aaaaaaaaaa	1969-12-31 18:00:00
j	1969-12-31 18:00:00
jj	1969-12-31 18:00:00
jjj	1969-12-31 18:00:00
jjjj	1969-12-31 18:00:00
qqqqqqq	1969-12-31 18:00:00
qqqqqqqq	1969-12-31 18:00:00
qqqqqqqqq	1969-12-31 18:00:00
qqqqqqqqqq	1969-12-31 18:00:00
zzzzzzzzzz	1969-12-31 18:00:00
NULL	NULL
CVCHAR1	from_unixtime(CVCHAR1      )
a	1969-12-31 18:00:00
a	1969-12-31 18:00:00
a	1969-12-31 18:00:00
a	1969-12-31 18:00:00
a	1969-12-31 18:00:00
z	1969-12-31 18:00:00
z	1969-12-31 18:00:00
z	1969-12-31 18:00:00
z	1969-12-31 18:00:00
z	1969-12-31 18:00:00
NULL	NULL
CVCHAR2	from_unixtime(CVCHAR2      )
aa	1969-12-31 18:00:00
b	1969-12-31 18:00:00
bb	1969-12-31 18:00:00
bb	1969-12-31 18:00:00
bb	1969-12-31 18:00:00
yy	1969-12-31 18:00:00
yy	1969-12-31 18:00:00
yy	1969-12-31 18:00:00
yy	1969-12-31 18:00:00
zz	1969-12-31 18:00:00
NULL	NULL
CVCHAR3	from_unixtime(CVCHAR3      )
aaa	1969-12-31 18:00:00
c	1969-12-31 18:00:00
cc	1969-12-31 18:00:00
ccc	1969-12-31 18:00:00
ccc	1969-12-31 18:00:00
xxx	1969-12-31 18:00:00
xxx	1969-12-31 18:00:00
xxx	1969-12-31 18:00:00
xxx	1969-12-31 18:00:00
zzz	1969-12-31 18:00:00
NULL	NULL
CVCHAR4	from_unixtime(CVCHAR4      )
aaaa	1969-12-31 18:00:00
d	1969-12-31 18:00:00
dd	1969-12-31 18:00:00
ddd	1969-12-31 18:00:00
dddd	1969-12-31 18:00:00
wwww	1969-12-31 18:00:00
wwww	1969-12-31 18:00:00
wwww	1969-12-31 18:00:00
wwww	1969-12-31 18:00:00
zzzz	1969-12-31 18:00:00
NULL	NULL
CVCHAR5	from_unixtime(CVCHAR5      )
aaaaa	1969-12-31 18:00:00
e	1969-12-31 18:00:00
ee	1969-12-31 18:00:00
eee	1969-12-31 18:00:00
eeee	1969-12-31 18:00:00
vvvvv	1969-12-31 18:00:00
vvvvv	1969-12-31 18:00:00
vvvvv	1969-12-31 18:00:00
vvvvv	1969-12-31 18:00:00
zzzzz	1969-12-31 18:00:00
NULL	NULL
CVCHAR6	from_unixtime(CVCHAR6      )
aaaaaa	1969-12-31 18:00:00
f	1969-12-31 18:00:00
ff	1969-12-31 18:00:00
fff	1969-12-31 18:00:00
ffff	1969-12-31 18:00:00
uuuuuu	1969-12-31 18:00:00
uuuuuu	1969-12-31 18:00:00
uuuuuu	1969-12-31 18:00:00
uuuuuu	1969-12-31 18:00:00
zzzzzz	1969-12-31 18:00:00
NULL	NULL
CVCHAR7	from_unixtime(CVCHAR7      )
aaaaaaa	1969-12-31 18:00:00
g	1969-12-31 18:00:00
gg	1969-12-31 18:00:00
ggg	1969-12-31 18:00:00
gggg	1969-12-31 18:00:00
ttttttt	1969-12-31 18:00:00
ttttttt	1969-12-31 18:00:00
ttttttt	1969-12-31 18:00:00
ttttttt	1969-12-31 18:00:00
zzzzzzz	1969-12-31 18:00:00
NULL	NULL
CVCHAR8	from_unixtime(CVCHAR8      )
aaaaaaaa	1969-12-31 18:00:00
h	1969-12-31 18:00:00
hh	1969-12-31 18:00:00
hhh	1969-12-31 18:00:00
hhhh	1969-12-31 18:00:00
sssssss	1969-12-31 18:00:00
ssssssss	1969-12-31 18:00:00
ssssssss	1969-12-31 18:00:00
ssssssss	1969-12-31 18:00:00
zzzzzzzz	1969-12-31 18:00:00
NULL	NULL
CVCHAR255	from_unixtime(CVCHAR255    )
aaaaaaaaaa	1969-12-31 18:00:00
j	1969-12-31 18:00:00
jj	1969-12-31 18:00:00
jjj	1969-12-31 18:00:00
jjjj	1969-12-31 18:00:00
qqqqqqq	1969-12-31 18:00:00
qqqqqqqq	1969-12-31 18:00:00
qqqqqqqqq	1969-12-31 18:00:00
qqqqqqqqqq	1969-12-31 18:00:00
zzzzzzzzzz	1969-12-31 18:00:00
NULL	NULL
cdate
2009-12-28
2009-12-29
2009-12-30
2009-12-31
2009-12-31
2009-12-31
from_unixtime(csmallint) + cdecimal1
NULL
NULL
NULL
NULL
NULL
19691231181248.000000
19691231181250.000000
19691231181252.000000
19691231181254.000000
19691231181256.000000
19691231180000.000000
from_unixtime(cidx, '%D %y %a %d %m %b %j')
31st 69 Wed 31 12 Dec 365
31st 69 Wed 31 12 Dec 365
31st 69 Wed 31 12 Dec 365
31st 69 Wed 31 12 Dec 365
31st 69 Wed 31 12 Dec 365
31st 69 Wed 31 12 Dec 365
31st 69 Wed 31 12 Dec 365
31st 69 Wed 31 12 Dec 365
31st 69 Wed 31 12 Dec 365
31st 69 Wed 31 12 Dec 365
31st 69 Wed 31 12 Dec 365
from_unixtime(ctinyint, '%H:%i:%s') + ctinyint
NULL
NULL
NULL
NULL
NULL
41
42
43
44
45
18
from_unixtime(cdecimal4_2)	count(*)
NULL	5
1969-12-31 18:00:00	1
1969-12-31 18:00:10	5
