cidx	cdouble	repeat(cdouble, 3)
6	1.797693227e+108	1.abc93227e+108
7	1.797693228e+108	1.abc93228e+108
8	1.797693229e+108	1.abc93229e+108
9	1.79769323e+108	1.abc9323e+108
10	1.797693231e+108	1.abc93231e+108
11	0	0
cidx	cfloat	insert(cfloat, 3, 4, 'abc')
1	-3.40287e+018	-3abc87e+018
2	-3.40287e+018	-3abc87e+018
3	-3.40286e+018	-3abc86e+018
4	-3.40286e+018	-3abc86e+018
5	-3.40286e+018	-3abc86e+018
6	3.40286e+018	3.abc6e+018
7	3.40286e+018	3.abc6e+018
8	3.40286e+018	3.abc6e+018
9	3.40287e+018	3.abc7e+018
10	3.40287e+018	3.abc7e+018
11	0	0
cidx	cdouble	reverse(cdouble)
1	-1.797693231e+108	801+e132396797.1-
2	-1.79769323e+108	801+e32396797.1-
3	-1.797693229e+108	801+e922396797.1-
4	-1.797693228e+108	801+e822396797.1-
5	-1.797693227e+108	801+e722396797.1-
6	1.797693227e+108	801+e722396797.1
7	1.797693228e+108	801+e822396797.1
8	1.797693229e+108	801+e922396797.1
9	1.79769323e+108	801+e32396797.1
10	1.797693231e+108	801+e132396797.1
11	0	0
cidx	cfloat	reverse(cfloat)
1	-3.40287e+018	810+e78204.3
2	-3.40287e+018	810+e78204.3
3	-3.40286e+018	810+e68204.3
4	-3.40286e+018	810+e68204.3
5	-3.40286e+018	810+e68204.3
6	3.40286e+018	810+e68204.3
7	3.40286e+018	810+e68204.3
8	3.40286e+018	810+e68204.3
9	3.40287e+018	810+e78204.3
10	3.40287e+018	810+e78204.3
11	0	0
