cidx	CBIGINT	CaseCol
7	764	NULL
8	765	NULL
9	766	NULL
10	767	NULL
11	0	NULL
cidx	CTINYINT	CaseCol
1	-26	NULL
2	-25	NULL
3	-24	NULL
4	-23	NULL
5	-22	NULL
6	23	NULL
7	24	NULL
8	25	NULL
9	26	NULL
10	27	NULL
11	0	NULL
cidx	CTINYINT	CaseCol
1	-26	NULL
2	-25	NULL
3	-24	NULL
4	-23	NULL
5	-22	NULL
6	23	NULL
7	24	NULL
8	25	NULL
9	26	NULL
10	27	NULL
11	0	NULL
cidx	CTINYINT	CaseCol
1	-26	NULL
2	-25	NULL
3	-24	NULL
4	-23	NULL
5	-22	NULL
6	23	NULL
7	24	NULL
8	25	NULL
9	26	NULL
10	27	NULL
11	0	NULL
