cidx	CBIGINT	ATAN(CBIGINT)
4	-99999999999.96	-1.5707963267849
5	-99999999999.95	-1.5707963267849
6	99999999999.95	1.5707963267849
7	99999999999.96	1.5707963267849
8	99999999999.97	1.5707963267849
9	99999999999.98	1.5707963267849
10	99999999999.99	1.5707963267849
11	0.00	0
cidx	CINTEGER	ATAN(CINTEGER)
1	-7483646	-1.57079619317019
2	-7483645	-1.57079619317017
3	-7483644	-1.57079619317015
4	-7483643	-1.57079619317014
5	-7483642	-1.57079619317012
6	7483643	1.57079619317014
7	7483644	1.57079619317015
8	7483645	1.57079619317017
9	7483646	1.57079619317019
10	7483647	1.57079619317021
11	0	0
cidx	CSMALLINT	ATAN(CSMALLINT)
1	-766	-1.56949084450781
2	-765	-1.56948913799696
3	-764	-1.56948742701881
4	-763	-1.5694857115558
5	-762	-1.56948399159027
6	763	1.5694857115558
7	764	1.56948742701881
8	765	1.56948913799696
9	766	1.56949084450781
10	767	1.56949254656884
11	0	0
cidx	CTINYINT	ATAN(CTINYINT)
1	-26	-1.53235373677371
2	-25	-1.53081763967161
3	-24	-1.52915374769631
4	-23	-1.52734543140337
5	-22	-1.52537304737332
6	23	1.52734543140337
7	24	1.52915374769631
8	25	1.53081763967161
9	26	1.53235373677371
10	27	1.53377621092097
11	0	0
cidx	ATAN(0)
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
cidx	ATAN(60)
1	1.55413120308096
2	1.55413120308096
3	1.55413120308096
4	1.55413120308096
5	1.55413120308096
6	1.55413120308096
7	1.55413120308096
8	1.55413120308096
9	1.55413120308096
10	1.55413120308096
11	1.55413120308096
cidx	ATAN(90)
1	1.55968567289729
2	1.55968567289729
3	1.55968567289729
4	1.55968567289729
5	1.55968567289729
6	1.55968567289729
7	1.55968567289729
8	1.55968567289729
9	1.55968567289729
10	1.55968567289729
11	1.55968567289729
cidx	ATAN(180)
1	1.5652408283942
2	1.5652408283942
3	1.5652408283942
4	1.5652408283942
5	1.5652408283942
6	1.5652408283942
7	1.5652408283942
8	1.5652408283942
9	1.5652408283942
10	1.5652408283942
11	1.5652408283942
cidx	ATAN(360)
1	1.56801855616158
2	1.56801855616158
3	1.56801855616158
4	1.56801855616158
5	1.56801855616158
6	1.56801855616158
7	1.56801855616158
8	1.56801855616158
9	1.56801855616158
10	1.56801855616158
11	1.56801855616158
cidx	CBIGINT
1	-72036854775806
2	-72036854775805
3	-72036854775804
4	-72036854775803
5	-72036854775802
6	72036854775803
7	72036854775804
8	72036854775805
9	72036854775806
10	72036854775807
cidx	CDECIMAL1
1	-9
2	-8
3	-7
4	-6
5	-5
6	5
7	6
8	7
9	8
10	9
cidx	CDECIMAL4
1	-999
2	-998
3	-997
4	-996
5	-995
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL4_2
1	-9.99
2	-9.98
3	-9.97
4	-9.96
5	-9.95
6	9.95
7	9.96
8	9.97
9	9.98
10	9.99
cidx	CDECIMAL5
1	-999
2	-998
3	-997
4	-996
5	-995
6	995
7	996
8	997
9	998
10	999
cidx	CDECIMAL9
1	-999999
2	-999998
3	-999997
4	-999996
5	-999995
6	999995
7	999996
8	999997
9	999998
10	999999
cidx	CDECIMAL9_2
1	-9999.99
2	-9999.98
3	-9999.97
4	-9999.96
5	-9999.95
6	9999.95
7	9999.96
8	9999.97
9	9999.98
10	9999.99
cidx	CDECIMAL10
1	-9999999
2	-9999998
3	-9999997
4	-9999996
5	-9999995
6	9999995
7	9999996
8	9999997
9	9999998
10	9999999
cidx	CDECIMAL18
1	-9999999999999
2	-9999999999998
3	-9999999999997
4	-9999999999996
5	-9999999999995
6	9999999999995
7	9999999999996
8	9999999999997
9	9999999999998
10	9999999999999
cidx	CDECIMAL18_2
1	-99999999999.99
2	-99999999999.98
3	-99999999999.97
4	-99999999999.96
5	-99999999999.95
6	99999999999.95
7	99999999999.96
8	99999999999.97
9	99999999999.98
10	99999999999.99
cidx	CINTEGER
1	-7483646
2	-7483645
3	-7483644
4	-7483643
5	-7483642
6	7483643
7	7483644
8	7483645
9	7483646
10	7483647
cidx	CSMALLINT
1	-766
2	-765
3	-764
4	-763
5	-762
6	763
7	764
8	765
9	766
10	767
cidx	CTINYINT
1	-26
2	-25
3	-24
4	-23
5	-22
6	23
7	24
8	25
9	26
10	27
