cidx	CCHAR1	RIGHT(CCHAR1,2)
9	rrrrrrrrr	rrrrrrr
10	zzzzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CCHAR9	RIGHT(CCHAR9,8)
1	aaaaaaaaa	aaaaaaaa
2	i	i
3	ii	ii
4	iii	iii
5	iiii	iiii
6	rrrrrrr	rrrrrrr
7	rrrrrrrr	rrrrrrrr
8	rrrrrrrrr	rrrrrrrr
9	rrrrrrrrr	rrrrrrrr
10	zzzzzzzzz	zzzzzzzz
11	NULL	NULL
cidx	CCHAR9	RIGHT(CCHAR9,9)
1	aaaaaaaaa	aaaaaaaaa
2	i	i
3	ii	ii
4	iii	iii
5	iiii	iiii
6	rrrrrrr	rrrrrrr
7	rrrrrrrr	rrrrrrrr
8	rrrrrrrrr	rrrrrrrrr
9	rrrrrrrrr	rrrrrrrrr
10	zzzzzzzzz	zzzzzzzzz
11	NULL	NULL
cidx	CCHAR9	RIGHT(CCHAR9,25)
1	aaaaaaaaa	aaaaaaaaa
2	i	i
3	ii	ii
4	iii	iii
5	iiii	iiii
6	rrrrrrr	rrrrrrr
7	rrrrrrrr	rrrrrrrr
8	rrrrrrrrr	rrrrrrrrr
9	rrrrrrrrr	rrrrrrrrr
10	zzzzzzzzz	zzzzzzzzz
11	NULL	NULL
cidx	CCHAR255	RIGHT(CCHAR255,2)
1	aaaaaaaaaa	aa
2	j	j
3	jj	jj
4	jjj	jj
5	jjjj	jj
6	qqqqqqq	qq
7	qqqqqqqq	qq
8	qqqqqqqqq	qq
9	qqqqqqqqqq	qq
10	zzzzzzzzzz	zz
11	NULL	NULL
cidx	CCHAR255	RIGHT(CCHAR255,5)
1	aaaaaaaaaa	aaaaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjjj
6	qqqqqqq	qqqqq
7	qqqqqqqq	qqqqq
8	qqqqqqqqq	qqqqq
9	qqqqqqqqqq	qqqqq
10	zzzzzzzzzz	zzzzz
11	NULL	NULL
cidx	CCHAR255	RIGHT(CCHAR255,7)
1	aaaaaaaaaa	aaaaaaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjjj
6	qqqqqqq	qqqqqqq
7	qqqqqqqq	qqqqqqq
8	qqqqqqqqq	qqqqqqq
9	qqqqqqqqqq	qqqqqqq
10	zzzzzzzzzz	zzzzzzz
11	NULL	NULL
cidx	CCHAR255	RIGHT(CCHAR255,8)
1	aaaaaaaaaa	aaaaaaaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjjj
6	qqqqqqq	qqqqqqq
7	qqqqqqqq	qqqqqqqq
8	qqqqqqqqq	qqqqqqqq
9	qqqqqqqqqq	qqqqqqqq
10	zzzzzzzzzz	zzzzzzzz
11	NULL	NULL
cidx	CCHAR255	RIGHT(CCHAR255,9)
1	aaaaaaaaaa	aaaaaaaaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjjj
6	qqqqqqq	qqqqqqq
7	qqqqqqqq	qqqqqqqq
8	qqqqqqqqq	qqqqqqqqq
9	qqqqqqqqqq	qqqqqqqqq
10	zzzzzzzzzz	zzzzzzzzz
11	NULL	NULL
cidx	CCHAR255	RIGHT(CCHAR255,25)
1	aaaaaaaaaa	aaaaaaaaaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjjj
6	qqqqqqq	qqqqqqq
7	qqqqqqqq	qqqqqqqq
8	qqqqqqqqq	qqqqqqqqq
9	qqqqqqqqqq	qqqqqqqqqq
10	zzzzzzzzzz	zzzzzzzzzz
11	NULL	NULL
cidx	CVCHAR1	RIGHT(CVCHAR1,2)
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CVCHAR1	RIGHT(CVCHAR1,5)
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CVCHAR1	RIGHT(CVCHAR1,7)
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CVCHAR1	RIGHT(CVCHAR1,8)
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CVCHAR1	RIGHT(CVCHAR1,9)
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CVCHAR1	RIGHT(CVCHAR1,25)
1	a	a
2	a	a
3	a	a
4	a	a
5	a	a
6	z	z
7	z	z
8	z	z
9	z	z
10	z	z
11	NULL	NULL
cidx	CVCHAR2	RIGHT(CVCHAR2,2)
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CVCHAR2	RIGHT(CVCHAR2,5)
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CVCHAR2	RIGHT(CVCHAR2,7)
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CVCHAR2	RIGHT(CVCHAR2,8)
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CVCHAR2	RIGHT(CVCHAR2,9)
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CVCHAR2	RIGHT(CVCHAR2,25)
1	aa	aa
2	b	b
3	bb	bb
4	bb	bb
5	bb	bb
6	yy	yy
7	yy	yy
8	yy	yy
9	yy	yy
10	zz	zz
11	NULL	NULL
cidx	CVCHAR3	RIGHT(CVCHAR3,2)
1	aaa	aa
2	c	c
3	cc	cc
4	ccc	cc
5	ccc	cc
6	xxx	xx
7	xxx	xx
8	xxx	xx
9	xxx	xx
10	zzz	zz
11	NULL	NULL
cidx	CVCHAR3	RIGHT(CVCHAR3,5)
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CVCHAR3	RIGHT(CVCHAR3,7)
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CVCHAR3	RIGHT(CVCHAR3,8)
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CVCHAR3	RIGHT(CVCHAR3,9)
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CVCHAR3	RIGHT(CVCHAR3,25)
1	aaa	aaa
2	c	c
3	cc	cc
4	ccc	ccc
5	ccc	ccc
6	xxx	xxx
7	xxx	xxx
8	xxx	xxx
9	xxx	xxx
10	zzz	zzz
11	NULL	NULL
cidx	CVCHAR4	RIGHT(CVCHAR4,2)
1	aaaa	aa
2	d	d
3	dd	dd
4	ddd	dd
5	dddd	dd
6	wwww	ww
7	wwww	ww
8	wwww	ww
9	wwww	ww
10	zzzz	zz
11	NULL	NULL
cidx	CVCHAR4	RIGHT(CVCHAR4,5)
1	aaaa	aaaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	dddd
6	wwww	wwww
7	wwww	wwww
8	wwww	wwww
9	wwww	wwww
10	zzzz	zzzz
11	NULL	NULL
cidx	CVCHAR4	RIGHT(CVCHAR4,7)
1	aaaa	aaaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	dddd
6	wwww	wwww
7	wwww	wwww
8	wwww	wwww
9	wwww	wwww
10	zzzz	zzzz
11	NULL	NULL
cidx	CVCHAR4	RIGHT(CVCHAR4,8)
1	aaaa	aaaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	dddd
6	wwww	wwww
7	wwww	wwww
8	wwww	wwww
9	wwww	wwww
10	zzzz	zzzz
11	NULL	NULL
cidx	CVCHAR4	RIGHT(CVCHAR4,9)
1	aaaa	aaaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	dddd
6	wwww	wwww
7	wwww	wwww
8	wwww	wwww
9	wwww	wwww
10	zzzz	zzzz
11	NULL	NULL
cidx	CVCHAR4	RIGHT(CVCHAR4,25)
1	aaaa	aaaa
2	d	d
3	dd	dd
4	ddd	ddd
5	dddd	dddd
6	wwww	wwww
7	wwww	wwww
8	wwww	wwww
9	wwww	wwww
10	zzzz	zzzz
11	NULL	NULL
cidx	CVCHAR5	RIGHT(CVCHAR5,2)
1	aaaaa	aa
2	e	e
3	ee	ee
4	eee	ee
5	eeee	ee
6	vvvvv	vv
7	vvvvv	vv
8	vvvvv	vv
9	vvvvv	vv
10	zzzzz	zz
11	NULL	NULL
cidx	CVCHAR5	RIGHT(CVCHAR5,5)
1	aaaaa	aaaaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eeee
6	vvvvv	vvvvv
7	vvvvv	vvvvv
8	vvvvv	vvvvv
9	vvvvv	vvvvv
10	zzzzz	zzzzz
11	NULL	NULL
cidx	CVCHAR5	RIGHT(CVCHAR5,7)
1	aaaaa	aaaaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eeee
6	vvvvv	vvvvv
7	vvvvv	vvvvv
8	vvvvv	vvvvv
9	vvvvv	vvvvv
10	zzzzz	zzzzz
11	NULL	NULL
cidx	CVCHAR5	RIGHT(CVCHAR5,8)
1	aaaaa	aaaaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eeee
6	vvvvv	vvvvv
7	vvvvv	vvvvv
8	vvvvv	vvvvv
9	vvvvv	vvvvv
10	zzzzz	zzzzz
11	NULL	NULL
cidx	CVCHAR5	RIGHT(CVCHAR5,9)
1	aaaaa	aaaaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eeee
6	vvvvv	vvvvv
7	vvvvv	vvvvv
8	vvvvv	vvvvv
9	vvvvv	vvvvv
10	zzzzz	zzzzz
11	NULL	NULL
cidx	CVCHAR5	RIGHT(CVCHAR5,25)
1	aaaaa	aaaaa
2	e	e
3	ee	ee
4	eee	eee
5	eeee	eeee
6	vvvvv	vvvvv
7	vvvvv	vvvvv
8	vvvvv	vvvvv
9	vvvvv	vvvvv
10	zzzzz	zzzzz
11	NULL	NULL
cidx	CVCHAR6	RIGHT(CVCHAR6,2)
1	aaaaaa	aa
2	f	f
3	ff	ff
4	fff	ff
5	ffff	ff
6	uuuuuu	uu
7	uuuuuu	uu
8	uuuuuu	uu
9	uuuuuu	uu
10	zzzzzz	zz
11	NULL	NULL
cidx	CVCHAR6	RIGHT(CVCHAR6,5)
1	aaaaaa	aaaaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	ffff
6	uuuuuu	uuuuu
7	uuuuuu	uuuuu
8	uuuuuu	uuuuu
9	uuuuuu	uuuuu
10	zzzzzz	zzzzz
11	NULL	NULL
cidx	CVCHAR6	RIGHT(CVCHAR6,7)
1	aaaaaa	aaaaaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	ffff
6	uuuuuu	uuuuuu
7	uuuuuu	uuuuuu
8	uuuuuu	uuuuuu
9	uuuuuu	uuuuuu
10	zzzzzz	zzzzzz
11	NULL	NULL
cidx	CVCHAR6	RIGHT(CVCHAR6,8)
1	aaaaaa	aaaaaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	ffff
6	uuuuuu	uuuuuu
7	uuuuuu	uuuuuu
8	uuuuuu	uuuuuu
9	uuuuuu	uuuuuu
10	zzzzzz	zzzzzz
11	NULL	NULL
cidx	CVCHAR6	RIGHT(CVCHAR6,9)
1	aaaaaa	aaaaaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	ffff
6	uuuuuu	uuuuuu
7	uuuuuu	uuuuuu
8	uuuuuu	uuuuuu
9	uuuuuu	uuuuuu
10	zzzzzz	zzzzzz
11	NULL	NULL
cidx	CVCHAR6	RIGHT(CVCHAR6,25)
1	aaaaaa	aaaaaa
2	f	f
3	ff	ff
4	fff	fff
5	ffff	ffff
6	uuuuuu	uuuuuu
7	uuuuuu	uuuuuu
8	uuuuuu	uuuuuu
9	uuuuuu	uuuuuu
10	zzzzzz	zzzzzz
11	NULL	NULL
cidx	CVCHAR7	RIGHT(CVCHAR7,2)
1	aaaaaaa	aa
2	g	g
3	gg	gg
4	ggg	gg
5	gggg	gg
6	ttttttt	tt
7	ttttttt	tt
8	ttttttt	tt
9	ttttttt	tt
10	zzzzzzz	zz
11	NULL	NULL
cidx	CVCHAR7	RIGHT(CVCHAR7,5)
1	aaaaaaa	aaaaa
2	g	g
3	gg	gg
4	ggg	ggg
5	gggg	gggg
6	ttttttt	ttttt
7	ttttttt	ttttt
8	ttttttt	ttttt
9	ttttttt	ttttt
10	zzzzzzz	zzzzz
11	NULL	NULL
cidx	CVCHAR7	RIGHT(CVCHAR7,7)
1	aaaaaaa	aaaaaaa
