c_city	s_city	d_year	revenue
UNITED ST9	UNITED ST9	1993	28691491.00
UNITED ST2	UNITED ST6	1993	27571098.00
UNITED ST4	UNITED ST3	1993	26942853.00
UNITED ST2	UNITED ST3	1993	26394507.00
UNITED ST9	UNITED ST1	1993	25665089.00
UNITED ST2	UNITED ST2	1993	25250383.00
UNITED ST9	UNITED ST3	1993	25175769.00
UNITED ST9	UNITED ST6	1993	24999765.00
UNITED ST1	UNITED ST6	1993	24832560.00
UNITED ST3	UNITED ST5	1993	24769282.00
UNITED ST8	UNITED ST8	1993	24597095.00
UNITED ST3	UNITED ST9	1993	23298465.00
UNITED ST7	UNITED ST4	1993	22403901.00
UNITED ST4	UNITED ST4	1993	22258654.00
UNITED ST1	UNITED ST3	1993	22066641.00
UNITED ST4	UNITED ST9	1993	20227734.00
UNITED ST5	UNITED ST8	1993	19674951.00
UNITED ST6	UNITED ST3	1993	19228119.00
UNITED ST8	UNITED ST3	1993	19106298.00
UNITED ST0	UNITED ST7	1993	18774220.00
UNITED ST9	UNITED ST7	1993	18499452.00
UNITED ST7	UNITED ST8	1993	16422539.00
UNITED ST4	UNITED ST8	1993	15692620.00
UNITED ST3	UNITED ST3	1993	12139287.00
UNITED ST8	UNITED ST1	1994	89097260.00
UNITED ST4	UNITED ST4	1994	81317219.00
UNITED ST8	UNITED ST5	1994	80821400.00
UNITED ST2	UNITED ST2	1994	77004587.00
UNITED ST7	UNITED ST9	1994	76603132.00
UNITED ST3	UNITED ST5	1994	73857324.00
UNITED ST1	UNITED ST0	1994	72317175.00
UNITED ST2	UNITED ST0	1994	70653791.00
UNITED ST9	UNITED ST0	1994	68861030.00
UNITED ST1	UNITED ST1	1994	68510598.00
UNITED ST8	UNITED ST0	1994	65259638.00
UNITED ST0	UNITED ST0	1994	65070100.00
UNITED ST4	UNITED ST0	1994	61833075.00
UNITED ST3	UNITED ST0	1994	61468031.00
UNITED ST0	UNITED ST2	1994	60922303.00
UNITED ST4	UNITED ST9	1994	60428026.00
UNITED ST7	UNITED ST0	1994	59258178.00
UNITED ST2	UNITED ST9	1994	58429585.00
UNITED ST4	UNITED ST2	1994	56299974.00
UNITED ST0	UNITED ST4	1994	55198752.00
UNITED ST6	UNITED ST2	1994	54943567.00
UNITED ST4	UNITED ST5	1994	54311572.00
UNITED ST0	UNITED ST7	1994	53818564.00
UNITED ST5	UNITED ST9	1994	53610494.00
UNITED ST3	UNITED ST4	1994	52573230.00
UNITED ST6	UNITED ST9	1994	51028801.00
UNITED ST9	UNITED ST5	1994	49012201.00
UNITED ST6	UNITED ST3	1994	48656702.00
UNITED ST8	UNITED ST2	1994	48388951.00
UNITED ST5	UNITED ST6	1994	48044491.00
UNITED ST8	UNITED ST6	1994	47840656.00
UNITED ST2	UNITED ST6	1994	47227634.00
UNITED ST0	UNITED ST9	1994	47118335.00
UNITED ST5	UNITED ST0	1994	46490405.00
UNITED ST7	UNITED ST6	1994	45460811.00
UNITED ST2	UNITED ST3	1994	45458662.00
UNITED ST2	UNITED ST8	1994	45176467.00
UNITED ST6	UNITED ST5	1994	44980402.00
UNITED ST6	UNITED ST8	1994	44846392.00
UNITED ST5	UNITED ST5	1994	44616173.00
UNITED ST6	UNITED ST6	1994	44211890.00
UNITED ST4	UNITED ST1	1994	44021884.00
UNITED ST6	UNITED ST0	1994	43742840.00
UNITED ST3	UNITED ST3	1994	43562914.00
UNITED ST8	UNITED ST7	1994	43495835.00
UNITED ST6	UNITED ST1	1994	43123982.00
UNITED ST7	UNITED ST3	1994	42794811.00
UNITED ST4	UNITED ST7	1994	42746616.00
UNITED ST4	UNITED ST8	1994	42638934.00
UNITED ST5	UNITED ST4	1994	42088685.00
UNITED ST7	UNITED ST2	1994	41269240.00
UNITED ST3	UNITED ST7	1994	40724786.00
UNITED ST5	UNITED ST3	1994	39837710.00
UNITED ST8	UNITED ST8	1994	38665885.00
UNITED ST1	UNITED ST4	1994	38658339.00
UNITED ST3	UNITED ST9	1994	38579345.00
UNITED ST9	UNITED ST4	1994	38433804.00
UNITED ST8	UNITED ST9	1994	38379267.00
UNITED ST1	UNITED ST5	1994	38027030.00
UNITED ST9	UNITED ST6	1994	36861895.00
UNITED ST1	UNITED ST7	1994	36236986.00
UNITED ST1	UNITED ST9	1994	34550798.00
UNITED ST4	UNITED ST6	1994	34339259.00
UNITED ST8	UNITED ST3	1994	34140361.00
UNITED ST1	UNITED ST6	1994	33938200.00
UNITED ST8	UNITED ST4	1994	33771058.00
UNITED ST9	UNITED ST1	1994	33695691.00
UNITED ST9	UNITED ST9	1994	33142891.00
UNITED ST5	UNITED ST2	1994	32903943.00
UNITED ST1	UNITED ST8	1994	32265545.00
UNITED ST7	UNITED ST5	1994	31976416.00
UNITED ST1	UNITED ST2	1994	31662759.00
UNITED ST0	UNITED ST1	1994	31479038.00
UNITED ST9	UNITED ST8	1994	30766552.00
UNITED ST0	UNITED ST6	1994	30711517.00
UNITED ST0	UNITED ST5	1994	30133136.00
UNITED ST7	UNITED ST7	1994	29694210.00
UNITED ST2	UNITED ST5	1994	29641022.00
UNITED ST7	UNITED ST4	1994	29489815.00
UNITED ST9	UNITED ST7	1994	28834951.00
UNITED ST3	UNITED ST8	1994	27671776.00
UNITED ST3	UNITED ST6	1994	26798271.00
UNITED ST2	UNITED ST7	1994	26445327.00
UNITED ST3	UNITED ST1	1994	26020872.00
UNITED ST6	UNITED ST7	1994	25080712.00
UNITED ST4	UNITED ST3	1994	24388517.00
UNITED ST7	UNITED ST8	1994	22492516.00
UNITED ST9	UNITED ST2	1994	21290166.00
UNITED ST7	UNITED ST1	1994	20852174.00
UNITED ST6	UNITED ST4	1994	20851129.00
UNITED ST2	UNITED ST4	1994	20174269.00
UNITED ST3	UNITED ST2	1994	19997652.00
UNITED ST5	UNITED ST1	1994	18800749.00
UNITED ST5	UNITED ST7	1994	18120179.00
UNITED ST5	UNITED ST8	1994	17793987.00
UNITED ST0	UNITED ST3	1994	16363406.00
UNITED ST0	UNITED ST8	1994	16284009.00
UNITED ST2	UNITED ST1	1994	14107221.00
UNITED ST1	UNITED ST3	1994	11070869.00
UNITED ST9	UNITED ST3	1994	9579987.00
UNITED ST7	UNITED ST5	1995	100507336.00
UNITED ST3	UNITED ST0	1995	97270497.00
UNITED ST8	UNITED ST0	1995	97041418.00
UNITED ST8	UNITED ST5	1995	95362105.00
UNITED ST6	UNITED ST0	1995	84784533.00
UNITED ST4	UNITED ST0	1995	81647567.00
UNITED ST0	UNITED ST4	1995	77675643.00
UNITED ST0	UNITED ST0	1995	77408461.00
UNITED ST9	UNITED ST9	1995	74731662.00
UNITED ST1	UNITED ST0	1995	70343723.00
UNITED ST3	UNITED ST4	1995	70326283.00
UNITED ST2	UNITED ST7	1995	66343204.00
UNITED ST9	UNITED ST4	1995	65765705.00
UNITED ST6	UNITED ST9	1995	64523331.00
UNITED ST4	UNITED ST2	1995	63922238.00
UNITED ST3	UNITED ST7	1995	63181513.00
UNITED ST4	UNITED ST7	1995	60490599.00
UNITED ST2	UNITED ST4	1995	59740447.00
UNITED ST9	UNITED ST5	1995	58575843.00
UNITED ST5	UNITED ST5	1995	57941133.00
UNITED ST1	UNITED ST7	1995	56239521.00
UNITED ST9	UNITED ST2	1995	55376287.00
UNITED ST8	UNITED ST2	1995	54570275.00
UNITED ST0	UNITED ST6	1995	54281215.00
UNITED ST6	UNITED ST4	1995	53966667.00
UNITED ST5	UNITED ST4	1995	53927056.00
UNITED ST2	UNITED ST0	1995	53616009.00
UNITED ST2	UNITED ST9	1995	52980176.00
UNITED ST4	UNITED ST9	1995	52342478.00
UNITED ST8	UNITED ST3	1995	52153753.00
UNITED ST9	UNITED ST0	1995	50758422.00
UNITED ST8	UNITED ST7	1995	50580977.00
UNITED ST9	UNITED ST3	1995	50038853.00
UNITED ST7	UNITED ST0	1995	49012235.00
UNITED ST6	UNITED ST5	1995	48670257.00
UNITED ST1	UNITED ST4	1995	47932772.00
UNITED ST7	UNITED ST2	1995	47185503.00
UNITED ST7	UNITED ST9	1995	46671085.00
UNITED ST6	UNITED ST6	1995	46601026.00
UNITED ST1	UNITED ST9	1995	46205709.00
UNITED ST2	UNITED ST6	1995	45820131.00
UNITED ST0	UNITED ST3	1995	44169228.00
UNITED ST2	UNITED ST1	1995	43699956.00
UNITED ST4	UNITED ST4	1995	43533911.00
UNITED ST0	UNITED ST1	1995	43429071.00
UNITED ST9	UNITED ST6	1995	42690607.00
UNITED ST8	UNITED ST6	1995	41539025.00
UNITED ST9	UNITED ST1	1995	41508197.00
UNITED ST0	UNITED ST2	1995	41316422.00
UNITED ST7	UNITED ST1	1995	41202105.00
UNITED ST4	UNITED ST6	1995	39502262.00
UNITED ST2	UNITED ST8	1995	39449917.00
UNITED ST5	UNITED ST9	1995	39288287.00
UNITED ST8	UNITED ST8	1995	39195223.00
UNITED ST8	UNITED ST9	1995	38904152.00
UNITED ST2	UNITED ST5	1995	38039575.00
UNITED ST3	UNITED ST2	1995	37594678.00
UNITED ST3	UNITED ST1	1995	37451209.00
UNITED ST6	UNITED ST7	1995	37102815.00
UNITED ST4	UNITED ST3	1995	36956673.00
UNITED ST3	UNITED ST9	1995	36933931.00
UNITED ST6	UNITED ST1	1995	36767588.00
UNITED ST8	UNITED ST4	1995	36030905.00
UNITED ST7	UNITED ST7	1995	36023643.00
UNITED ST7	UNITED ST4	1995	35899496.00
UNITED ST0	UNITED ST5	1995	35525418.00
UNITED ST5	UNITED ST7	1995	35137847.00
UNITED ST4	UNITED ST5	1995	34880310.00
UNITED ST8	UNITED ST1	1995	33589426.00
UNITED ST6	UNITED ST2	1995	32971155.00
UNITED ST5	UNITED ST0	1995	32822931.00
UNITED ST6	UNITED ST8	1995	32469681.00
UNITED ST5	UNITED ST1	1995	32389638.00
UNITED ST0	UNITED ST8	1995	32335297.00
UNITED ST2	UNITED ST2	1995	32072598.00
UNITED ST3	UNITED ST5	1995	31828947.00
UNITED ST7	UNITED ST8	1995	31541815.00
UNITED ST3	UNITED ST8	1995	30751015.00
UNITED ST0	UNITED ST7	1995	30420057.00
UNITED ST3	UNITED ST6	1995	30223989.00
UNITED ST1	UNITED ST6	1995	29443612.00
UNITED ST4	UNITED ST8	1995	28168167.00
UNITED ST9	UNITED ST7	1995	27630952.00
UNITED ST9	UNITED ST8	1995	27198757.00
UNITED ST7	UNITED ST3	1995	27132683.00
UNITED ST0	UNITED ST9	1995	25754316.00
UNITED ST6	UNITED ST3	1995	25388769.00
UNITED ST5	UNITED ST6	1995	24674046.00
UNITED ST3	UNITED ST3	1995	23269723.00
UNITED ST1	UNITED ST8	1995	22305856.00
UNITED ST2	UNITED ST3	1995	21024995.00
UNITED ST7	UNITED ST6	1995	19614463.00
UNITED ST4	UNITED ST1	1995	18933069.00
UNITED ST5	UNITED ST2	1995	18032092.00
UNITED ST5	UNITED ST8	1995	17707724.00
UNITED ST1	UNITED ST5	1995	17573461.00
UNITED ST1	UNITED ST2	1995	17128549.00
UNITED ST5	UNITED ST3	1995	14820430.00
UNITED ST1	UNITED ST1	1995	13119540.00
UNITED ST1	UNITED ST3	1995	8607978.00
UNITED ST4	UNITED ST0	1996	106587536.00
UNITED ST0	UNITED ST0	1996	94077531.00
UNITED ST8	UNITED ST5	1996	87516687.00
UNITED ST6	UNITED ST0	1996	84663703.00
UNITED ST9	UNITED ST0	1996	78306819.00
UNITED ST1	UNITED ST0	1996	76007174.00
UNITED ST9	UNITED ST7	1996	70396156.00
UNITED ST8	UNITED ST4	1996	70324578.00
UNITED ST3	UNITED ST0	1996	68558182.00
UNITED ST4	UNITED ST5	1996	68523976.00
UNITED ST2	UNITED ST6	1996	67804510.00
UNITED ST4	UNITED ST4	1996	66004427.00
UNITED ST9	UNITED ST4	1996	65345587.00
UNITED ST3	UNITED ST3	1996	65148601.00
UNITED ST2	UNITED ST4	1996	65008647.00
UNITED ST2	UNITED ST9	1996	64388450.00
UNITED ST2	UNITED ST5	1996	64384122.00
UNITED ST5	UNITED ST0	1996	63916584.00
UNITED ST6	UNITED ST2	1996	61631950.00
UNITED ST2	UNITED ST0	1996	61269695.00
UNITED ST8	UNITED ST9	1996	61167038.00
UNITED ST7	UNITED ST5	1996	60602858.00
UNITED ST6	UNITED ST4	1996	60399368.00
UNITED ST3	UNITED ST9	1996	57963979.00
UNITED ST0	UNITED ST9	1996	57547755.00
UNITED ST6	UNITED ST5	1996	57288433.00
UNITED ST5	UNITED ST1	1996	55952738.00
UNITED ST8	UNITED ST1	1996	55706624.00
UNITED ST9	UNITED ST1	1996	55131387.00
UNITED ST1	UNITED ST9	1996	53098197.00
UNITED ST6	UNITED ST8	1996	52953744.00
UNITED ST0	UNITED ST4	1996	50825130.00
UNITED ST7	UNITED ST0	1996	49760522.00
UNITED ST9	UNITED ST2	1996	49397185.00
UNITED ST3	UNITED ST7	1996	49155731.00
UNITED ST1	UNITED ST4	1996	48729109.00
UNITED ST4	UNITED ST1	1996	47882139.00
UNITED ST2	UNITED ST8	1996	47788787.00
UNITED ST0	UNITED ST2	1996	47520470.00
UNITED ST2	UNITED ST2	1996	47324556.00
UNITED ST0	UNITED ST1	1996	46896539.00
UNITED ST7	UNITED ST2	1996	46615494.00
UNITED ST7	UNITED ST4	1996	45077506.00
UNITED ST0	UNITED ST3	1996	45048319.00
UNITED ST8	UNITED ST0	1996	44501257.00
UNITED ST4	UNITED ST2	1996	44164678.00
UNITED ST4	UNITED ST7	1996	44157093.00
UNITED ST6	UNITED ST9	1996	43949608.00
UNITED ST8	UNITED ST7	1996	43942867.00
UNITED ST5	UNITED ST6	1996	43612461.00
UNITED ST0	UNITED ST6	1996	42857748.00
UNITED ST5	UNITED ST7	1996	42308012.00
UNITED ST8	UNITED ST6	1996	41622985.00
UNITED ST8	UNITED ST8	1996	41276204.00
UNITED ST3	UNITED ST6	1996	40985063.00
UNITED ST5	UNITED ST5	1996	40765905.00
UNITED ST3	UNITED ST4	1996	39940346.00
UNITED ST9	UNITED ST6	1996	38905154.00
UNITED ST5	UNITED ST8	1996	38543082.00
UNITED ST7	UNITED ST8	1996	38435478.00
UNITED ST8	UNITED ST3	1996	38270766.00
UNITED ST1	UNITED ST7	1996	38154935.00
UNITED ST9	UNITED ST5	1996	38023209.00
UNITED ST9	UNITED ST3	1996	38020572.00
UNITED ST2	UNITED ST3	1996	37044115.00
UNITED ST4	UNITED ST8	1996	36981631.00
UNITED ST8	UNITED ST2	1996	35943707.00
UNITED ST7	UNITED ST9	1996	35817042.00
UNITED ST5	UNITED ST2	1996	34668325.00
UNITED ST7	UNITED ST6	1996	34184928.00
UNITED ST1	UNITED ST2	1996	33469912.00
UNITED ST6	UNITED ST1	1996	33433526.00
UNITED ST4	UNITED ST6	1996	33428662.00
UNITED ST2	UNITED ST7	1996	33009459.00
UNITED ST5	UNITED ST4	1996	32591998.00
UNITED ST6	UNITED ST6	1996	30651998.00
UNITED ST2	UNITED ST1	1996	30496164.00
UNITED ST9	UNITED ST9	1996	30020590.00
UNITED ST7	UNITED ST3	1996	29957039.00
UNITED ST4	UNITED ST3	1996	28416007.00
UNITED ST6	UNITED ST7	1996	28298192.00
UNITED ST0	UNITED ST7	1996	26922428.00
UNITED ST3	UNITED ST5	1996	26212461.00
UNITED ST7	UNITED ST7	1996	26006415.00
UNITED ST4	UNITED ST9	1996	25864836.00
UNITED ST1	UNITED ST3	1996	25746748.00
UNITED ST1	UNITED ST1	1996	24781659.00
UNITED ST6	UNITED ST3	1996	24043195.00
UNITED ST3	UNITED ST1	1996	22097763.00
UNITED ST5	UNITED ST3	1996	21947384.00
UNITED ST7	UNITED ST1	1996	20851478.00
UNITED ST3	UNITED ST8	1996	19948897.00
UNITED ST0	UNITED ST5	1996	19763156.00
UNITED ST1	UNITED ST5	1996	19684976.00
UNITED ST1	UNITED ST6	1996	19158095.00
UNITED ST5	UNITED ST9	1996	18543664.00
UNITED ST3	UNITED ST2	1996	17641035.00
UNITED ST9	UNITED ST8	1996	12354383.00
UNITED ST0	UNITED ST8	1996	12272765.00
UNITED ST1	UNITED ST8	1996	11059116.00
UNITED ST6	UNITED ST0	1997	108736166.00
UNITED ST4	UNITED ST0	1997	93523732.00
UNITED ST8	UNITED ST0	1997	90287288.00
UNITED ST0	UNITED ST1	1997	87281337.00
UNITED ST2	UNITED ST5	1997	75393846.00
UNITED ST2	UNITED ST0	1997	74205047.00
UNITED ST5	UNITED ST4	1997	70210179.00
UNITED ST9	UNITED ST4	1997	69172141.00
UNITED ST5	UNITED ST0	1997	67584258.00
UNITED ST3	UNITED ST1	1997	66215181.00
UNITED ST6	UNITED ST1	1997	62955671.00
UNITED ST8	UNITED ST1	1997	62296269.00
UNITED ST9	UNITED ST6	1997	61711786.00
UNITED ST0	UNITED ST0	1997	60306041.00
UNITED ST2	UNITED ST7	1997	59311009.00
UNITED ST6	UNITED ST7	1997	57969697.00
UNITED ST8	UNITED ST5	1997	57531917.00
UNITED ST2	UNITED ST4	1997	56638679.00
UNITED ST2	UNITED ST1	1997	56547037.00
UNITED ST8	UNITED ST4	1997	55941783.00
UNITED ST7	UNITED ST9	1997	55432310.00
UNITED ST3	UNITED ST9	1997	55311706.00
UNITED ST9	UNITED ST7	1997	54416722.00
UNITED ST7	UNITED ST4	1997	53640924.00
UNITED ST3	UNITED ST0	1997	52903711.00
UNITED ST2	UNITED ST9	1997	52417625.00
UNITED ST8	UNITED ST2	1997	52279235.00
UNITED ST1	UNITED ST3	1997	52038435.00
UNITED ST4	UNITED ST4	1997	51484216.00
UNITED ST0	UNITED ST9	1997	51215084.00
UNITED ST1	UNITED ST7	1997	50330723.00
UNITED ST8	UNITED ST6	1997	50256947.00
UNITED ST1	UNITED ST9	1997	49606186.00
UNITED ST1	UNITED ST8	1997	49276463.00
UNITED ST0	UNITED ST2	1997	48994681.00
UNITED ST3	UNITED ST4	1997	47763676.00
UNITED ST7	UNITED ST0	1997	47676227.00
UNITED ST9	UNITED ST0	1997	47366776.00
UNITED ST6	UNITED ST2	1997	46916615.00
UNITED ST8	UNITED ST9	1997	46502405.00
UNITED ST5	UNITED ST6	1997	45839158.00
UNITED ST6	UNITED ST9	1997	45579239.00
UNITED ST5	UNITED ST7	1997	45441962.00
UNITED ST0	UNITED ST6	1997	44603739.00
UNITED ST4	UNITED ST6	1997	44565875.00
UNITED ST1	UNITED ST2	1997	43945627.00
UNITED ST5	UNITED ST1	1997	43409617.00
UNITED ST9	UNITED ST8	1997	43160698.00
UNITED ST7	UNITED ST2	1997	42917125.00
UNITED ST2	UNITED ST3	1997	42143101.00
UNITED ST6	UNITED ST4	1997	41765731.00
UNITED ST0	UNITED ST4	1997	41741737.00
UNITED ST0	UNITED ST5	1997	40980159.00
UNITED ST5	UNITED ST3	1997	40858356.00
UNITED ST7	UNITED ST7	1997	40303619.00
UNITED ST7	UNITED ST8	1997	39298740.00
UNITED ST3	UNITED ST3	1997	39036283.00
UNITED ST7	UNITED ST1	1997	38801476.00
