c0	c1	c2	c3	c4	c5	c0	c1	c2	c3	c4	c5	c0	c1	c2	c3	c4	c5	c0	c1	c2	c3	c4	c5	c0	c1	c2	c3	c4	c5
114	1012	2021	3031	4042	9041	NULL	NULL	NULL	NULL	NULL	NULL	311	1016	2021	3031	4041	9013	412	1018	2028	3031	4041	9024	NULL	NULL	NULL	NULL	NULL	NULL
114	1012	2021	3031	4042	9041	NULL	NULL	NULL	NULL	NULL	NULL	312	1016	2021	3031	4046	9023	411	1018	2028	3031	4048	9014	NULL	NULL	NULL	NULL	NULL	NULL
114	1012	2021	3031	4042	9041	NULL	NULL	NULL	NULL	NULL	NULL	312	1016	2021	3031	4046	9023	412	1018	2028	3031	4041	9024	NULL	NULL	NULL	NULL	NULL	NULL
114	1012	2021	3031	4042	9041	NULL	NULL	NULL	NULL	NULL	NULL	313	1016	2021	3036	4041	9033	411	1018	2028	3031	4048	9014	NULL	NULL	NULL	NULL	NULL	NULL
114	1012	2021	3031	4042	9041	NULL	NULL	NULL	NULL	NULL	NULL	313	1016	2021	3036	4041	9033	412	1018	2028	3031	4041	9024	NULL	NULL	NULL	NULL	NULL	NULL
114	1012	2021	3031	4042	9041	NULL	NULL	NULL	NULL	NULL	NULL	314	1016	2021	3036	4046	9043	411	1018	2028	3031	4048	9014	NULL	NULL	NULL	NULL	NULL	NULL
114	1012	2021	3031	4042	9041	NULL	NULL	NULL	NULL	NULL	NULL	314	1016	2021	3036	4046	9043	412	1018	2028	3031	4041	9024	NULL	NULL	NULL	NULL	NULL	NULL
115	1012	2021	3032	4041	9051	NULL	NULL	NULL	NULL	NULL	NULL	311	1016	2021	3031	4041	9013	NULL	NULL	NULL	NULL	NULL	NULL	511	1010	2020	3030	4041	9015
115	1012	2021	3032	4041	9051	NULL	NULL	NULL	NULL	NULL	NULL	312	1016	2021	3031	4046	9023	NULL	NULL	NULL	NULL	NULL	NULL	511	1010	2020	3030	4041	9015
115	1012	2021	3032	4041	9051	NULL	NULL	NULL	NULL	NULL	NULL	313	1016	2021	3036	4041	9033	NULL	NULL	NULL	NULL	NULL	NULL	511	1010	2020	3030	4041	9015
115	1012	2021	3032	4041	9051	NULL	NULL	NULL	NULL	NULL	NULL	314	1016	2021	3036	4046	9043	NULL	NULL	NULL	NULL	NULL	NULL	511	1010	2020	3030	4041	9015
116	1012	2022	3031	4041	9061	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
116	1012	2022	3031	4041	9061	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	NULL	NULL	NULL	NULL	NULL	NULL	311	1016	2021	3031	4041	9013	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	NULL	NULL	NULL	NULL	NULL	NULL	311	1016	2021	3031	4041	9013	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	NULL	NULL	NULL	NULL	NULL	NULL	312	1016	2021	3031	4046	9023	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	NULL	NULL	NULL	NULL	NULL	NULL	312	1016	2021	3031	4046	9023	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	NULL	NULL	NULL	NULL	NULL	NULL	313	1016	2021	3036	4041	9033	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	NULL	NULL	NULL	NULL	NULL	NULL	313	1016	2021	3036	4041	9033	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	NULL	NULL	NULL	NULL	NULL	NULL	314	1016	2021	3036	4046	9043	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	NULL	NULL	NULL	NULL	NULL	NULL	314	1016	2021	3036	4046	9043	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
c0	c1	c2	c3	c4	c5	c0	c1	c2	c3	c4	c5	c0	c1	c2	c3	c4	c5	c0	c1	c2	c3	c4	c5	c0	c1	c2	c3	c4	c5
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	6	26	36	46	56	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	31	101	206	306	406	903	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	32	106	201	306	406	903	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	33	106	206	301	406	903	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	34	106	206	306	401	903	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	311	1016	2021	3031	4041	9013	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	312	1016	2021	3031	4046	9023	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	313	1016	2021	3036	4041	9033	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	314	1016	2021	3036	4046	9043	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	315	1016	2026	3031	4046	9053	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	316	1016	2026	3036	4041	9063	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	317	1016	2026	3031	4041	973	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	21	31	41	91	1	1	21	31	41	92	1	1	21	31	41	93	1	1	21	31	41	94	1	1	21	31	41	95
c0	c1	c2	c3	c4	c5	c0	c1	c2	c3	c4	c5	c0	c1	c2	c3	c4	c5	c0	c1	c2	c3	c4	c5	c0	c1	c2	c3	c4	c5
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	8	28	38	48	58	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	41	101	208	308	408	904	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	42	108	201	308	408	904	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	43	108	208	301	408	904	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	44	108	208	308	401	904	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	413	1018	2028	3038	4041	9034	NULL	NULL	NULL	NULL	NULL	NULL
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	21	31	41	91	1	1	21	31	41	92	1	1	21	31	41	93	1	1	21	31	41	94	1	1	21	31	41	95
116	1012	2022	3031	4041	9061	213	1014	2021	3034	4041	9032	NULL	NULL	NULL	NULL	NULL	NULL	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
116	1012	2022	3031	4041	9061	213	1014	2021	3034	4041	9032	NULL	NULL	NULL	NULL	NULL	NULL	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
116	1012	2022	3031	4041	9061	215	1014	2021	3034	4041	9052	NULL	NULL	NULL	NULL	NULL	NULL	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
116	1012	2022	3031	4041	9061	215	1014	2021	3034	4041	9052	NULL	NULL	NULL	NULL	NULL	NULL	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
116	1012	2022	3031	4041	9061	216	1014	2021	3031	4041	9062	NULL	NULL	NULL	NULL	NULL	NULL	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
116	1012	2022	3031	4041	9061	216	1014	2021	3031	4041	9062	NULL	NULL	NULL	NULL	NULL	NULL	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
116	1012	2022	3031	4041	9061	217	1014	2024	3031	4041	972	NULL	NULL	NULL	NULL	NULL	NULL	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
116	1012	2022	3031	4041	9061	217	1014	2024	3031	4041	972	NULL	NULL	NULL	NULL	NULL	NULL	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
116	1012	2022	3031	4041	9061	218	1014	2024	3034	4041	982	NULL	NULL	NULL	NULL	NULL	NULL	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
116	1012	2022	3031	4041	9061	218	1014	2024	3034	4041	982	NULL	NULL	NULL	NULL	NULL	NULL	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	213	1014	2021	3034	4041	9032	311	1016	2021	3031	4041	9013	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	213	1014	2021	3034	4041	9032	311	1016	2021	3031	4041	9013	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	213	1014	2021	3034	4041	9032	312	1016	2021	3031	4046	9023	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	213	1014	2021	3034	4041	9032	312	1016	2021	3031	4046	9023	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	213	1014	2021	3034	4041	9032	313	1016	2021	3036	4041	9033	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	213	1014	2021	3034	4041	9032	313	1016	2021	3036	4041	9033	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	213	1014	2021	3034	4041	9032	314	1016	2021	3036	4046	9043	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	213	1014	2021	3034	4041	9032	314	1016	2021	3036	4046	9043	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	215	1014	2021	3034	4041	9052	311	1016	2021	3031	4041	9013	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	215	1014	2021	3034	4041	9052	311	1016	2021	3031	4041	9013	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	215	1014	2021	3034	4041	9052	312	1016	2021	3031	4046	9023	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	215	1014	2021	3034	4041	9052	312	1016	2021	3031	4046	9023	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	215	1014	2021	3034	4041	9052	313	1016	2021	3036	4041	9033	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	215	1014	2021	3034	4041	9052	313	1016	2021	3036	4041	9033	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	215	1014	2021	3034	4041	9052	314	1016	2021	3036	4046	9043	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	215	1014	2021	3034	4041	9052	314	1016	2021	3036	4046	9043	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	216	1014	2021	3031	4041	9062	311	1016	2021	3031	4041	9013	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	216	1014	2021	3031	4041	9062	311	1016	2021	3031	4041	9013	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	216	1014	2021	3031	4041	9062	312	1016	2021	3031	4046	9023	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	216	1014	2021	3031	4041	9062	312	1016	2021	3031	4046	9023	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	216	1014	2021	3031	4041	9062	313	1016	2021	3036	4041	9033	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	216	1014	2021	3031	4041	9062	313	1016	2021	3036	4041	9033	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	216	1014	2021	3031	4041	9062	314	1016	2021	3036	4046	9043	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	216	1014	2021	3031	4041	9062	314	1016	2021	3036	4046	9043	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	217	1014	2024	3031	4041	972	311	1016	2021	3031	4041	9013	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	217	1014	2024	3031	4041	972	311	1016	2021	3031	4041	9013	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	217	1014	2024	3031	4041	972	312	1016	2021	3031	4046	9023	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	217	1014	2024	3031	4041	972	312	1016	2021	3031	4046	9023	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	217	1014	2024	3031	4041	972	313	1016	2021	3036	4041	9033	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	217	1014	2024	3031	4041	972	313	1016	2021	3036	4041	9033	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	217	1014	2024	3031	4041	972	314	1016	2021	3036	4046	9043	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	217	1014	2024	3031	4041	972	314	1016	2021	3036	4046	9043	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	218	1014	2024	3034	4041	982	311	1016	2021	3031	4041	9013	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	218	1014	2024	3034	4041	982	311	1016	2021	3031	4041	9013	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	218	1014	2024	3034	4041	982	312	1016	2021	3031	4046	9023	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	218	1014	2024	3034	4041	982	312	1016	2021	3031	4046	9023	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	218	1014	2024	3034	4041	982	313	1016	2021	3036	4041	9033	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	218	1014	2024	3034	4041	982	313	1016	2021	3036	4041	9033	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	218	1014	2024	3034	4041	982	314	1016	2021	3036	4046	9043	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
117	1012	2021	3031	4041	971	218	1014	2024	3034	4041	982	314	1016	2021	3036	4046	9043	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
c0	c1	c2	c3	c4	c5	c0	c1	c2	c3	c4	c5	c0	c1	c2	c3	c4	c5	c0	c1	c2	c3	c4	c5	c0	c1	c2	c3	c4	c5
NULL	NULL	NULL	NULL	NULL	NULL	2	4	24	34	44	54	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	14	104	204	304	401	902	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	21	101	204	304	404	902	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	22	104	201	304	404	902	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	23	104	204	301	404	902	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	211	1014	2021	3034	4044	9012	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	212	1014	2021	3031	4044	9022	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	213	1014	2021	3034	4041	9032	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	214	1014	2021	3031	4044	9042	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	215	1014	2021	3034	4041	9052	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	216	1014	2021	3031	4041	9062	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	217	1014	2024	3031	4041	972	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	218	1014	2024	3034	4041	982	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	219	1014	2024	3031	4044	992	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	21	31	41	91	1	1	21	31	41	92	1	1	21	31	41	93	1	1	21	31	41	94	1	1	21	31	41	95
c0	c1	c2	c3	c4	c5	c0	c1	c2	c3	c4	c5	c0	c1	c2	c3	c4	c5	c0	c1	c2	c3	c4	c5	c0	c1	c2	c3	c4	c5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	21	31	41	91	1	1	21	31	41	92	1	1	21	31	41	93	1	1	21	31	41	94	1	1	21	31	41	95
116	1012	2022	3031	4041	9061	213	1014	2021	3034	4041	9032	311	1016	2021	3031	4041	9013	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
116	1012	2022	3031	4041	9061	213	1014	2021	3034	4041	9032	311	1016	2021	3031	4041	9013	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
116	1012	2022	3031	4041	9061	213	1014	2021	3034	4041	9032	313	1016	2021	3036	4041	9033	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
116	1012	2022	3031	4041	9061	213	1014	2021	3034	4041	9032	313	1016	2021	3036	4041	9033	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
116	1012	2022	3031	4041	9061	213	1014	2021	3034	4041	9032	316	1016	2026	3036	4041	9063	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
116	1012	2022	3031	4041	9061	213	1014	2021	3034	4041	9032	316	1016	2026	3036	4041	9063	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
116	1012	2022	3031	4041	9061	213	1014	2021	3034	4041	9032	317	1016	2026	3031	4041	973	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
116	1012	2022	3031	4041	9061	213	1014	2021	3034	4041	9032	317	1016	2026	3031	4041	973	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
116	1012	2022	3031	4041	9061	215	1014	2021	3034	4041	9052	311	1016	2021	3031	4041	9013	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
116	1012	2022	3031	4041	9061	215	1014	2021	3034	4041	9052	311	1016	2021	3031	4041	9013	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
116	1012	2022	3031	4041	9061	215	1014	2021	3034	4041	9052	313	1016	2021	3036	4041	9033	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
116	1012	2022	3031	4041	9061	215	1014	2021	3034	4041	9052	313	1016	2021	3036	4041	9033	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
116	1012	2022	3031	4041	9061	215	1014	2021	3034	4041	9052	316	1016	2026	3036	4041	9063	411	1018	2028	3031	4048	9014	511	1010	2020	3030	4041	9015
116	1012	2022	3031	4041	9061	215	1014	2021	3034	4041	9052	316	1016	2026	3036	4041	9063	412	1018	2028	3031	4041	9024	511	1010	2020	3030	4041	9015
