cidx	cbigint	cdecimal9	cast(cbigint as decimal(9,2))
1	-72036854775806	-999999	-9999999.99
2	-72036854775805	-999998	-9999999.99
3	-72036854775804	-999997	-9999999.99
4	-72036854775803	-999996	-9999999.99
5	-72036854775802	-999995	-9999999.99
6	72036854775803	999995	9999999.99
7	72036854775804	999996	9999999.99
8	72036854775805	999997	9999999.99
9	72036854775806	999998	9999999.99
10	72036854775807	999999	9999999.99
11	0	0	0.00
cidx	cbigint	cdecimal9	cast(cbigint as decimal(9,2))
1	-72036854775806	-10000000	-9999999.99
2	-72036854775805	-10000000	-9999999.99
3	-72036854775804	-10000000	-9999999.99
4	-72036854775803	-10000000	-9999999.99
5	-72036854775802	-10000000	-9999999.99
6	72036854775803	10000000	9999999.99
7	72036854775804	10000000	9999999.99
8	72036854775805	10000000	9999999.99
9	72036854775806	10000000	9999999.99
10	72036854775807	10000000	9999999.99
11	0	0	0.00
CDECIMAL10
-9999999
-9999998
-9999997
-9999996
-9999995
0
10000000
10000000
10000000
10000000
10000000
CDECIMAL18
-9999999999999
-9999999999998
-9999999999997
-9999999999996
-9999999999995
0
10000000
10000000
10000000
10000000
10000000
CDECIMAL18_2
-99999999999.99
-99999999999.98
-99999999999.97
-99999999999.96
-99999999999.95
0.00
9999999.99
9999999.99
9999999.99
9999999.99
9999999.99
CINTEGER
-7483646
-7483645
-7483644
-7483643
-7483642
0
10000000
10000000
10000000
10000000
10000000
c1	c2
-80000	-80000
-70000	-70000
-60000	-60000
-50000	-50000
-40000	-40000
-30000	-30000
-20000	-20000
-10000	-10000
0	0
10000	10000
20000	20000
30000	30000
40000	40000
50000	50000
60000	60000
70000	70000
80000	80000
90000	90000
100000	100000
110000	110000
120000	120000
130000	130000
140000	140000
150000	150000
160000	160000
170000	170000
180000	180000
190000	190000
200000	200000
210000	210000
220000	220000
230000	230000
240000	240000
250000	250000
260000	260000
270000	270000
280000	280000
290000	290000
300000	300000
310000	310000
320000	320000
330000	330000
340000	340000
350000	350000
360000	360000
370000	370000
380000	380000
390000	390000
400000	400000
410000	410000
420000	420000
430000	430000
440000	440000
450000	450000
460000	460000
470000	470000
480000	480000
490000	490000
500000	500000
510000	510000
520000	520000
530000	530000
540000	540000
550000	550000
560000	560000
570000	570000
580000	580000
590000	590000
600000	600000
610000	610000
620000	620000
630000	630000
640000	640000
650000	650000
660000	660000
670000	670000
680000	680000
690000	690000
700000	700000
710000	710000
720000	720000
730000	730000
740000	740000
750000	750000
760000	760000
770000	770000
780000	780000
790000	790000
800000	800000
810000	810000
820000	820000
830000	830000
840000	840000
850000	850000
860000	860000
870000	870000
880000	880000
890000	890000
900000	900000
910000	910000
920000	920000
930000	930000
940000	940000
950000	950000
960000	960000
970000	970000
980000	980000
990000	990000
1000000	1000000
c1	c2
-990000	-100
-980000	-100
-970000	-100
-960000	-100
-950000	-100
-940000	-100
-930000	-100
-920000	-100
-910000	-100
-900000	-100
-890000	-100
-880000	-100
-870000	-100
-860000	-100
-850000	-100
-840000	-100
-830000	-100
-820000	-100
-810000	-100
-800000	-100
-790000	-100
-780000	-100
-770000	-100
-760000	-100
-750000	-100
-740000	-100
-730000	-100
-720000	-100
-710000	-100
-700000	-100
-690000	-100
-680000	-100
-670000	-100
-660000	-100
-650000	-100
-640000	-100
-630000	-100
-620000	-100
-610000	-100
-600000	-100
-590000	-100
-580000	-100
-570000	-100
-560000	-100
-550000	-100
-540000	-100
-530000	-100
-520000	-100
-510000	-100
-500000	-100
-490000	-100
-480000	-100
-470000	-100
-460000	-100
-450000	-100
-440000	-100
-430000	-100
-420000	-100
-410000	-100
-400000	-100
-390000	-100
-380000	-100
-370000	-100
-360000	-100
-350000	-100
-340000	-100
-330000	-100
-320000	-100
-310000	-100
-300000	-100
-290000	-100
-280000	-100
-270000	-100
-260000	-100
-250000	-100
-240000	-100
-230000	-100
-220000	-100
-210000	-100
-200000	-100
-190000	-100
-180000	-100
-170000	-100
-160000	-100
-150000	-100
-140000	-100
-130000	-100
-120000	-100
-110000	-100
-100000	-100
-90000	-100
-80000	-100
-70000	-100
-60000	-100
-50000	-100
-40000	-100
-30000	-100
-20000	-100
-10000	-100
0	0
10000	100
20000	100
30000	100
40000	100
50000	100
60000	100
70000	100
80000	100
90000	100
100000	100
110000	100
120000	100
130000	100
140000	100
150000	100
160000	100
170000	100
180000	100
190000	100
200000	100
210000	100
220000	100
230000	100
240000	100
250000	100
260000	100
270000	100
280000	100
290000	100
300000	100
310000	100
320000	100
330000	100
340000	100
350000	100
360000	100
370000	100
380000	100
390000	100
400000	100
410000	100
420000	100
430000	100
440000	100
450000	100
460000	100
470000	100
480000	100
490000	100
500000	100
510000	100
520000	100
530000	100
540000	100
550000	100
560000	100
570000	100
580000	100
590000	100
600000	100
610000	100
620000	100
630000	100
640000	100
650000	100
660000	100
670000	100
680000	100
690000	100
700000	100
710000	100
720000	100
730000	100
740000	100
750000	100
760000	100
770000	100
780000	100
790000	100
800000	100
810000	100
820000	100
830000	100
840000	100
850000	100
860000	100
870000	100
880000	100
890000	100
900000	100
910000	100
920000	100
930000	100
940000	100
950000	100
960000	100
970000	100
980000	100
990000	100
1000000	100
c1	c2
-990000	-99999
-980000	-99999
-970000	-99999
-960000	-99999
-950000	-99999
-940000	-99999
-930000	-99999
-920000	-99999
-910000	-99999
-900000	-99999
-890000	-99999
-880000	-99999
-870000	-99999
-860000	-99999
-850000	-99999
-840000	-99999
-830000	-99999
-820000	-99999
-810000	-99999
-800000	-99999
-790000	-99999
-780000	-99999
-770000	-99999
-760000	-99999
-750000	-99999
-740000	-99999
-730000	-99999
-720000	-99999
-710000	-99999
-700000	-99999
-690000	-99999
-680000	-99999
-670000	-99999
-660000	-99999
-650000	-99999
-640000	-99999
-630000	-99999
-620000	-99999
-610000	-99999
-600000	-99999
-590000	-99999
-580000	-99999
-570000	-99999
-560000	-99999
-550000	-99999
-540000	-99999
-530000	-99999
-520000	-99999
-510000	-99999
-500000	-99999
-490000	-99999
-480000	-99999
-470000	-99999
-460000	-99999
-450000	-99999
-440000	-99999
-430000	-99999
-420000	-99999
-410000	-99999
-400000	-99999
-390000	-99999
-380000	-99999
-370000	-99999
-360000	-99999
-350000	-99999
-340000	-99999
-330000	-99999
-320000	-99999
-310000	-99999
-300000	-99999
-290000	-99999
-280000	-99999
-270000	-99999
-260000	-99999
-250000	-99999
-240000	-99999
-230000	-99999
-220000	-99999
-210000	-99999
-200000	-99999
-190000	-99999
-180000	-99999
-170000	-99999
-160000	-99999
-150000	-99999
-140000	-99999
-130000	-99999
-120000	-99999
-110000	-99999
-100000	-99999
-90000	-90000
-80000	-80000
-70000	-70000
-60000	-60000
-50000	-50000
-40000	-40000
-30000	-30000
-20000	-20000
-10000	-10000
0	0
10000	10000
20000	20000
30000	30000
40000	40000
50000	50000
60000	60000
70000	70000
80000	80000
90000	90000
100000	99999
110000	99999
120000	99999
130000	99999
140000	99999
150000	99999
160000	99999
170000	99999
180000	99999
190000	99999
200000	99999
210000	99999
220000	99999
230000	99999
240000	99999
250000	99999
260000	99999
270000	99999
280000	99999
290000	99999
300000	99999
310000	99999
320000	99999
330000	99999
340000	99999
350000	99999
360000	99999
370000	99999
380000	99999
390000	99999
400000	99999
410000	99999
420000	99999
430000	99999
440000	99999
450000	99999
460000	99999
470000	99999
480000	99999
490000	99999
500000	99999
510000	99999
520000	99999
530000	99999
540000	99999
550000	99999
560000	99999
570000	99999
580000	99999
590000	99999
600000	99999
610000	99999
620000	99999
630000	99999
640000	99999
650000	99999
660000	99999
670000	99999
680000	99999
690000	99999
700000	99999
710000	99999
720000	99999
730000	99999
740000	99999
750000	99999
760000	99999
770000	99999
780000	99999
790000	99999
800000	99999
810000	99999
820000	99999
830000	99999
840000	99999
850000	99999
860000	99999
870000	99999
880000	99999
890000	99999
900000	99999
910000	99999
920000	99999
930000	99999
940000	99999
950000	99999
960000	99999
970000	99999
980000	99999
990000	99999
1000000	99999
